xi,mu_MeV,T_crossover_MeV,rho,method,converged,derivative,variable,curve_parameter,plot_order_key
0.0,174.72330867942011,176.33632302559764,2.3116945928417243,peak,true,12.059723797465326,phi_u,174.72330867942011,174.72330867942011
0.0,194.1370096438001,170.54358026768693,2.3539417554216118,peak,true,13.279826255111773,phi_u,194.1370096438001,194.1370096438001
0.0,213.55071060818014,164.13114943727336,2.3397777722651507,peak,true,15.265130749530469,phi_u,213.55071060818014,213.55071060818014
0.0,232.96441157256012,157.13969027303378,2.2800860677640356,peak,true,18.747326841795775,phi_u,232.96441157256012,232.96441157256012
0.0,252.37811253694014,149.5285430362913,2.192774120323707,peak,true,25.780157955617373,phi_u,252.37811253694014,252.37811253694014
0.0,271.7918135013202,141.00431090058268,2.0808467793728185,peak,true,46.272528095868815,phi_u,271.7918135013202,271.7918135013202
0.0,291.20551446570016,130.99532094790726,1.869792039646817,peak,true,2065.3944723794893,phi_u,291.20551446570016,291.20551446570016
0.3,0.0,208.31271618274292,0.0,peak,true,7.983476962635941,phi_u,0.0,0.0
0.3,21.827566599241543,207.96136034625198,0.3891804100318986,peak,true,7.991110807239151,phi_u,21.827566599241543,21.827566599241543
0.3,43.655133198483085,206.91730881670495,0.7696242939165273,peak,true,8.015160464301168,phi_u,43.655133198483085,43.655133198483085
0.3,65.48269979772464,205.16840694713883,1.1325914952642546,peak,true,8.05925968655403,phi_u,65.48269979772464,65.48269979772464
0.3,87.31026639696617,202.6915276696898,1.4689315437024646,peak,true,8.13016079157587,phi_u,87.31026639696617,87.31026639696617
0.3,109.13783299620772,199.47046478840738,1.7697223805573494,peak,true,8.239018753589159,phi_u,109.13783299620772,109.13783299620772
0.3,130.96539959544927,195.4677979214274,2.025161577791173,peak,true,8.403798400313871,phi_u,130.96539959544927,130.96539959544927
0.3,152.79296619469082,190.64728891294797,2.225312262457751,peak,true,8.653800900604848,phi_u,152.79296619469082,152.79296619469082
0.3,174.62053279393234,184.97056094012987,2.359955599216664,peak,true,9.038445215470341,phi_u,174.62053279393234,174.62053279393234
0.3,196.4480993931739,178.40115006208438,2.4185571519607088,peak,true,9.64484708955134,phi_u,196.4480993931739,196.4480993931739
0.3,218.27566599241544,170.96646068074963,2.3963345857334053,peak,true,10.633123928881199,phi_u,218.27566599241544,218.27566599241544
0.3,240.10323259165696,162.79664723453197,2.3042629827539427,peak,true,12.303142651640908,phi_u,240.10323259165696,240.10323259165696
0.3,261.93079919089854,154.0754907396521,2.182868259013708,peak,true,15.226407108588543,phi_u,261.93079919089854,261.93079919089854
0.3,283.7583657901401,144.537448544248,2.0583967851134726,peak,true,20.75764387073204,phi_u,283.7583657901401,283.7583657901401
0.3,305.58593238938164,133.23643695036444,1.9078032971926935,peak,true,35.0950846684413,phi_u,305.58593238938164,305.58593238938164
0.3,327.4134989886232,118.42451052941045,1.618722964929444,peak,true,922.3186133969162,phi_u,327.4134989886232,327.4134989886232
