# y_unit.tau_ubar: fm
# y_unit.tau_u: fm
# sigma_cache_max_refine: 6
# script: scripts/relaxtime/scan_relaxation_times_vs_T.jl
# sigma_grid_n: 18
# schema: scan_csv_v1
# y_unit.tau_sbar: fm
# y_unit.tauinv_s: 1/fm
# p_cut_factor: 8.0
# y_unit.tauinv_ubar: 1/fm
# x_unit: MeV
# y_scale.tau_s: log
# y_scale.tau_sbar: log
# y_unit.tau_s: fm
# y_unit.tauinv_sbar: 1/fm
# title: relaxation_times_vs_T
# y_unit.tauinv_u: 1/fm
# y_scale.tau_u: log
# y_scale.tau_ubar: log
# sigma_cache_rtol: 0.01
# x_label: T
T_MeV,muB_MeV,muq_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,Phi,Phibar,m_u,m_s,n_u,n_s,n_ubar,n_sbar,tau_u,tau_s,tau_ubar,tau_sbar,tauinv_u,tauinv_s,tauinv_ubar,tauinv_sbar,tau_p_nodes,tau_angle_nodes,tau_phi_nodes,tau_n_sigma_points,sigma_grid_n,p_cut_factor,sigma_cache_rtol,sigma_cache_max_refine
176.0,800.0,266.6666666666667,0.0,0.8919205177193187,1.3513947238171495,true,3,4.8183679268731794e-14,0.5787715535240789,0.5879672645089085,0.1384496666891233,1.9533654341073767,1.0668434929559303,0.5271962343456736,0.05561752640035792,0.02540297178099614,4.545808787524971,4.042213237497716,0.49535229457256613,0.951505555902783,0.2199828560198776,0.24738922497296015,2.0187652524409696,1.050966012543359,6,2,6,6,18,8.0,0.01,6
177.0,800.0,266.6666666666667,0.0,0.896988247933633,1.3513947238171495,true,3,3.9968028886505635e-14,0.5834349177639465,0.5924130332949055,0.13484314161379102,1.942990177123018,1.081466061603845,0.5423038797732244,0.057488917294348935,0.02661720682386654,4.495360782743706,4.000091350164224,0.4922421588436986,0.9348575834626274,0.22245155579918954,0.24999429074512133,2.0315204255341515,1.0696816474399138,6,2,6,6,18,8.0,0.01,6
178.0,800.0,266.6666666666667,0.0,0.9020559781479474,1.3513947238171495,true,3,3.808064974464287e-14,0.5880157169925716,0.596783235583703,0.13140799217007926,1.9325191267153996,1.0961646678029304,0.5576394155311444,0.05939910306126248,0.027874392465244945,4.444321992555692,3.9578347405470975,0.48931707649905176,0.9187495464027364,0.22500619929766913,0.25266340450126235,2.043664625716241,1.0884359115227766,6,2,6,6,18,8.0,0.01,6
179.0,800.0,266.6666666666667,0.0,0.9071237083622616,1.3513947238171495,true,3,2.919886554764162e-14,0.5925160313522416,0.6010796476766352,0.12813256506452908,1.9219536759902371,1.1109413827047423,0.5732026310287518,0.06134853441030978,0.029175466428333355,4.396263303883604,3.9164001363203127,0.4865874237724207,0.9031766096278036,0.2274659024896467,0.2553365246635801,2.055129152839973,1.107203164187453,6,2,6,6,18,8.0,0.01,6
180.0,800.0,266.6666666666667,0.0,0.9121914385765759,1.3513947238171495,true,3,3.785860513971784e-14,0.5969378720984863,0.6053039936572149,0.12500624978613153,1.9112954861492921,1.1257980992997523,0.58899313621892,0.0633376567749332,0.030521362699633313,4.34885059940669,3.875507076923516,0.483950340427963,0.8880972294261769,0.22994581605917414,0.2580307505963394,2.0663277127064075,1.1260028371512052,6,2,6,6,18,8.0,0.01,6
181.0,800.0,266.6666666666667,0.0,0.9172591687908903,1.3513947238171495,true,3,4.374278717023117e-14,0.6012831845422334,0.6094579472533941,0.12201936310959864,1.9005464709829878,1.1407365530789753,0.6050103613680832,0.06536691080212315,0.03191301033303512,4.302498625842587,3.8353051608656274,0.48143563513137627,0.8735088308950334,0.23242308411061105,0.2607354455660316,2.077120859005619,1.1448081171375892,6,2,6,6,18,8.0,0.01,6
182.0,800.0,266.6666666666667,0.0,0.9223268990052046,1.3513947238171495,true,3,9.547918011776346e-15,0.6055538507556205,0.6135431335480641,0.11916304877657093,1.8897087830668957,1.155758339644793,0.621253556936248,0.06743673276001805,0.03335133222087757,4.256686274457761,3.7953427784648723,0.47904730256050587,0.8593555004758736,0.23492452474134598,0.26348081276718743,2.0874765282154897,1.1636627675580637,6,2,6,6,18,8.0,0.01,6
183.0,800.0,266.6666666666667,0.0,0.9273946292195189,1.3513947238171495,true,3,3.108624468950438e-14,0.6097516920907337,0.6175611305777683,0.116429190046413,1.8787848012269726,1.17086492979436,0.6377217936952498,0.06954755487818601,0.03483724384006571,4.212983731970133,3.7554776902679037,0.4767556622344072,0.8456402506505315,0.23736146722132404,0.26627771018090196,2.0975104843292423,1.1825359533569069,6,2,6,6,18,8.0,0.01,6
184.0,800.0,266.6666666666667,0.0,0.9324623594338332,1.3513947238171495,true,3,2.986499936241671e-14,0.6138784715474161,0.6215134708480288,0.1138103332066166,1.8677771189200558,1.186057682499133,0.6544139631930702,0.0716998056322854,0.0363716519814192,4.170435325247694,3.715429380919037,0.47454236954208984,0.8322950175003035,0.23978312142764308,0.2691478958355664,2.107293392927066,1.2014970400800642,6,2,6,6,18,8.0,0.01,6
185.0,800.0,266.6666666666667,0.0,0.9375300896481475,1.3513947238171495,true,3,1.3766765505351941e-14,0.6179358960166887,0.6254016427852942,0.11129962045455627,1.8566885332422483,1.201337856125088,0.671328778654837,0.07389390998265434,0.037955453470555754,4.129023548362205,3.6765603111115155,0.4723866488150484,0.8192981146422302,0.24218801086679548,0.27199336210472097,2.116909956088801,1.2205569402984386,6,2,6,6,18,8.0,0.01,6
186.0,800.0,266.6666666666667,0.0,0.9425978198624618,1.3513947238171495,true,3,2.275957200481571e-14,0.621925618419046,0.6292270921391983,0.10889073082364133,1.8455220343323782,1.216706618175137,0.6884647763958162,0.07613028957464382,0.03958953388873955,4.087792645697364,3.6374947861169193,0.4702964419212061,0.806707262755915,0.24463080363250742,0.27491448340122987,2.1263184469669896,1.2396070373579486,6,2,6,6,18,8.0,0.01,6
187.0,800.0,266.6666666666667,0.0,0.9476655500767761,1.3513947238171495,true,3,4.318767565791859e-14,0.6258492397516993,0.6329912233443726,0.10657782804024063,1.8342807949829365,1.2321650537848499,0.7058203178081973,0.07840936290712142,0.041274766302248,4.047911397589683,3.5989058555956204,0.4682810393356487,0.7944480287866587,0.24704098034246674,0.27786222816726047,2.1354697628131647,1.2587355796291368,6,2,6,6,18,8.0,0.01,6
188.0,800.0,266.6666666666667,0.0,0.9527332802910904,1.3513947238171495,true,3,5.0737192225369654e-14,0.6297083110548148,0.6366954008476507,0.10435551437281684,1.822968160309194,1.2477141731619388,0.7233935919707583,0.080731545474428,0.04301201000887865,4.009100484362033,3.5609187079321782,0.4663009731143549,0.7825269275508779,0.24943251083394324,0.2808264052117884,2.1445376648501258,1.2779112958192516,6,2,6,6,18,8.0,0.01,6
189.0,800.0,266.6666666666667,0.0,0.9578010105054048,1.3513947238171495,true,3,3.3306690738754696e-14,0.6335043353040137,0.6403409504042091,0.10221878967905404,1.8115876373597664,1.2633549181271442,0.7411826189187688,0.08309724988615722,0.04480210931024883,3.970603896143646,3.5231125500460756,0.4643822801959209,0.7709035015567034,0.2518508584981811,0.28383992444037076,2.1533982726001177,1.2971792163100526,6,2,6,6,18,8.0,0.01,6
190.0,800.0,266.6666666666667,0.0,0.9628687407197191,1.3513947238171495,true,3,3.697042672001771e-14,0.6372387692342648,0.6439291603444735,0.10016301497629032,1.8001428845800964,1.2790881678874784,0.759185253600153,0.0855068859683618,0.046645892318489944,3.9301651419931907,3.4851351693234234,0.46250919564092663,0.7595597934430923,0.2544422343262777,0.28693291692159306,2.1621191738993217,1.3165520458461732,6,2,6,6,18,8.0,0.01,6
191.0,800.0,266.6666666666667,0.0,0.9679364709340333,1.3513947238171495,true,3,4.884981308350689e-14,0.640913025098801,0.647461282812458,0.09818387996004799,1.7886377010649757,1.2949147441509794,0.7773991905330115,0.08796086084917114,0.04854416980581131,3.8924238574299506,3.4485488983420165,0.46071365680558496,0.7485090121375442,0.25690932864137506,0.2899770394674633,2.17054559861243,1.335989258358111,6,2,6,6,18,8.0,0.01,6
192.0,800.0,266.6666666666667,0.0,0.9730042011483476,1.3513947238171495,true,3,3.019806626980426e-14,0.6445284723656434,0.6509385349754492,0.0962773739784796,1.7770760155577674,1.3108354156743423,0.7958219691690818,0.09045957903128791,0.05049773410519564,3.8546826370637945,3.4111723107967538,0.4588734506634902,0.7376969053371155,0.25942472938880495,0.29315434955744823,2.179250071134185,1.3555702792910813,6,2,6,6,18,8.0,0.01,6
193.0,800.0,266.6666666666667,0.0,0.978071931362662,1.3513947238171495,true,3,2.930988785010413e-14,0.6480864393535581,0.6543621002044415,0.09443976004023888,1.7654618751732412,1.3268509023201072,0.8144509799574217,0.09300344245340672,0.052507358070175744,3.8208932105498707,3.3750892332899247,0.45713583573406635,0.7271131341639185,0.2617189083533922,0.2962884625794718,2.187533599054218,1.375301796947822,6,2,6,6,18,8.0,0.01,6
194.0,800.0,266.6666666666667,0.0,0.9831396615769763,1.3513947238171495,true,3,9.325873406851315e-15,0.6515882148087446,0.6577331292244207,0.0926675514918878,1.753799433837831,1.3429618786879614,0.8332834710926702,0.09559285054223565,0.05457379410123252,3.7878472971545243,3.3393040982624176,0.4554367319184941,0.7167613155566857,0.2640021947957648,0.2994635919862293,2.195694659470203,1.3951645803084838,6,2,6,6,18,8.0,0.01,6
195.0,800.0,266.6666666666667,0.0,0.9882073917912906,1.3513947238171495,true,3,2.2648549702353193e-14,0.6550350494232884,0.661052741233513,0.09095749105048806,1.742092940456203,1.3591689773747353,0.8523165559227656,0.09822820025651288,0.056697773245853456,3.7535226598052116,3.303519630014797,0.4537781493023553,0.7066325783612736,0.2664164015069233,0.30270744902324703,2.2037200370652785,1.4151626044741163,6,2,6,6,18,8.0,0.01,6
196.0,800.0,266.6666666666667,0.0,0.993275122005605,1.3513947238171495,true,3,5.684341886080802e-14,0.6584281572961771,0.6643220249899545,0.0893065319189908,1.7303467268262327,1.3754727919093337,0.8715472209819016,0.10090988612415651,0.05888000437868636,3.7203278823512127,3.26854850845618,0.4521715251537653,0.6966727451987776,0.26879351272877844,0.3059462013223496,2.211550140535586,1.4353941745125622,6,2,6,6,18,8.0,0.01,6
197.0,800.0,266.6666666666667,0.0,0.9983428522199193,1.3513947238171495,true,3,2.1316282072803006e-14,0.661768717337597,0.6675420398658992,0.08771182074773855,1.7185651953360928,1.3918738794018546,0.8909723346060513,0.10363830027347828,0.061121173467534054,3.6871296676748844,3.233431499129203,0.4506265142904321,0.6868803276826494,0.27121367842498556,0.3092689609380346,2.2191326259943343,1.4558576795665887,6,2,6,6,18,8.0,0.01,6
198.0,800.0,266.6666666666667,0.0,1.0034105824342336,1.3513947238171495,true,3,4.04121180963557e-14,0.6650578746172602,0.6707138168672532,0.08617068223582987,1.7067528064870368,1.4083727629405292,0.9105886560806344,0.10641383245922764,0.06342194293017185,3.654229657377856,3.1984784631607313,0.4490094901559849,0.6772149883793367,0.27365548795790906,0.31264865826603117,2.227124419246912,1.4766359533670832,6,2,6,6,18,8.0,0.01,6
199.0,800.0,266.6666666666667,0.0,1.008478312648548,1.3513947238171495,true,3,5.5067062021407764e-14,0.6682967416574475,0.6738383596187716,0.0846806051921638,1.6949140662938706,1.4249699337650314,0.9303928452627772,0.10923687008406982,0.06578295108611582,3.6219254994024563,3.1635690830926335,0.4474785475346823,0.6677236560481794,0.2760962367019917,0.31609867644250167,2.2347440017166273,1.497625538562386,6,2,6,6,18,8.0,0.01,6
200.0,800.0,266.6666666666667,0.0,1.0135460428628622,1.3513947238171495,true,3,8.881784197001252e-15,0.6714863996716322,0.6769166453139495,0.08323922989832157,1.6830535136218234,1.441665853240882,0.9503814726146267,0.11210779821600086,0.06820481170658514,3.5915528370869363,3.129818048581139,0.44618168241127987,0.6583385347882994,0.278431098012493,0.3195073913173121,2.2412394758021987,1.5189753404326667,6,2,6,6,18,8.0,0.01,6
201.0,800.0,266.6666666666667,0.0,1.0186137730771765,1.3513947238171495,true,3,2.4646951146678475e-14,0.674627899749581,0.6799496256293566,0.08184433663469051,1.6711757075238332,1.4584609546561147,0.970551029578917,0.11502699960209188,0.07068811366494977,3.5605196746309318,3.0953000932786536,0.44466787800346796,0.6490330603172068,0.2808578778893156,0.323070451931775,2.248869435970819,1.5407535627095215,6,2,6,6,18,8.0,0.01,6
202.0,800.0,266.6666666666667,0.0,1.0236815032914908,1.3513947238171495,true,3,2.7533531010703882e-14,0.6777222639899317,0.6829382276032687,0.08049383524782809,1.6592852146459878,1.4753556448585692,0.9908979392239123,0.11799485467887169,0.07323342068898293,3.5300087341264126,3.061391300578813,0.44327792727099974,0.6398236812774639,0.28328541805930535,0.32664886707260565,2.255921033912988,1.5629305842562948,6,2,6,6,18,8.0,0.01,6
203.0,800.0,266.6666666666667,0.0,1.028749233505805,1.3513947238171495,true,3,7.394085344003543e-14,0.6807704865814294,0.685883354478699,0.07918575565143747,1.6473865967710637,1.4923503057497538,1.0114185670818763,0.12101174157960204,0.07584127121526334,3.5002063183440764,3.0271681722253825,0.4419426555928578,0.6306405809537885,0.2856974443932474,0.33034173957532836,2.2627370029682217,1.5856892661230075,6,2,6,6,18,8.0,0.01,6
204.0,800.0,266.6666666666667,0.0,1.0338169637201193,1.3513947238171495,true,3,5.240252676230739e-14,0.6837735348340157,0.6887858865110297,0.07791823916577752,1.6354843985710712,1.5094452956491555,1.0321092321032874,0.12407803613862775,0.07851217834507636,3.471202764155333,2.993111767143996,0.44066015549495857,0.6214878869784519,0.28808458276373133,0.33410045390793813,2.269322487023542,1.6090418187582016,6,2,6,6,18,8.0,0.01,6
205.0,800.0,266.6666666666667,0.0,1.0388846939344336,1.3513947238171495,true,3,1.0480505352461478e-13,0.6867323501612455,0.6916466817407783,0.07668953061117123,1.6235831356389794,1.5266409505412735,1.0529662176484826,0.1271941118929715,0.08124662990023132,3.441274399774739,2.9581998368031335,0.43943093789173143,0.6123183873683357,0.2905900209717245,0.3380434234222255,2.2756704495994855,1.633137303450692,6,2,6,6,18,8.0,0.01,6
206.0,800.0,266.6666666666667,0.0,1.0439524241487481,1.3513947238171495,true,3,5.1514348342607263e-14,0.6896478490153831,0.6944665767319872,0.07549797108073747,1.6116872828682607,1.5439375852159791,1.073985782438575,0.13036034008126973,0.08404508857625528,3.412761261252212,2.923971336233318,0.4382324965512715,0.6031070460053114,0.2930178595713078,0.342000616629918,2.2818937615754926,1.658080446288126,6,2,6,6,18,8.0,0.01,6
207.0,800.0,266.6666666666667,0.0,1.0490201543630624,1.3513947238171495,true,3,6.905587213168474e-14,0.6925209237769139,0.6972463872771497,0.07434199132571219,1.5998012632456484,1.5613354943118813,1.0951641713894202,0.1335770896401724,0.08690799218959516,3.384157261793196,2.8899648699334075,0.43700611910290554,0.5938136242553163,0.2954945419617173,0.3460249674325774,2.2882974775108846,1.6840300713107919,6,2,6,6,18,8.0,0.01,6
208.0,800.0,266.6666666666667,0.0,1.0540878845773767,1.3513947238171495,true,3,4.75175454539567e-14,0.6953524436000098,0.6999869090694503,0.07322010569398797,1.5879294371186705,1.5788349532710253,1.1164976262546544,0.13684472719826218,0.08983575401461939,3.356946363035205,2.855656790313194,0.4359876062882041,0.5843875064599505,0.29788977596169974,0.3501821379208266,2.293643180625099,1.711193324541979,6,2,6,6,18,8.0,0.01,6
209.0,800.0,266.6666666666667,0.0,1.059155614791691,1.3513947238171495,true,3,1.865174681370263e-14,0.6981432552158435,0.7026889183434951,0.07213090656884864,1.5760760919944112,1.5964362192126809,1.1379823960077542,0.14016361706758868,0.09282876320551808,3.3294722626273097,2.8206701881579175,0.4349221427793055,0.5748092543520938,0.3003478993427304,0.3545256741459254,2.29926210151005,1.7397075506850828,6,2,6,6,18,8.0,0.01,6
210.0,800.0,266.6666666666667,0.0,1.0642233450060052,1.3513947238171495,true,3,8.43769498715119e-14,0.70089418369542,0.7053531724855341,0.07107305926048099,1.5642454329203448,1.6141395317328737,1.1596147468971982,0.14353412123285536,0.09588738529752504,3.302071343352341,2.78546652645658,0.4339169628810318,0.5650086971828838,0.30284021634274455,0.35900628871390894,2.3045884018002143,1.7698842601644358,6,2,6,6,18,8.0,0.01,6
211.0,800.0,266.6666666666667,0.0,1.0692910752203195,1.3513947238171495,true,3,3.2862601528904634e-14,0.7036060331739564,0.7079804106145648,0.07004529730778461,1.5524415734915267,1.6319451136360925,1.1813909721144236,0.14695659933835178,0.09901196278138408,3.2754222824307266,2.7498639587007236,0.4329506030941337,0.5549187139147325,0.30530414516747106,0.363654353458448,2.30973231785192,1.8020657348990716,6,2,6,6,18,8.0,0.01,6
212.0,800.0,266.6666666666667,0.0,1.0743588054346338,1.3513947238171495,true,3,1.7763568394002505e-14,0.7062795875385708,0.7105713541354942,0.06904641815238916,1.540668527521741,1.6498531716046276,1.2033074010197726,0.15043140867267282,0.10220281574449404,3.249765943776821,2.7119918025193024,0.43207435628846025,0.5444336711989983,0.3077144684573245,0.3687326779789861,2.31441645505197,1.8367710391565506,6,2,6,6,18,8.0,0.01,6
213.0,800.0,266.6666666666667,0.0,1.0794265356489483,1.3513947238171495,true,3,7.149836278586008e-14,0.7089156110812712,0.7131267072657861,0.06807527915064757,1.5289302014088906,1.6678638968108237,1.2253604078782951,0.1539589041513071,0.10546024257185417,3.2249048047762003,2.6739147288813694,0.4312507016088697,0.5334591170196717,0.310086672486879,0.3739835041106002,2.3188368071502117,1.8745578959954756,6,2,6,6,18,8.0,0.01,6
214.0,800.0,266.6666666666667,0.0,1.0844942658632626,1.3513947238171495,true,3,2.842170943040401e-14,0.7115148491191706,0.7156471575369961,0.06713079389283796,1.5172303872175836,1.6859774654770094,1.2475464200639106,0.15753943829717312,0.10878452069968617,3.1997258895031564,2.634229532935885,0.4304503511479014,0.5218013258973243,0.3125267708963898,0.3796176405650901,2.3231482965067975,1.916438211958035,6,2,6,6,18,8.0,0.01,6
215.0,800.0,266.6666666666667,0.0,1.0895619960775769,1.3513947238171495,true,3,1.580957587066223e-13,0.7140780285837844,0.7181333762725589,0.06621192880186341,1.505572756494527,1.7041940393874437,1.2698619256973944,0.16117336121917744,0.11217590741446123,3.175205009253655,2.5922294436548814,0.4297038324842061,0.5091531505475685,0.3149402942756928,0.3857683209515831,2.3271842706610144,1.9640455900637175,6,2,6,6,18,8.0,0.01,6
216.0,800.0,266.6666666666667,0.0,1.0946297262918911,1.3513947238171495,true,3,9.037215420448774e-14,0.7166058585813604,0.720586019043309,0.0653176999864807,1.4939608548249852,1.72251376635644,1.292303480690859,0.16486102058889773,0.1156346406900366,3.1511336822803613,2.546299132356612,0.4290017816608439,0.49482820574397746,0.31734610487116377,0.39272683530881747,2.3309926502602973,2.02090339312104,6,2,6,6,18,8.0,0.01,6
217.0,800.0,266.6666666666667,0.0,1.0996974565062054,1.3513947238171495,true,3,2.55351295663786e-14,0.7190990309259975,0.7230057261020602,0.06444717032654121,1.482398097131605,1.7409367806563376,1.3148677151783028,0.16860276161547522,0.11916094005564025,3.12803492943108,2.4926022308462077,0.42835660345657345,0.4776002375020098,0.3196895247528063,0.40118715598698323,2.3345035233042215,2.0938013038483714,6,2,6,6,18,8.0,0.01,6
218.0,800.0,266.6666666666667,0.0,1.1047651867205197,1.3513947238171495,true,3,1.4299672557172016e-13,0.7215582206474326,0.7253931227987089,0.06359944676990441,1.4708877637101148,1.7594632034089566,1.3375513393189087,0.17239892701884116,0.12275500748760176,3.1052159630323137,2.447111602254837,0.4277578807585133,0.46413438198693424,0.3220387927619299,0.4086450324041503,2.3377710732687604,2.1545484213409356,6,2,6,6,18,8.0,0.01,6
219.0,800.0,266.6666666666667,0.0,1.109832916934834,1.3513947238171495,true,3,4.3520742565306136e-14,0.7239840864751709,0.7277488199771516,0.06277367782265955,1.4594329969902158,1.7780931429437625,1.360351148466292,0.17624985700138007,0.12641702831792523,3.0825459363222514,2.434296078872242,0.4272061301544651,0.46467413203480995,0.3244071688330095,0.410796372996369,2.34079038060252,2.152045769410481,6,2,6,6,18,8.0,0.01,6
220.0,800.0,266.6666666666667,0.0,1.1149006471491483,1.3513947238171495,true,3,1.4566126083082054e-13,0.7263772713006211,0.7300734143553169,0.061969051216053235,1.4480367990042136,1.796826695125772,1.3832640277032449,0.1801558892181513,0.1301471721530859,3.060770604270525,2.41857244275201,0.4267131120279606,0.46420626580207336,0.3267151084778307,0.41346704457697975,2.343494895780176,2.1542147826724434,6,2,6,6,18,8.0,0.01,6
221.0,800.0,266.6666666666667,0.0,1.1199683773634628,1.3513947238171495,true,3,1.687538997430238e-14,0.7287384026188491,0.7323674888895865,0.061184791735093426,1.4367020295407473,1.8156639436561215,1.4062869557475324,0.18411735874580148,0.13394559379678556,3.0393979567201352,2.4011123821267777,0.4262581634951203,0.4627226445584112,0.329012526243558,0.41647363423874945,2.3459961254476895,2.161121811867079,6,2,6,6,18,8.0,0.01,6
222.0,800.0,266.6666666666667,0.0,1.125036107577777,1.3513947238171495,true,3,2.5490720645393594e-13,0.7310680929514121,0.7346316131247473,0.060420159195243094,1.425431404956455,1.8346049603478674,1.4294170082395155,0.18813459805028945,0.1378124341707719,3.018408179264833,2.383422769311419,0.4258566599803575,0.46104771130678207,0.3313004539510495,0.41956467517045004,2.3482079628533334,2.1689729185849878,6,2,6,6,18,8.0,0.01,6
223.0,800.0,266.6666666666667,0.0,1.1301038377920913,1.3513947238171495,true,3,3.268496584496461e-13,0.7333669402517363,0.7368663435306417,0.059674446554881515,1.414227497614404,1.8536498053796078,1.4526513604275157,0.19220793695357,0.1417478212282833,2.997994593805461,2.3658015551517897,0.4254917611908091,0.4594462247278476,0.3335563052936211,0.42268972130075383,2.350221769750217,2.176533283285435,6,2,6,6,18,8.0,0.01,6
224.0,800.0,266.6666666666667,0.0,1.1351715680064056,1.3513947238171495,true,3,1.509903313490213e-14,0.7356355282942644,0.7390722238264622,0.058946978152392866,1.4030927359150454,1.8727985275290155,1.4759872892707804,0.19633770259934735,0.14575187085509073,2.9778242047554917,2.349417932199217,0.42518369247577015,0.45805691332784726,0.335815659770322,0.4256373403364344,2.3519246332736214,2.1831348264888324,6,2,6,6,18,8.0,0.01,6
