# y_unit.tau_ubar: fm
# y_unit.tau_u: fm
# script: scripts/relaxtime/scan_relaxation_times_vs_T.jl
# sigma_grid_n: 60
# schema: scan_csv_v1
# y_unit.tau_sbar: fm
# x_unit: MeV
# y_scale.tau_s: log
# y_scale.tau_sbar: log
# y_unit.tau_s: fm
# y_scale.tau_u: log
# title: relaxation_times_vs_T
# y_scale.tau_ubar: log
# integration_mode: finite_lambda
# gc_every_n: 5
# x_label: T
T_MeV,muB_MeV,muq_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,Phi,Phibar,m_u,m_s,n_u,n_s,n_ubar,n_sbar,tau_u,tau_s,tau_ubar,tau_sbar,tauinv_u,tauinv_s,tauinv_ubar,tauinv_sbar,tau_p_nodes,tau_angle_nodes,tau_phi_nodes,tau_n_sigma_points,sigma_grid_n,integration_mode,gc_every_n
360.0,0.0,0.0,0.0,1.8243828771531518,0.0,true,4,4.638067707674054e-12,0.8896991884722363,0.8896991884722363,0.02613369630327278,0.6785384972390549,2.74678059896406,2.668441904293301,2.74678059896406,2.668441904293301,10.167680084054624,9.090783343039504,10.167680084054641,9.090783343039504,0.0983508520855452,0.11000152157026877,0.09835085208554502,0.11000152157026877,20,4,8,6,60,finite_lambda,5
370.0,0.0,0.0,0.0,1.875060179296295,0.0,true,4,5.009326287108706e-13,0.8959068134580502,0.8959068134580502,0.02462617589074409,0.6379417603859071,2.9629987879039024,2.891609400425947,2.9629987879039024,2.891609400425947,11.79843020566346,10.714743207140174,11.798430205663474,10.714743207140174,0.08475703823038949,0.09332934823240675,0.0847570382303894,0.09332934823240675,20,4,8,6,60,finite_lambda,5
380.0,0.0,0.0,0.0,1.9257374814394381,0.0,true,4,6.945555242054979e-12,0.9016242163466083,0.9016242163466083,0.023279081062095388,0.6014224360203407,3.1858784348234552,3.1206141048660774,3.1858784348234552,3.1206141048660774,13.67964340542595,12.571790084570505,13.679643405425901,12.571790084570505,0.07310132072619349,0.0795431671442964,0.07310132072619374,0.0795431671442964,20,4,8,6,60,finite_lambda,5
390.0,0.0,0.0,0.0,1.9764147835825812,0.0,true,4,2.007283228522283e-12,0.906901230819941,0.906901230819941,0.022067932831298567,0.568458851600314,3.41507565054526,3.3552245464842536,3.41507565054526,3.3552245464842536,15.843109350764061,14.716809022876273,15.843109350763978,14.716809022876273,0.06311892305103438,0.06794951259104935,0.06311892305103471,0.06794951259104935,20,4,8,6,60,finite_lambda,5
400.0,0.0,0.0,0.0,2.0270920857257244,0.0,true,4,4.283862153897644e-11,0.9117813973442436,0.9117813973442436,0.020973188246818854,0.5386054101763516,3.6502391769898646,3.595186658921049,3.6502391769898646,3.595186658921049,18.324074415847182,17.18762980037141,18.324074415847157,17.18762980037141,0.05457301565721494,0.058181378794788255,0.054573015657215014,0.058181378794788255,20,4,8,6,60,finite_lambda,5
100.0,800.0,266.6666666666667,0.0,0.5067730214314311,1.3513947238171495,true,4,3.723688024592775e-13,0.014371474822951716,0.05448442359629128,1.845151114600287,2.775962570538449,0.009293919206861954,0.0008847768062871703,5.3767405169363286e-5,1.3757509745792715e-5,535.1280351230413,400.80143512734236,217.82048432028273,217.97023923489598,0.0018687116621914069,0.0024950010462968545,0.004590936445305127,0.0045877822748194,20,4,8,6,60,finite_lambda,5
110.0,800.0,266.6666666666667,0.0,0.5574503235745741,1.3513947238171495,true,4,2.615543892581229e-10,0.027827738226784228,0.0782812117674832,1.8273902865317664,2.7668517590901898,0.018913471253350835,0.002630947045220635,0.00016808301740722027,4.981226412798493e-5,254.64846680817212,201.42778073895857,109.06295418627774,94.02523894145588,0.003926982214086153,0.0049645584950169085,0.009169016257271158,0.010635442262716743,20,4,8,6,60,finite_lambda,5
120.0,800.0,266.6666666666667,0.0,0.6081276257177173,1.3513947238171495,true,5,1.4203915821298096e-14,0.053644976548368924,0.11166857564799462,1.7908694818394646,2.747486887930673,0.039111251077218946,0.007396402645639622,0.0004751514462178297,0.00015781757807797626,122.8737697094028,102.70225141617837,53.99528547536807,39.86716272419755,0.008138433470097043,0.009736884890163888,0.01852013543767977,0.025083299930773496,20,4,8,6,60,finite_lambda,5
130.0,800.0,266.6666666666667,0.0,0.6588049278608604,1.3513947238171495,true,6,1.0408340855860843e-15,0.10671375054174627,0.16433789932534573,1.7046481312624309,2.701149687554856,0.0872568227917214,0.02097435621354503,0.0013240613472461852,0.0004759191844281593,56.21541877769639,48.592822689340835,24.201989105903493,16.465181690834743,0.017788713875004566,0.020579170845725674,0.04131891786349388,0.0607342219950506,20,4,8,6,60,finite_lambda,5
140.0,800.0,266.6666666666667,0.0,0.7094822300040036,1.3513947238171495,true,7,4.6851411639181606e-14,0.24051457767194206,0.27979702445696175,1.3861849441610952,2.5412771884560548,0.25772781578770704,0.07175214282396777,0.004728853854096954,0.001692184547329005,19.398964196479348,17.078311783054122,6.675910318957316,4.847054458345805,0.05154914406107758,0.058553796926944825,0.1497923058014036,0.20631086541191418,20,4,8,6,60,finite_lambda,5
