# production_case: first_canonical_v1_p128_xi005_validated_anchored_prod_v1
# source_candidate_case: first_canonical_v1_match_validated_anchored_plus5_candidate_p128_a20_phi36_ns24_g560
# source_sharded_action_runs: see ../../first_canonical_v1_p128_xi005_validated_anchored_prod_v1_convergence/download_manifest.csv
# git_commit: c3f25dde5c9e62e7a3ebcd8ed50aef2b53377c0f
# script: scripts/relaxtime/run_phase_guided_transport_scan.jl
# source_csv: data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi005_validated_anchored_prod_v1/phase_guided_transport_scan.csv
# title: phase_guided_transport_scan_channel_diagnostics
T_MeV,muq_MeV,muB_MeV,xi,species,channel,density_key,multiplicity,density,rate,contribution,total,tau_inv_species,equilibrium_backend,phase_curr,phase_structure
125.06991551004262,300.0,900.0,-0.5,dbar,ubardbar_to_ubardbar,dbar,1.0,0.00802274772383254,0.3271413257746856,0.002624572326730418,3.1559159083443187,3.1559159083443187,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,dbar,ubarsbar_to_ubarsbar,sbar,1.0,0.0016656392364780023,0.3238906960416831,0.0005394850516571978,3.1559159083443187,3.1559159083443187,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,dbar,ubarubar_to_ubarubar,dbar,1.0,0.00802274772383254,0.26913988436751846,0.0021592413947020615,3.1559159083443187,3.1559159083443187,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,dbar,uubar_to_ddbar,d,1.0,0.9818122660363865,0.7234583025583896,0.7103002354176902,3.1559159083443187,3.1559159083443187,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,dbar,uubar_to_ssbar,d,1.0,0.9818122660363865,0.015916993107315,0.015627499071178486,3.1559159083443187,3.1559159083443187,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,dbar,uubar_to_uubar,d,1.0,0.9818122660363865,0.8384215734151812,0.8231725848885516,3.1559159083443187,3.1559159083443187,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,s,ss_to_ss,s,1.0,0.20729129160712848,0.0814084669428209,0.016875266260333567,0.30258965569699087,0.30258965569699087,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,s,ssbar_to_ssbar,sbar,1.0,0.0016656392364780023,0.3349984781757773,0.0005579866094099945,0.30258965569699087,0.30258965569699087,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,s,ssbar_to_uubar,sbar,2.0,0.0016656392364780023,0.1995818395357859,0.0006648626856385232,0.30258965569699087,0.30258965569699087,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,s,us_to_us,u,2.0,0.9818122660363865,0.1419499678849536,0.27873643926583713,0.30258965569699087,0.30258965569699087,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,s,usbar_to_usbar,ubar,2.0,0.00802274772383254,0.3586739278037749,0.005755100875771623,0.30258965569699087,0.30258965569699087,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,sbar,sbarsbar_to_sbarsbar,sbar,1.0,0.0016656392364780023,0.09408749742675811,0.00015671582737603138,0.8618400479915237,0.8618400479915238,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,sbar,ssbar_to_ssbar,s,1.0,0.20729129160712848,0.3349984781757773,0.06944226722747932,0.8618400479915237,0.8618400479915238,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,sbar,ssbar_to_uubar,s,2.0,0.20729129160712848,0.1995818395357859,0.08274315459739943,0.8618400479915237,0.8618400479915238,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,sbar,ubarsbar_to_ubarsbar,ubar,2.0,0.00802274772383254,0.3238906960416831,0.0051969866888779,0.8618400479915237,0.8618400479915238,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,sbar,usbar_to_usbar,u,2.0,0.9818122660363865,0.3586739278037749,0.704300923650391,0.8618400479915237,0.8618400479915238,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,u,ud_to_ud,u,1.0,0.9818122660363865,0.07271940325086167,0.07139680209054226,0.1889968588233268,0.18899685882332684,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,u,udbar_to_udbar,ubar,1.0,0.00802274772383254,1.3543909397397709,0.010865936828976661,0.1889968588233268,0.18899685882332684,models,quark,first_order_possible
