xi,muq_CEP_proxy_MeV,T_CEP_bracket_low_MeV,T_CEP_bracket_high_MeV,last_retained_muq_MeV,last_retained_T_MeV,first_excluded_muq_MeV,first_excluded_T_MeV,native_mu_gap_MeV,interpretation
-0.5,202.33883159063282,147.0625,147.125,198.9442342272965,148.24091990596872,221.04914914144055,145.00776405003788,22.104914914144047,native crossover sampling gap across CEP proxy; no implicit connector
-0.1,277.40685374815587,134.4375,134.5,261.3231799642945,142.19443048840157,285.0798326883213,133.0087447721479,23.756652724026765,native crossover sampling gap across CEP proxy; no implicit connector
-0.075,280.91732393964037,133.625,133.6875,262.2663468396652,142.70065261408115,286.1087420069075,133.0087447721479,23.84239516724233,native crossover sampling gap across CEP proxy; no implicit connector
-0.05,284.44281267612115,132.75,132.8125,263.118701314494,143.2188391137786,287.0385832521753,131.31741382640556,23.919881937681282,native crossover sampling gap across CEP proxy; no implicit connector
-0.0375,286.16746260927584,132.3125,132.375,263.5370458245372,143.4761181116076,287.4949590813133,131.5773399046435,23.957913256776123,native crossover sampling gap across CEP proxy; no implicit connector
-0.025,287.86743857506013,131.875,131.9375,263.95032574769243,143.73012513810923,287.9458099065736,131.83298291680876,23.99548415888114,native crossover sampling gap across CEP proxy; no implicit connector
-0.0125,289.5432553156036,131.4375,131.5,288.3912581611802,132.08119023511983,312.4238630079452,129.00907167951792,24.032604846765025,native crossover sampling gap across CEP proxy; no implicit connector
0.0,291.19540870457195,131.0,131.0625,288.8314238654627,132.32990310080353,312.90070918758454,129.00907167951792,24.069285322121857,native crossover sampling gap across CEP proxy; no implicit connector
0.0125,292.82437557624047,130.5625,130.625,289.26641730159577,132.57004983434194,313.37195207672875,129.00907167951792,24.10553477513298,native crossover sampling gap across CEP proxy; no implicit connector
0.025,294.43061576277364,130.125,130.1875,289.72721541206255,132.79633627491717,313.8711500297344,129.00907167951792,24.143934617671846,native crossover sampling gap across CEP proxy; no implicit connector
0.03125,295.2785121121419,129.875,129.9375,289.94029233022053,132.9137625612774,314.10198335773896,129.00907167951792,24.16169102751843,native crossover sampling gap across CEP proxy; no implicit connector
0.0375,296.12021793150063,129.625,129.6875,290.15214348113653,133.03118884763768,314.33148877123125,129.00907167951792,24.179345290094716,native crossover sampling gap across CEP proxy; no implicit connector
