table,legacy_row,key,accepted_exact,strict_exact,same_xi_distance,reason,disposition
crossover,168,"{""muq_MeV"":180.0,""xi"":0.0}",False,False,11.515002745147001,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,169,"{""muq_MeV"":210.0,""xi"":0.0}",False,False,6.623567899096997,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,170,"{""muq_MeV"":240.0,""xi"":0.0}",False,False,0.6928532212189964,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,171,"{""muq_MeV"":270.0,""xi"":0.0}",False,False,5.2378614566590045,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,172,"{""muq_MeV"":300.0,""xi"":0.0}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,173,"{""muq_MeV"":330.0,""xi"":0.0}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,174,"{""muq_MeV"":360.0,""xi"":0.0}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,175,"{""muq_MeV"":390.0,""xi"":0.0}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,176,"{""muq_MeV"":420.0,""xi"":0.0}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,177,"{""muq_MeV"":450.0,""xi"":0.0}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,178,"{""muq_MeV"":0.0,""xi"":0.05}",True,True,0.0,accepted_primary_exact,exact_accepted_key
crossover,179,"{""muq_MeV"":30.0,""xi"":0.05}",False,False,5.785649078784001,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,180,"{""muq_MeV"":60.0,""xi"":0.05}",False,False,11.571298157568997,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,181,"{""muq_MeV"":90.0,""xi"":0.05}",False,False,6.857403684863002,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,182,"{""muq_MeV"":120.0,""xi"":0.05}",False,False,1.0717546060780023,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,183,"{""muq_MeV"":150.0,""xi"":0.05}",False,False,4.713894472705988,accepted_key_grid_differs_from_legacy,nearest_accepted_support
