tau_s_muB800,,tau_sbar_muB800,,tau_u_muB0,,tau_s_muB0,,tau_u_muB800,,tau_ubar_muB800,,muB1200,,muB0,,muB400,,muB873,,muB800,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
232.35278659925842,1.5485972403153139,263.170015937652,0.3814468737063941,297.8819282997454,0.581024965077196,303.4872541044854,0.5965384629272248,222.43633104226404,1.6083940574504987,255.4087195937148,0.3642156794857607,170.73196945838382,0.8514940516365931,305.2075547877995,0.11747100770771278,294.7879858598095,0.14876504613828848,206.95236603537657,0.37436558948585097,213.8985720596322,0.31548691091708253
237.09539791307606,1.5127523854811544,271.1466731349149,0.38835145060315623,301.9780042812562,0.583008604446157,308.23010968853873,0.6012633414023358,227.17889437442824,1.561532414305613,263.38540611309924,0.372204550865348,176.19088815977645,0.8173218722106103,310.667357656513,0.1208999693824773,300.24768155672666,0.15181881970281805,212.41144013587407,0.3637726694081296,219.35766223589914,0.30694891873989094
241.83800050295673,1.4760858192493238,279.3389486870437,0.3972506924426708,308.01438417464686,0.5902704360390547,312.97295654865513,0.6053483977969707,231.79830375751783,1.5229510574364498,271.3620771717287,0.3796156614522333,181.64983901270804,0.786512917980693,316.1271658838165,0.12448161863384864,305.7073772536438,0.15493527958530687,217.87054638791054,0.35437693466716663,224.81680599806438,0.2999067659189356
246.5806379885853,1.4467643050838028,287.1000504387197,0.4057966143452705,369.456858659667,0.7371417324902562,317.71579904680306,0.6091205709903097,235.51437771421854,1.4956220431786282,278.7998308273988,0.3889880702743971,187.1088648858972,0.761356657902097,321.5869687525301,0.1281152190245952,311.16707830915084,0.15818254877048832,223.32970086725547,0.3465394498840412,230.27599262894822,0.2940185518227658
251.3233016460249,1.422789901923431,295.29237930379674,0.417941724137519,,,322.45870261250985,0.6177323753472697,255.8505538513042,1.4300519354708296,287.67481733405094,0.39974498398132313,192.567928269215,0.7391885231202575,327.04679305560296,0.13207796758728724,316.6268061576069,0.16183949498587832,228.78890893249857,0.34031046907183804,235.73523284573034,0.2894666921446053
256.06598711330696,1.4031295562780235,303.0535183745365,0.4289797502425269,,,327.20160181624817,0.6261157924263271,261.0244155423549,1.41266658853748,367.0117455878426,0.5811192990826493,198.02706667279048,0.721924584581279,332.5066066414962,0.13604824777518107,322.0865447232426,0.1657209975551038,234.24814914928064,0.33504193927118225,241.19451057264112,0.2858296239419817
260.8086856664945,1.38606366094917,311.2458738960877,0.4433307876612212,,,331.94450538195497,0.6349678768345299,266.4138588023372,1.3954965482671462,,,203.48621579354554,0.7056600428012733,337.9664470203386,0.14043430999619783,327.54626721310876,0.16948058136921787,239.70741615901184,0.3305527196322656,246.65384188545025,0.2834335596376801
265.55138858165054,1.3699710322314609,319.00706627977576,0.45815932896360845,,,336.68742203356726,0.6450260544624259,275.03702559629284,1.3785937372388692,,,208.94540778301925,0.6920979081904162,343.4262820405912,0.14490052449128055,333.0060164959241,0.17369209285243498,245.16673675464128,0.3275048148199038,252.11320534979828,0.28177116036022765
270.29414384042855,1.3631800270235839,326.983854093762,0.4743271409937238,,,341.4303474091165,0.6559766248006043,279.77982011278726,1.3786795983638171,,,214.404626565442,0.6802322895078479,348.88611706084373,0.14950877743776897,338.46576042014965,0.17793304532058873,250.62607878463004,0.3250340064276327,257.57255809696665,0.2798818468851854
275.0368816513325,1.3533927216135002,334.96065150407884,0.49166985476164904,,,346.17326842269733,0.6667402422100757,290.34322102712713,1.362015182023307,,,219.8638828579935,0.670550862612411,354.34595208109624,0.1542635860664632,343.92553649591423,0.18274033282313837,256.08544760756786,0.32326419894160807,263.03199658157223,0.2798913980350156
279.77967616782695,1.3534770131770226,342.72184388776685,0.5081152426106048,,,350.91618071234114,0.6769231537317386,311.4703107457274,1.3792534440473205,,,225.32314986772477,0.6615661662252063,359.80578710134876,0.15916961126908025,349.38530721308894,0.18759820214776296,261.54488609217344,0.3232752305423824,268.4914350661778,0.2799009495107849
284.5224532364474,1.3505377381951784,350.9142580535612,0.529075512262613,,,355.65911917379594,0.68957082952051,321.38715887988633,1.3965042912407224,,,230.78243295322542,0.6535299051549578,365.26564355596065,0.16450952400482222,354.84510472321267,0.1929925876588304,267.004324576779,0.3232862625196169,273.9508735507833,0.27991050131250433
289.265169237509,1.3370983001890802,358.6754824250181,0.5490183375048405,,,360.4020489113137,0.7016698083770057,331.0884254451136,1.413966898538132,,,236.2417535488548,0.6475039467385202,370.72550001057255,0.17002858317308978,360.304886157567,0.19829052762001867,272.4637630613845,0.32329729487332515,279.41039777282606,0.28181924176113193
294.0079637540034,1.3371815769087685,366.6522926304426,0.5700260134811147,,,365.14498737276847,0.7147798522545099,362.5638143256566,1.504274026281589,,,241.70109557884356,0.642618955394164,376.1853671823641,0.17588139629989183,367.12967189499795,0.20607370304292036,277.9232015459901,0.32330832760351963,284.86986840897055,0.2825443964296249
298.75082806199373,1.3492805609544216,374.62911029967984,0.5924039717936843,,,369.8879258342232,0.7281348450359262,,,,,247.16046976037129,0.6393900592092465,381.6452129197962,0.18162838286370925,369.7354505270621,0.20832456902707497,283.3826989750837,0.32482589543977813,290.32940870678283,0.28483199167611295
303.49364875029914,1.3538985497484703,382.3903293398421,0.6143139717862202,,,374.63089046748894,0.744231656160707,,,,,252.61983322471932,0.6356398978882002,387.10504794004885,0.1874046872175831,379.66231498269065,0.2186513205087191,288.842239272896,0.327455819033146,295.7889490045951,0.28713810823138575
308.2364432667936,1.353982872815817,390.58275416822596,0.6405298103732516,,,379.3738420148492,0.7594095550566826,,,,,258.0792449163757,0.634319807084949,391.82036852802355,0.19267043422023836,385.12211785140425,0.22503372083703307,294.30175277775913,0.3294102311233001,301.2485375297157,0.2905659747419957
312.979237783288,1.3540672011349437,398.3439892022727,0.6655827409421329,,,384.11679792417794,0.775330337276739,,,,,263.53866196662204,0.6332700306948696,,,390.58188856857885,0.23101589451797114,299.76128771698154,0.3319369601967836,306.7080885447076,0.29316620414582234
