xi,T_MeV,mu_pass,density_pass,area_pass,spinodal_pass,all_pass,mu_abs_diff,rho_hadron_abs_diff,rho_quark_abs_diff,area_abs_diff,rho_spinodal_hadron_abs_diff,rho_spinodal_quark_abs_diff
0.075,3.0,True,True,True,True,True,3.3434490092076885e-06,1.1718368404811403e-10,8.947274787729498e-08,3.676281852731377e-06,0.0,0.0
0.075,5.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,7.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,9.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,11.0,True,True,True,True,True,3.317172740935348e-06,3.1080464829406906e-09,8.88432465373512e-08,8.161010018795898e-06,0.0,0.0
0.075,13.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,15.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,17.0,True,True,True,True,True,3.2752973879723868e-06,6.3366165873463e-09,8.812180585238139e-08,5.0891319391744075e-06,0.0,0.0
0.075,19.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,21.0,True,True,True,True,True,3.2358269663745887e-06,8.214355393804107e-09,8.720192434807927e-08,6.55194197303041e-06,0.0,0.0
0.075,23.0,True,True,True,True,True,3.212543333575013e-06,8.924282472733136e-09,8.684702779149234e-08,3.645829711929516e-06,0.0,0.0
0.075,25.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,27.0,True,True,True,True,True,3.158945730774576e-06,1.002680877215667e-08,8.562271114342934e-08,3.3031462506480688e-06,0.0,0.0
0.075,29.0,True,True,True,True,True,3.1287049182537885e-06,1.0452101167207628e-08,8.512723903564279e-08,6.228233968514127e-06,0.0,0.0
0.075,33.0,True,True,True,True,True,3.061588074615429e-06,1.2190499484865391e-08,8.363368753094846e-08,4.885702309169203e-06,0.0,0.0
0.075,35.0,True,True,True,True,True,4.624977049161316e-05,6.313420581247758e-05,4.069087983449293e-06,3.316027082337397e-06,1.1719519294906e-05,1.7957531581735964e-06
0.075,37.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,39.0,True,True,True,True,True,2.945194523817918e-06,1.6000527916504304e-08,8.120772942987742e-08,3.2574598150245027e-06,0.0,0.0
0.075,41.0,True,True,True,True,True,2.1396185672983847e-05,5.32883032561271e-08,1.504954608044784e-06,1.7753347358525777e-06,2.2850240847194225e-05,4.656012292603151e-06
0.075,43.0,True,True,True,True,True,3.6043548107045353e-05,2.8128270162935953e-06,3.1572737331231338e-06,7.429397366728558e-06,2.3076383133147083e-05,7.185792987085549e-06
0.075,45.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,47.0,True,True,True,True,True,1.7054450722753245e-05,3.265045167528957e-05,4.215051612188603e-06,8.502329507229249e-06,1.3189989004847025e-05,6.19817149383195e-07
0.075,49.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,51.0,True,True,True,True,True,5.322643687577511e-06,3.936689120520587e-08,1.5163088828984428e-07,6.7954328066407855e-06,0.0,0.0
0.075,53.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,55.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,57.0,True,True,True,True,True,9.849827051766624e-07,1.9942568193750954e-05,2.1617294265752207e-07,3.598319482162589e-06,2.210535394492341e-05,8.676876927626864e-06
0.075,61.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,63.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,65.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,67.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,69.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,71.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,73.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,75.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,77.0,True,True,True,True,True,3.7054808785796922e-06,6.04585867758356e-08,1.22577103134347e-07,3.619629085973399e-06,0.0,0.0
0.075,79.0,True,True,True,True,True,3.562480571872584e-06,6.290141851827968e-08,1.2037856311764017e-07,2.718362628996394e-06,0.0,0.0
0.075,81.0,True,True,True,True,True,3.4172177265645587e-06,6.238403493785682e-08,1.1818698109067327e-07,2.995640022340079e-06,0.0,0.0
0.075,83.0,True,True,True,True,True,3.2697958545213623e-06,6.393308582541835e-08,1.1600271809797391e-07,3.285777275299415e-06,0.0,0.0
0.075,85.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,87.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,89.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,91.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,93.0,True,True,True,True,True,5.009410870115971e-06,1.4109271695428305e-07,2.0496752428655896e-07,5.904775125773073e-06,0.0,0.0
0.075,95.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,97.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,99.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,101.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,103.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,105.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,107.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,109.0,True,True,True,True,True,4.922553500819049e-06,2.965561640699832e-07,3.1044566872751034e-07,4.4583743685630225e-06,0.0,0.0
0.075,111.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,113.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,115.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,117.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,121.0,True,True,True,True,True,5.475945840771601e-06,9.72450975078587e-07,8.361171919268884e-07,6.444543502895123e-06,0.0,0.0
0.075,122.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,123.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,124.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.075,125.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,1.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,3.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,5.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,7.0,True,True,True,True,True,3.1852729875936348e-06,2.517860587560039e-09,8.626604763861678e-08,3.8090829919253474e-06,0.0,0.0
0.1,9.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,11.0,True,True,True,True,True,3.1687789032730507e-06,4.256587928484767e-09,8.587138822235829e-08,7.75078041811708e-06,0.0,0.0
0.1,13.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,15.0,True,True,True,True,True,3.144046388570132e-06,4.8245710031202815e-09,8.557159381084034e-08,4.757435470596305e-06,0.0,0.0
0.1,17.0,True,True,True,True,True,3.128411492525629e-06,6.0391519771108015e-09,8.520350647245323e-08,5.199181264061055e-06,0.0,0.0
0.1,19.0,True,True,True,True,True,3.1105258244679135e-06,7.017763845734715e-09,8.478465707284499e-08,7.566826419141262e-06,0.0,0.0
0.1,21.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,23.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,25.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,27.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,29.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,31.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,33.0,True,True,True,True,True,3.978179540808924e-05,1.0339198876489764e-05,4.645549893655954e-06,4.5597927563662845e-06,1.9775930540644193e-05,3.7985280110230946e-06
0.1,35.0,True,True,True,True,True,2.886404217861127e-06,1.3257429445912017e-08,8.022140018937307e-08,3.968687678166757e-06,0.0,0.0
0.1,37.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,39.0,True,True,True,True,True,1.448987359253806e-05,4.8372111281232144e-05,1.075117380899826e-06,8.294496599985253e-06,1.1962977277235609e-05,7.983522777754715e-06
0.1,41.0,True,True,True,True,True,3.690805249334517e-05,4.357699078302857e-05,3.1548141672388397e-06,7.186376990231901e-06,2.607121616227115e-05,9.306702568601111e-07
0.1,43.0,True,True,True,True,True,1.9528617428932193e-05,3.083560006236774e-05,4.094780720276248e-06,7.22585364858594e-06,1.9066647430732164e-05,7.053313108906778e-06
0.1,45.0,True,True,True,True,True,3.1653713676860207e-06,1.1417597620119735e-05,3.87967728165961e-06,1.8304537592175657e-06,1.880530060083263e-05,8.588905326289975e-06
0.1,47.0,True,True,True,True,True,2.6325378712499514e-06,1.9561061409545388e-08,7.531702150842534e-08,6.1733788687442625e-06,0.0,0.0
0.1,49.0,True,True,True,True,True,5.167997528587875e-06,3.988527720599766e-08,1.4869266262707015e-07,5.8323676529381544e-06,0.0,0.0
0.1,51.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,53.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,55.0,True,True,True,True,True,6.868392233627674e-06,4.553508966262387e-05,1.3050436988848446e-06,3.312837116029122e-06,2.2397394766560108e-05,2.9342520262432004e-06
0.1,57.0,True,True,True,True,True,2.1270413412821654e-06,8.68808426907064e-06,1.8134321257967656e-06,7.909078029389043e-06,1.683349314135496e-05,9.20554058780887e-06
0.1,59.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,61.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,63.0,True,True,True,True,True,1.0235603667752002e-05,8.706294587906838e-06,2.7268385442980048e-06,5.133755733490266e-06,2.040515800250109e-05,0.002410370989309518
0.1,65.0,True,True,True,True,True,4.279108168248058e-06,5.1036451120811677e-08,1.3320284342199784e-07,6.483673304289979e-07,0.0,0.0
0.1,67.0,True,True,True,True,True,4.1550682681190665e-06,5.273423078766548e-08,1.3109552954304604e-07,6.952413999506779e-06,0.0,0.0
0.1,69.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,71.0,True,True,True,True,True,3.899139130680851e-06,5.522611026820279e-08,1.2582826336426933e-07,3.26917814687168e-06,0.0,0.0
0.1,73.0,True,True,True,True,True,3.767393252473994e-06,5.86152260617645e-08,1.2369667690137476e-07,7.730900645992378e-06,0.0,0.0
0.1,75.0,True,True,True,True,True,3.6332310742182017e-06,5.901084673687329e-08,1.2156727668966028e-07,7.967561597659151e-06,0.0,0.0
0.1,77.0,True,True,True,True,True,3.496731892482785e-06,6.161294480167001e-08,1.1944141409259146e-07,2.9602237304469686e-06,0.0,0.0
0.1,79.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,81.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,83.0,True,True,True,True,True,3.07415683664658e-06,6.4285251344387e-08,1.1190699789054293e-07,6.082715247478026e-06,0.0,0.0
0.1,85.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,87.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,89.0,True,True,True,True,True,5.268652159884368e-06,1.3466164811015702e-07,2.0835185932099876e-07,2.278182413976496e-06,0.0,0.0
0.1,91.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,93.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,95.0,True,True,True,True,True,4.362308175132057e-06,1.4288009508867106e-07,1.9197788070357547e-07,4.959716032565479e-06,0.0,0.0
0.1,97.0,True,True,True,True,True,4.056020827647444e-06,1.453719581379076e-07,1.870372074996851e-07,7.992539960692533e-06,0.0,0.0
0.1,99.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,101.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,103.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,105.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
