artifact,match_status,grid_change_kind,xi,match_key,metric,candidate_value,reference_value,abs_diff,rel_diff
crossover,interpolated,physical_mu_union,0.2875,0.2875|99.187297038,T_crossover_MeV,200.6688205094787,200.6673910037492,0.001429505729504399,7.123756990878954e-06
crossover,interpolated,physical_mu_union,0.2875,0.2875|99.187297038,rho,1.6419819533599576,1.6419108063397139,7.114702024368924e-05,4.3331842368646186e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|99.187297038,derivative,8.266922086530837,8.266988287489566,6.620095872911236e-05,8.007868939320293e-06
crossover,interpolated,physical_mu_union,0.2875,0.2875|99.2495916321,T_crossover_MeV,200.658274414284,200.65932830899337,0.0010538947093721163,5.252159061098988e-06
crossover,interpolated,physical_mu_union,0.2875,0.2875|99.2495916321,rho,1.6427629275247482,1.6428262435847572,6.331606000897771e-05,3.8540935327900424e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|99.2495916321,derivative,8.267330432833257,8.267241517993567,8.891483969009073e-05,1.0755079490125998e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|123.984121298,T_crossover_MeV,196.47086925592998,196.4687033084866,0.002165947443387495,1.1024389161802623e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|123.984121298,rho,1.9528545003586462,1.9527220788271649,0.0001324215314812971,6.781381381257875e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|123.984121298,derivative,8.429467354753532,8.429597184554611,0.0001298298010787846,1.5401661341145608e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|124.06198954,T_crossover_MeV,196.45444050723495,196.4555105529168,0.0010700456818426574,5.446758295713127e-06
crossover,interpolated,physical_mu_union,0.2875,0.2875|124.06198954,rho,1.953618701307173,1.9536976803200108,7.897901283770992e-05,4.0425401347036124e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|124.06198954,derivative,8.43028785589811,8.430108306075638,0.00017954982247125884,2.1298637686760918e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|148.780945557,T_crossover_MeV,191.23920123812945,191.2340882061584,0.0051130319710637195,2.673703218409291e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|148.780945557,rho,2.196211175647461,2.1958443252752837,0.0003668503721772076,0.00016706574685398844
crossover,interpolated,physical_mu_union,0.2875,0.2875|148.780945557,derivative,8.690752597855779,8.691007784859606,0.0002551870038267623,2.9362187923858198e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|148.874387448,T_crossover_MeV,191.21535466051128,191.2143503346309,0.0010043258803875688,5.252356209824043e-06
crossover,interpolated,physical_mu_union,0.2875,0.2875|148.874387448,rho,2.1968167380321493,2.1967596811020167,5.705693013258184e-05,2.5973223481577608e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|148.874387448,derivative,8.69235839176844,8.691994029612824,0.0003643621556168597,4.191928277625495e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|173.577769817,T_crossover_MeV,184.91099675063722,184.9044988967056,0.006497853931620057,3.514167567794007e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|173.577769817,rho,2.3569102353447726,2.3563676940682523,0.0005425412765203141,0.00023024474401260375
crossover,interpolated,physical_mu_union,0.2875,0.2875|173.577769817,derivative,9.116884699778494,9.117397313676166,0.0005126138976727646,5.622370946847296e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|173.686785356,T_crossover_MeV,184.8781524176264,184.87665364665335,0.001498770973057617,8.10686986969243e-06
crossover,interpolated,physical_mu_union,0.2875,0.2875|173.686785356,rho,2.3571896354730417,2.357072041084202,0.00011759438883984785,4.989002745361868e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|173.686785356,derivative,9.120033163494753,9.119274609985647,0.0007585535091063633,8.31813429848624e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|198.374594076,T_crossover_MeV,177.4401796844135,177.43751235571435,0.002667328699146765,1.5032496024851218e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|198.374594076,rho,2.4204629720038047,2.420221110098111,0.00024186190569386312,9.99338055042659e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|198.374594076,derivative,9.833038578015703,9.834104791642082,0.0010662136263785982,0.00010841999846135092
crossover,interpolated,physical_mu_union,0.2875,0.2875|198.499183264,T_crossover_MeV,177.39705669663508,177.39997007790168,0.0029133812666088943,1.6422670563752298e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|198.499183264,rho,2.42025773500228,2.420539797403515,0.00028206240123518356,0.00011652871873362654
crossover,interpolated,physical_mu_union,0.2875,0.2875|198.499183264,derivative,9.839351510878783,9.83771224473634,0.0016392661424440291,0.000166630828556824
crossover,interpolated,physical_mu_union,0.2875,0.2875|223.171418336,T_crossover_MeV,168.8574674454849,168.85990738730283,0.002439941817925728,1.4449503471119374e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|223.171418336,rho,2.379614918201953,2.379968038244441,0.00035312004248799767,0.00014837175828145703
crossover,interpolated,physical_mu_union,0.2875,0.2875|223.171418336,derivative,11.089493404983845,11.091796840408932,0.0023034354250874856,0.00020767017808113428
crossover,interpolated,physical_mu_union,0.2875,0.2875|223.311581172,T_crossover_MeV,168.80402018210972,168.8113913364451,0.007371154335373831,4.366502921999467e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|223.311581172,rho,2.378944867744978,2.3797375502958085,0.0007926825508306479,0.0003330966268663177
crossover,interpolated,physical_mu_union,0.2875,0.2875|223.311581172,derivative,11.102556147408775,11.098921288346594,0.003634859062181306,0.00032749660689978556
crossover,interpolated,physical_mu_union,0.2875,0.2875|247.968242595,T_crossover_MeV,159.4018768683518,159.39628408937378,0.005592778978012802,3.5087260722319735e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|247.968242595,rho,2.2610733430664545,2.260450173389703,0.0006231696767513561,0.00027568388106377487
crossover,interpolated,physical_mu_union,0.2875,0.2875|247.968242595,derivative,13.400480654558624,13.405593469237106,0.00511281467848157,0.0003813941315029698
crossover,interpolated,physical_mu_union,0.2875,0.2875|248.12397908,T_crossover_MeV,159.3375578609156,159.33681635834134,0.0007415025742716352,4.653680117494185e-06
crossover,interpolated,physical_mu_union,0.2875,0.2875|248.12397908,rho,2.260191864950799,2.259696730071506,0.00049513487929298,0.0002191156329536804
crossover,interpolated,physical_mu_union,0.2875,0.2875|248.12397908,derivative,13.42882091130964,13.420162879572379,0.00865803173726043,0.0006451510175364064
crossover,interpolated,physical_mu_union,0.2875,0.2875|272.765066855,T_crossover_MeV,149.16081407085105,149.16063406286162,0.00018000798942807705,1.2068062767299263e-06
crossover,interpolated,physical_mu_union,0.2875,0.2875|272.765066855,rho,2.1207217876416204,2.1214475729929356,0.000725785351315178,0.0003421179766847789
crossover,interpolated,physical_mu_union,0.2875,0.2875|272.765066855,derivative,17.91290024331466,17.925932521809713,0.013032278495053617,0.0007270070039144576
crossover,interpolated,physical_mu_union,0.2875,0.2875|272.936376988,T_crossover_MeV,149.0789419898157,149.08988705831274,0.010945068497051125,7.341254804740873e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|272.936376988,rho,2.1196495146263166,2.1204864351653376,0.0008369205390210688,0.00039468327886559327
crossover,interpolated,physical_mu_union,0.2875,0.2875|272.936376988,derivative,17.988608422776853,17.957257599930337,0.031350822846516024,0.0017458580561119559
crossover,interpolated,physical_mu_union,0.2875,0.2875|297.561891114,T_crossover_MeV,137.3099821194901,137.30005192599256,0.009930193497524442,7.232476141288724e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|297.561891114,rho,1.9655122565090777,1.965403823877352,0.00010843263172577444,5.517066284722005e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|297.561891114,derivative,28.871518868905174,28.933509900733398,0.06199103182822441,0.0021425341080603937
crossover,interpolated,physical_mu_union,0.2875,0.2875|297.748774896,T_crossover_MeV,137.1935218355883,137.2105785054958,0.017056669907475452,0.00012431016684906894
crossover,interpolated,physical_mu_union,0.2875,0.2875|297.748774896,rho,1.9639413630216045,1.9642268971828072,0.00028553416120269404,0.00014536719846990257
crossover,interpolated,physical_mu_union,0.2875,0.2875|297.748774896,derivative,29.90115670311732,29.016809016163453,0.8843476869538662,0.030477082661337824
crossover,interpolated,physical_mu_union,0.2875,0.2875|322.358715374,T_crossover_MeV,121.85735610744473,121.82892371420488,0.02843239323985358,0.00023337966365485056
crossover,interpolated,physical_mu_union,0.2875,0.2875|322.358715374,rho,1.7570769964065598,1.7499597207061142,0.007117275700445624,0.004067108297540575
crossover,interpolated,physical_mu_union,0.2875,0.2875|322.358715374,derivative,165.48983926860257,173.2644537797771,7.774614511174548,0.04487137633583085
