T_MeV,xi,meson,q,omega,mass_ref,gamma_ref,threshold_ref,gap_ref,exp_omega_over_T,bose_g,Pi_re,Pi_im,denom_re,denom_im,denom_phase,D_re,D_im,D_abs,phase_raw,phase_unwrapped,phase_shifted_tail
212.0,0.0,pi,0.0,8.23,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.3624013050707503,2122.5687424473213,0.0004713493275011475,-0.6659658804449957,3.963596241349967e-7,1.6259113739465803,-3.7252058131494055e-7,-2.2911493657290408e-7,0.2890240612586481,6.621972946331943e-8,0.2890240612586557,2.2911493657290397e-7,2.2911493657290397e-7,4.232451264973884e-8
212.0,0.0,pi,0.0,8.25,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.3624013050707503,2162.4520345797077,0.00046265195063393996,-0.6612230268100338,3.94248969619527e-7,1.6214537791624408,-3.705368720792339e-7,-2.285213903973431e-7,0.2898186273230739,6.62297556789194e-8,0.28981862732308145,2.2852139039734305e-7,2.2852139039734305e-7,4.173096647417791e-8
212.0,0.0,pi,0.0,8.27,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.3624013050707503,2203.0847380077134,0.0004541151313299267,-0.6565505638111881,3.9216554696050867e-7,1.6170623413708112,-3.6857875684043787e-7,-2.2793107440000182e-7,0.2906056844699653,6.623806588798826e-8,0.29060568446997287,2.279310744000018e-7,2.279310744000018e-7,4.1140650476836654e-8
212.0,0.0,pi,0.0,8.29,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.3624013050707503,2244.4809342491876,0.000445735902959507,-0.6519469202889994,3.901087800143581e-7,1.6127355839095912,-3.6664569410711464e-7,-2.2734396001747936e-7,0.2913853413003215,6.624469738226101e-8,0.29138534130032906,2.2734396001747936e-7,2.2734396001747936e-7,4.0553536094314225e-8
212.0,0.0,pi,0.0,8.31,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.3624013050707503,2286.6549694151927,0.0004375113538050145,-0.6474105727847309,3.88078109664319e-7,1.6084720749484434,-3.647371583905757e-7,-2.2676001907105565e-7,0.29215770411166897,6.624968655611903e-8,0.29215770411167646,2.2676001907105568e-7,2.2676001907105568e-7,3.996959514789054e-8
212.0,0.0,pi,0.0,8.33,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.3624013050707503,2329.621459181744,0.0004294386260407438,-0.6429400436976864,3.8607299317363764e-7,1.6042704257569405,-3.6285263959696017e-7,-2.2617922375883092e-7,0.2929228769662973,6.625306893344177e-8,0.2929228769663048,2.2617922375883084e-7,2.2617922375883084e-7,3.938879983566571e-8
212.0,0.0,pi,0.0,8.35,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.3624013050707503,2373.3952938549587,0.0004215149147320544,-0.6385338995290496,3.8409290356875784e-7,1.6001292890540282,-3.6099164244752735e-7,-2.2560154664810486e-7,0.2936809617568364,6.625487919344634e-8,0.2936809617568439,2.2560154664810483e-7,2.2560154664810483e-7,3.8811122724939694e-8
212.0,0.0,pi,0.0,8.37,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.3624013050707503,2417.9916435313926,0.0004137374668531872,-0.6341907492074675,3.8213732905089176e-7,1.596047357434316,-3.5915368592561877e-7,-2.250269606679847e-7,0.2944320582693045,6.625515119556168e-8,0.29443205826931196,2.250269606679847e-7,2.250269606679847e-7,3.823653674481956e-8
212.0,0.0,pi,0.0,8.39,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.3624013050707503,2463.4259633553283,0.00040610358032344213,-0.6299092424919055,3.802057724344265e-7,1.592023361866993,-3.573383027488417e-7,-2.2445543910221203e-7,0.295176264243747,6.625391800338191e-8,0.2951762642437544,2.2445543910221203e-7,2.2445543910221203e-7,3.76650151790469e-8
212.0,0.0,pi,0.0,8.41,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.3624013050707503,2509.71399887484,0.0003986106030613696,-0.6256880684475689,3.7829775061072117e-7,1.5880560702634157,-3.555450388651162e-7,-2.2388695558220116e-7,0.2959136754325821,6.62512119077415e-8,0.29591367543258956,2.2388695558220116e-7,2.2388695558220116e-7,3.709653165903602e-8
