xi,T_MeV,candidate_state,reference_state,classification_regression
-0.35,11,confirmed_first_order,confirmed_first_order,false
-0.35,16,confirmed_monotone,confirmed_monotone,false
-0.35,21,confirmed_first_order,confirmed_first_order,false
-0.35,26,confirmed_monotone,confirmed_monotone,false
-0.35,31,confirmed_first_order,confirmed_first_order,false
-0.35,36,confirmed_monotone,confirmed_monotone,false
-0.35,41,confirmed_first_order,confirmed_first_order,false
-0.35,46,confirmed_monotone,confirmed_monotone,false
-0.35,51,ambiguous_near_critical,confirmed_first_order,true
-0.35,56,confirmed_monotone,confirmed_monotone,false
-0.35,61,confirmed_first_order,confirmed_first_order,false
-0.35,66,confirmed_monotone,confirmed_monotone,false
-0.35,71,confirmed_first_order,confirmed_first_order,false
-0.35,76,confirmed_monotone,confirmed_monotone,false
-0.35,81,confirmed_first_order,confirmed_first_order,false
-0.35,86,confirmed_monotone,confirmed_monotone,false
-0.35,91,confirmed_first_order,confirmed_first_order,false
-0.35,96,confirmed_monotone,confirmed_monotone,false
-0.35,101,confirmed_first_order,confirmed_first_order,false
-0.35,106,confirmed_first_order,confirmed_monotone,false
-0.35,111,confirmed_first_order,confirmed_first_order,false
-0.35,116,confirmed_first_order,confirmed_monotone,false
-0.35,121,confirmed_first_order,confirmed_first_order,false
-0.35,126,confirmed_first_order,confirmed_monotone,false
-0.35,131,ambiguous_near_critical,ambiguous_near_critical,false
-0.35,136,confirmed_first_order,confirmed_first_order,false
-0.35,141,confirmed_first_order,confirmed_first_order,false
-0.35,146,confirmed_monotone,confirmed_monotone,false
-0.35,151,confirmed_monotone,confirmed_monotone,false
-0.35,156,confirmed_monotone,confirmed_monotone,false
-0.35,161,ambiguous_near_critical,ambiguous_near_critical,false
-0.35,166,confirmed_monotone,confirmed_monotone,false
-0.35,171,confirmed_monotone,confirmed_monotone,false
-0.35,176,confirmed_monotone,confirmed_monotone,false
-0.35,181,ambiguous_near_critical,ambiguous_near_critical,false
-0.35,186,confirmed_monotone,confirmed_monotone,false
-0.35,191,confirmed_monotone,confirmed_monotone,false
-0.35,196,confirmed_monotone,confirmed_monotone,false
-0.35,201,ambiguous_near_critical,ambiguous_near_critical,false
-0.35,206,confirmed_monotone,confirmed_monotone,false
-0.35,211,confirmed_monotone,confirmed_monotone,false
-0.35,216,confirmed_monotone,confirmed_monotone,false
-0.35,221,ambiguous_near_critical,ambiguous_near_critical,false
-0.35,226,confirmed_monotone,confirmed_monotone,false
-0.35,231,confirmed_monotone,confirmed_monotone,false
-0.35,236,confirmed_monotone,confirmed_monotone,false
-0.35,240,ambiguous_near_critical,ambiguous_near_critical,false
-0.3,1,ambiguous_near_critical,ambiguous_near_critical,false
-0.3,6,confirmed_monotone,confirmed_monotone,false
-0.3,11,confirmed_first_order,confirmed_first_order,false
-0.3,16,confirmed_monotone,confirmed_monotone,false
-0.3,21,confirmed_first_order,confirmed_first_order,false
-0.3,26,confirmed_monotone,confirmed_monotone,false
-0.3,31,confirmed_first_order,confirmed_first_order,false
-0.3,36,confirmed_monotone,confirmed_monotone,false
-0.3,41,ambiguous_near_critical,ambiguous_near_critical,false
-0.3,46,confirmed_monotone,confirmed_monotone,false
-0.3,51,confirmed_first_order,confirmed_first_order,false
-0.3,56,confirmed_monotone,confirmed_monotone,false
-0.3,61,confirmed_first_order,confirmed_first_order,false
-0.3,66,confirmed_monotone,confirmed_monotone,false
-0.3,71,confirmed_first_order,confirmed_first_order,false
-0.3,76,confirmed_monotone,confirmed_monotone,false
-0.3,81,confirmed_first_order,confirmed_first_order,false
-0.3,86,confirmed_monotone,confirmed_monotone,false
-0.3,91,confirmed_first_order,confirmed_first_order,false
-0.3,96,confirmed_monotone,confirmed_monotone,false
-0.3,101,confirmed_first_order,confirmed_first_order,false
-0.3,106,confirmed_first_order,confirmed_monotone,false
-0.3,111,confirmed_first_order,confirmed_first_order,false
-0.3,116,confirmed_first_order,confirmed_monotone,false
-0.3,121,confirmed_first_order,confirmed_first_order,false
-0.3,126,confirmed_first_order,confirmed_monotone,false
-0.3,131,confirmed_first_order,confirmed_first_order,false
-0.3,136,confirmed_first_order,confirmed_first_order,false
-0.3,141,ambiguous_near_critical,ambiguous_near_critical,false
-0.3,146,confirmed_monotone,confirmed_monotone,false
-0.3,151,confirmed_monotone,confirmed_monotone,false
-0.3,156,confirmed_monotone,confirmed_monotone,false
-0.3,161,ambiguous_near_critical,ambiguous_near_critical,false
-0.3,166,confirmed_monotone,confirmed_monotone,false
-0.3,171,confirmed_monotone,confirmed_monotone,false
-0.3,176,confirmed_monotone,confirmed_monotone,false
-0.3,181,ambiguous_near_critical,ambiguous_near_critical,false
-0.3,186,confirmed_monotone,confirmed_monotone,false
-0.3,191,confirmed_monotone,confirmed_monotone,false
-0.3,196,confirmed_monotone,confirmed_monotone,false
-0.3,201,ambiguous_near_critical,ambiguous_near_critical,false
-0.3,206,confirmed_monotone,confirmed_monotone,false
-0.3,211,confirmed_monotone,confirmed_monotone,false
-0.3,216,confirmed_monotone,confirmed_monotone,false
-0.3,221,ambiguous_near_critical,ambiguous_near_critical,false
-0.3,226,confirmed_monotone,confirmed_monotone,false
-0.3,231,confirmed_monotone,confirmed_monotone,false
-0.3,236,confirmed_monotone,confirmed_monotone,false
-0.3,240,ambiguous_near_critical,ambiguous_near_critical,false
-0.25,1,ambiguous_near_critical,ambiguous_near_critical,false
-0.25,6,confirmed_monotone,confirmed_monotone,false
-0.25,11,confirmed_first_order,confirmed_first_order,false
-0.25,16,confirmed_monotone,confirmed_monotone,false
-0.25,21,confirmed_first_order,confirmed_first_order,false
-0.25,26,confirmed_monotone,confirmed_monotone,false
-0.25,31,confirmed_first_order,confirmed_first_order,false
-0.25,36,confirmed_monotone,confirmed_monotone,false
-0.25,41,ambiguous_near_critical,confirmed_first_order,true
-0.25,46,confirmed_monotone,confirmed_monotone,false
-0.25,51,confirmed_first_order,confirmed_first_order,false
-0.25,56,confirmed_monotone,confirmed_monotone,false
-0.25,61,confirmed_first_order,confirmed_first_order,false
-0.25,66,confirmed_monotone,confirmed_monotone,false
-0.25,71,confirmed_first_order,confirmed_first_order,false
-0.25,76,confirmed_monotone,confirmed_monotone,false
-0.25,81,confirmed_first_order,confirmed_first_order,false
-0.25,86,confirmed_monotone,confirmed_monotone,false
-0.25,91,confirmed_first_order,confirmed_first_order,false
-0.25,96,confirmed_monotone,confirmed_monotone,false
-0.25,101,confirmed_first_order,confirmed_first_order,false
-0.25,106,confirmed_first_order,confirmed_monotone,false
-0.25,111,confirmed_first_order,confirmed_first_order,false
-0.25,116,confirmed_first_order,confirmed_monotone,false
-0.25,121,confirmed_first_order,confirmed_first_order,false
-0.25,126,confirmed_first_order,confirmed_monotone,false
-0.25,131,confirmed_first_order,confirmed_first_order,false
-0.25,136,confirmed_first_order,confirmed_first_order,false
-0.25,141,ambiguous_near_critical,ambiguous_near_critical,false
-0.25,146,confirmed_monotone,confirmed_monotone,false
-0.25,151,confirmed_monotone,confirmed_monotone,false
-0.25,156,confirmed_monotone,confirmed_monotone,false
-0.25,161,ambiguous_near_critical,ambiguous_near_critical,false
-0.25,166,confirmed_monotone,confirmed_monotone,false
-0.25,171,confirmed_monotone,confirmed_monotone,false
-0.25,176,confirmed_monotone,confirmed_monotone,false
-0.25,181,ambiguous_near_critical,ambiguous_near_critical,false
-0.25,186,confirmed_monotone,confirmed_monotone,false
-0.25,191,confirmed_monotone,confirmed_monotone,false
-0.25,196,confirmed_monotone,confirmed_monotone,false
-0.25,201,ambiguous_near_critical,ambiguous_near_critical,false
-0.25,206,confirmed_monotone,confirmed_monotone,false
-0.25,211,confirmed_monotone,confirmed_monotone,false
-0.25,216,confirmed_monotone,confirmed_monotone,false
-0.25,221,ambiguous_near_critical,ambiguous_near_critical,false
-0.25,226,confirmed_monotone,confirmed_monotone,false
-0.25,231,confirmed_monotone,confirmed_monotone,false
-0.25,236,confirmed_monotone,confirmed_monotone,false
-0.25,240,ambiguous_near_critical,ambiguous_near_critical,false
-0.2,1,ambiguous_near_critical,ambiguous_near_critical,false
-0.2,6,confirmed_monotone,confirmed_monotone,false
-0.2,11,confirmed_first_order,confirmed_first_order,false
-0.2,16,confirmed_monotone,confirmed_monotone,false
-0.2,21,confirmed_first_order,confirmed_first_order,false
-0.2,26,confirmed_monotone,confirmed_monotone,false
-0.2,31,confirmed_first_order,confirmed_first_order,false
-0.2,36,confirmed_monotone,confirmed_monotone,false
-0.2,41,ambiguous_near_critical,confirmed_first_order,true
-0.2,46,confirmed_monotone,confirmed_monotone,false
-0.2,51,confirmed_first_order,confirmed_first_order,false
-0.2,56,confirmed_monotone,confirmed_monotone,false
-0.2,61,confirmed_first_order,confirmed_first_order,false
-0.2,66,confirmed_monotone,confirmed_monotone,false
-0.2,71,confirmed_first_order,confirmed_first_order,false
-0.2,76,confirmed_monotone,confirmed_monotone,false
-0.2,81,confirmed_first_order,confirmed_first_order,false
-0.2,86,confirmed_monotone,confirmed_monotone,false
-0.2,91,confirmed_first_order,confirmed_first_order,false
-0.2,96,confirmed_monotone,confirmed_monotone,false
-0.2,101,confirmed_first_order,confirmed_first_order,false
-0.2,106,confirmed_first_order,confirmed_monotone,false
-0.2,111,confirmed_first_order,confirmed_first_order,false
-0.2,116,ambiguous_near_critical,confirmed_monotone,false
-0.2,121,confirmed_first_order,confirmed_first_order,false
-0.2,126,confirmed_first_order,confirmed_monotone,false
-0.2,131,confirmed_first_order,confirmed_first_order,false
-0.2,136,confirmed_first_order,confirmed_first_order,false
-0.2,141,ambiguous_near_critical,ambiguous_near_critical,false
-0.2,146,confirmed_monotone,confirmed_monotone,false
-0.2,151,confirmed_monotone,confirmed_monotone,false
-0.2,156,confirmed_monotone,confirmed_monotone,false
-0.2,161,ambiguous_near_critical,ambiguous_near_critical,false
-0.2,166,confirmed_monotone,confirmed_monotone,false
-0.2,171,confirmed_monotone,confirmed_monotone,false
-0.2,176,confirmed_monotone,confirmed_monotone,false
-0.2,181,ambiguous_near_critical,ambiguous_near_critical,false
-0.2,186,confirmed_monotone,confirmed_monotone,false
-0.2,191,confirmed_monotone,confirmed_monotone,false
-0.2,196,confirmed_monotone,confirmed_monotone,false
-0.2,201,ambiguous_near_critical,ambiguous_near_critical,false
-0.2,206,confirmed_monotone,confirmed_monotone,false
-0.2,211,confirmed_monotone,confirmed_monotone,false
-0.2,216,confirmed_monotone,confirmed_monotone,false
-0.2,221,ambiguous_near_critical,ambiguous_near_critical,false
-0.2,226,confirmed_monotone,confirmed_monotone,false
-0.2,231,confirmed_monotone,confirmed_monotone,false
-0.2,236,confirmed_monotone,confirmed_monotone,false
-0.2,240,ambiguous_near_critical,ambiguous_near_critical,false
-0.15,1,ambiguous_near_critical,ambiguous_near_critical,false
-0.15,6,confirmed_monotone,confirmed_monotone,false
-0.15,11,confirmed_first_order,confirmed_first_order,false
-0.15,16,confirmed_monotone,confirmed_monotone,false
-0.15,21,confirmed_first_order,confirmed_first_order,false
-0.15,26,confirmed_monotone,confirmed_monotone,false
-0.15,31,confirmed_first_order,confirmed_first_order,false
-0.15,36,confirmed_monotone,confirmed_monotone,false
-0.15,41,ambiguous_near_critical,confirmed_first_order,true
-0.15,46,confirmed_monotone,confirmed_monotone,false
-0.15,51,confirmed_first_order,confirmed_first_order,false
-0.15,56,confirmed_monotone,confirmed_monotone,false
-0.15,61,confirmed_first_order,confirmed_first_order,false
-0.15,66,confirmed_monotone,confirmed_monotone,false
-0.15,71,confirmed_first_order,confirmed_first_order,false
-0.15,76,confirmed_monotone,confirmed_monotone,false
-0.15,81,confirmed_first_order,confirmed_first_order,false
-0.15,86,confirmed_monotone,confirmed_monotone,false
-0.15,91,confirmed_first_order,confirmed_first_order,false
-0.15,96,confirmed_monotone,confirmed_monotone,false
-0.15,101,confirmed_first_order,confirmed_first_order,false
-0.15,106,confirmed_first_order,confirmed_monotone,false
-0.15,111,confirmed_first_order,confirmed_first_order,false
-0.15,116,confirmed_first_order,confirmed_monotone,false
-0.15,121,confirmed_first_order,confirmed_first_order,false
-0.15,126,confirmed_first_order,confirmed_monotone,false
-0.15,131,confirmed_first_order,confirmed_first_order,false
-0.15,136,ambiguous_near_critical,ambiguous_near_critical,false
-0.15,141,ambiguous_near_critical,ambiguous_near_critical,false
-0.15,146,confirmed_monotone,confirmed_monotone,false
-0.15,151,confirmed_monotone,confirmed_monotone,false
-0.15,156,confirmed_monotone,confirmed_monotone,false
-0.15,161,ambiguous_near_critical,ambiguous_near_critical,false
-0.15,166,confirmed_monotone,confirmed_monotone,false
-0.15,171,confirmed_monotone,confirmed_monotone,false
-0.15,176,confirmed_monotone,confirmed_monotone,false
-0.15,181,ambiguous_near_critical,ambiguous_near_critical,false
-0.15,186,confirmed_monotone,confirmed_monotone,false
-0.15,191,confirmed_monotone,confirmed_monotone,false
-0.15,196,confirmed_monotone,confirmed_monotone,false
-0.15,201,ambiguous_near_critical,ambiguous_near_critical,false
-0.15,206,confirmed_monotone,confirmed_monotone,false
-0.15,211,confirmed_monotone,confirmed_monotone,false
-0.15,216,confirmed_monotone,confirmed_monotone,false
-0.15,221,ambiguous_near_critical,ambiguous_near_critical,false
-0.15,226,confirmed_monotone,confirmed_monotone,false
-0.15,231,confirmed_monotone,confirmed_monotone,false
-0.15,236,confirmed_monotone,confirmed_monotone,false
-0.15,240,ambiguous_near_critical,ambiguous_near_critical,false
-0.1,1,ambiguous_near_critical,ambiguous_near_critical,false
-0.1,6,confirmed_monotone,confirmed_monotone,false
-0.1,11,confirmed_first_order,confirmed_first_order,false
-0.1,16,confirmed_monotone,confirmed_monotone,false
-0.1,21,confirmed_first_order,confirmed_first_order,false
-0.1,26,confirmed_monotone,confirmed_monotone,false
-0.1,31,confirmed_first_order,confirmed_first_order,false
-0.1,36,confirmed_monotone,confirmed_monotone,false
-0.1,41,ambiguous_near_critical,confirmed_first_order,true
-0.1,46,confirmed_monotone,confirmed_monotone,false
-0.1,51,confirmed_first_order,confirmed_first_order,false
-0.1,56,confirmed_monotone,confirmed_monotone,false
-0.1,61,confirmed_first_order,confirmed_first_order,false
-0.1,66,confirmed_monotone,confirmed_monotone,false
-0.1,71,confirmed_first_order,confirmed_first_order,false
-0.1,76,confirmed_monotone,confirmed_monotone,false
-0.1,81,confirmed_first_order,confirmed_first_order,false
-0.1,86,confirmed_monotone,confirmed_monotone,false
-0.1,91,confirmed_first_order,confirmed_first_order,false
-0.1,96,confirmed_monotone,confirmed_monotone,false
-0.1,101,confirmed_first_order,confirmed_first_order,false
-0.1,106,confirmed_first_order,confirmed_monotone,false
-0.1,111,confirmed_first_order,confirmed_first_order,false
-0.1,116,confirmed_first_order,confirmed_monotone,false
-0.1,121,confirmed_first_order,confirmed_first_order,false
-0.1,126,ambiguous_near_critical,ambiguous_near_critical,false
-0.1,131,confirmed_first_order,confirmed_first_order,false
-0.1,136,confirmed_monotone,confirmed_monotone,false
-0.1,141,ambiguous_near_critical,ambiguous_near_critical,false
-0.1,146,confirmed_monotone,confirmed_monotone,false
-0.1,151,confirmed_monotone,confirmed_monotone,false
-0.1,156,confirmed_monotone,confirmed_monotone,false
-0.1,161,ambiguous_near_critical,ambiguous_near_critical,false
-0.1,166,confirmed_monotone,confirmed_monotone,false
-0.1,171,confirmed_monotone,confirmed_monotone,false
-0.1,176,confirmed_monotone,confirmed_monotone,false
-0.1,181,ambiguous_near_critical,ambiguous_near_critical,false
-0.1,186,confirmed_monotone,confirmed_monotone,false
-0.1,191,confirmed_monotone,confirmed_monotone,false
-0.1,196,confirmed_monotone,confirmed_monotone,false
-0.1,201,ambiguous_near_critical,ambiguous_near_critical,false
-0.1,206,confirmed_monotone,confirmed_monotone,false
-0.1,211,confirmed_monotone,confirmed_monotone,false
-0.1,216,confirmed_monotone,confirmed_monotone,false
-0.1,221,ambiguous_near_critical,ambiguous_near_critical,false
-0.1,226,confirmed_monotone,confirmed_monotone,false
-0.1,231,confirmed_monotone,confirmed_monotone,false
-0.1,236,confirmed_monotone,confirmed_monotone,false
-0.1,240,ambiguous_near_critical,ambiguous_near_critical,false
-0.05,1,ambiguous_near_critical,ambiguous_near_critical,false
-0.05,6,confirmed_monotone,confirmed_monotone,false
-0.05,11,confirmed_first_order,confirmed_first_order,false
-0.05,16,confirmed_monotone,confirmed_monotone,false
-0.05,21,confirmed_first_order,confirmed_first_order,false
-0.05,26,confirmed_monotone,confirmed_monotone,false
-0.05,31,confirmed_first_order,confirmed_first_order,false
-0.05,36,confirmed_monotone,confirmed_monotone,false
-0.05,41,confirmed_first_order,confirmed_first_order,false
-0.05,46,confirmed_monotone,confirmed_monotone,false
-0.05,51,confirmed_first_order,confirmed_first_order,false
-0.05,56,confirmed_monotone,confirmed_monotone,false
-0.05,61,confirmed_first_order,confirmed_first_order,false
-0.05,66,confirmed_monotone,confirmed_monotone,false
-0.05,71,confirmed_first_order,confirmed_first_order,false
-0.05,76,confirmed_monotone,confirmed_monotone,false
-0.05,81,confirmed_first_order,confirmed_first_order,false
-0.05,86,confirmed_monotone,confirmed_monotone,false
-0.05,91,confirmed_first_order,confirmed_first_order,false
-0.05,96,confirmed_monotone,confirmed_monotone,false
-0.05,101,confirmed_first_order,confirmed_first_order,false
-0.05,106,confirmed_first_order,confirmed_monotone,false
-0.05,111,confirmed_first_order,confirmed_first_order,false
-0.05,116,confirmed_first_order,confirmed_monotone,false
-0.05,121,confirmed_first_order,confirmed_first_order,false
-0.05,126,confirmed_first_order,confirmed_first_order,false
-0.05,131,ambiguous_near_critical,ambiguous_near_critical,false
-0.05,136,confirmed_monotone,confirmed_monotone,false
-0.05,141,ambiguous_near_critical,ambiguous_near_critical,false
-0.05,146,confirmed_monotone,confirmed_monotone,false
-0.05,151,confirmed_monotone,confirmed_monotone,false
-0.05,156,confirmed_monotone,confirmed_monotone,false
-0.05,161,ambiguous_near_critical,ambiguous_near_critical,false
-0.05,166,confirmed_monotone,confirmed_monotone,false
-0.05,171,confirmed_monotone,confirmed_monotone,false
-0.05,176,confirmed_monotone,confirmed_monotone,false
-0.05,181,ambiguous_near_critical,ambiguous_near_critical,false
-0.05,186,confirmed_monotone,confirmed_monotone,false
-0.05,191,confirmed_monotone,confirmed_monotone,false
-0.05,196,confirmed_monotone,confirmed_monotone,false
-0.05,201,ambiguous_near_critical,ambiguous_near_critical,false
-0.05,206,confirmed_monotone,confirmed_monotone,false
-0.05,211,confirmed_monotone,confirmed_monotone,false
-0.05,216,confirmed_monotone,confirmed_monotone,false
-0.05,221,ambiguous_near_critical,ambiguous_near_critical,false
-0.05,226,confirmed_monotone,confirmed_monotone,false
-0.05,231,confirmed_monotone,confirmed_monotone,false
-0.05,236,confirmed_monotone,confirmed_monotone,false
-0.05,240,ambiguous_near_critical,ambiguous_near_critical,false
0.0,1,ambiguous_near_critical,ambiguous_near_critical,false
0.0,6,confirmed_monotone,confirmed_monotone,false
0.0,11,confirmed_first_order,confirmed_first_order,false
0.0,16,confirmed_monotone,confirmed_monotone,false
