xi,T_MeV,mu_spinodal_hadron_MeV,mu_spinodal_quark_MeV,rho_spinodal_hadron,rho_spinodal_quark,curve_parameter,plot_order_key
-0.45,135.0,243.15367192150853,238.29055972088338,1.5064705149581181,2.4929655593448725,135.0,135.0
-0.45,140.0,229.8155206562834,227.85223800766272,1.739182648873284,2.470978621762099,140.0,140.0
-0.45,145.0,216.02043332036246,215.95577381000993,2.10102639761408,2.326543221813964,145.0,145.0
-0.4,60.0,354.89568945720725,308.3242281705413,0.3676161565790458,1.9454384076167706,60.0,60.0
-0.4,65.0,351.52602617427897,307.0401674497727,0.40012982669678854,1.9652945290225416,65.0,65.0
-0.4,70.0,347.8123119483651,305.5717474595384,0.43382141320135736,1.9874014909033215,70.0,70.0
-0.4,75.0,343.7288125324967,303.8745730851295,0.4710045102768981,2.0118196017125443,75.0,75.0
-0.4,80.0,339.2195114274166,301.9052913060178,0.5126822276229014,2.039554322910801,80.0,80.0
-0.4,85.0,334.2535524682357,299.6129512948328,0.5582323813437496,2.0706510584104048,85.0,85.0
-0.4,90.0,328.78698768537606,296.943713382332,0.6086815624971205,2.105846809561242,90.0,90.0
-0.4,95.0,322.772693684444,293.83952293294163,0.6648762999229066,2.145242600712768,95.0,95.0
-0.4,100.0,316.1579604884734,290.2373278444981,0.7278324862685848,2.188768429300609,100.0,100.0
-0.4,105.0,308.89741037511766,286.07026272616224,0.7998858066534491,2.236024803760135,105.0,105.0
-0.4,110.0,300.9316914524251,281.268503653705,0.8803691753268714,2.286065197428833,110.0,110.0
-0.4,115.0,292.2095828148474,275.76036153516156,0.9726044159723728,2.3372074057533454,115.0,115.0
-0.4,120.0,282.67271463272056,269.47317597473887,1.0791598156596607,2.3868011674131924,120.0,120.0
-0.4,125.0,272.2789593227017,262.3329704367246,1.2045505362235422,2.43091340944819,125.0,125.0
-0.4,130.0,261.00304705330484,254.26283290796334,1.355676392353817,2.4626183184855135,130.0,130.0
-0.4,135.0,248.87801011010708,245.16425791741807,1.5462232913996792,2.472696795640081,135.0,135.0
-0.4,140.0,236.05465832689777,234.89045634007562,1.8026109974732187,2.4344332421601824,140.0,140.0
-0.35,60.0,356.4699640465416,313.7556953635429,0.37785106063027457,1.9531526194247248,60.0,60.0
-0.35,65.0,353.25634376378133,312.4313284980131,0.4110186956949028,1.9714001777539707,65.0,65.0
-0.35,70.0,349.69492169164573,310.9441069788383,0.44583670889079396,1.9920272873589355,70.0,70.0
-0.35,75.0,345.76763940321865,309.24787979239596,0.4830296107599071,2.015174073535651,75.0,75.0
-0.35,80.0,341.443714614376,307.2926263663354,0.5240337546577036,2.041625150401604,80.0,80.0
-0.35,85.0,336.6693531152208,305.0278326713577,0.5702302413197927,2.0715278350373834,85.0,85.0
-0.35,90.0,331.408585231686,302.39643636986136,0.6211518062760336,2.105246698909729,90.0,90.0
-0.35,95.0,325.61174011670244,299.3407890026418,0.6780862651062405,2.143136598866408,95.0,95.0
