channel,xi,T_MeV,omega_fm,K_eff,re_pi,im_pi
pi,-0.3,220,1.34,0.22951204740155776,1.0111639660468263,0.06897290093034467
K,-0.3,220,1.34,0.19920904282375781,0.7406740475480788,-0.02366319849982204
pi,-0.3,220,1.36,0.22951204740155776,1.015369267141967,0.07204716981094225
K,-0.3,220,1.36,0.19920904282375781,0.7437150867104411,-0.02142062877076824
pi,-0.3,220,1.38,0.22951204740155776,1.019608466162829,0.07520722263871871
K,-0.3,220,1.38,0.19920904282375781,0.7469274847052407,-0.01926458508004949
pi,-0.3,220,1.4,0.22951204740155776,1.0238803986699239,0.07845397400047274
K,-0.3,220,1.4,0.19920904282375781,0.7503065090023084,-0.01719948333599285
pi,-0.3,220,1.42,0.22951204740155776,1.0281838888746453,0.08178832576638889
K,-0.3,220,1.42,0.19920904282375781,0.7538474790881912,-0.015229507463658275
pi,-0.3,220,1.44,0.22951204740155776,1.0325177498087463,0.08521116706356059
K,-0.3,220,1.44,0.19920904282375781,0.757545771106824,-0.013358634445483858
pi,-0.3,220,1.46,0.22951204740155776,1.0368807834915945,0.08872337425406128
K,-0.3,220,1.46,0.19920904282375781,0.7613968215855267,-0.0115906617632818
pi,-0.3,220,1.48,0.22951204740155776,1.0412717810950425,0.09232581091751697
K,-0.3,220,1.48,0.19920904282375781,0.7653961303363536,-0.009929238834205817
pi,-0.3,220,1.5,0.22951204740155776,1.0456895231058108,0.0960193278381292
K,-0.3,220,1.5,0.19920904282375781,0.7695392626060409,-0.008377904968352126
pi,-0.3,220,1.52,0.22951204740155776,1.0501327794852384,0.09980476299609699
K,-0.3,220,1.52,0.19920904282375781,0.7738218505271754,-0.006940138009162241
pi,-0.3,220,1.54,0.22951204740155776,1.0546003098262757,0.10368294156337902
K,-0.3,220,1.54,0.19920904282375781,0.7782395938952584,-0.005619420809662219
pi,-0.3,220,1.56,0.22951204740155776,1.0590908635075924,0.10765467590373971
K,-0.3,220,1.56,0.19920904282375781,0.7827882602542529,-0.0044193384946714116
pi,-0.3,220,1.58,0.22951204740155776,1.0636031798446774,0.11172076557701546
K,-0.3,220,1.58,0.19920904282375781,0.7874636842033851,-0.0033437314965093874
pi,-0.3,220,1.6,0.22951204740155776,1.0681359882378043,0.11588199734754015
K,-0.3,220,1.6,0.19920904282375781,0.7922617657115758,-0.0023969566465414593
pi,-0.3,220,1.62,0.22951204740155776,1.0726880083167403,0.12013914519666194
K,-0.3,220,1.62,0.19920904282375781,0.7971784669784572,-0.0015843781699943968
pi,-0.3,220,1.64,0.22951204740155776,1.07725795008208,0.12449297033928433
K,-0.3,220,1.64,0.19920904282375781,0.8022098068579018,-0.0009134195752210715
pi,-0.3,220,1.66,0.22951204740155776,1.081844514043082,0.12894422124436244
K,-0.3,220,1.66,0.19920904282375781,0.8073518506591905,-0.00039632240137298677
pi,-0.3,220,1.68,0.22951204740155776,1.08644639135189,0.13349363365928094
K,-0.3,220,1.68,0.19920904282375781,0.812600690103146,-6.111075237416684e-5
pi,-0.3,220,1.7,0.22951204740155776,1.0910622639340255,0.1381419306380444
K,-0.3,220,1.7,0.19920904282375781,0.8178563359344996,-0.0
pi,-0.3,220,1.72,0.22951204740155776,1.0956908046150342,0.14288982257320018
K,-0.3,220,1.72,0.19920904282375781,0.8229917347583043,-0.0
pi,-0.3,220,1.74,0.22951204740155776,1.1003306772431714,0.14773800723142333
K,-0.3,220,1.74,0.19920904282375781,0.8281348300488984,-0.0
pi,-0.3,220,1.76,0.22951204740155776,1.1049805368080137,0.15268716979268118
K,-0.3,220,1.76,0.19920904282375781,0.8333324065228455,-0.0
pi,-0.3,220,1.78,0.22951204740155776,1.1096390295548955,0.15773798289290444
K,-0.3,220,1.78,0.19920904282375781,0.8386167043731775,-0.0
pi,-0.3,220,1.8,0.22951204740155776,1.114304793095042,0.16289110667008003
K,-0.3,220,1.8,0.19920904282375781,0.8440168060618484,-0.0
pi,-0.3,220,1.82,0.22951204740155776,1.1189764565113063,0.16814718881368906
K,-0.3,220,1.82,0.19920904282375781,0.8495637484427964,-0.0
pi,-0.3,220,1.84,0.22951204740155776,1.1236526404593958,0.17350686461740739
K,-0.3,220,1.84,0.19920904282375781,0.8552956620922313,-0.0
pi,-0.3,220,1.86,0.22951204740155776,1.1283319572644828,0.17897075703498697
K,-0.3,220,1.86,0.19920904282375781,0.8612668714068371,-0.0
pi,-0.3,220,1.88,0.22951204740155776,1.1330130110130912,0.18453947673923457
K,-0.3,220,1.88,0.19920904282375781,0.8675719552354079,-0.0
pi,-0.3,220,1.9,0.22951204740155776,1.1376943976401606,0.19021362218400636
K,-0.3,220,1.9,0.19920904282375781,0.8744520984336378,-0.0
pi,-0.3,220,1.92,0.22951204740155776,1.1423747050111746,0.19599377966913345
K,-0.3,220,1.92,0.19920904282375781,0.8826729002778889,0.0015282295024651494
pi,-0.3,220,1.94,0.22951204740155776,1.1470525129992595,0.20188052340819476
K,-0.3,220,1.94,0.19920904282375781,0.8889963604540906,0.0035390718770640195
pi,-0.3,220,1.96,0.22951204740155776,1.1517263935571462,0.2078744155990539
K,-0.3,220,1.96,0.19920904282375781,0.8953802924409564,0.00527586769783308
pi,-0.3,220,1.98,0.22951204740155776,1.156394910783892,0.21397600649707388
K,-0.3,220,1.98,0.19920904282375781,0.9018216532695985,0.007036326022330279
pi,-0.3,220,2.0,0.22951204740155776,1.1610566209862625,0.22018583449092807
K,-0.3,220,2.0,0.19920904282375781,0.9083174785645342,0.008884117422059957
pi,-0.3,220,2.02,0.22951204740155776,1.1657100727346734,0.22650442618091907
K,-0.3,220,2.02,0.19920904282375781,0.9148648662396685,0.010844272160614185
pi,-0.3,220,2.04,0.22951204740155776,1.1703538069135895,0.23293229645972552
K,-0.3,220,2.04,0.19920904282375781,0.9214609671377758,0.012929300300500112
pi,-0.3,220,2.06,0.22951204740155776,1.1749863567662793,0.23946994859548815
K,-0.3,220,2.06,0.19920904282375781,0.9281029792942231,0.015146397612357428
pi,-0.3,220,2.08,0.22951204740155776,1.1796062479338185,0.24611787431715604
K,-0.3,220,2.08,0.19920904282375781,0.9347881440686362,0.017500117475335107
pi,-0.3,220,2.1,0.22951204740155776,1.1842119984882686,0.2528765539020033
K,-0.3,220,2.1,0.19920904282375781,0.9415137432998705,0.01999355062383864
pi,-0.3,220,2.12,0.22951204740155776,1.1888021189598743,0.25974645626524023
K,-0.3,220,2.12,0.19920904282375781,0.9482770970561823,0.022628911432880133
pi,-0.3,220,2.14,0.22951204740155776,1.1933751123582395,0.26672803905162723
K,-0.3,220,2.14,0.19920904282375781,0.9550755617518764,0.025407855612725225
pi,-0.3,220,2.16,0.22951204740155776,1.197929474187336,0.27382174872901904
K,-0.3,220,2.16,0.19920904282375781,0.9619065285023841,0.028331664235685887
pi,-0.3,220,2.18,0.22951204740155776,1.2024636924542589,0.28102802068374827
K,-0.3,220,2.18,0.19920904282375781,0.968767421643049,0.031401356185089484
pi,-0.3,220,2.2,0.22951204740155776,1.206976247671618,0.28834727931777193
K,-0.3,220,2.2,0.19920904282375781,0.9756556973663449,0.034617759964205574
pi,-0.3,220,2.22,0.22951204740155776,1.211465612853467,0.29577993814750153
K,-0.3,220,2.22,0.19920904282375781,0.9825688424491321,0.037981561294798384
pi,-0.3,220,2.24,0.22951204740155776,1.2159302535046532,0.3033263999042316
K,-0.3,220,2.24,0.19920904282375781,0.9895043730515245,0.04149333569958254
pi,-0.3,220,2.26,0.22951204740155776,1.2203686276034857,0.3109870566360932
K,-0.3,220,2.26,0.19920904282375781,0.9964598335750224,0.04515357144494223
pi,-0.3,220,2.28,0.22951204740155776,1.224779185577613,0.3187622898114514
K,-0.3,220,2.28,0.19920904282375781,1.003432795571351,0.048962686107784655
pi,-0.3,220,2.3,0.22951204740155776,1.229160370272989,0.32665247042366824
K,-0.3,220,2.3,0.19920904282375781,1.0104208566958532,0.05292103881319283
pi,-0.3,220,2.32,0.22951204740155776,1.2335106169158245,0.33465795909715873
K,-0.3,220,2.32,0.19920904282375781,1.0174216397008842,0.05702893946318926
pi,-0.3,220,2.34,0.22951204740155776,1.2378283530674012,0.3427791061946598
K,-0.3,220,2.34,0.19920904282375781,1.0244327914656746,0.06128665582995732
pi,-0.3,220,2.36,0.22951204740155776,1.242111998571624,0.35101625192564206
K,-0.3,220,2.36,0.19920904282375781,1.0314519820598647,0.06569441910429556
pi,-0.3,220,2.38,0.22951204740155776,1.2463599654952051,0.35936972645578646
K,-0.3,220,2.38,0.19920904282375781,1.0384769038383816,0.07025242830705108
pi,-0.3,220,2.4,0.22951204740155776,1.2505706580603337,0.3678398500174589
K,-0.3,220,2.4,0.19920904282375781,1.0455052705656906,0.07496085385014603
pi,-0.3,220,2.42,0.22951204740155776,1.2547424725697236,0.3764269330211055
K,-0.3,220,2.42,0.19920904282375781,1.052534816567687,0.07981984045205234
pi,-0.3,220,2.44,0.22951204740155776,1.2588737973238908,0.38513127616750475
K,-0.3,220,2.44,0.19920904282375781,1.0595632959096866,0.08482950955638595
pi,-0.3,220,2.46,0.22951204740155776,1.2629630125305298,0.3939531705608015
K,-0.3,220,2.46,0.19920904282375781,1.0665884815990978,0.08998996136307245
pi,-0.3,220,2.48,0.22951204740155776,1.2670084902058707,0.4028928978222602
K,-0.3,220,2.48,0.19920904282375781,1.073608164811477,0.09530127655371443
pi,-0.3,220,2.5,0.22951204740155776,1.2710085940678137,0.41195073020466816
K,-0.3,220,2.5,0.19920904282375781,1.080620154138733,0.10076351777281105
pi,-0.3,220,2.52,0.22951204740155776,1.2749616794207683,0.42112693070732427
K,-0.3,220,2.52,0.19920904282375781,1.0876222748583324,0.10637673091192174
pi,-0.3,220,2.54,0.22951204740155776,1.2788660930319857,0.4304217531915489
K,-0.3,220,2.54,0.19920904282375781,1.0946123682224036,0.11214094623314239
pi,-0.3,220,2.56,0.22951204740155776,1.28272017299925,0.4398354424966529
K,-0.3,220,2.56,0.19920904282375781,1.1015882907656804,0.11805617936027754
pi,-0.3,220,2.58,0.22951204740155776,1.2865222486097563,0.4493682345563051
K,-0.3,220,2.58,0.19920904282375781,1.1085479136312963,0.12412243216006605
pi,-0.3,220,2.6,0.22951204740155776,1.290270640190009,0.4590203565152346
K,-0.3,220,2.6,0.19920904282375781,1.1154891219134122,0.13033969353124927
pi,-0.3,220,2.62,0.22951204740155776,1.293963658946554,0.46879202684621435
K,-0.3,220,2.62,0.19920904282375781,1.122409814015806,0.13670794011575202
pi,-0.3,220,2.64,0.22951204740155776,1.2975996067973692,0.4786834554672644
K,-0.3,220,2.64,0.19920904282375781,1.1293079010254594,0.1432271369435252
pi,-0.3,220,2.66,0.22951204740155776,1.301176776193719,0.4886948438590223
K,-0.3,220,2.66,0.19920904282375781,1.136181306100294,0.1498972380204722
pi,-0.3,220,2.68,0.22951204740155776,1.3046934499322678,0.4988263851822205
K,-0.3,220,2.68,0.19920904282375781,1.1430279638702128,0.15671818686720437
pi,-0.3,220,2.7,0.22951204740155776,1.3081479009572523,0.509078264395225
K,-0.3,220,2.7,0.19920904282375781,1.149845819850609,0.16368991701504093
pi,-0.3,220,2.72,0.22951204740155776,1.3115383921524923,0.5194506583715762
K,-0.3,220,2.72,0.19920904282375781,1.1566328298675652,0.17081235246460694
pi,-0.3,220,2.74,0.22951204740155776,1.3148631761230156,0.5299437360174871
K,-0.3,220,2.74,0.19920904282375781,1.16338695949396,0.17808540811151607
pi,-0.3,220,2.76,0.22951204740155776,1.3181204949660612,0.5405576583892439
K,-0.3,220,2.76,0.19920904282375781,1.1701061834957396,0.18550899014294334
pi,-0.3,220,2.78,0.22951204740155776,1.3213085800312185,0.5512925788104664
K,-0.3,220,2.78,0.19920904282375781,1.1767884852876265,0.19308299640830948
pi,-0.3,220,2.8,0.22951204740155776,1.3244256516694421,0.5621486429891793
K,-0.3,220,2.8,0.19920904282375781,1.183431856397564,0.20080731676684255
pi,-0.3,220,2.82,0.22951204740155776,1.3274699189706822,0.5731259891346474
K,-0.3,220,2.82,0.19920904282375781,1.1900342959392087,0.2086818334143891
pi,-0.3,220,2.84,0.22951204740155776,1.3304395794898358,0.5842247480739372
K,-0.3,220,2.84,0.19920904282375781,1.1965938100918072,0.21670642119152855
pi,-0.3,220,2.86,0.22951204740155776,1.333332818960782,0.5954450433681511
K,-0.3,220,2.86,0.19920904282375781,1.2031084115868103,0.22488094787477303
pi,-0.3,220,2.88,0.22951204740155776,1.336147810998059,0.6067869914283102
K,-0.3,220,2.88,0.19920904282375781,1.209576119200596,0.2332052744524119
pi,-0.3,220,2.9,0.22951204740155776,1.3388827167860808,0.6182507016308261
K,-0.3,220,2.9,0.19920904282375781,1.215994957252682,0.24167925538635865
pi,-0.3,220,2.92,0.22951204740155776,1.341535684755352,0.629836276432538
K,-0.3,220,2.92,0.19920904282375781,1.2223629551088393,0.25030273886121024
pi,-0.3,220,2.94,0.22951204740155776,1.344104850245452,0.6415438114852758
K,-0.3,220,2.94,0.19920904282375781,1.2286781466885126,0.2590755670215746
pi,-0.3,220,2.96,0.22951204740155776,1.3465883351543895,0.6533733957499035
K,-0.3,220,2.96,0.19920904282375781,1.2349385699759863,0.2679975761986067
pi,-0.3,220,2.98,0.22951204740155776,1.3489842475739435,0.665325111609822
K,-0.3,220,2.98,0.19920904282375781,1.2411422665347296,0.2770685971265986
pi,-0.3,220,3.0,0.22951204740155776,1.3512906814105996,0.6773990349838895
K,-0.3,220,3.0,0.19920904282375781,1.247287281024381,0.28628845515036283
pi,-0.3,220,3.02,0.22951204740155776,1.3535057159916553,0.6895952354387282
K,-0.3,220,3.02,0.19920904282375781,1.253371660719833,0.29565697042408684
pi,-0.3,220,3.04,0.22951204740155776,1.3556274156560622,0.7019137763003909
K,-0.3,220,3.04,0.19920904282375781,1.259393455031892,0.3051739581022567
pi,-0.3,220,3.06,0.22951204740155776,1.3576538293295404,0.7143547147653535
K,-0.3,220,3.06,0.19920904282375781,1.2653507150289924,0.3148392285231958
pi,-0.3,220,3.08,0.22951204740155776,1.3595829900834855,0.7269181020108074
K,-0.3,220,3.08,0.19920904282375781,1.2712414929594622,0.3246525873857047
pi,-0.3,220,3.1,0.22951204740155776,1.3614129146771647,0.7396039833042233
K,-0.3,220,3.1,0.19920904282375781,1.2770638417738287,0.33461383591924954
pi,-0.3,220,3.12,0.22951204740155776,1.3631416030826689,0.7524123981121623
K,-0.3,220,3.12,0.19920904282375781,1.2828158146466728,0.3447227710481
pi,-0.3,220,3.14,0.22951204740155776,1.364767037992066,0.7653433802083102
K,-0.3,220,3.14,0.19920904282375781,1.2884954644975364,0.35497918554978325
pi,-0.3,220,3.16,0.22951204740155776,1.3662871843061761,0.7783969577807064
K,-0.3,220,3.16,0.19920904282375781,1.2941008435104007,0.3653828682081875
pi,-0.3,220,3.18,0.22951204740155776,1.3676999886043524,0.7915731535381496
K,-0.3,220,3.18,0.19920904282375781,1.2996300026512368,0.3759336039616188
pi,-0.3,220,3.2,0.22951204740155776,1.3690033785946285,0.8048719848157625
K,-0.3,220,3.2,0.19920904282375781,1.3050809911831613,0.38663117404609393
pi,-0.3,220,3.22,0.22951204740155776,1.3701952625435532,0.8182934636796806
K,-0.3,220,3.22,0.19920904282375781,1.3104518561787053,0.39747535613411655
pi,-0.3,220,3.24,0.22951204740155776,1.3712735286850124,0.8318375970308683
K,-0.3,220,3.24,0.19920904282375781,1.3157406420287132,0.40846592446918367
pi,-0.3,220,3.26,0.22951204740155776,1.3722360446072877,0.8455043867080211
K,-0.3,220,3.26,0.19920904282375781,1.3209453899473966,0.4196026499962235
pi,-0.3,220,3.28,0.22951204740155776,1.3730806566176026,0.859293829589553
K,-0.3,220,3.28,0.19920904282375781,1.326064137473055,0.43088530048817675
pi,-0.3,220,3.3,0.22951204740155776,1.373805189083209,0.8732059176946475
K,-0.3,220,3.3,0.19920904282375781,1.3310949179639702,0.44231364066889495
pi,-0.3,220,3.32,0.22951204740155776,1.3744074437484017,0.8872406382833542
K,-0.3,220,3.32,0.19920904282375781,1.3360357600889923,0.45388743233253076
pi,-0.3,220,3.34,0.22951204740155776,1.3748851990262643,0.9013979739557216
K,-0.3,220,3.34,0.19920904282375781,1.3408846873123175,0.4656064344595753
pi,-0.3,220,3.36,0.22951204740155776,1.3752362092643962,0.9156779027499523
K,-0.3,220,3.36,0.19920904282375781,1.3456397173719539,0.47747040332968577
pi,-0.3,220,3.38,0.22951204740155776,1.375458203983532,0.9300803982395646
K,-0.3,220,3.38,0.19920904282375781,1.3502988617513745,0.4894790926314458
pi,-0.3,220,3.4,0.22951204740155776,1.375548887088011,0.9446054296295504
K,-0.3,220,3.4,0.19920904282375781,1.3548601251438241,0.5016322535691703
pi,-0.3,220,3.42,0.22951204740155776,1.3755059360469926,0.9592529618515263
K,-0.3,220,3.42,0.19920904282375781,1.3593215049087888,0.5139296349668858
pi,-0.3,220,3.44,0.22951204740155776,1.3753270010452414,0.9740229556578535
K,-0.3,220,3.44,0.19920904282375781,1.363680990520036,0.5263709833695884
pi,-0.3,220,3.46,0.22951204740155776,1.375009704102244,0.9889153677147337
K,-0.3,220,3.46,0.19920904282375781,1.3679365630047473,0.5389560431418772
pi,-0.3,220,3.48,0.22951204740155776,1.374551638158373,1.0039301506942584
K,-0.3,220,3.48,0.19920904282375781,1.3720861943731275,0.5516845565640676
pi,-0.3,220,3.5,0.22951204740155776,1.3739503661267143,1.0190672533654197
K,-0.3,220,3.5,0.19920904282375781,1.3761278470379503,0.5645562639258646
pi,0.0,220,0.3,0.23260893016295728,0.9302372671216037,-0.0
K,0.0,220,0.3,0.20119480741804185,0.7988707147219982,-0.0
pi,0.0,220,0.32,0.23260893016295728,0.9314567756460346,-0.0
K,0.0,220,0.32,0.20119480741804185,0.8005382912800839,-0.0
pi,0.0,220,0.34,0.23260893016295728,0.93278881104833,-0.0
K,0.0,220,0.34,0.20119480741804185,0.8024099260640013,-0.0
pi,0.0,220,0.36,0.23260893016295728,0.9342546545406022,-0.0
K,0.0,220,0.36,0.20119480741804185,0.8045196021062008,-0.0
pi,0.0,220,0.38,0.23260893016295728,0.9359102094832407,-0.0
K,0.0,220,0.38,0.20119480741804185,0.8069128155198225,-0.0
pi,0.0,220,0.4,0.23260893016295728,0.9379311509003525,0.0003659416881435763
K,0.0,220,0.4,0.20119480741804185,0.809652313704254,-0.0
pi,0.0,220,0.42,0.23260893016295728,0.9395525924350518,0.0008294125209710944
K,0.0,220,0.42,0.20119480741804185,0.8128279634267483,-0.0
pi,0.0,220,0.44,0.23260893016295728,0.9412497371246391,0.0012209825049996762
K,0.0,220,0.44,0.20119480741804185,0.8165749471122656,-0.0
pi,0.0,220,0.46,0.23260893016295728,0.9430221055662522,0.0016146572542614472
K,0.0,220,0.46,0.20119480741804185,0.8211105475292211,-0.0
pi,0.0,220,0.48,0.23260893016295728,0.9448691972176619,0.0020278010864490147
K,0.0,220,0.48,0.20119480741804185,0.8268187045040073,-0.0
pi,0.0,220,0.5,0.23260893016295728,0.9467904905575373,0.0024681883347758182
K,0.0,220,0.5,0.20119480741804185,0.8344874795686487,-0.0
pi,0.0,220,0.52,0.23260893016295728,0.9487854432448319,0.0029404287290695054
K,0.0,220,0.52,0.20119480741804185,0.8463059082296083,-0.0
pi,0.0,220,0.54,0.23260893016295728,0.9508534922831771,0.003447766372460663
K,0.0,220,0.54,0.20119480741804185,0.8826231039084044,-0.0
