channel,xi,T_MeV,re_full,im_full,re_indirect,im_indirect,re_direct,im_direct,k0,gamma,Phi,Phibar
K,-0.3,145,1.0436086126027746,-0.0,1.0439641729736506,-0.0,-0.0003555603708760291,0.0,2.520056796435261,0.0,0.05115899125337717,0.05115899125337717
K,-0.3,150,1.0445360903121155,-0.0,1.0450790838600648,-0.0,-0.0005429935479492887,0.0,2.518894432897516,0.0,0.06694989062969062,0.06694989062969063
K,-0.3,155,1.046046444506758,-0.0,1.0468948335578576,-0.0,-0.0008483890510995185,0.0,2.5169823321476024,0.0,0.08992157461950927,0.08992157461950927
K,-0.3,160,1.0487897735120522,-0.0,1.050192208606565,-0.0,-0.0014024350945127662,0.0,2.5135659448275254,0.0,0.1275038727414462,0.1275038727414462
K,-0.3,165,1.0550746544030534,-0.0,1.0577395226358977,-0.0,-0.0026648682328442863,0.0,2.5063485767150624,0.0,0.2038774925987227,0.2038774925987227
K,-0.3,170,1.0686127552664675,-0.0,1.0739576437664553,-0.0,-0.005344888499987821,0.0,2.4939596328647604,0.0,0.32981930955883454,0.32981930955883454
K,-0.3,175,1.0848000857121636,-0.0,1.0932716256348707,-0.0,-0.008471539922707105,0.0,2.4844604220062942,0.0,0.42091168637306053,0.42091168637306053
K,-0.3,180,1.1044938039949732,-0.0,1.116634230475656,-0.0,-0.012140426480682809,0.0,2.48076522784131,0.0,0.4849900494623046,0.4849900494623046
K,-0.3,185,1.131349539220611,-0.0,1.1482229189365203,-0.0,-0.016873379715909298,0.0,2.4890560822665835,0.0,0.5355287216623567,0.5355287216623567
K,-0.3,190,1.1695058996669396,-0.0,1.192600987066645,-0.0,-0.02309508739970534,0.0,2.5201827693547876,0.0,0.5769408696857532,0.5769408696857532
K,-0.3,195,1.2080301067988546,-1.649049515796016e-17,1.2372485347271873,-1.6606838216253697e-17,-0.029218427928332735,1.1634305829353806e-19,2.515054243246489,8.005192584384514e-17,0.608273919910902,0.6082739199109019
K,-0.3,200,1.229422806422585,2.9368725033381246e-9,1.2640071327824363,-4.789424353899477e-5,-0.034584326359851314,4.789718041149811e-5,2.6094777455040945,0.4075249737689781,0.6320829520250081,0.632082952025008
K,-0.3,205,1.2406189183379912,3.7899742961363987e-10,1.2796165026738766,0.00016872081060309848,-0.038997584335885405,-0.00016872043160566887,2.67457187929169,0.553717923179396,0.6524823468515375,0.6524823468515375
K,-0.3,210,1.2473349188478682,5.244856543594161e-11,1.2905924348173259,0.00030152057719737247,-0.043257515969457705,-0.000301520524748807,2.7161980860684523,0.6679479108050141,0.6708010088879942,0.6708010088879941
K,-0.3,215,1.251793493572203,3.878512056858701e-13,1.2994160275056539,0.00038990162917001,-0.04762253393345084,-0.0003899016287821588,2.7461638406479865,0.7747170344373291,0.6875167932298244,0.6875167932298244
K,-0.3,220,1.2549631103929153,-8.227183601894164e-12,1.3071534193546195,0.0004567124622049014,-0.05219030896170418,-0.00045671247043208496,2.770168678905525,0.8820508377107258,0.702888392703118,0.702888392703118
K,-0.3,225,1.2573287295554194,-9.239045652819521e-12,1.3143355194481325,0.0005152058439621572,-0.05700678989271313,-0.0005152058532012029,2.791514099959864,0.9935393190452252,0.7170916476065353,0.7170916476065353
K,-0.3,230,1.2591597586254593,-1.0828584284179119e-11,1.32125398542994,0.0005746906573988238,-0.062094226804480845,-0.0005746906682274081,2.812418306217847,1.1110159918139053,0.7302597490861144,0.7302597490861144
K,-0.3,235,1.2606178749255186,-1.528551534960441e-11,1.3280775947384915,0.0006428618110808408,-0.06745971981297294,-0.0006428618263663562,2.834515740579649,1.235385472740263,0.7424995164190672,0.7424995164190672
K,-0.3,240,1.2618060565565934,-2.194624308570838e-11,1.3349044329951893,0.0007265507892966893,-0.07309837643859596,-0.0007265508112429324,2.8590438989290043,1.3669397961202838,0.7538998455645175,0.7538998455645175
K,-0.3,245,1.2627930696866951,-2.745060525894521e-11,1.3417883872956797,0.0008316911904959057,-0.0789953176089846,-0.000831691217946511,2.886902864069157,1.5055210091143227,0.7645368631727912,0.7645368631727912
K,-0.3,250,1.263626618403481,-2.6316850007381434e-11,1.3487545972067088,0.0009629187411049206,-0.08512797880322776,-0.0009629187674217706,2.918671605183466,1.6506464961395138,0.774477310583614,0.774477310583614
K,-0.3,255,1.2643408283058994,-1.23515743574936e-11,1.355809819505073,0.0011231145432610693,-0.09146899119917351,-0.0011231145556126437,2.9546239399231227,1.801630806532474,0.7837807706431994,0.7837807706431994
K,-0.3,260,1.264960718889111,1.8933132257302515e-11,1.3629500400069643,0.001313127014992726,-0.0979893211178533,-0.0013131269960595937,2.994762702135623,1.9577025385906648,0.7925010706309028,0.7925010706309028
