# script=scripts/analysis/relaxtime/meson_mixed/run_globalmin_window_experiment.jl
# window.xi=-0.3
# window.T_MeV=[220,280]
# merged_from=mixed_window_globalmin_xi-0p3_muB0,mixed_window_globalmin_xi-0p3_muB0_next2
# merged_at_utc=2026-04-17T13:43:22Z
lib,T_MeV,muB_MeV,xi,global_seed_mass,global_seed_gamma,global_obj,M_eta,M_eta_prime,Gamma_eta,Gamma_eta_prime,residual_eta,residual_eta_prime,selected_method_eta,selected_method_eta_prime,status,error_message
nlopt,258.0,0.0,-0.3,3.184567901234568,2.7222222222222223,0.005384632004396588,2.906185695875267,2.868558018807,1.1478157242191158,2.559912780314152,6.702971511174383e-15,0.005384632004907464,trust_region,trust_region,ok,
nlopt,260.0,0.0,-0.3,3.238888888888889,1.8703703703703707,1.249000902703301e-16,2.927276929912708,2.877661166940237,1.2802258284738632,2.6547511529909538,3.29250515740398e-15,2.8501853654994136e-12,current,trust_region,ok,
nlopt,262.0,0.0,-0.3,3.0080246913580244,1.8703703703703707,4.85722573273506e-17,2.94884235554277,2.8999559503034282,1.4026587580824748,2.6950027098741223,1.5333290193098037e-12,9.71445146547012e-17,trust_region,newton,ok,
nlopt,264.0,0.0,-0.3,2.2067901234567904,0.20370370370370378,5.806986835832362e-16,2.9708524166784414,2.922463314546631,1.5175843461462881,2.7361552310425097,6.24986173924924e-14,7.593752016088473e-16,trust_region,newton,ok,
nlopt,266.0,0.0,-0.3,2.261111111111111,0.5,1.9212062496443139e-16,2.9932770659031323,2.945177741016079,1.6266465396236474,2.77821392309255,1.0269562977782698e-15,2.90132501357121e-16,trust_region,newton,ok,
nlopt,268.0,0.0,-0.3,2.288271604938272,0.5,9.194034422677078e-17,3.016086065055308,2.9680922627089137,1.731004876140944,2.8211812805592307,2.230854390106174e-15,1.457167719820518e-16,trust_region,newton,ok,
nlopt,270.0,0.0,-0.3,3.075925925925926,1.95679012345679,3.5561831257524545e-17,3.039249267240966,2.9911986713664884,1.8315135072789537,2.865057268183033,5.3013149425851225e-15,9.020562075079397e-17,trust_region,newton,ok,
nlopt,272.0,0.0,-0.3,3.075925925925926,1.9444444444444444,4.163336342344337e-17,3.06273686915275,3.0144877118799576,1.9288232089570332,2.9098395394339307,3.71057351511439e-15,1.5048726154098802e-16,trust_region,newton,ok,
nlopt,274.0,0.0,-0.3,2.75,1.5,1.5959455978986625e-16,3.086519628764213,3.0379492655861466,2.0234433278669552,2.9555236709721093,1.739580701709542e-14,1.8908485888147197e-16,trust_region,newton,ok,
nlopt,276.0,0.0,-0.3,2.7907407407407407,1.5370370370370372,1.0321604682062002e-16,3.1105690470120217,3.0615725216750547,2.1157813426534586,3.0021034005784766,6.369210714396445e-14,2.437286483747414e-16,trust_region,newton,ok,
nlopt,278.0,0.0,-0.3,2.7545267489711933,1.5740740740740737,6.245004513516506e-17,3.1348575142139814,3.085346135482717,2.206169186826672,3.0495708602677696,2.318284453295405e-14,1.5959455978986625e-16,trust_region,newton,ok,
nlopt,280.0,0.0,-0.3,2.75,1.5246913580246915,1.1102230246251565e-16,3.1593584233350716,3.1092583726672354,2.2948813716309853,3.0979167989555214,4.3194614551822497e-16,1.1102230246251565e-16,trust_region,newton,ok,
metaheuristics,220.0,0.0,-0.3,3.086495842626739,1.9132630079274793,0.01586035352373289,3.186262862437107,3.07584041598544,0.004705518855510104,0.43811785719486085,5.9136098795598e-12,0.01586035352367148,trust_region,trust_region,ok,
metaheuristics,222.0,0.0,-0.3,2.9439764578608703,2.4628828235841618,0.0173393612983774,3.1709718221866856,2.2435527736080996,0.004000688395821475,2.286874471688656,1.4262744353621404e-9,0.09608871430706359,trust_region,newton,ok,
metaheuristics,224.0,0.0,-0.3,2.954257625164326,2.4405499514434275,0.018914337540529555,3.155060004150907,3.0325792822638697,0.003417100436321785,0.5047548468319967,9.17333223271477e-12,0.018914337558727286,trust_region,trust_region,ok,
metaheuristics,226.0,0.0,-0.3,2.9338656143896604,2.2121398189365316,0.02059130175702671,3.1384468084944928,3.0103575431260667,0.0029299654696886826,0.5402403465531528,1.5716594692349872e-14,0.020591301757923758,current,trust_region,ok,
metaheuristics,228.0,0.0,-0.3,3.026608938638545,2.0941879800450907,0.02237774831116896,3.1210398580687757,2.9876972815761733,0.0025204168628069146,0.5771716022989214,3.5915714846623814e-14,0.02237774831037205,current,trust_region,ok,
metaheuristics,230.0,0.0,-0.3,2.8603177544172733,1.331731521544362,0.02428199344801353,3.1027296137331613,2.9790699930816307,0.002173865549799909,0.6393471544530076,7.91033905045424e-16,0.025555620554975712,current,trust_region,ok,
metaheuristics,232.0,0.0,-0.3,2.820790134349979,1.560703123852735,0.02631342404896652,3.0833826579587202,2.9410433578261825,0.0018789001112750829,0.6557345939382274,3.653674585102351e-14,0.026313424048740288,current,trust_region,ok,
metaheuristics,234.0,0.0,-0.3,2.912712982911862,2.942252322103319,0.028480455687509905,3.0628328274540375,2.9170431713403913,0.0016264940708838073,0.6975365270758563,2.0393409183583344e-13,0.028480455685376882,trust_region,trust_region,ok,
metaheuristics,236.0,0.0,-0.3,2.918867651964576,2.4825529779096627,0.030790083852403942,3.0408688384219693,2.43075963207366,0.0014094313461942647,2.7728275771691457,2.0328461136642773e-12,0.10294499512449798,current,newton,ok,
metaheuristics,238.0,0.0,-0.3,2.871304829601381,2.7926015498818266,0.03325756871068179,3.017216130647573,2.732183401188456,0.0012218832265029347,2.8044358607755524,1.0442133963062261e-10,0.1045445738189766,current,newton,ok,
metaheuristics,240.0,0.0,-0.3,2.9384017729131413,2.843299255586891,0.03588709626217242,2.9915088240632093,2.924289810228543,0.0010590903940025376,2.910338046024399,3.0899172109855044e-12,0.13793913652217699,current,newton,ok,
metaheuristics,242.0,0.0,-0.3,2.7397119537758416,1.7275621294307844,0.03869493203696438,2.963243860916947,2.876041225834658,0.0009171188991211236,1.0270464403996087,5.775116496131716e-12,0.04836209048327446,current,trust_region,ok,
metaheuristics,244.0,0.0,-0.3,2.89919467817519,2.1332134958465723,0.04169406233977951,2.9317006981160385,2.3150295281751254,0.000792663255835427,1.8520780004557666,8.800807305142655e-13,0.10652016051530605,current,newton,ok,
metaheuristics,246.0,0.0,-0.3,3.2958499113413566,2.0782897816927903,0.04489758775808191,2.8957872895638386,2.915948223696984,0.0006828723759637182,2.929495301558763,2.402716914318148e-12,0.17703236067001507,current,newton,ok,
metaheuristics,248.0,0.0,-0.3,3.2179787737237566,2.323409177715386,0.038034088200743596,2.8537094245672643,3.038297556374695,0.0005851593048026328,2.4721877290817735,1.0057232824323137e-13,0.03803408820140675,trust_region,trust_region,ok,
metaheuristics,250.0,0.0,-0.3,3.2670038100310177,2.218637766614257,0.030863974695974676,2.827126767889234,2.971874399051961,0.31340301304831725,2.4167329622869267,3.1363800445660672e-15,0.030992995734952955,current,trust_region,ok,
metaheuristics,252.0,0.0,-0.3,3.0910397693300427,2.371808720851001,0.02401746494996814,2.8460400013621436,2.896882934654658,0.6271680842631157,2.339885695003118,2.040034807748725e-15,0.02468489540754351,current,trust_region,ok,
metaheuristics,254.0,0.0,-0.3,3.0370456153956247,2.3830498910998394,0.017491579478553468,2.865539889298591,2.8349688739607015,0.8335515137655121,2.2948164026067523,1.2490009027033011e-15,0.018736174097680157,current,trust_region,ok,
metaheuristics,256.0,0.0,-0.3,2.9045578538746,2.5294579513346163,0.011282328046502352,2.8855974250601175,2.8985525681943,1.0014022934142806,2.5377277746101177,1.4830636718698997e-12,0.011282328046514654,trust_region,trust_region,ok,
metaheuristics,258.0,0.0,-0.3,3.2374237085595508,2.7430388208617678,0.005384428489483679,2.906185695875267,2.867966110124432,1.1478157242191158,2.5587096258938993,6.702971511174383e-15,0.00538442848917825,trust_region,trust_region,ok,
metaheuristics,260.0,0.0,-0.3,3.232274178394329,2.5836135421031314,3.7621815385247004e-17,2.927276929912708,2.877661166940053,1.2802258284738632,2.6547511530334327,3.29250515740398e-15,3.301734428397263e-17,trust_region,newton,ok,
metaheuristics,262.0,0.0,-0.3,2.2769696797840266,1.8942967063282183,4.85722573273506e-17,2.94884235554277,2.899955927379617,1.4026587580824748,2.695002671705514,1.5333290193098037e-12,4.311044614173365e-9,current,trust_region,ok,
metaheuristics,264.0,0.0,-0.3,2.3045476720306235,1.6370884401794967,6.722053469410127e-17,2.9708524166784414,2.922463274319033,1.5175843461462881,2.736155250642468,6.24986173924924e-14,6.8721886375966434e-9,trust_region,newton,ok,
metaheuristics,266.0,0.0,-0.3,2.2019039227557355,0.4591861128942531,6.505213034913027e-17,2.9932770659031323,2.9451777410160793,1.6266465396236474,2.7782139230925518,1.0269562977782698e-15,4.0288952729561345e-16,trust_region,newton,ok,
metaheuristics,268.0,0.0,-0.3,2.2754317817226353,0.6067120240455749,7.806255641895632e-17,3.016086065055308,2.9680922627089146,1.731004876140944,2.821181280559231,2.230854390106174e-15,2.5543803183758484e-16,trust_region,newton,ok,
metaheuristics,270.0,0.0,-0.3,2.6742360058282233,2.0050783154757275,3.5561831257524545e-17,3.039249267240966,2.9911986713664875,1.8315135072789537,2.8650572681830315,5.3013149425851225e-15,1.9038590148845458e-16,trust_region,newton,ok,
metaheuristics,272.0,0.0,-0.3,2.9287379927101043,1.6290560002747165,4.163336342344337e-17,3.06273686915275,3.014487711879957,1.9288232089570332,2.909839539433928,3.71057351511439e-15,3.469446951953614e-17,trust_region,newton,ok,
metaheuristics,274.0,0.0,-0.3,2.6768055813108464,2.9524571520614016,2.0816681711721685e-17,3.086519628764213,3.0379492655861453,2.0234433278669552,2.955523670972108,1.739580701709542e-14,1.249000902703301e-16,trust_region,newton,ok,
metaheuristics,276.0,0.0,-0.3,2.6435165604713844,2.898986751100959,2.5153490401663703e-17,3.1105690470120217,3.0615725216750533,2.1157813426534586,3.0021034005784735,6.369210714396445e-14,1.6046192152785466e-16,trust_region,newton,ok,
metaheuristics,278.0,0.0,-0.3,2.624381380099882,2.98176895307199,1.9949319973733282e-17,3.1348575142139814,3.0853461354827165,2.206169186826672,3.0495708602677682,2.318284453295405e-14,1.951563910473908e-16,trust_region,newton,ok,
metaheuristics,280.0,0.0,-0.3,2.7858018280604506,2.254137544908107,8.673617379884035e-17,3.1593584233350716,3.1092583726672354,2.2948813716309853,3.0979167989555205,4.3194614551822497e-16,8.673617379884035e-17,trust_region,newton,ok,
