method,xi,T_MeV,rho,muq_MeV,rho_level,sampling_role
independent_oracle,0.0,5.0,3.590625,403.458784,1,fine_grid
independent_oracle,0.0,5.0,3.59375,403.573292,0,coarse_grid
independent_oracle,0.0,5.0,3.596875,403.687744,1,fine_grid
independent_oracle,0.0,5.0,3.6,403.80214,0,coarse_grid
independent_oracle,0.0,5.0,3.603125,403.916479,1,fine_grid
independent_oracle,0.0,5.0,3.60625,404.030763,0,coarse_grid
independent_oracle,0.0,5.0,3.609375,404.144991,1,fine_grid
independent_oracle,0.0,5.0,3.6125,404.259163,0,coarse_grid
independent_oracle,0.0,5.0,3.615625,404.373279,1,fine_grid
independent_oracle,0.0,5.0,3.61875,404.487339,0,coarse_grid
independent_oracle,0.0,5.0,3.621875,404.601344,1,fine_grid
independent_oracle,0.0,5.0,3.625,404.715292,0,coarse_grid
independent_oracle,0.0,5.0,3.628125,404.829185,1,fine_grid
independent_oracle,0.0,5.0,3.63125,404.943022,0,coarse_grid
independent_oracle,0.0,5.0,3.634375,405.056803,1,fine_grid
independent_oracle,0.0,5.0,3.6375,405.170528,0,coarse_grid
independent_oracle,0.0,5.0,3.640625,405.284198,1,fine_grid
independent_oracle,0.0,5.0,3.64375,405.397812,0,coarse_grid
independent_oracle,0.0,5.0,3.646875,405.51137,1,fine_grid
