sqrt_s_NN_GeV,background_p,channel,q_inv_fm,route,bound,unitary,landau,shell_inv_fm2,gap_count,contour_count,contour_passed,static_passed,root_nodes_stable,levinson_residual,threshold_phase_over_pi,threshold_offset,threshold_phase_at_1e7_over_pi,threshold_limit_change,threshold_limit_passed,upper_phase,branch_passed,reference_boundary_passed,failed_gates,passed,status,production_authorized
200.0,48,pi_minus,0.2469017919890688,direct_finite_q,0.23404218296259324,-0.0021884463673688065,4.4644524601189134e-9,0.0007160326909828356,1,1,true,true,true,-5.4392796933200316e-9,0.9999999945607203,1.0e-10,0.9999945609477421,4.895348631740583e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_minus,0.4543378919823957,direct_finite_q,0.1313457600886908,-0.002311342335886373,1.925085891720014e-8,0.0013493785665641964,1,1,true,true,true,-5.936532265771177e-9,0.9999999940634677,1.0e-10,0.9999940637365801,5.3428752644286375e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_minus,0.7199920561043887,direct_finite_q,0.07416287551463593,-0.00245560358768703,4.7029999638810386e-8,0.0018831683807228991,1,1,true,true,true,-6.743910874185133e-9,0.9999999932560891,1.0e-10,0.9999932564320314,6.069514922323377e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_minus,1.0395032336857826,direct_finite_q,0.04213596368750782,-0.0026042773834870784,8.219764471330456e-8,0.002164054489168172,1,1,true,true,true,-8.068828605267697e-9,0.9999999919311714,1.0e-10,0.9999919316541137,7.261938953814436e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_minus,1.4076253922520978,direct_finite_q,0.024160116623407057,-0.0027343299962131144,1.1393142441101646e-7,0.002150718292353464,1,1,true,true,true,-1.03432318265817e-8,0.9999999896567682,1.0e-10,0.9999896575434916,9.308897510706006e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_minus,1.8183141144446417,direct_finite_q,0.014075865003182328,-0.0028169671148503203,1.3286663697546625e-7,0.001885858415832104,1,1,true,true,true,-1.4587608787586248e-8,0.9999999854123912,1.0e-10,0.9999854138850599,1.3128826193800026e-7,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_minus,2.2648259694958197,direct_finite_q,0.00840882179001188,-0.002817854257125316,1.3616933832602522e-7,0.0014529058715137529,1,1,true,true,true,-2.373399676791621e-8,0.9999999762660032,1.0e-10,0.9999762697865467,2.136054092282542e-7,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_minus,2.7398292812153464,direct_finite_q,0.005193572940094701,-0.0026988670851584543,1.272346669886241e-7,0.000948765229163894,1,1,true,true,true,-4.973758827020447e-8,0.9999999502624117,1.0e-10,0.9999502780366909,4.476359164055516e-7,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_minus,3.2355245301055344,direct_finite_q,0.003323913631128263,-0.002428745001121992,1.1171390833904005e-7,0.00047480873722207745,1,1,true,true,true,-2.2698335289117466e-7,0.9999997730166471,1.0e-10,0.9997733155806229,2.04280298239288e-6,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_minus,3.7437724285495775,direct_finite_q,0.0,0.00020462333443080583,9.411206271128405e-8,0.00014535969326915377,0,0,true,true,true,2.1646877171059086e-7,2.1646877171059086e-7,1.0e-10,0.00021671205640670595,1.94825927273973e-6,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_minus,4.256227571450422,direct_finite_q,0.0,3.3365827029956444e-5,7.694984324604814e-8,3.069179379194773e-5,0,0,true,true,true,1.2203729743236962e-7,1.2203729743236962e-7,1.0e-10,0.00012210349233396313,1.0983475161954144e-6,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_minus,4.764475469894466,direct_finite_q,0.0,3.76408245770275e-6,6.143873077512659e-8,4.39937579776518e-6,0,0,true,true,true,1.2291626503645531e-7,1.2291626503645531e-7,1.0e-10,0.00012296952636273016,1.1062572040334621e-6,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_minus,5.260170718784654,direct_finite_q,0.0,2.3823023175151924e-7,4.813541652139365e-8,4.0141246792724564e-7,0,0,true,true,true,1.6635135507369337e-7,1.6635135507369337e-7,1.0e-10,0.0001664119371826376,1.4971791728769267e-6,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_minus,5.73517403050418,direct_finite_q,0.0,3.2361435777547735e-9,3.7214221780478775e-8,6.740403714792384e-8,0,0,true,true,true,3.463529620007582e-7,3.463529620007582e-7,1.0e-10,0.0001766773909631139,3.117230199598754e-6,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_minus,6.181685885555359,direct_finite_q,0.0,-1.6126014219940857e-10,2.8577841349366285e-8,5.5011812253867126e-8,0,0,true,true,true,-1.1972465479303227e-11,-1.1972465479303227e-11,1.0e-10,-1.1972463072424847e-8,1.0775218912691269e-10,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_minus,6.592374607747902,direct_finite_q,0.0,-9.622775474870458e-11,2.1861216339320878e-8,4.7919519925518865e-8,0,0,true,true,true,-9.986703810177431e-12,-9.986703810177431e-12,1.0e-10,-9.98670200309221e-9,8.988033416161207e-11,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_minus,6.960496766314217,direct_finite_q,0.0,-6.06773701456982e-11,1.6844365760058647e-8,4.1194395924799434e-8,0,0,true,true,true,-8.468626602086395e-12,-8.468626602086395e-12,1.0e-10,-8.468625199568141e-9,7.621763932529246e-11,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_minus,7.280007943895612,direct_finite_q,0.0,-4.071486090807678e-11,1.3248889702339923e-8,3.5463106360089983e-8,0,0,true,true,true,-7.327514542786746e-12,-7.327514542786746e-12,1.0e-10,-7.327513348549218e-9,6.594763081507231e-11,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_minus,7.545662108017604,direct_finite_q,0.0,-2.924616767513983e-11,1.075651620342671e-8,3.094241307938146e-8,0,0,true,true,true,-6.489896698176586e-12,-6.489896698176586e-12,1.0e-10,-6.489895695263138e-9,5.840907022865274e-11,true,0.0,true,true,,true,conditional_window,false
