window_id,mode_key,plot_panel,plot_series,observable,anchor_left_xi,anchor_right_xi,interior_point_count,source_roughness,candidate_roughness,roughness_ratio,changed_point_count,max_abs_relative_change,action,reason,canonical_data_modified
mode_b_T200p0_muB900p0_xim0p10_window,mode_b,T200.0,muB900.0,tau_sbar,-0.1200000000,-0.0800000000,3,11.01934791072124,0.058234995775353404,0.00528479509379079,3,0.057986001761385714,applied,roughness_guard_passed,False
mode_b_T200p0_muB900p0_xim0p10_window,mode_b,T200.0,muB900.0,eta,-0.1200000000,-0.0800000000,3,0.8338441481844605,0.01917080006759042,0.02299086718942772,3,0.004139366079207493,applied,roughness_guard_passed,False
mode_b_T200p0_muB900p0_xim0p10_window,mode_b,T200.0,muB900.0,sigma,-0.1200000000,-0.0800000000,3,0.3572048073426268,0.011200944946131663,0.031357206610570176,3,0.0017419877081484361,applied,roughness_guard_passed,False
mode_b_T200p0_muB900p0_xim0p10_window,mode_b,T200.0,muB900.0,zeta,-0.1200000000,-0.0800000000,3,1.2927875991491367,0.019240104465678698,0.014882649306306618,3,0.006751412952985772,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p0_xip0p37_window,mode_a,muB0.0,alpha1.0,eta_over_s,0.3500000000,0.3900000000,3,0.027607900824766496,0.020649542361805828,0.7479577130066164,3,3.7353561855167324e-05,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p0_xip0p37_window,mode_a,muB0.0,alpha1.0,zeta_over_s,0.3500000000,0.3900000000,3,0.03381900306731456,0.026403228535221035,0.780721669490585,3,3.823801656597405e-05,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p0_xip0p37_window,mode_a,muB0.0,alpha1.0,sigma_over_T,0.3500000000,0.3900000000,3,0.04025648847569835,0.033286921999309216,0.8268709780636616,3,4.83149031804024e-05,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p0_xip0p37_window,mode_a,muB0.0,alpha1.0,tau_u,0.3500000000,0.3900000000,3,0.03658758587805622,0.02569651222857905,0.7023287164729499,3,6.380486062403025e-05,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p0_xip0p37_window,mode_a,muB0.0,alpha1.0,tau_d,0.3500000000,0.3900000000,3,0.03658758587805622,0.02569651222857905,0.7023287164729499,3,6.380486062403025e-05,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p0_xip0p37_window,mode_a,muB0.0,alpha1.0,tau_s,0.3500000000,0.3900000000,3,0.020045280197100723,0.01663340268209801,0.8297914780210358,3,6.311466751231362e-05,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p0_xip0p37_window,mode_a,muB0.0,alpha1.0,tau_ubar,0.3500000000,0.3900000000,3,0.03658758587713473,0.02569651223092162,0.7023287165546649,3,6.3804860645597e-05,applied,roughness_guard_passed,False
