T_MeV,rho,xi,mu_u_MeV,mu_d_MeV,mu_s_MeV,mu_avg_MeV,pressure_fm4,entropy_fm3,energy_fm4,phi_u,phi_d,phi_s,Phi1,Phi2,M_u_MeV,M_d_MeV,M_s_MeV,iterations,residual_norm,converged,message
50.000000,1.550000,0.000000,349.334379,349.334379,349.334379,349.334379,21.565588,0.224678,-20.191531,-0.889079,-0.889079,-2.112586,0.042088,0.059245,178.302407,178.302407,483.685083,3,0.000000,true,
50.000000,1.500000,0.000000,349.725589,349.725589,349.725589,349.725589,21.567039,0.219577,-20.235334,-0.927203,-0.927203,-2.116087,0.041450,0.058310,185.771976,185.771976,485.504393,3,0.000000,true,
50.000000,1.450000,0.000000,350.210827,350.210827,350.210827,350.210827,21.568779,0.215796,-20.278856,-0.965031,-0.965031,-2.119672,0.040919,0.057497,193.190520,193.190520,487.379632,3,0.000000,true,
50.000000,1.400000,0.000000,350.824863,350.824863,350.824863,350.824863,21.570906,0.213223,-20.322139,-1.002488,-1.002488,-2.123326,0.040476,0.056822,200.542902,200.542902,489.304628,3,0.000000,true,
50.000000,1.350000,0.000000,351.588037,351.588037,351.588037,351.588037,21.573457,0.211596,-20.365265,-1.039481,-1.039481,-2.127035,0.040093,0.056281,207.811215,207.811215,491.272012,3,0.000000,true,
50.000000,1.300000,0.000000,352.502836,352.502836,352.502836,352.502836,21.576404,0.210578,-20.408339,-1.075924,-1.075924,-2.130783,0.039734,0.055852,214.978208,214.978208,493.274081,3,0.000000,true,
50.000000,1.250000,0.000000,353.556452,353.556452,353.556452,353.556452,21.579670,0.209822,-20.451467,-1.111747,-1.111747,-2.134556,0.039370,0.055505,222.030083,222.030083,495.303647,3,0.000000,true,
50.000000,1.200000,0.000000,354.726136,354.726136,354.726136,354.726136,21.583155,0.209026,-20.494740,-1.146905,-1.146905,-2.138343,0.038972,0.055207,228.957759,228.957759,497.354578,3,0.000000,true,
50.000000,1.150000,0.000000,355.984324,355.984324,355.984324,355.984324,21.586750,0.207950,-20.538232,-1.181378,-1.181378,-2.142136,0.038522,0.054927,235.756795,235.756795,499.421973,3,0.000000,true,
50.000000,1.100000,0.000000,357.302209,357.302209,357.302209,357.302209,21.590356,0.206416,-20.581997,-1.215164,-1.215164,-2.145927,0.038005,0.054637,242.426635,242.426635,501.502121,3,0.000000,true,
50.000000,1.050000,0.000000,358.651740,358.651740,358.651740,358.651740,21.593885,0.204302,-20.626072,-1.248276,-1.248276,-2.149711,0.037413,0.054312,248.969668,248.969668,503.592349,3,0.000000,true,
50.000000,1.000000,0.000000,360.006506,360.006506,360.006506,360.006506,21.597263,0.201532,-20.670478,-1.280739,-1.280739,-2.153486,0.036740,0.053936,255.390404,255.390404,505.690857,3,0.000000,true,
50.000000,0.950000,0.000000,361.342011,361.342011,361.342011,361.342011,21.600430,0.198068,-20.715223,-1.312584,-1.312584,-2.157250,0.035982,0.053491,261.694829,261.694829,507.796568,3,0.000000,true,
50.000000,0.900000,0.000000,362.635703,362.635703,362.635703,362.635703,21.603342,0.193908,-20.760305,-1.343849,-1.343849,-2.161002,0.035141,0.052967,267.889950,267.889950,509.909010,3,0.000000,true,
50.000000,0.850000,0.000000,363.867004,363.867004,363.867004,363.867004,21.605963,0.189073,-20.805711,-1.374572,-1.374572,-2.164742,0.034218,0.052353,273.983465,273.983465,512.028227,3,0.000000,true,
50.000000,0.800000,0.000000,365.017493,365.017493,365.017493,365.017493,21.608273,0.183615,-20.851420,-1.404797,-1.404797,-2.168471,0.033215,0.051645,279.983513,279.983513,514.154690,3,0.000000,true,
50.000000,0.750000,0.000000,366.071288,366.071288,366.071288,366.071288,21.610261,0.177603,-20.897404,-1.434567,-1.434567,-2.172190,0.032137,0.050840,285.898430,285.898430,516.289213,3,0.000000,true,
50.000000,0.700000,0.000000,367.015530,367.015530,367.015530,367.015530,21.611927,0.171124,-20.943628,-1.463923,-1.463923,-2.175902,0.030988,0.049938,291.736435,291.736435,518.432828,3,0.000000,true,
50.000000,0.650000,0.000000,367.840679,367.840679,367.840679,367.840679,21.613283,0.164264,-20.990056,-1.492906,-1.492906,-2.179606,0.029774,0.048942,297.505221,297.505221,520.586615,3,0.000000,true,
50.000000,0.600000,0.000000,368.540042,368.540042,368.540042,368.540042,21.614348,0.157097,-21.036655,-1.521550,-1.521550,-2.183305,0.028497,0.047855,303.211444,303.211444,522.751490,3,0.000000,true,
50.000000,0.550000,0.000000,369.107889,369.107889,369.107889,369.107889,21.615143,0.149662,-21.083399,-1.549881,-1.549881,-2.186999,0.027157,0.046681,308.860229,308.860229,524.927970,3,0.000000,true,
50.000000,0.500000,0.000000,369.535729,369.535729,369.535729,369.535729,21.615691,0.141944,-21.130275,-1.577917,-1.577917,-2.190688,0.025749,0.045418,314.454887,314.454887,527.116025,3,0.000000,true,
50.000000,0.450000,0.000000,369.806946,369.806946,369.806946,369.806946,21.616006,0.133871,-21.177284,-1.605666,-1.605666,-2.194371,0.024263,0.044055,319.997031,319.997031,529.315067,3,0.000000,true,
50.000000,0.400000,0.000000,369.890412,369.890412,369.890412,369.890412,21.616095,0.125314,-21.224437,-1.633132,-1.633132,-2.198045,0.022685,0.042574,325.487107,325.487107,531.524115,3,0.000000,true,
50.000000,0.350000,0.000000,369.733259,369.733259,369.733259,369.733259,21.615954,0.116104,-21.271752,-1.660315,-1.660315,-2.201709,0.020993,0.040942,330.925156,330.925156,533.742070,3,0.000000,true,
50.000000,0.300000,0.000000,369.251231,369.251231,369.251231,369.251231,21.615577,0.106044,-21.319245,-1.687217,-1.687217,-2.205361,0.019165,0.039112,336.311540,336.311540,535.967996,3,0.000000,true,
50.000000,0.250000,0.000000,368.311635,368.311635,368.311635,368.311635,21.614954,0.094912,-21.366924,-1.713846,-1.713846,-2.209001,0.017169,0.037018,341.647390,341.647390,538.201314,3,0.000000,true,
50.000000,0.200000,0.000000,366.695868,366.695868,366.695868,366.695868,21.614078,0.082435,-21.414792,-1.740210,-1.740210,-2.212627,0.014966,0.034563,346.934684,346.934684,540.441847,3,0.000000,true,
50.000000,0.150000,0.000000,364.002870,364.002870,364.002870,364.002870,21.612946,0.068225,-21.462842,-1.766325,-1.766325,-2.216241,0.012495,0.031581,352.175971,352.175971,542.689719,4,0.000000,true,
50.000000,0.100000,0.000000,359.343183,359.343183,359.343183,359.343183,21.611557,0.051618,-21.511067,-1.792203,-1.792203,-2.219843,0.009642,0.027743,357.373885,357.373885,544.945161,4,0.000000,true,
50.000000,0.050000,0.000000,349.886411,349.886411,349.886411,349.886411,21.609912,0.031172,-21.559458,-1.817856,-1.817856,-2.223432,0.006142,0.022142,362.530705,362.530705,547.208320,4,0.000000,true,
50.000000,0.000000,0.000000,-0.006375,-0.006375,-0.006375,-0.006375,21.608012,0.000000,-21.608012,-1.843295,-1.843295,-2.227009,0.000020,0.000020,367.648249,367.648249,549.479201,27,0.000000,true,
55.000000,4.000000,0.000000,415.034375,415.034375,415.034375,415.034375,22.090572,0.603399,-17.884088,-0.077821,-0.077821,-2.051986,0.089045,0.114755,20.538607,20.538607,459.821506,5,0.000000,true,
55.000000,3.950000,0.000000,413.372139,413.372139,413.372139,413.372139,22.074500,0.588304,-17.938674,-0.079894,-0.079894,-2.053228,0.087555,0.113191,20.940920,20.940920,460.020528,3,0.000000,true,
55.000000,3.900000,0.000000,411.651147,411.651147,411.651147,411.651147,22.058070,0.573109,-17.993081,-0.082059,-0.082059,-2.054426,0.086059,0.111577,21.361241,21.361241,460.213273,3,0.000000,true,
55.000000,3.850000,0.000000,409.866731,409.866731,409.866731,409.866731,22.041251,0.557884,-18.047284,-0.084325,-0.084325,-2.055581,0.084565,0.109914,21.801039,21.801039,460.399797,3,0.000000,true,
55.000000,3.800000,0.000000,408.014283,408.014283,408.014283,408.014283,22.024015,0.542712,-18.101252,-0.086701,-0.086701,-2.056693,0.083079,0.108207,22.261994,22.261994,460.580104,3,0.000000,true,
