xi,last_crossover_mu_MeV,cep_mu_MeV,last_crossover_T_MeV,cep_T_midpoint_MeV,delta_mu_MeV,delta_T_MeV,closure_status
-0.39375,220.1354882986771,227.06910713046378,146.33425680334207,143.75,6.933618831786674,-2.584256803342072,added_boundary_constrained_display_endpoint
-0.3875,227.99741027991465,228.44206297683934,143.67825941405692,143.53125,0.4446526969246918,-0.14700941405692447,added_boundary_constrained_display_endpoint
-0.38125,227.99741027991465,229.7087365125248,143.99473395255194,143.34375,1.711326232610162,-0.6509839525519396,added_boundary_constrained_display_endpoint
-0.375,230.03881594751527,230.97541004821028,143.50426427091665,143.15625,0.9365941006950038,-0.34801427091665005,added_boundary_constrained_display_endpoint
-0.36875,230.03881594751527,232.21641305125794,143.8178829856728,142.96875,2.17759710374267,-0.84913298567281,added_boundary_constrained_display_endpoint
-0.3625,232.03225749793333,233.4574160543056,143.32472793525827,142.78125,1.4251585563722813,-0.5434779352582666,added_boundary_constrained_display_endpoint
-0.35625,232.03225749793333,234.67383324061325,143.63417822088994,142.59375,2.641575742679919,-1.040428220889936,added_boundary_constrained_display_endpoint
-0.35,234.00028900010244,235.8902504269209,143.1471938060346,142.40625,1.889961426818445,-0.7409438060346076,added_boundary_constrained_display_endpoint
-0.34375,234.93824850305032,237.08886296141702,143.07857566715015,142.21875,2.1506144583667037,-0.8598256671501474,added_boundary_constrained_display_endpoint
-0.3375,235.92366948332574,238.27592770007067,142.9784483941866,142.03125,2.3522582167449286,-0.9471983941865858,added_boundary_constrained_display_endpoint
-0.33125,236.87168922386888,239.45167450007006,142.88359213069765,141.84375,2.579985276201171,-1.0398421306976502,added_boundary_constrained_display_endpoint
-0.325,237.92147860769924,240.7638524009058,142.75503549512484,141.59375,2.842373793206548,-1.1612854951248437,added_boundary_constrained_display_endpoint
-0.31875,237.92147860769924,241.9114352454075,143.05030181234162,141.40625,3.9899566377082465,-1.6440518123416155,added_boundary_constrained_display_endpoint
-0.3125,239.75629721504416,243.05901808990916,142.58419957228338,141.21875,3.3027208748650025,-1.3654495722833815,added_boundary_constrained_display_endpoint
