key,key_tuple,field,p104,p128,abs,rel
mode_b T=120 muB=450 xi=-0.15,"('mode_b_fixed_T_sparse_muB', 120.0, 450.0, -0.15)",tauinv_u,0.0011736187392077653,0.0011735257203231298,9.301888463544676e-08,7.925817944781442e-05
mode_b T=120 muB=450 xi=-0.15,"('mode_b_fixed_T_sparse_muB', 120.0, 450.0, -0.15)",tauinv_d,0.0011736187392077653,0.0011735257203231298,9.301888463544676e-08,7.925817944781442e-05
mode_b T=160 muB=0 xi=-0.5,"('mode_b_fixed_T_sparse_muB', 160.0, 0.0, -0.5)",zeta,5.851826568259941,5.851363492689409,0.0004630755705319345,7.913350902154837e-05
mode_b T=160 muB=0 xi=-0.5,"('mode_b_fixed_T_sparse_muB', 160.0, 0.0, -0.5)",zeta_over_s,4.860633214196265,4.8602485752339595,0.0003846389623056723,7.913350902147317e-05
mode_b T=160 muB=900 xi=-0.45,"('mode_b_fixed_T_sparse_muB', 160.0, 900.0, -0.45)",tau_s,2.7003677407563376,2.700581344566069,0.00021360380973156623,7.910174844250606e-05
mode_b T=160 muB=900 xi=-0.45,"('mode_b_fixed_T_sparse_muB', 160.0, 900.0, -0.45)",tauinv_s,0.37031993269180186,0.37029064205458345,2.9290637218404303e-05,7.909549185077593e-05
mode_b T=160 muB=900 xi=-0.3,"('mode_b_fixed_T_sparse_muB', 160.0, 900.0, -0.3)",tau_s,2.7550046345706694,2.75522251033373,0.00021787576306042666,7.908362850880638e-05
mode_b T=160 muB=900 xi=-0.3,"('mode_b_fixed_T_sparse_muB', 160.0, 900.0, -0.3)",tauinv_s,0.3629757959212423,0.36294709274819104,2.87031730512588e-05,7.907737478310193e-05
mode_a muB=0 alpha_T=1.2 xi=0,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.2, 0.0)",sigma_over_T,0.010685775839635325,0.010684932407780248,8.434318550763764e-07,7.893033390686963e-05
mode_a muB=0 alpha_T=1.2 xi=0,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.2, 0.0)",sigma,0.013006569350167538,0.013005542737305748,1.026612861790288e-06,7.89303339067703e-05
mode_a muB=900 alpha_T=1.1 xi=-0.35,"('mode_a_fixed_muB_phase_scaled', 900.0, 1.1, -0.35)",zeta_over_s,0.5137103421167539,0.5137508878145786,4.054569782463435e-05,7.892715894635288e-05
mode_a muB=900 alpha_T=1.1 xi=-0.35,"('mode_a_fixed_muB_phase_scaled', 900.0, 1.1, -0.35)",zeta,2.988898505194875,2.989134410462269,0.00023590526739392104,7.892715894631561e-05
mode_b T=200 muB=900 xi=0.15,"('mode_b_fixed_T_sparse_muB', 200.0, 900.0, 0.15)",tauinv_u,0.4698792144833628,0.4699162792595385,3.706477617571036e-05,7.888149769821906e-05
mode_b T=200 muB=900 xi=0.15,"('mode_b_fixed_T_sparse_muB', 200.0, 900.0, 0.15)",tauinv_d,0.4698792144833628,0.4699162792595385,3.706477617571036e-05,7.888149769821906e-05
mode_b T=200 muB=900 xi=0.15,"('mode_b_fixed_T_sparse_muB', 200.0, 900.0, 0.15)",tau_u,2.128206503238307,2.1280386403631955,0.0001678628751116129,7.88752758983635e-05
mode_b T=200 muB=900 xi=0.15,"('mode_b_fixed_T_sparse_muB', 200.0, 900.0, 0.15)",tau_d,2.128206503238307,2.1280386403631955,0.0001678628751116129,7.88752758983635e-05
mode_a muB=0 alpha_T=1.2 xi=-0.3,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.2, -0.3)",eta_over_s,0.10039839551636075,0.10039047956546013,7.915950900619362e-06,7.884539249762604e-05
mode_a muB=0 alpha_T=1.2 xi=-0.3,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.2, -0.3)",eta,3.0510577880288543,3.0508172261800244,0.00024056184882992326,7.884539249757673e-05
mode_a muB=0 alpha_T=1 xi=0.25,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.0, 0.25)",tauinv_s,0.3487132214045896,0.3487407149006488,2.7493496059183276e-05,7.884271192368796e-05
mode_a muB=0 alpha_T=1 xi=0.25,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.0, 0.25)",tauinv_sbar,0.3487132214045896,0.3487407149006488,2.7493496059183276e-05,7.884271192368796e-05
mode_a muB=0 alpha_T=1 xi=0.25,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.0, 0.25)",tau_s,2.8676859339375724,2.8674598556262225,0.00022607831134990874,7.883649624053647e-05
mode_a muB=0 alpha_T=1 xi=0.25,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.0, 0.25)",tau_sbar,2.8676859339375724,2.8674598556262225,0.00022607831134990874,7.883649624053647e-05
mode_b T=200 muB=900 xi=-0.5,"('mode_b_fixed_T_sparse_muB', 200.0, 900.0, -0.5)",tauinv_ubar,2.8874301131658893,2.8876577300161386,0.00022761685024930145,7.883025435366593e-05
mode_b T=200 muB=900 xi=-0.5,"('mode_b_fixed_T_sparse_muB', 200.0, 900.0, -0.5)",tauinv_dbar,2.8874301131658893,2.8876577300161386,0.00022761685024930145,7.883025435366593e-05
mode_b T=200 muB=900 xi=-0.5,"('mode_b_fixed_T_sparse_muB', 200.0, 900.0, -0.5)",tau_ubar,0.346328728595118,0.34630142956534227,2.7299029775718076e-05,7.882404063462062e-05
mode_b T=200 muB=900 xi=-0.5,"('mode_b_fixed_T_sparse_muB', 200.0, 900.0, -0.5)",tau_dbar,0.346328728595118,0.34630142956534227,2.7299029775718076e-05,7.882404063462062e-05
mode_a muB=450 alpha_T=1.2 xi=-0.35,"('mode_a_fixed_muB_phase_scaled', 450.0, 1.2, -0.35)",sigma,0.027843259300280553,0.027841067118885333,2.1921813952198443e-06,7.8732930350498e-05
mode_a muB=450 alpha_T=1.2 xi=-0.35,"('mode_a_fixed_muB_phase_scaled', 450.0, 1.2, -0.35)",sigma_over_T,0.025051680373272753,0.025049707981066763,1.9723922059892984e-06,7.873293035039728e-05
mode_b T=160 muB=900 xi=0.3,"('mode_b_fixed_T_sparse_muB', 160.0, 900.0, 0.3)",tau_s,3.0301481662417373,3.030386596593384,0.00023843035164672344,7.868603730438905e-05
mode_b T=160 muB=900 xi=0.3,"('mode_b_fixed_T_sparse_muB', 160.0, 900.0, 0.3)",tauinv_s,0.33001686555819154,0.3299908998819333,2.596567625823276e-05,7.867984629911061e-05
mode_b T=200 muB=0 xi=-0.5,"('mode_b_fixed_T_sparse_muB', 200.0, 0.0, -0.5)",tau_ubar,0.6120418582319711,0.6120898787611454,4.8020529174297444e-05,7.845955064742826e-05
mode_b T=200 muB=0 xi=-0.5,"('mode_b_fixed_T_sparse_muB', 200.0, 0.0, -0.5)",tau_dbar,0.6120418582319711,0.6120898787611454,4.8020529174297444e-05,7.845955064742826e-05
mode_b T=200 muB=0 xi=-0.5,"('mode_b_fixed_T_sparse_muB', 200.0, 0.0, -0.5)",tau_u,0.6120418582317039,0.6120898787605326,4.8020528828685016e-05,7.845955008277495e-05
mode_b T=200 muB=0 xi=-0.5,"('mode_b_fixed_T_sparse_muB', 200.0, 0.0, -0.5)",tau_d,0.6120418582317039,0.6120898787605326,4.8020528828685016e-05,7.845955008277495e-05
mode_b T=200 muB=0 xi=-0.5,"('mode_b_fixed_T_sparse_muB', 200.0, 0.0, -0.5)",tauinv_ubar,1.6338751778983525,1.6337469948432655,0.00012818305508699446,7.84533952292952e-05
mode_b T=200 muB=0 xi=-0.5,"('mode_b_fixed_T_sparse_muB', 200.0, 0.0, -0.5)",tauinv_dbar,1.6338751778983525,1.6337469948432655,0.00012818305508699446,7.84533952292952e-05
mode_b T=200 muB=0 xi=-0.5,"('mode_b_fixed_T_sparse_muB', 200.0, 0.0, -0.5)",tauinv_u,1.633875177899066,1.6337469948449013,0.00012818305416462117,7.845339466472988e-05
mode_b T=200 muB=0 xi=-0.5,"('mode_b_fixed_T_sparse_muB', 200.0, 0.0, -0.5)",tauinv_d,1.633875177899066,1.6337469948449013,0.00012818305416462117,7.845339466472988e-05
mode_a muB=450 alpha_T=1.1 xi=-0.15,"('mode_a_fixed_muB_phase_scaled', 450.0, 1.1, -0.15)",zeta,0.5388076116041702,0.5387654298384439,4.218176572634569e-05,7.828724913658813e-05
mode_a muB=450 alpha_T=1.1 xi=-0.15,"('mode_a_fixed_muB_phase_scaled', 450.0, 1.1, -0.15)",zeta_over_s,0.03521824383514825,0.03521548669571898,2.757139429272748e-06,7.828724913651395e-05
mode_b T=200 muB=0 xi=0.15,"('mode_b_fixed_T_sparse_muB', 200.0, 0.0, 0.15)",tauinv_s,0.38579553529856614,0.38582570793802806,3.0172639461922834e-05,7.820888709500567e-05
mode_b T=200 muB=0 xi=0.15,"('mode_b_fixed_T_sparse_muB', 200.0, 0.0, 0.15)",tauinv_sbar,0.38579553529856614,0.38582570793802806,3.0172639461922834e-05,7.820888709500567e-05
mode_b T=200 muB=0 xi=0.15,"('mode_b_fixed_T_sparse_muB', 200.0, 0.0, 0.15)",tau_s,2.592046585573114,2.5918438803477075,0.00020270522540632996,7.820277094345157e-05
mode_b T=200 muB=0 xi=0.15,"('mode_b_fixed_T_sparse_muB', 200.0, 0.0, 0.15)",tau_sbar,2.592046585573114,2.5918438803477075,0.00020270522540632996,7.820277094345157e-05
mode_a muB=450 alpha_T=1.1 xi=0.45,"('mode_a_fixed_muB_phase_scaled', 450.0, 1.1, 0.45)",eta,2.0215673761010313,2.0214093330532514,0.00015804304777988776,7.817847163951725e-05
mode_a muB=450 alpha_T=1.1 xi=0.45,"('mode_a_fixed_muB_phase_scaled', 450.0, 1.1, 0.45)",eta_over_s,0.17201100081656487,0.17199755325941585,1.3447557149021128e-05,7.817847163950756e-05
mode_a muB=450 alpha_T=1.1 xi=-0.15,"('mode_a_fixed_muB_phase_scaled', 450.0, 1.1, -0.15)",eta_over_s,0.16863883552735218,0.16862565275312608,1.3182774226100369e-05,7.817163931947458e-05
mode_a muB=450 alpha_T=1.1 xi=-0.15,"('mode_a_fixed_muB_phase_scaled', 450.0, 1.1, -0.15)",eta,2.5800232578183753,2.5798215731708294,0.00020168464754588555,7.817163931941712e-05
mode_a muB=450 alpha_T=1.1 xi=0.2,"('mode_a_fixed_muB_phase_scaled', 450.0, 1.1, 0.2)",sigma_over_T,0.014129436167656575,0.014130540594872343,1.1044272157680057e-06,7.816498851497905e-05
mode_a muB=450 alpha_T=1.1 xi=0.2,"('mode_a_fixed_muB_phase_scaled', 450.0, 1.1, 0.2)",sigma,0.01439525892185931,0.014396384127107607,1.125205248296915e-06,7.81649885149535e-05
mode_a muB=0 alpha_T=1.2 xi=-0.3,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.2, -0.3)",zeta_over_s,0.016640946564816062,0.01663964636663703,1.300198179031431e-06,7.813246523971412e-05
mode_a muB=0 alpha_T=1.2 xi=-0.3,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.2, -0.3)",zeta,0.5057101695263672,0.5056706571441253,3.951238224186859e-05,7.813246523967413e-05
mode_a muB=0 alpha_T=1.2 xi=-0.15,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.2, -0.15)",zeta_over_s,0.011534685692491818,0.011533786263360412,8.994291314061431e-07,7.797604160047476e-05
