# format: combined_meson_density_scan_v1
# script: scripts/relaxtime/run_combined_meson_density_scan.jl
# date: 2026-06-01
# bridge: path_strategy x density_regime
# path_strategy: tmu
# regimes: stable,strict_bw_stage1,phase_shift_current,phase_shift_gbu_reference
# muq_values_MeV: 0.000000,50.000000,100.000000,150.000000,200.000000,250.000000,300.000000
# real_axis_mode: pv_b0_eta0
# phase_display: fold_0_pi
# density_policy: strict_normal_domain
# noanom_policy: none
# gamma_zero_tol: 1.0e-6
path_strategy,path_point_index,T_MeV,muq_MeV,muB_MeV,xi,flavor_profile,meson_profile,pi_channel,k_channel,charge_resolved,mu_pi_MeV,mu_K_MeV,d_pi,d_K,regime,phase_scheme,strict_bw_stage,real_axis_mode,eta,density_policy,noanom_policy,phase_convention,phase_display,qmax,q_nodes,omega_min,omega_max,omega_nodes,gamma_zero_tol,Phi,Phibar,m_u,m_d,m_s,m_pi_MeV,m_K_MeV,gamma_pi_MeV,gamma_K_MeV,n_pi,n_K,kpi_ratio,unsafe_bose_count,min_E_minus_mu,bose_x_min,noanom_removed_component_count,status,message
tmu,9,200.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,strict_bw_stage1,,strict_bw_stage1_reduced,,,not_applicable,none,,,12.000000,48,,10.000000,48,0.000001,0.605382,0.605382,0.723816,0.723816,2.176765,148.616153,500.473258,0.000000,0.000000,0.313571,0.163374,0.521011,,,,,ok,
tmu,9,200.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.605382,0.605382,0.723816,0.723816,2.176765,148.616153,500.473258,NaN,NaN,2.894383,3.952026,1.365412,0,0.050000,0.000000,0,ok,
tmu,9,200.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.605382,0.605382,0.723816,0.723816,2.176765,148.616153,500.473258,NaN,NaN,0.304977,0.231374,0.758662,0,0.050000,0.000000,0,ok,
tmu,10,210.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,stable,,,,,not_applicable,none,,,,256,,,,,0.652237,0.652237,0.349015,0.349015,2.027739,179.505682,507.580974,NaN,NaN,0.346998,0.199750,0.575651,,,,,ok,
tmu,10,210.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,strict_bw_stage1,,strict_bw_stage1_reduced,,,not_applicable,none,,,12.000000,48,,10.000000,48,0.000001,0.652237,0.652237,0.349015,0.349015,2.027739,179.505682,507.580974,34.401752,67.262305,0.072282,0.037669,0.521136,,,,,ok,
tmu,10,210.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.652237,0.652237,0.349015,0.349015,2.027739,179.505682,507.580974,NaN,NaN,2.815669,3.914734,1.390339,0,0.050000,0.000000,0,ok,
tmu,10,210.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.652237,0.652237,0.349015,0.349015,2.027739,179.505682,507.580974,NaN,NaN,0.248380,0.200334,0.806564,0,0.050000,0.000000,0,ok,
tmu,11,220.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,stable,,,,,not_applicable,none,,,,256,,,,,0.686928,0.686928,0.198347,0.198347,1.921126,240.981980,533.090911,NaN,NaN,0.358453,0.228796,0.638288,,,,,ok,
tmu,11,220.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,strict_bw_stage1,,strict_bw_stage1_reduced,,,not_applicable,none,,,12.000000,48,,10.000000,48,0.000001,0.686928,0.686928,0.198347,0.198347,1.921126,240.981980,533.090911,90.107042,128.264947,0.063360,0.037278,0.588356,,,,,ok,
tmu,11,220.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.686928,0.686928,0.198347,0.198347,1.921126,240.981980,533.090911,NaN,NaN,2.798285,3.948397,1.411006,0,0.050000,0.000000,0,ok,
