sample_id,field,S2,S1jump,N_spike,label,reason
S024,tau_u,0.00016141442,0.026564106,0,smooth,all_metrics_within_smooth_thresholds
S024,tau_s,0.00089428984,0.02813423,0,smooth,all_metrics_within_smooth_thresholds
S024,eta_over_s,0.00041390628,0.0093230393,0,smooth,all_metrics_within_smooth_thresholds
S024,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S024,sigma_over_T,0.00092881395,0.027850862,0,smooth,all_metrics_within_smooth_thresholds
S025,tau_u,0.53932337,2.5407807,2,not_smooth,S2_above_suspect;S1jump_above_suspect
S025,tau_s,0.64825365,3.1994632,2,not_smooth,S2_above_suspect;S1jump_above_suspect
S025,eta_over_s,0.40561905,0.96717935,2,not_smooth,S2_above_suspect;S1jump_above_suspect
S025,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S025,sigma_over_T,0.53757414,1.5006169,5,not_smooth,S2_above_suspect;S1jump_above_suspect;N_spike_above_suspect
S026,tau_u,0.27817113,1.3694283,2,not_smooth,S2_above_suspect;S1jump_above_suspect
S026,tau_s,0.37779056,1.8777969,2,not_smooth,S2_above_suspect;S1jump_above_suspect
S026,eta_over_s,0.093512692,0.3313952,0,suspect,S2_above_smooth;S1jump_above_smooth
S026,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S026,sigma_over_T,0.12167596,0.49977073,0,not_smooth,S1jump_above_suspect
S027,tau_u,0.07080983,0.16924639,0,suspect,S2_above_smooth;S1jump_above_smooth
S027,tau_s,0.24377112,1.2248649,2,not_smooth,S2_above_suspect;S1jump_above_suspect
S027,eta_over_s,0.3446387,1.685953,2,not_smooth,S2_above_suspect;S1jump_above_suspect
S027,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S027,sigma_over_T,0.21813329,1.0259447,1,not_smooth,S2_above_suspect;S1jump_above_suspect
S028,tau_u,0.0021944716,0.021738995,0,smooth,all_metrics_within_smooth_thresholds
S028,tau_s,0.0034060233,0.025375271,0,smooth,all_metrics_within_smooth_thresholds
S028,eta_over_s,0.0021565232,0.012087466,0,smooth,all_metrics_within_smooth_thresholds
S028,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S028,sigma_over_T,0.0021662665,0.017518498,0,smooth,all_metrics_within_smooth_thresholds
S029,tau_u,0.10386908,0.48430012,0,not_smooth,S1jump_above_suspect
S029,tau_s,0.25169976,1.2637476,2,not_smooth,S2_above_suspect;S1jump_above_suspect
S029,eta_over_s,0.20789347,1.052982,1,not_smooth,S2_above_suspect;S1jump_above_suspect
S029,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S029,sigma_over_T,0.15225345,0.75371951,0,not_smooth,S2_above_suspect;S1jump_above_suspect
S030,tau_u,0.16500815,0.81448319,0,not_smooth,S2_above_suspect;S1jump_above_suspect
S030,tau_s,0.30213952,1.5190187,2,not_smooth,S2_above_suspect;S1jump_above_suspect
S030,eta_over_s,0.10953944,0.55807233,0,not_smooth,S1jump_above_suspect
S030,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S030,sigma_over_T,0.093238648,0.46937961,0,not_smooth,S1jump_above_suspect
S031,tau_u,0.17309193,0.87537247,0,not_smooth,S2_above_suspect;S1jump_above_suspect
S031,tau_s,0.27440217,1.4048068,2,not_smooth,S2_above_suspect;S1jump_above_suspect
S031,eta_over_s,0.03344226,0.18244237,0,suspect,S1jump_above_smooth
S031,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S031,sigma_over_T,0.048385074,0.25895847,0,suspect,S1jump_above_smooth
S032,tau_u,0.13791582,0.70970594,0,not_smooth,S1jump_above_suspect
S032,tau_s,0.20075628,1.023084,1,not_smooth,S2_above_suspect;S1jump_above_suspect
S032,eta_over_s,0.059280383,0.29358729,0,suspect,S2_above_smooth;S1jump_above_smooth
S032,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S032,sigma_over_T,0.15815531,0.81142446,0,not_smooth,S2_above_suspect;S1jump_above_suspect
S033,tau_u,0.12838346,0.64879144,0,not_smooth,S1jump_above_suspect
S033,tau_s,0.14404496,0.72777304,0,not_smooth,S1jump_above_suspect
S033,eta_over_s,0.10133775,0.49097534,0,not_smooth,S1jump_above_suspect
S033,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S033,sigma_over_T,0.28266856,1.4812586,2,not_smooth,S2_above_suspect;S1jump_above_suspect
