# y_unit.M_K: fm^-1
# y_unit.Gamma_pi: fm^-1
# y_unit.M_sigma_prime: fm^-1
# y_unit.Gamma_sigma: fm^-1
# y_unit.M_pi: fm^-1
# y_unit.Gamma_K: fm^-1
# script: scripts/relaxtime/run_mott_phase_scan.jl
# y_unit.m_u: fm^-1
# y_unit.M_sigma: fm^-1
# y_unit.Gamma_eta: fm^-1
# y_unit.Gamma_sigma_prime: fm^-1
# y_unit.m_d: fm^-1
# y_unit.Gamma_eta_prime: fm^-1
# format: scan_csv_v1
# x_unit: MeV
# y_unit.M_eta: fm^-1
# y_unit.M_eta_prime: fm^-1
# y_unit.m_s: fm^-1
# x_label: Temperature
run_id,T_MeV,muB_MeV,xi,M_pi,M_K,Gamma_pi,Gamma_K,residual_pi,residual_K,root_quality_pi,root_quality_K,root_sign_flipped_pi,root_sign_flipped_K,selected_method_pi,selected_method_K,governance_candidate_count_pi,governance_candidate_count_K,governance_selection_reason_pi,governance_selection_reason_K,second_pass_triggered_pi,second_pass_triggered_K,second_pass_candidate_count_pi,second_pass_candidate_count_K,m_u,m_d,m_s,status,error_code,error_message,timestamp_utc
20260531T105912_7f3bc53d,220.0,400.0,0.0,1.5791980726573813,2.8051820225697393,0.7601362918371056,0.9018402455153718,3.709521578798558e-11,8.173645094089466e-9,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.12647577571022356,0.12647577571022356,1.8121682953113372,ok,,,2026-05-31T11:02:57Z
20260531T105912_7f3bc53d,225.0,400.0,0.0,1.7034548515073875,2.828335883255398,0.8877366516653491,1.0054986174376912,2.2179369452146602e-11,3.3070512994726187e-9,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.1104358784872824,0.11043587848728248,1.7563548235634414,ok,,,2026-05-31T11:03:02Z
20260531T105912_7f3bc53d,230.0,400.0,0.0,1.823329991163845,2.8506635314707065,1.0192546673908203,1.1132936281779646,1.3900214312911885e-11,4.317026149146831e-9,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.0979008628727974,0.0979008628727974,1.6990342657739201,ok,,,2026-05-31T11:03:09Z
20260531T105912_7f3bc53d,235.0,400.0,0.0,1.9392836805868707,2.8734355340273434,1.154699098782563,1.2260884338662243,9.107048448697697e-12,5.312454743350807e-9,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.0878613143928221,0.087861314392822,1.6406119615785812,ok,,,2026-05-31T11:03:14Z
20260531T105912_7f3bc53d,240.0,400.0,0.0,2.0516361311471685,2.8975948516846985,1.2939467166233178,1.3442721769377404,6.197709012667474e-12,6.5338904613767284e-9,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.07965859301081922,0.07965859301081922,1.581574938189331,ok,,,2026-05-31T11:03:22Z
20260531T105912_7f3bc53d,245.0,400.0,0.0,2.1606108714708787,2.9238330273689037,1.4367962740111697,1.4679080231266413,4.354516747184789e-12,7.671504248966278e-9,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.07284484365755325,0.07284484365755325,1.522449201438819,ok,,,2026-05-31T11:03:26Z
20260531T105912_7f3bc53d,250.0,400.0,0.0,2.266368802734287,2.9526275878322528,1.5830028283099353,1.5968279573336446,3.142597293503968e-12,9.431822656225108e-9,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.06710487102726553,0.06710487102726546,1.4637614806103918,ok,,,2026-05-31T11:03:30Z
20260531T105912_7f3bc53d,255.0,400.0,0.0,2.3690339143220127,2.9842659655080848,1.7323033948844007,1.7307071857421756,2.319699987651802e-12,1.0684387586116174e-16,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.06221033836956175,0.06221033836956182,1.4060057567255504,ok,,,2026-05-31T11:03:34Z
20260531T105912_7f3bc53d,260.0,400.0,0.0,2.46871151623385,3.0188684391240694,1.8844368898693558,1.8691287278713946,1.7483792191796965e-12,2.669646588376489e-16,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.05799177192544714,0.05799177192544709,1.349616964483302,ok,,,2026-05-31T11:03:35Z
20260531T105912_7f3bc53d,265.0,400.0,0.0,2.5654999753733994,3.056414296887435,2.0391587679191967,2.011637594551274,1.3420375921668892e-12,7.471441928947054e-16,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.05432081304286734,0.054320813042867275,1.2949538382010866,ok,,,2026-05-31T11:03:36Z
