method,xi,T_MeV,status,reason,legacy_converged,legacy_mu,legacy_area,candidate_count,candidate_mu,candidate_area,rho_hadron,rho_quark,endpoint_dependent,endpoint_mu_zero,source_point_count
independent_oracle,0.5,5.0,first_order,unique_three_crossing_candidate,true,378.93846670847097,5.414819036981126e-7,1,378.93846893969965,-4.19835859148077e-6,0.08275354747178004,2.2070721369309214,false,320.188199,1200
independent_oracle,0.5,60.0,first_order,unique_three_crossing_candidate,true,372.8097302420482,8.864027708692195e-7,1,372.8097273201805,4.473179546025694e-6,0.3217717137373862,2.1560718221714157,false,-0.000195,1194
independent_oracle,0.5,90.0,first_order,unique_three_crossing_candidate,true,360.76648991486275,2.9026681493701277e-6,1,360.76649393896787,-2.491432254894964e-6,0.7184757352063521,2.0589229635385866,false,-1.0e-6,1193
independent_oracle,0.5,106.959961,first_order,unique_three_crossing_candidate,true,348.3789875765216,4.328979887256654e-6,1,348.37898259021983,4.953437325848823e-6,1.4810857231119445,1.6063171822571056,false,-0.0,1192
independent_oracle,0.5,107.084961,monotone,no_s_shape,false,,,0,,,,,false,-0.0,1192
independent_oracle,0.5,120.0,monotone,no_s_shape,false,,,0,,,,,false,0.0,1191
memoized_dense,-0.5,5.0,first_order,unique_three_crossing_candidate,true,317.017470999,37.732311779886864,1,331.4729482246106,4.973718600028733e-6,0.0034375868939083027,2.801681604569536,false,317.017471,599
memoized_dense,-0.5,20.0,first_order,unique_three_crossing_candidate,true,330.7457524272586,4.664363745519065e-6,1,330.74575385425334,6.891539663523151e-7,0.011152177510067876,2.796873586489142,false,91.540195,597
memoized_dense,-0.5,60.0,first_order,unique_three_crossing_candidate,true,322.2117146775515,6.37810471859439e-7,1,322.2117155636331,-1.8006043524108244e-6,0.03347848490083466,2.785386313485233,false,-0.002006,597
memoized_dense,-0.5,130.0,first_order,unique_three_crossing_candidate,true,245.5925454107493,2.0147002568189593e-7,1,245.5925461175764,-1.2673782187606317e-6,0.8111156474984316,2.8892026702531264,false,1.0e-6,595
memoized_dense,-0.5,147.094727,first_order,unique_three_crossing_candidate,true,202.24667972417217,3.2404125518608754e-6,1,202.2466480359746,4.98911344580553e-6,2.1977933415284747,2.25191894905172,false,-0.0,595
memoized_dense,-0.5,147.219727,monotone,no_s_shape,false,,,0,,,,,false,-0.0,595
memoized_dense,0.0,5.0,first_order,unique_three_crossing_candidate,true,361.0049273033551,3.193995064194042e-6,1,361.0049268066835,-1.9555582689019632e-6,0.010134632227118785,2.5036068451740943,false,319.101087,600
memoized_dense,0.0,20.0,first_order,unique_three_crossing_candidate,true,360.3940583357469,4.355998611115181e-6,1,360.3940602413804,-3.832987830718103e-7,0.012404953871146625,2.499398095734748,false,101.277789,597
memoized_dense,0.0,60.0,first_order,unique_three_crossing_candidate,true,353.4337187599762,8.182247899224122e-7,1,353.43372037575875,-3.0047437942184367e-6,0.11836959034781791,2.4843863827330224,false,1.6e-5,597
memoized_dense,0.0,120.0,first_order,unique_three_crossing_candidate,true,308.6045881892352,1.5699919975681396e-6,1,308.6045901378782,-4.573767903576906e-6,0.9620083838994573,2.5034789862649416,false,4.0e-6,596
memoized_dense,0.0,131.086914,monotone,no_s_shape,false,,,0,,,,,false,-0.0,596
memoized_dense,0.0,145.0,monotone,no_s_shape,false,,,0,,,,,false,1.0e-6,595
memoized_dense,0.5,5.0,first_order,unique_three_crossing_candidate,true,378.93821259223785,3.414573963382791e-6,1,378.93820997032446,2.1547546073655213e-6,0.08291176377693724,2.2070583986190497,false,319.334386,600
memoized_dense,0.5,60.0,first_order,unique_three_crossing_candidate,true,372.80961499958016,4.34760197316926e-6,1,372.80961996084534,-4.752506036900328e-6,0.3218334523221978,2.1560648379763485,false,0.548722,597
memoized_dense,0.5,90.0,first_order,unique_three_crossing_candidate,true,360.766490471521,8.261989676988047e-7,1,360.7664867934612,4.103966851526972e-6,0.7184773506242131,2.0589029833144745,false,-0.0,597
