window_id,channel,xi,ds,s_value,den_simple_re,den_simple_im,detM_re,detM_im,invabs_den_simple,invabs_detM,abs_D_simple_sq,abs_D_mixed_sq,abs_D_total_sq,sigma
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.36,0.005,4.574656342375455,-0.4115751358003954,-0.010177238436245494,3.954533471457137e-5,-5.6064009339075266e-5,5.89978616408719,2.1244924349998808e8,1.366922349281326,1493.7267837066915,1545.3429417895509,88.85789290590311
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.36,0.01,4.579656342375455,-0.41193443613445435,-0.014406983706069371,3.714003874958656e-5,-7.933715387690375e-5,5.8859003784269674,1.3031410386833538e8,1.3637051495001151,915.6006628091928,944.6716375024533,54.405564661802856
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.36,0.02,4.589656342375455,-0.41265221163754795,-0.02041468231762851,3.233770603075145e-5,-0.00011234262717050947,5.858278620061572,7.31711255237552e7,1.3573054601239245,513.3944957331087,526.8311210092284,30.439244197621463
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.36,0.05,4.619656342375455,-0.41479886800830434,-0.03246856071250724,1.79970874465286e-5,-0.00017830264289968453,5.77659676318754,3.1137391990096256e7,1.3383805783423515,217.560122027375,219.6655909887802,12.822476605638512
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.36,0.1,4.669656342375455,-0.4183543938455927,-0.04636444441274276,-5.683162419329864e-6,-0.00025372294062785627,5.644294509263821,1.5526111060457451e7,1.3077274491070132,107.72577175495273,105.89100916759988,6.323664729417836
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.36,0.2,4.769656342375455,-0.42538248676030377,-0.06682745520893807,-5.222171691514018e-5,-0.0003631272560054301,5.393272908219183,7.430054666902311e6,1.2495682163692317,50.828516119459664,47.38820082264109,4.058513814449595
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.36,0.5,5.069656342375455,-0.4458122130072033,-0.1115576781428843,-0.00018538463013584576,-0.0005931133827032078,4.734990964604922,2.589660884669762e6,1.0970507732232384,16.960044351455743,13.56158485061005,1.173803485225883
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.36,1.0,5.569656342375455,-0.4777381251611972,-0.1713235692073732,-0.00038661064025039644,-0.000876543431741257,3.8822063797786064,1.0895665370656701e6,0.8994689836971353,6.6080600719052285,4.149348377890949,0.5280959405128836
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.36,2.0,6.569656342375455,-0.5340220159225366,-0.27898774867011644,-0.0007170561934741909,-0.0013099027916078439,2.754717142251503,448427.49543283484,0.6382408316106417,2.29038071167644,0.9173186347801693,0.3234983883166487
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,0.0001,4.6228056786107,-0.41616869475578744,-0.0014528922958788448,6.37743870308445e-6,-7.984183695677839e-6,5.773722279118588,9.57680907208911e9,1.3381269495466226,67028.03002064716,67401.55294034866,3910.709562581849
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,0.0005,4.6232056786107,-0.41619735394371005,-0.0032490196059556517,6.1863426316447205e-6,-1.7854075384449702e-5,5.772645725740125,2.8008157085272617e9,1.3378774458436893,19601.80321442533,19706.787134704464,1143.5608594860203
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,0.001,4.6237056786107,-0.41623318017630573,-0.00459525600486807,5.947471311240811e-6,-2.5251062573684555e-5,5.771300335641324,1.4859093237477705e9,1.3375656361199395,10398.570217738348,10451.445752144482,606.585621305753
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,0.005,4.6277056786107,-0.4165196987156181,-0.010283325118605547,4.037447322407335e-6,-5.6491459598879176e-5,5.760554282402983,3.1176093285961133e8,1.3350751139326331,2180.5275494552257,2186.896445895448,127.09352186338863
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,0.01,4.6327056786107,-0.4168776100881044,-0.014556991835261775,1.6523299402217812e-6,-7.994105597532153e-5,5.747164493445903,1.564136814264944e8,1.331971875400186,1093.2327913473612,1093.4781282298495,63.65509231446965
