window_id,channel,xi,band,ds_left,ds_right,area_invabs_den_simple,area_invabs_detM,area_abs_D_total_sq,area_sigma,prefactor,omega_bin,omega_sigma_bin,sigma_eff_bin,rate_bin,rate_func
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,4,0.1,0.2,0.5197202611570444,961168.7442406899,7.288270265791702,0.47842856305449544,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,5,0.2,0.5,1.4463008811921136,1.1745667888791168e6,9.709513875300633,0.8776085438347103,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,6,0.5,1.0,1.863396006140318,674388.6453997898,6.404107194171234,0.5364062125575668,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,7,1.0,2.0,3.1466825815900834,646576.8637942643,6.874388508181493,0.7248363941601362,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,1,0.0,0.02,,,,,0.05743109906723527,0.00025719524964174813,0.793505339273787,3085.225486781248,0.045571883750212996,0.5491930587007515
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,2,0.02,0.05,,,,,0.05743109906723527,0.0008537650387570215,0.017929870571993564,21.000942599028516,0.0010297321730828688,0.5491930587007515
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,3,0.05,0.1,,,,,0.05743109906723527,0.0028506481140541224,0.026392636229720604,9.25846866177588,0.0015157581059545868,0.5491930587007515
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,4,0.1,0.2,,,,,0.05743109906723527,0.01142591831995141,0.05737306129493112,5.021308545042627,0.0032949979670197508,0.5491930587007515
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,5,0.2,0.5,,,,,0.05743109906723527,0.0770404123330181,0.210215723177694,2.7286422386864535,0.01207292002330865,0.5491930587007515
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,6,0.5,1.0,,,,,0.05743109906723527,0.23978754622901016,0.2905902117310073,1.2118653212017851,0.016688915237892354,0.5491930587007515
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,7,1.0,2.0,,,,,0.05743109906723527,0.7646716648512367,0.5575991876777792,0.7292007972941661,0.03202353418733245,0.5491930587007515
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,8,2.0,5.0,,,,,0.05743109906723527,3.206780797792357,1.5811678491990229,0.4930701375932979,0.0908082073892764,0.5491930587007515
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,9,5.0,10.0,,,,,0.05743109906723527,5.393651524321535,2.195627603320149,0.4070762809609462,0.12609730640103584,0.5491930587007515
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,10,10.0,20.0,,,,,0.05743109906723527,7.58614533719123,2.4279854815746758,0.3200552287960301,0.13944187472612415,0.5491930587007515
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.37,11,20.0,,,,,,0.05743109906723527,6.263834431888526,1.4042553608849337,0.22418462303792971,0.08064792874667885,0.5491930587007515
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.38,1,0.0,0.02,0.11174167891895988,4.514587135949675e6,32.31997665068092,1.8952058276272004,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.38,2,0.02,0.05,0.08534074650308593,531553.9430053205,3.8872266745856145,0.23092958555918186,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.38,3,0.05,0.1,0.26257987092574897,931310.6751429532,6.934680735039945,0.4176003639632549,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.38,4,0.1,0.2,0.5081815350511718,899766.1044935675,6.966552874976159,0.4642221247169009,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.38,5,0.2,0.5,1.4155952941908698,1.1117380097506128e6,9.347756888861447,0.8578083211163647,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.38,6,0.5,1.0,1.8271789900966542,646743.0317485493,6.209010180882491,0.527069784680571,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_uubar,0.38,7,1.0,2.0,3.093140506228017,627298.5579379576,6.705898965332526,0.716443272047017,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.36,1,0.0,0.02,0.11712741579345645,3.5591608696000255e6,25.863402844549398,1.4878551549410166,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.36,2,0.02,0.05,0.08942120245651744,582245.4848192112,4.132981368422009,0.24048620101439624,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.36,3,0.05,0.1,0.27503155333599716,1.0351705658764226e6,7.192509271162845,0.4237858149829593,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.36,4,0.1,0.2,0.5318415031076088,1.005682702645531e6,6.652425499198776,0.4329413365023909,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.36,5,0.2,0.5,1.478506832590129,1.2329972976903955e6,7.233532284355604,0.7220143165848364,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.36,6,0.5,1.0,1.9012741360451852,702646.028825284,3.151012101712043,0.3224117946783695,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.36,7,1.0,2.0,3.20246628215286,666618.2224558401,1.9623492847162605,0.38392490335689505,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,1,0.0,0.02,0.11436663411913642,9.440964004796313e6,66.30399326696669,3.851072995060295,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,2,0.02,0.05,0.08732980727140194,582107.8025148745,3.985542660139674,0.2345221406954302,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,3,0.05,0.1,0.2686504674114062,1.0062568334630905e6,6.744800188666334,0.402132179333445,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,4,0.1,0.2,0.5197202611570444,961168.7442406899,6.13503652628777,0.40752409818095836,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,5,0.2,0.5,1.4463008811921136,1.1745667888791168e6,6.652538944807349,0.6877537339544263,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,6,0.5,1.0,1.863396006140318,674388.6453997898,2.9224691602728057,0.30860121628618564,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,7,1.0,2.0,3.1466825815900834,646576.8637942643,1.8401572766422143,0.3752418844929759,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,1,0.0,0.02,,,,,0.05743109906723527,0.00025719524964174813,0.8244660715090075,3205.603807447537,0.047349992630408094,0.3202674907209773
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,2,0.02,0.05,,,,,0.05743109906723527,0.0008537650387570215,0.0174868231036322,20.482008878099407,0.0010042874700359194,0.3202674907209773
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,3,0.05,0.1,,,,,0.05743109906723527,0.0028506481140541224,0.0244450262205557,8.575252097948553,0.0014039047225738982,0.3202674907209773
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,4,0.1,0.2,,,,,0.05743109906723527,0.01142591831995141,0.0490715802114634,4.294760284237012,0.0028182347845103367,0.3202674907209773
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,5,0.2,0.5,,,,,0.05743109906723527,0.0770404123330181,0.1609883732932236,2.0896613662622747,0.009245739215276178,0.3202674907209773
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,6,0.5,1.0,,,,,0.05743109906723527,0.23978754622901016,0.16831338869315907,0.7019271490121952,0.009666422900378896,0.3202674907209773
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,7,1.0,2.0,,,,,0.05743109906723527,0.7646716648512367,0.28859221533386736,0.3774067074788388,0.01657416810887223,0.3202674907209773
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,8,2.0,5.0,,,,,0.05743109906723527,3.206780797792357,0.8819875795882035,0.2750383126266036,0.05065351605940117,0.3202674907209773
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,9,5.0,10.0,,,,,0.05743109906723527,5.393651524321535,1.0782585896237922,0.19991254250698479,0.06192557588078139,0.3202674907209773
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,10,10.0,20.0,,,,,0.05743109906723527,7.58614533719123,1.2237989909501856,0.16132026695434987,0.07028412108764268,0.3202674907209773
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,11,20.0,,,,,,0.05743109906723527,6.263834431888526,0.8591430194776205,0.137159279802131,0.049341527864542864,0.3202674907209773
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.38,1,0.0,0.02,0.11174167891895988,4.514587135949675e6,30.555863916518774,1.7947733209139831,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.38,2,0.02,0.05,0.08534074650308593,531553.9430053205,3.5126676125441185,0.20902115105110736,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.38,3,0.05,0.1,0.26257987092574897,931310.6751429532,6.025663183640991,0.36357123380060025,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.38,4,0.1,0.2,0.5081815350511718,899766.1044935675,5.54508491338919,0.3769118059427379,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.38,5,0.2,0.5,1.4155952941908698,1.1117380097506128e6,6.082206779347677,0.6532075729292758,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.38,6,0.5,1.0,1.8271789900966542,646743.0317485493,2.709829900146192,0.29549848957471186,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.38,7,1.0,2.0,3.093140506228017,627298.5579379576,1.726885406727623,0.3670473066811534,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,udbar_to_udbar,0.36,1,0.0,0.02,0.11712741579345645,0.0,0.10854907476899268,0.006065314355790312,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,udbar_to_udbar,0.36,2,0.02,0.05,0.08942120245651744,0.0,0.08287204772367239,0.004648922198272845,,,,,,
mode_a_muB0p0_alpha1p0_xip0p37_supplement,udbar_to_udbar,0.36,3,0.05,0.1,0.27503155333599716,0.0,0.25488840887215447,0.014376111125116175,,,,,,
