window_id,channel,exchange_channel,sigma_scope,xi,ds,s_value,den_simple_re,den_simple_im,detM_re,detM_im,invabs_den_simple,invabs_detM,abs_D_simple_sq,abs_D_mixed_sq,abs_D_total_sq,sigma
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,t,full_process,-0.003,1.0,9.75286939846427,,,0.004117277713005723,0.0,,58990.17399522606,0.0,0.17102956433451857,0.17102956433451857,0.16015221699120935
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,t,full_process,-0.003,2.0,10.75286939846427,,,0.0045801123471774586,0.0,,47670.283838136005,0.0,0.13820993098272688,0.13820993098272688,0.1461876727965795
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.02,0.0001,8.11102511901811,-0.0866158269562165,-0.0006597015802166861,,,133.28469889323674,,93.51487767309948,0.0,93.51487767309948,0.4689483287806647
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.02,0.0005,8.111425119018111,-0.08663823556612749,-0.0014752613668079563,,,133.18487201244486,,93.44483738623069,0.0,93.44483738623069,0.4686979957444901
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.02,0.001,8.11192511901811,-0.08666627895770973,-0.0020865534633879653,,,133.0601588095529,,93.35733642018174,0.0,93.35733642018174,0.4683851169494238
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.02,0.005,8.115925119018112,-0.08689059275013489,-0.004669590038577042,,,132.06933855455233,,92.66215958659328,0.0,92.66215958659328,0.4658987162624524
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.02,0.01,8.12092511901811,-0.08717093677658028,-0.0066107181127974275,,,130.8476842102987,,91.80502551561347,0.0,91.80502551561347,0.46283143275441524
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.02,0.02,8.13092511901811,-0.08773147748481458,-0.009368543147404844,,,128.45905317645574,,90.12912017320865,0.0,90.12912017320865,0.45682886263594774
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.02,0.05,8.160925119018112,-0.08941193441418949,-0.014905845623043666,,,121.70368239378719,,85.38943379042514,0.0,85.38943379042514,0.43981315042034763
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.02,0.1,8.21092511901811,-0.09220884258793971,-0.021299070082823703,,,111.6554807353953,,78.33943962964126,0.0,78.33943962964126,0.41438520955196156
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.02,0.2,8.31092511901811,-0.09778839690440955,-0.03074151435143995,,,95.16910874860747,,66.77231247686417,0.0,66.77231247686417,0.3723074230107354
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.02,0.5,8.61092511901811,-0.11441641256330315,-0.05155668587989345,,,63.49525912672183,,44.54938518346648,0.0,44.54938518346648,0.28981444997042166
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.02,1.0,9.11092511901811,-0.14178054652372674,-0.07991879890993851,,,37.751893195550956,,26.48738905084487,0.0,26.48738905084487,0.22084916837481972
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.02,2.0,10.11092511901811,-0.19529407575836788,-0.13324583999927914,,,17.8909343903253,,12.552592719655522,0.0,12.552592719655522,0.17311083026253649
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,t,full_process,-0.02,0.0001,8.11102511901811,,,0.003773872059170705,0.0,,70214.31358151164,0.0,0.14999783633320318,0.14999783633320318,0.4689483287806647
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,t,full_process,-0.02,0.0005,8.111425119018111,,,0.0037740134675434416,0.0,,70209.05196498636,0.0,0.14998659601688955,0.14998659601688955,0.4686979957444901
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,t,full_process,-0.02,0.001,8.11192511901811,,,0.0037741902431558845,0.0,,70202.47521251687,0.0,0.14997254619442163,0.14997254619442163,0.4683851169494238
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,t,full_process,-0.02,0.005,8.115925119018112,,,0.0037756050465023046,0.0,,70149.87220641816,0.0,0.14986017114299757,0.14986017114299757,0.4658987162624524
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,t,full_process,-0.02,0.01,8.12092511901811,,,0.003777375043014228,0.0,,70084.14617329955,0.0,0.14971976155618136,0.14971976155618136,0.46283143275441524
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,t,full_process,-0.02,0.02,8.13092511901811,,,0.003780920001585302,0.0,,69952.78717896993,0.0,0.14943914121073756,0.14943914121073756,0.45682886263594774
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,t,full_process,-0.02,0.05,8.160925119018112,,,0.0037915944722962357,0.0,,69559.4656468502,0.0,0.14859889403331944,0.14859889403331944,0.43981315042034763
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,t,full_process,-0.02,0.1,8.21092511901811,,,0.0038095164126788024,0.0,,68906.51758742626,0.0,0.14720401040979936,0.14720401040979936,0.41438520955196156
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,t,full_process,-0.02,0.2,8.31092511901811,,,0.003845846115068889,0.0,,67610.8186614841,0.0,0.14443602728047686,0.14443602728047686,0.3723074230107354
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,t,full_process,-0.02,0.5,8.61092511901811,,,0.00395860915408421,0.0,,63813.82114579473,0.0,0.13632455566073695,0.13632455566073695,0.28981444997042166
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,t,full_process,-0.02,1.0,9.11092511901811,,,0.0041584636428713085,0.0,,57827.468716532465,0.0,0.12353599637538648,0.12353599637538648,0.22084916837481972
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,t,full_process,-0.02,2.0,10.11092511901811,,,0.004598910017523713,0.0,,47281.38345545691,0.0,0.10100654489665897,0.10100654489665897,0.17311083026253649
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.01,0.0001,8.437230566625697,-0.12172362312591067,-0.000734836584987437,,,67.4892234699399,,47.84938837078721,0.0,47.84938837078721,0.29679632149282714
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.01,0.0005,8.437630566625698,-0.12174595244803688,-0.0016432698045393051,,,67.45463905299238,,47.82486826056791,0.0,47.82486826056791,0.2967041710368261
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.01,0.001,8.438130566625697,-0.12177389718577691,-0.002324155855374637,,,67.41141114593793,,47.79421997619374,0.0,47.79421997619374,0.29658890455701004
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.01,0.005,8.442130566625698,-0.12199742136895342,-0.005200931347978315,,,67.06718965390334,,47.55016934097973,0.0,47.55016934097973,0.2956708535432529
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.01,0.01,8.447130566625697,-0.12227678178208179,-0.0073622300381444026,,,66.64083759269498,,47.24788870548637,0.0,47.24788870548637,0.2945332783993456
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.01,0.02,8.457130566625697,-0.12283536703312192,-0.01043157369901979,,,65.80096667152648,,46.65242608461001,0.0,46.65242608461001,0.2922907995811319
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.01,0.05,8.487130566625698,-0.12451005111283808,-0.016587755007687426,,,63.379764833135496,,44.935810880986764,0.0,44.935810880986764,0.28581423257609434
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.01,0.1,8.537130566625697,-0.12729764538745814,-0.023680309794745114,,,59.646483903454836,,42.28894075984644,0.0,42.28894075984644,0.27579204911068395
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.01,0.2,8.637130566625697,-0.13285969474334802,-0.034116852701161424,,,53.147224153867796,,37.68101096170416,0.0,37.68101096170416,0.25823439012630833
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,usbar_to_usbar,s,full_process,-0.01,0.5,8.937130566625697,-0.14944356468957287,-0.05693335423433129,,,39.101011668545844,,27.722344351054403,0.0,27.722344351054403,0.219796634936165
