# schema: M2_vs_s_mid_t_v1
# T_MeV: 150.0
# muB_MeV: 800.0
# xi: 0.0
# delta_sqrt_mev_min: 0.001
# delta_sqrt_mev_max: 60.0
# n_threshold: 240
process,T_MeV,muB_MeV,xi,s_th,sqrt_s_th_MeV,delta_sqrt_MeV,s,sqrt_s_MeV,t_min,t_max,t_mid,M2
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.007238813368641753,0.6845794809728497,163.26701482431847,-6.0703421894348075e-5,0.0,-3.0351710947174038e-5,1570.6953427564388
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.007579833124350535,0.6845823407712165,163.26735584407416,-6.356322026113137e-5,0.0,-3.1781610130565685e-5,1570.6893166244838
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.007936918285791066,0.6845853353007934,163.2677129292356,-6.655774983799212e-5,0.0,-3.327887491899606e-5,1570.6840237340737
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.008310825692580423,0.6845884709093709,163.2680868366424,-6.96933584155568e-5,0.0,-3.48466792077784e-5,1570.6795541815702
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.008702347838972469,0.6845917542438437,163.2684783587888,-7.297669288830466e-5,0.0,-3.648834644415233e-5,1570.6754477478569
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.009112314553544089,0.6845951922643053,163.26888832550335,-7.64147133499593e-5,0.0,-3.820735667497965e-5,1570.6730239118224
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.009541594758011383,0.6845987922588113,163.26931760570784,-8.001470785590215e-5,0.0,-4.000735392795107e-5,1570.6717512352925
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.009991098308903424,0.684602561858834,163.26976710925874,-8.378430787858715e-5,0.0,-4.1892153939293575e-5,1570.6716112286022
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.010461777925997067,0.68460650905545,163.27023778887582,-8.773150449459255e-5,0.0,-4.3865752247296275e-5,1570.6727880773792
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.0109546312116002,0.6846106422162902,163.27073064216142,-9.186466533483983e-5,0.0,-4.593233266741992e-5,1570.6958435151676
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.011470702764963182,0.6846149701032859,163.2712467137148,-9.61925523305096e-5,0.0,-4.80962761652548e-5,1570.7005792428893
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.012011086396299948,0.6846195018912558,163.27178709734613,-0.00010072434030039545,0.0,-5.036217015019773e-5,1570.2159999148403
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.01257692744511149,0.6846242471873675,163.27235293839493,-0.00010546963641211438,0.0,-5.273481820605719e-5,1573.7127662704218
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.01316942520772527,0.6846292160515188,163.27294543615756,-0.00011043850056347004,0.0,-5.521925028173502e-5,1573.7914713493021
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.01378983547919579,0.6846344190176763,163.27356584642902,-0.00011564146672093933,0.0,-5.782073336046967e-5,1573.8775717270603
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.014439473214953848,0.6846398671162257,163.27421548416478,-0.0001210895652703492,0.0,-6.05447826351746e-5,1573.9664816596373
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.01511971531784577,0.684645571897372,163.27489572626766,-0.00012679434641660325,0.0,-6.339717320830163e-5,1574.059463779771
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.01583200355646982,0.6846515454556469,163.2756080145063,-0.000132767904691522,0.0,-6.6383952345761e-5,1574.1567457791152
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.016577847620995113,0.6846578004555693,163.27635385857081,-0.00013902290461398348,0.0,-6.951145230699174e-5,1574.2585618070038
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.017358828322939893,0.6846643501585208,163.27713483927275,-0.00014557260756542512,0.0,-7.278630378271256e-5,1574.3651538628037
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.018176600945690954,0.6846712084508838,163.2779526118955,-0.00015243089992844627,0.0,-7.621544996422314e-5,1574.4761481129115
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.019032898752865745,0.684678389873512,163.2788089097027,-0.00015961232255667923,0.0,-7.980616127833962e-5,1574.5931995397477
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.019929536661953053,0.6846859096525895,163.27970554761177,-0.0001671321016341043,0.0,-8.356605081705215e-5,1574.7446074846994
