process,T_MeV,muB_MeV,xi,i,j,c,d,mi_fm,mj_fm,mc_fm,md_fm,s_th,sqrt_s_th_MeV,delta_sqrt_MeV,s,sqrt_s_MeV,sigma,inv_sigma2
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0221813457020324,13.88320174497318,735.2436586563465,0.0628405243116569,253.2330583786296
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.023693320582556,13.88325884461256,735.245170631227,0.0628420744693158,253.2205652734409
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0253083581027429,13.883319836535955,735.2467856687472,0.0628437476763745,253.2070815200829
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0270334834505318,13.88338498607629,735.248510794095,0.0628455545488299,253.1925218164604
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0288762006805558,13.883454576655282,735.250353511325,0.0628475067384956,253.17679256407044
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0308445253557337,13.883528911016818,735.2523218360002,0.0628496170439791,253.15979098382192
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0329470194138499,13.883608312544457,735.2544243300583,0.0628518995369969,253.14140411031775
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0351928284107901,13.883693126668778,735.2566701390552,0.0628543697045366,253.12150766094783
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0375917213024336,13.88378372237076,735.2590690319469,0.0628570446045886,253.09996479867365
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0401541329382487,13.883880493787665,735.2616314435827,0.0628599430452016,253.07662471057543
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0428912094514323,13.883983861928522,735.2643685200959,0.0628630857797776,253.05132106002011
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0458148567430347,13.88409427650661,735.2672921673875,0.0628664957303506,253.023870218834
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0489377922709684,13.884212217896994,735.2704151029154,0.0628701982334317,252.9940693242894
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0522736003691763,13.884338199227576,735.2737509110136,0.0628742213180399,252.9616940849049
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0558367913375892,13.884472768612886,735.277314101982,0.0628785960157823,252.926496337947
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0596428645599068,13.884616511540267,735.2811201752044,0.0628833567086109,252.8882013155157
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0637083759237547,13.884770053418926,735.2851856865682,0.0628885415164486,252.8465046042538
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0680510098364866,13.88493406230292,735.2895283204809,0.0628941927336524,252.8010687298193
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0726896561498889,13.885109251800063,735.2941669667944,0.0629003573146431,252.75151936753448
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0776444923284018,13.885296384179338,735.2991218029729,0.062907087419365,252.69744109843123
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0829370712182748,13.885496273690489,735.3044143818627,0.0629144410207288,252.6383726995187
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0885904147994419,13.88570979011026,735.3100677254439,0.0629224825855959,252.57380188293288
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0946291143279224,13.885937862530746,735.3161064249724,0.0629312838339515,252.5031594559293
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.1010794373043551,13.886181483406496,735.3225567479489,0.0629409245856088,252.42581283813263
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.1079694417339622,13.886441712878028,735.3294467523784,0.0629514937056469,252.34105886020424
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.1153290981749577,13.88671968339066,735.3368064088194,0.0629630901562361,252.2481157998737
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.1231904201062959,13.887016604628917,735.3446677307508,0.0629758241677816,252.14611457298008
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.1315876031818388,13.887333768788084,735.3530649138263,0.0629898185399485,252.0340890210989
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.1405571739766811,13.88767255620606,735.3620344846212,0.0630052100864331,251.9109652169802
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.150138148872657,13.888034441380114,735.3716154595171,0.0630221512355366,251.77554973089167
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.1603722037741581,13.888420999395043,735.3818495144186,0.0630408118023735,251.62651677980483
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.1713038553925054,13.888833912790831,735.3927811660369,0.0630613809459873,251.4623942128639
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.1829806548874336,13.88927497890005,735.4044579655318,0.0630840693273409,251.2815482783215
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.1954533947080035,13.889746117687196,735.4169307053525,0.0631091114841322,251.082167133456
