point_id,series,process,T_MeV,muB_MeV,sqrt_s_GeV,literature_sigma_mb,model_sigma_mb,relative_error,abs_relative_error,scan_file
T250MeV_15,T250MeV,ud_to_ud,250.0,0.0,0.4412443960299661,0.5617423373752093,0.563665910638,0.00342429817846,0.00342429817846,xs_T250_muB0_xi0p0.csv
T250MeV_16,T250MeV,ud_to_ud,250.0,0.0,0.4697408583560312,0.6014827769889548,0.601996271386,0.000853714215633,0.000853714215633,xs_T250_muB0_xi0p0.csv
T250MeV_17,T250MeV,ud_to_ud,250.0,0.0,0.4982361923944616,0.6360801054678209,0.637743864852,0.00261564442953,0.00261564442953,xs_T250_muB0_xi0p0.csv
T250MeV_18,T250MeV,ud_to_ud,250.0,0.0,0.5267312040649965,0.6692079736224361,0.670981654416,0.00265041790291,0.00265041790291,xs_T250_muB0_xi0p0.csv
T250MeV_19,T250MeV,ud_to_ud,250.0,0.0,0.5552259739596095,0.7012337465338616,0.70221790242,0.0014034633836,0.0014034633836,xs_T250_muB0_xi0p0.csv
T250MeV_20,T250MeV,ud_to_ud,250.0,0.0,0.5851586419735817,0.7292626052726492,0.732447258788,0.00436695024833,0.00436695024833,xs_T250_muB0_xi0p0.csv
T250MeV_21,T250MeV,ud_to_ud,250.0,0.0,0.6122136601334358,0.756835895492264,0.757844171505,0.00133222541152,0.00133222541152,xs_T250_muB0_xi0p0.csv
T250MeV_22,T250MeV,ud_to_ud,250.0,0.0,0.6407065764126489,0.7804122715392436,0.782791596776,0.00304880551411,0.00304880551411,xs_T250_muB0_xi0p0.csv
T250MeV_23,T250MeV,ud_to_ud,250.0,0.0,0.66919965387581,0.8047233777483482,0.806076672682,0.00168168959865,0.00168168959865,xs_T250_muB0_xi0p0.csv
T250MeV_24,T250MeV,ud_to_ud,250.0,0.0,0.6976922477871275,0.8268302934710752,0.82789322343,0.00128554791361,0.00128554791361,xs_T250_muB0_xi0p0.csv
T250MeV_25,T250MeV,ud_to_ud,250.0,0.0,0.727623438281578,0.84812412572371,0.84944911327,0.00156225663971,0.00156225663971,xs_T250_muB0_xi0p0.csv
T250MeV_26,T250MeV,ud_to_ud,250.0,0.0,0.7546767908739713,0.8681052042680246,,,,xs_T250_muB0_xi0p0.csv
T250MeV_27,T250MeV,ud_to_ud,250.0,0.0,0.7831682564976543,0.8850690088558721,,,,xs_T250_muB0_xi0p0.csv
T250MeV_28,T250MeV,ud_to_ud,250.0,0.0,0.8116599638972588,0.9031349086869067,,,,xs_T250_muB0_xi0p0.csv
T250MeV_29,T250MeV,ud_to_ud,250.0,0.0,0.8401515907048898,0.9208334434368783,,,,xs_T250_muB0_xi0p0.csv
T250MeV_30,T250MeV,ud_to_ud,250.0,0.0,0.8686433786964678,0.9392667083489759,,,,xs_T250_muB0_xi0p0.csv
T250MeV_31,T250MeV,ud_to_ud,250.0,0.0,0.8971349249121248,0.9565978780178854,,,,xs_T250_muB0_xi0p0.csv
T250MeV_32,T250MeV,ud_to_ud,250.0,0.0,0.9256263099438338,0.9731943175246691,,,,xs_T250_muB0_xi0p0.csv
T250MeV_33,T250MeV,ud_to_ud,250.0,0.0,0.9541184203033077,0.9930970427610184,,,,xs_T250_muB0_xi0p0.csv
T250MeV_34,T250MeV,ud_to_ud,250.0,0.0,0.9826099665189643,1.010428212429927,,,,xs_T250_muB0_xi0p0.csv
T250MeV_35,T250MeV,ud_to_ud,250.0,0.0,1.0111023186543606,1.0314330329094643,,,,xs_T250_muB0_xi0p0.csv
T250MeV_36,T250MeV,ud_to_ud,250.0,0.0,1.0395945096058081,1.0517031232268765,,,,xs_T250_muB0_xi0p0.csv
T250MeV_37,T250MeV,ud_to_ud,250.0,0.0,1.0680876676609434,1.076381594517045,,,,xs_T250_muB0_xi0p0.csv
T250MeV_38,T250MeV,ud_to_ud,250.0,0.0,1.0965806645321303,1.1003253356450857,,,,xs_T250_muB0_xi0p0.csv
T250MeV_39,T250MeV,ud_to_ud,250.0,0.0,1.125075031466874,1.1305142831511965,,,,xs_T250_muB0_xi0p0.csv
T250MeV_40,T250MeV,ud_to_ud,250.0,0.0,1.1535702043213563,1.1643768814679376,,,,xs_T250_muB0_xi0p0.csv
T250MeV_41,T250MeV,ud_to_ud,250.0,0.0,1.1820669084233437,1.205219416324872,,,,xs_T250_muB0_xi0p0.csv
T250MeV_42,T250MeV,ud_to_ud,250.0,0.0,1.1976110047988302,1.2295009721435441,,,,xs_T250_muB0_xi0p0.csv
T160MeV_ustous_1,T160MeV_ustous,us_to_us,160.0,0.0,0.9012996873807175,1.8177931582487945,,,,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_2,T160MeV_ustous,us_to_us,160.0,0.0,0.9039896616650807,3.1070467238242303,2.62636508143,-0.15470692433,0.15470692433,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_3,T160MeV_ustous,us_to_us,160.0,0.0,0.9035487954536299,2.9940015260075947,2.5648503385,-0.14333699692,0.14333699692,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_4,T160MeV_ustous,us_to_us,160.0,0.0,0.9035422860196354,2.9051802991516666,2.56399075629,-0.117441779074,0.117441779074,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_5,T160MeV_ustous,us_to_us,160.0,0.0,0.9035357765856409,2.8163590722957395,2.56313117408,-0.0899132147969,0.0899132147969,xs_T160_muB0_xi0p0.csv
