window_id,mode_key,observable,channel,xi,sigma_peak_ds,sigma_peak_value,simple_peak_ds,simple_peak_invabs,mixed_peak_ds,mixed_peak_invabs,dominant_denominator_branch,denominator_sigma_same_band,max_abs_D_simple_sq,max_abs_D_mixed_sq,max_abs_D_total_sq
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,tau_ubar,uubar_to_uubar,0.26,0.0001,6691.531566433827,0.0001,5.6452612666096345,0.0001,1.8430628658670048e10,mixed_detM,true,1.3194790178308364,121964.40059368305,121984.63533533047
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,tau_ubar,uubar_to_uubar,0.27,0.0001,170.6983377092614,0.0001,5.473296325263947,0.0001,4.490028921851685e8,mixed_detM,true,1.2797861832155266,2951.6558368496994,3074.3826956097882
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,tau_ubar,uubar_to_ddbar,0.25,0.0001,163.2969525555899,0.0001,5.828957080358437,0.0001,4.347088254561604e8,mixed_detM,true,1.3618703415631501,2896.1473280523223,3021.5943317313495
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,tau_ubar,uubar_to_ddbar,0.26,0.0001,6689.505697354352,0.0001,5.6452612666096345,0.0001,1.8430628658670048e10,mixed_detM,true,1.3194790178308364,121964.40059368305,121946.80481007128
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,tau_ubar,uubar_to_ddbar,0.27,0.0001,157.62731235730834,0.0001,5.473296325263947,0.0001,4.490028921851685e8,mixed_detM,true,1.2797861832155266,2951.6558368496994,2831.488550456042
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,tau_ubar,dubar_to_dubar,0.25,0.0001,0.28621206188894505,0.0001,5.828957080358437,,,simple_1m4KPi,true,5.447481366252602,0.0,5.447481366252602
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,tau_ubar,dubar_to_dubar,0.26,0.0001,0.2830907673478408,0.0001,5.6452612666096345,,,simple_1m4KPi,true,5.2779160713233475,0.0,5.2779160713233475
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,tau_ubar,dubar_to_dubar,0.27,0.0001,0.2801207668031064,0.0001,5.473296325263947,,,simple_1m4KPi,true,5.119144732862108,0.0,5.119144732862108
mode_a_muB0p0_alpha1p1_xip0p48_1,mode_a,tau_dbar,dubar_to_dubar,0.47,0.0001,636.160474496198,0.0001,110189.89377832373,,,simple_1m4KPi,true,96922.26090334526,0.0,96922.26090334526
mode_a_muB0p0_alpha1p1_xip0p48_1,mode_a,tau_dbar,dubar_to_dubar,0.48,0.0001,26831.797413046275,0.0001,4.485442807799707e6,,,simple_1m4KPi,true,3.946648200658519e6,0.0,3.946648200658519e6
mode_a_muB0p0_alpha1p1_xip0p48_1,mode_a,tau_dbar,dubar_to_dubar,0.49,0.0001,422.8257078157307,0.0001,68235.66522208301,,,simple_1m4KPi,true,60058.68698847677,0.0,60058.68698847677
mode_a_muB0p0_alpha1p1_xip0p48_1,mode_a,tau_dbar,uubar_to_uubar,0.47,0.0001,162.1140248324058,0.0001,110189.89377832373,2.0,242801.16332427927,mixed_detM,false,24230.565225836308,2.250861534830631,24550.50214530456
mode_a_muB0p0_alpha1p1_xip0p48_1,mode_a,tau_dbar,uubar_to_uubar,0.48,0.0001,6691.5217486740985,0.0001,4.485442807799707e6,2.0,248203.61693118347,simple_1m4KPi,true,986662.0501646295,2.290395290598358,984950.4505946832
mode_a_muB0p0_alpha1p1_xip0p48_1,mode_a,tau_dbar,uubar_to_uubar,0.49,0.0001,103.2647491066312,0.0001,68235.66493464848,2.0,253791.3027012591,mixed_detM,false,15014.671683872344,2.3311398134014722,14760.58179126549
mode_a_muB0p0_alpha1p1_xip0p48_1,mode_a,tau_dbar,uubar_to_ddbar,0.47,0.0001,156.08177565019136,0.0001,110189.89377832373,2.0,242801.16332427927,mixed_detM,false,24230.565225836308,2.250861534830631,23912.741333058555
mode_a_muB0p0_alpha1p1_xip0p48_1,mode_a,tau_dbar,uubar_to_ddbar,0.48,0.0001,6724.496017218008,0.0001,4.485442807799707e6,2.0,248203.61693118347,simple_1m4KPi,true,986662.0501646295,2.290395290598358,988375.795378888
mode_a_muB0p0_alpha1p1_xip0p48_1,mode_a,tau_dbar,uubar_to_ddbar,0.49,0.0001,108.2707428973037,0.0001,68235.66493464848,2.0,253791.3027012591,mixed_detM,false,15014.671683872344,2.3311398134014722,15270.941014277996
mode_a_muB900p0_alpha1p1_xip0p18_1,mode_a,tau_dbar,dubar_to_dubar,0.17,0.06530434782608696,291.6711236175533,0.06530434782608696,155994.87988767595,,,simple_1m4KPi,true,145858.15311824976,0.0,145858.15311824976
mode_a_muB900p0_alpha1p1_xip0p18_1,mode_a,tau_dbar,dubar_to_dubar,0.18,0.0001,600.4324692661144,0.0001,319156.16705299594,,,simple_1m4KPi,true,298580.53921424196,0.0,298580.53921424196
mode_a_muB900p0_alpha1p1_xip0p18_1,mode_a,tau_dbar,dubar_to_dubar,0.19,0.0001,23.214144436528834,0.0001,11142.438722256431,,,simple_1m4KPi,true,10430.176253047342,0.0,10430.176253047342
mode_a_muB900p0_alpha1p1_xip0p18_1,mode_a,tau_dbar,uubar_to_uubar,0.17,0.06530434782608696,73.2775324446449,0.06530434782608696,155994.87988767595,2.0,214578.80124760096,mixed_detM,false,36464.538279562425,1.3378266336402556,36574.80495116741
mode_a_muB900p0_alpha1p1_xip0p18_1,mode_a,tau_dbar,uubar_to_uubar,0.18,0.0001,148.66487022787223,0.0001,319156.16705299594,2.0,226622.06350468966,simple_1m4KPi,true,74645.13480356046,1.4009268521110319,74173.7933119786
mode_a_muB900p0_alpha1p1_xip0p18_1,mode_a,tau_dbar,uubar_to_uubar,0.19,0.0001,5.534979082894278,0.0001,11142.438722256431,2.0,240815.2596990856,mixed_detM,false,2607.5440632618347,1.4749749331718471,2518.4777283775647
mode_a_muB900p0_alpha1p1_xip0p18_1,mode_a,tau_dbar,uubar_to_ddbar,0.17,0.06530434782608696,72.59735273044666,0.06530434782608696,155994.87988767595,2.0,214578.80124760096,mixed_detM,false,36464.538279562425,1.3378266336402556,36355.74862047873
mode_a_muB900p0_alpha1p1_xip0p18_1,mode_a,tau_dbar,uubar_to_ddbar,0.18,0.0001,151.59164175977475,0.0001,319156.16705299594,2.0,226622.06350468966,simple_1m4KPi,true,74645.13480356046,1.4009268521110319,75117.97340430444
mode_a_muB900p0_alpha1p1_xip0p18_1,mode_a,tau_dbar,uubar_to_ddbar,0.19,0.0001,6.115830967860705,0.0001,11142.438722256431,2.0,240815.2596990856,mixed_detM,false,2607.5440632618347,1.4749749331718471,2698.1582625908754
mode_a_muB450p0_alpha1p1_xip0p35_1,mode_a,tau_dbar,dubar_to_dubar,0.34,0.005,453.38993073322035,0.005,93069.6086883586,,,simple_1m4KPi,true,82837.57200765822,0.0,82837.57200765822
mode_a_muB450p0_alpha1p1_xip0p35_1,mode_a,tau_dbar,dubar_to_dubar,0.35,0.0001,11813.36265113049,0.0001,2.337531089827765e6,,,simple_1m4KPi,true,2.0813151704817067e6,0.0,2.0813151704817067e6
mode_a_muB450p0_alpha1p1_xip0p35_1,mode_a,tau_dbar,dubar_to_dubar,0.36,0.0001,250.32069179623386,0.0001,47423.68003830429,,,simple_1m4KPi,true,42241.29380572642,0.0,42241.29380572642
mode_a_muB450p0_alpha1p1_xip0p35_1,mode_a,tau_dbar,uubar_to_uubar,0.34,0.005,115.40318072460337,0.005,93069.60868274244,2.0,236546.7346651008,mixed_detM,false,20709.393000664862,2.0440852052716885,20959.726921938724
mode_a_muB450p0_alpha1p1_xip0p35_1,mode_a,tau_dbar,uubar_to_uubar,0.35,0.0001,2942.3913888644583,0.0001,2.337531089827765e6,2.0,242777.68730753177,simple_1m4KPi,true,520328.7926204265,2.0871765313602713,518985.87229754974
mode_a_muB450p0_alpha1p1_xip0p35_1,mode_a,tau_dbar,uubar_to_uubar,0.36,0.0001,60.906514418757425,0.0001,47423.68003830429,2.0,249299.06175275173,mixed_detM,false,10560.323451431601,2.1321180070158565,10354.944620048436
mode_a_muB450p0_alpha1p1_xip0p35_1,mode_a,tau_dbar,uubar_to_ddbar,0.34,0.005,111.39051351272425,0.005,93069.60869398493,2.0,236546.73470866305,mixed_detM,false,20709.393003166362,2.0440852055203247,20461.016004520832
mode_a_muB450p0_alpha1p1_xip0p35_1,mode_a,tau_dbar,uubar_to_ddbar,0.35,0.0001,2964.3922696046775,0.0001,2.337531089827765e6,2.0,242777.68730753177,simple_1m4KPi,true,520328.7926204265,2.0871765313602713,521673.70007036475
mode_a_muB450p0_alpha1p1_xip0p35_1,mode_a,tau_dbar,uubar_to_ddbar,0.36,0.0001,64.35985038414697,0.0001,47423.68003830429,2.0,249299.06175275173,mixed_detM,false,10560.323451431601,2.1321180070158565,10767.724818620569
mode_a_muB900p0_alpha1p2_xip0p49_1,mode_a,tau_dbar,dubar_to_dubar,0.48,0.0870391304347826,171.2133629415194,0.0870391304347826,66225.60730825414,,,simple_1m4KPi,true,61032.9967082152,0.0,61032.9967082152
mode_a_muB900p0_alpha1p2_xip0p49_1,mode_a,tau_dbar,dubar_to_dubar,0.49,0.021834782608695653,530.6366673225814,0.021834782608695653,210723.33088392162,,,simple_1m4KPi,true,194285.40911336266,0.0,194285.40911336266
mode_a_muB900p0_alpha1p2_xip0p49_1,mode_a,tau_dbar,dubar_to_dubar,0.5,0.0001,546.2980346803263,0.0001,210210.27515740416,,,simple_1m4KPi,true,193898.5142947767,0.0,193898.5142947767
mode_a_muB900p0_alpha1p2_xip0p49_1,mode_a,tau_dbar,uubar_to_uubar,0.48,0.0870391304347826,43.16757247748838,0.0870391304347826,66225.60730825414,2.0,222072.64411817398,mixed_detM,false,15258.249177053794,1.5057417082499849,15337.856819767081
mode_a_muB900p0_alpha1p2_xip0p49_1,mode_a,tau_dbar,uubar_to_uubar,0.49,0.021834782608695653,133.64584296488937,0.021834782608695653,210723.33088392162,2.0,230437.28933806252,mixed_detM,false,48571.352278340644,1.552575586209724,48800.858384436484
mode_a_muB900p0_alpha1p2_xip0p49_1,mode_a,tau_dbar,uubar_to_uubar,0.5,0.0001,134.91930320163053,0.0001,210210.27515740416,2.0,239556.1799933781,mixed_detM,false,48474.628573694165,1.6034686465993193,48078.354620934864
mode_a_muB900p0_alpha1p2_xip0p49_1,mode_a,tau_dbar,uubar_to_ddbar,0.48,0.0870391304347826,42.4920359920883,0.0870391304347826,66225.60730825414,2.0,222072.64411817398,mixed_detM,false,15258.249177053794,1.5057417082499849,15180.245646953264
mode_a_muB900p0_alpha1p2_xip0p49_1,mode_a,tau_dbar,uubar_to_ddbar,0.49,0.021834782608695653,131.72470320628133,0.021834782608695653,210723.33088392162,2.0,230437.28933806252,mixed_detM,false,48571.352278340644,1.552575586209724,48343.453552821484
mode_a_muB900p0_alpha1p2_xip0p49_1,mode_a,tau_dbar,uubar_to_ddbar,0.5,0.0001,138.28441501067218,0.0001,210210.27515740416,2.0,239556.1799933781,mixed_detM,false,48474.628573694165,1.6034686465993193,48872.534241012276
mode_a_muB450p0_alpha1p0_xim0p20_1,mode_a,tau_dbar,dubar_to_dubar,-0.21,0.0001,4215.217240667405,0.0001,1.2835470260170295e6,,,simple_1m4KPi,true,1.1668509932808594e6,0.0,1.1668509932808594e6
mode_a_muB450p0_alpha1p0_xim0p20_1,mode_a,tau_dbar,dubar_to_dubar,-0.2,0.0001,113.23711181044243,0.0001,31475.732658465433,,,simple_1m4KPi,true,28630.294953915836,0.0,28630.294953915836
mode_a_muB450p0_alpha1p0_xim0p20_1,mode_a,tau_dbar,dubar_to_dubar,-0.19,0.0001,25.37099872437545,0.0001,6426.090332567211,,,simple_1m4KPi,true,5848.561379775854,0.0,5848.561379775854
mode_a_muB450p0_alpha1p0_xim0p20_1,mode_a,tau_dbar,uubar_to_uubar,-0.21,0.0001,1059.39906752928,0.0001,1.2835470260170295e6,2.0,224335.83286475175,simple_1m4KPi,true,291712.74832021486,1.7367801119616522,292691.31346602464
mode_a_muB450p0_alpha1p0_xim0p20_1,mode_a,tau_dbar,uubar_to_uubar,-0.2,0.0001,27.42219235391527,0.0001,31475.732658465433,2.0,233773.1739627279,mixed_detM,false,7157.573738478956,1.7966706011497249,7000.211896527472
mode_a_muB450p0_alpha1p0_xim0p20_1,mode_a,tau_dbar,uubar_to_uubar,-0.19,0.0001,5.946762501117339,0.0001,6426.090332567211,2.0,244269.7327386846,mixed_detM,false,1462.1403449439629,1.862999164111655,1390.4291136819581
mode_a_muB450p0_alpha1p0_xim0p20_1,mode_a,tau_dbar,uubar_to_ddbar,-0.21,0.0001,1048.2927965302258,0.0001,1.2835470260170295e6,2.0,224335.83286475175,simple_1m4KPi,true,291712.74832021486,1.7367801119616522,290735.8870496271
mode_a_muB450p0_alpha1p0_xim0p20_1,mode_a,tau_dbar,uubar_to_ddbar,-0.2,0.0001,29.285384115847684,0.0001,31475.732658465433,2.0,233773.1739627279,mixed_detM,false,7157.573738478956,1.7966706011497249,7316.68669865348
mode_a_muB450p0_alpha1p0_xim0p20_1,mode_a,tau_dbar,uubar_to_ddbar,-0.19,0.0001,6.833710743195699,0.0001,6426.090332567211,2.0,244269.7327386846,mixed_detM,false,1462.1403449439629,1.862999164111655,1535.6551393632767
mode_b_T200p0_muB0p0_xim0p21_1,mode_b,tau_dbar,dubar_to_dubar,-0.22,0.0001,5283.823827936065,0.0001,1.3861756922817086e6,,,simple_1m4KPi,true,1.2486281656667169e6,0.0,1.2486281656667169e6
mode_b_T200p0_muB0p0_xim0p21_1,mode_b,tau_dbar,dubar_to_dubar,-0.21,0.0001,155.02147853779712,0.0001,37473.25208051278,,,simple_1m4KPi,true,33773.371882287924,0.0,33773.371882287924
mode_b_T200p0_muB0p0_xim0p21_1,mode_b,tau_dbar,dubar_to_dubar,-0.2,0.0001,34.60175734398595,0.0001,7700.3727023883175,,,simple_1m4KPi,true,6943.942904787546,0.0,6943.942904787546
mode_b_T200p0_muB0p0_xim0p21_1,mode_b,tau_dbar,uubar_to_uubar,-0.22,0.0001,1327.7948243917715,0.0001,1.3861756922817086e6,2.0,226669.68470253714,simple_1m4KPi,true,312157.0414166792,1.8686942089699765,313190.01985814713
mode_b_T200p0_muB0p0_xim0p21_1,mode_b,tau_dbar,uubar_to_uubar,-0.21,0.0001,37.60811995137926,0.0001,37473.25208051278,2.0,235039.69389043658,mixed_detM,false,8443.34297057198,1.9244246792930664,8267.836405000677
mode_b_T200p0_muB0p0_xim0p21_1,mode_b,tau_dbar,uubar_to_uubar,-0.2,0.0001,8.135327133804191,0.0001,7700.3727023883175,2.0,244157.04685390258,mixed_detM,false,1735.985726196886,1.984870665129377,1655.793516142337
mode_b_T200p0_muB0p0_xim0p21_1,mode_b,tau_dbar,uubar_to_ddbar,-0.22,0.0001,1314.2147477136427,0.0001,1.3861756922817086e6,2.0,226669.68470253714,simple_1m4KPi,true,312157.0414166792,1.8686942089699765,311125.8630466044
mode_b_T200p0_muB0p0_xim0p21_1,mode_b,tau_dbar,uubar_to_ddbar,-0.21,0.0001,40.00631759888854,0.0001,37473.25208051278,2.0,235039.69389043658,mixed_detM,false,8443.34297057198,1.9244246792930664,8620.695938813438
mode_b_T200p0_muB0p0_xim0p21_1,mode_b,tau_dbar,uubar_to_ddbar,-0.2,0.0001,9.275402204198977,0.0001,7700.3727023883175,2.0,244157.04685390258,mixed_detM,false,1735.985726196886,1.984870665129377,1818.074987011329
