m_fm,g_fm,m_MeV,g_MeV,residual_re,residual_im,residual_norm,log10_residual_norm
2.67,0.0,526.863037668,0.0,0.03345161518807634,-2.8462168266581156e-5,0.03345162729653316,-1.4755827505803223
2.68,0.0,528.836307472,0.0,0.02809750678190441,-0.009819905964980669,0.02976407970222206,-1.5263075411796092
2.69,0.0,530.809577276,0.0,0.02733201335865293,-0.014733677010091102,0.03105028490167633,-1.5079344106030768
2.7,0.0,532.78284708,0.0,0.02656890000032633,-0.01847085390147312,0.03235859841026655,-1.490010297809756
2.71,0.0,534.756116884,0.0,0.02580808030977154,-0.021651694455811152,0.033687577563301,-1.472530217535239
2.72,0.0,536.729386688,0.0,0.025049555833665,-0.024495335900578986,0.03503572074820345,-1.455488943854781
2.73,0.0,538.702656492,0.0,0.024293352885520668,-0.027109288141956796,0.036401655154457944,-1.4388788688755225
2.74,0.0,540.6759262960001,0.0,0.023539508034283438,-0.029555610878527074,0.037784157697360446,-1.422690254840034
2.75,0.0,542.6491961,0.0,0.02278806303837322,-0.03187388910924203,0.03918214675064562,-1.4069117731289686
2.76,0.0,544.6224659039999,0.0,0.02203906264559622,-0.034091153551171656,0.040594667540775335,-1.3915310109970302
2.77,0.0,546.595735708,0.0,0.021292553495046634,-0.0362268031541487,0.04202087696739397,-1.3765348881955177
2.78,0.0,548.569005512,0.0,0.020548583512803788,-0.03829529843995052,0.04346002953275053,-1.3619099828957006
2.79,0.0,550.542275316,0.0,0.01980720155429303,-0.04030774664438736,0.044911464827597294,-1.3476427798032893
2.8,0.0,552.51554512,0.0,0.019068457180364692,-0.04227288907230425,0.046374596599417894,-1.33371985517547
2.81,0.0,554.488814924,0.0,0.018332400510653143,-0.04419774470267192,0.047848903281951606,-1.3201280119948715
2.82,0.0,556.4620847279999,0.0,0.017599082123976234,-0.04608804566586268,0.0493339198210025,-1.306854376348129
2.83,0.0,558.435354532,0.0,0.016868552988608315,-0.047948541232313596,0.05082923062801918,-1.2938864639060823
2.84,0.0,560.408624336,0.0,0.01614086441222555,-0.04978321570966125,0.05233446350511785,-1.2812122235447632
2.85,0.0,562.38189414,0.0,0.015416068005203197,-0.05159544822885251,0.053849284402647815,-1.2688200636203408
2.86,0.0,564.355163944,0.0,0.014694215653224312,-0.05338813226111399,0.0553733928885856,-1.256698865188693
2.87,0.0,566.3284337480001,0.0,0.013975359496530115,-0.05516376658243663,0.05690651822611191,-1.244837985494198
2.88,0.0,568.3017035519999,0.0,0.01325955191401109,-0.05692452558041899,0.05844841597097505,-1.2332272542948972
2.89,0.0,570.274973356,0.0,0.012546845510884592,-0.058672314345324474,0.05999886501351982,-1.2218569650001492
2.9,0.0,572.24824316,0.0,0.011837293109083914,-0.060408812372904665,0.06155766500164837,-1.210717862137051
2.91,0.0,574.221512964,0.0,0.011130947739717206,-0.06213550862024192,0.06312463409066602,-1.19980112630481
2.92,0.0,576.194782768,0.0,0.010427862637139018,-0.06385372991009805,0.06469960697416013,-1.1890983574993357
2.93,0.0,578.168052572,0.0,0.009728091234285613,-0.0655646641579651,0.06628243315697861,-1.1786015574757864
2.94,0.0,580.141322376,0.0,0.009031687159019378,-0.06726937952560744,0.06787297543719892,-1.1683031116508489
2.95,0.0,582.11459218,0.0,0.008338704231280539,-0.06896884033775871,0.069471108568901,-1.1581957709181419
2.96,0.0,584.087861984,0.0,0.007649196460902591,-0.07066392040331476,0.07107671808168614,-1.1482726336512017
2.97,0.0,586.061131788,0.0,0.006963218045965315,-0.0723554142377808,0.07268969923638775,-1.1385271280921694
2.98,0.0,588.034401592,0.0,0.0062808233715983194,-0.07404404657542821,0.07430995609936394,-1.128952995265751
2.99,0.0,590.007671396,0.0,0.00560206700916082,-0.07573048047764525,0.07593740072026521,-1.119544272513122
3.0,0.0,591.9809412,0.0,0.004927003715738482,-0.07741532428128511,0.07757195240028082,-1.1102952777062882
3.01,0.0,593.954211004,0.0,0.004255688433911012,-0.0790991375824561,0.07921353703966792,-1.1012005941774863
3.02,0.0,595.927480808,0.0,0.0035881762917526205,-0.08078243641355756,0.08086208655489398,-1.092255056378735
3.03,0.0,597.9007506119999,0.0,0.002924522603034968,-0.08246569774183304,0.08251753835702462,-1.0834537362721617
3.04,0.0,599.874020416,0.0,0.002264782867604523,-0.08414936339436874,0.08417983488410345,-1.074791930441086
3.05,0.0,601.84729022,0.0,0.0016090127719182515,-0.08583384349587553,0.08584892318121788,-1.0662651479042065
3.06,0.0,603.820560024,0.0,0.0009572681897155183,-0.08751951949070105,0.08752475452276483,-1.0578690986098669
3.07,0.0,605.793829828,0.0,0.00030960518281540617,-0.0892067468085014,0.08920728407212776,-1.049599682583799
3.08,0.0,607.767099632,0.0,-0.0003339199979750379,-0.09089585722325658,0.09089647057458113,-1.0414529797014882
3.09,0.0,609.7403694359999,0.0,-0.0009732509118500279,-0.09258716094736241,0.09259227607975845,-1.033425240055082
3.1,0.0,611.71363924,0.0,-0.0016083309269006238,-0.09428094849600713,0.09429466569046827,-1.0255128748843116
3.11,0.0,613.686909044,0.0,-0.002239103218924225,-0.09597749235166811,0.09600360733503459,-1.0177124480409923
3.12,0.0,615.660178848,0.0,-0.002865510770153873,-0.09767704845410685,0.09771907156067236,-1.0100206679572201
3.13,0.0,617.633448652,0.0,-0.003487496367911319,-0.09937985753753609,0.09944103134570338,-1.0024343800882018
3.14,0.0,619.6067184560001,0.0,-0.004105002603190272,-0.10108614633353893,0.10116946192867611,-0.9949505598016772
3.15,0.0,621.5799882599999,0.0,-0.004717971869177225,-0.10279612865571591,0.10290434065267046,-0.9875663056870956
3.16,0.0,623.553258064,0.0,-0.005326346359672086,-0.10451000637985225,0.10464564682326709,-0.9802788332589424
3.17,0.0,625.526527868,0.0,-0.0059300680675388046,-0.10622797033154202,0.10639336157883449,-0.9730854690299018
3.18,0.0,627.499797672,0.0,-0.006529078782974096,-0.10795020109163783,0.10814746777192394,-0.9659836449309013
3.19,0.0,629.473067476,0.0,-0.007123320091809597,-0.10967686972855309,0.10990794986071019,-0.9589708930563156
3.2,0.0,631.4463372800001,0.0,-0.007712733373723003,-0.11140813846530617,0.11167479380952075,-0.9520448407139257
3.21,0.0,633.419607084,0.0,-0.00829725980039895,-0.11314416128820842,0.1134479869975992,-0.945203205760454
3.22,0.0,635.392876888,0.0,-0.008876840333636976,-0.11488508450326304,0.11522751813534289,-0.9384437922046628
3.23,0.0,637.366146692,0.0,-0.009451415723406492,-0.11663104724560763,0.11701337718732767,-0.931764486061165
3.24,0.0,639.339416496,0.0,-0.010020926505850722,-0.11838218194671382,0.11880555530151155,-0.9251632514391357
3.25,0.0,641.3126863,0.0,-0.010585313001236565,-0.12013861476350218,0.12060404474406045,-0.9186381268511761
3.26,0.0,643.285956104,0.0,-0.011144515311856791,-0.12190046597306789,0.12240883883930642,-0.9121872217284982
3.27,0.0,645.259225908,0.0,-0.011698473319878784,-0.12366785033629096,0.12421993191438795,-0.9058087131295416
3.28,0.0,647.232495712,0.0,-0.01224712668514364,-0.12544087743324925,0.12603731924817116,-0.8995008426299634
3.29,0.0,649.205765516,0.0,-0.012790414842915133,-0.12721965197303653,0.1278609970240902,-0.8932619133827387
3.3,0.0,651.1790353199999,0.0,-0.013328277001578653,-0.12900427408030712,0.12969096228657498,-0.8870902873378719
2.2,0.01,434.11935688000005,1.973269804,0.11685995936150129,0.00024207522776946433,0.11686021009046506,-0.9323333372534797
2.21,0.01,436.092626684,1.973269804,0.11595615393558943,0.00024565191105557077,0.11595641414081205,-0.9357052233182249
2.22,0.01,438.065896488,1.973269804,0.11503871484228223,0.0002492544786905984,0.11503898487190799,-0.939154959249735
2.23,0.01,440.039166292,1.973269804,0.11410725901470734,0.0002528843722242255,0.1141075392353863,-0.9426856602254601
2.24,0.01,442.01243609600004,1.973269804,0.11316138353710312,0.0002565431058028922,0.11316167433542368,-0.9463006353644294
2.25,0.01,443.98570589999997,1.973269804,0.11220066411653072,0.0002602322711315261,0.11220096590059055,-0.950003404367817
2.26,0.01,445.95897570399995,1.973269804,0.11122465339563767,0.00026395354307799657,0.11122496659677016,-0.9537977160077945
