xi,T_MeV,mu_transition_MeV,rho_hadron,rho_quark,curve_parameter,plot_order_key
-0.45,115.0,279.4116924058871,0.4569304628433814,2.8764969348699307,115.0,115.0
-0.45,120.0,271.2380442727759,0.5599759303109257,2.883052541679676,120.0,120.0
-0.45,125.0,262.14248494947583,0.6898709318494362,2.878167438608244,125.0,125.0
-0.45,130.0,252.07030184722987,0.8592320738101902,2.8555035363312844,130.0,130.0
-0.45,135.0,240.99212453691808,1.0911602128725995,2.8037437135021768,135.0,135.0
-0.45,140.0,228.93204151670307,1.4276789967890948,2.699381718010127,140.0,140.0
-0.45,145.0,215.9895954582898,2.010918108533909,2.4046398738730903,145.0,145.0
-0.4,60.0,330.25378283838745,0.049706433454807714,2.7171757988977334,60.0,60.0
-0.4,65.0,328.249254681781,0.06173807536462201,2.717873518906276,65.0,65.0
-0.4,70.0,325.9582745560306,0.07981699546218639,2.721105045783933,70.0,70.0
-0.4,75.0,323.33658690914564,0.09604354444213559,2.726848457606933,75.0,75.0
-0.4,80.0,320.3392218476551,0.12088378141593292,2.73512896125048,80.0,80.0
-0.4,85.0,316.92528052140636,0.14666653601947538,2.746131902965452,85.0,85.0
-0.4,90.0,313.0404752152575,0.18171732737108187,2.759621404475286,90.0,90.0
-0.4,95.0,308.63151050217726,0.22166597813990518,2.7753167541611417,95.0,95.0
-0.4,100.0,303.6406400009911,0.26987212716755027,2.7926888517460635,100.0,100.0
-0.4,105.0,298.00638917325404,0.3283657542906382,2.810638838090194,105.0,105.0
-0.4,110.0,291.66512921529,0.3981292373486766,2.8275564292566178,110.0,110.0
-0.4,115.0,284.55218422243684,0.48598831110559304,2.841245173402442,115.0,115.0
-0.4,120.0,276.6030400202384,0.593413306568666,2.848266235092742,120.0,120.0
-0.4,125.0,267.7570951521409,0.7308565979625343,2.843357257648382,125.0,125.0
-0.4,130.0,257.9650432620206,0.9109166121959674,2.818885367476535,130.0,130.0
-0.4,135.0,247.2067030356999,1.1619201352515311,2.7616255447142604,135.0,135.0
-0.4,140.0,235.521545058954,1.539256368072972,2.634253869029786,140.0,140.0
-0.35,60.0,333.804466865751,0.052157035599062825,2.6908189211537787,60.0,60.0
-0.35,65.0,331.8544933475236,0.07118538019221896,2.6894835661030827,65.0,65.0
-0.35,70.0,329.6235991206204,0.08805829719773671,2.6912028077247703,70.0,70.0
-0.35,75.0,327.0672317891605,0.10633672141158307,2.695745703756486,75.0,75.0
