xi,mu_MeV,T_crossover_MeV,rho,method,converged,derivative,variable,curve_parameter,plot_order_key
-0.2,122.3862155218485,181.94425717138958,1.9087117557952862,peak,true,13.191530586767703,phi_u,122.3862155218485,122.3862155218485
-0.2,139.8699605963983,178.29125023132102,2.0731064515815585,peak,true,13.898185541103487,phi_u,139.8699605963983,139.8699605963983
-0.2,157.35370567094807,174.12572997538777,2.196516840457352,peak,true,14.926457178058772,phi_u,157.35370567094807,157.35370567094807
-0.2,174.83745074549785,169.43380284036405,2.2744771456885036,peak,true,16.47656425380869,phi_u,174.83745074549785,174.83745074549785
-0.2,192.32119582004765,164.23997612733038,2.30897417146812,peak,true,18.943108445876522,phi_u,192.32119582004765,192.32119582004765
-0.2,209.80494089459742,158.53363609843194,2.3009131817970205,peak,true,23.22542798742737,phi_u,209.80494089459742,209.80494089459742
-0.2,227.28868596914722,152.30088919044312,2.258820660000009,peak,true,31.9589855704191,phi_u,227.28868596914722,227.28868596914722
-0.2,244.772431043697,145.43136115930074,2.1876053936501676,peak,true,58.16442795673057,phi_u,244.772431043697,244.772431043697
-0.2,262.2561761182468,137.6921412555399,1.9843629829574891,peak,true,1108.9661919728496,phi_u,262.2561761182468,262.2561761182468
-0.15,0.0,195.36530980296848,0.0,peak,true,11.113782599349134,phi_u,0.0,0.0
-0.15,17.99945770510913,195.1192797520199,0.3250962278574321,peak,true,11.132443752007298,phi_u,17.99945770510913,17.99945770510913
-0.15,35.99891541021826,194.378684035545,0.6443788524279584,peak,true,11.190116356275286,phi_u,35.99891541021826,35.99891541021826
-0.15,53.9983731153274,193.13541447931814,0.951869454604931,peak,true,11.292115339786815,phi_u,53.9983731153274,53.9983731153274
-0.15,71.99783082043652,191.39352517045228,1.2420682823157014,peak,true,11.448198380332176,phi_u,71.99783082043652,71.99783082043652
-0.15,89.99728852554564,189.13256289497969,1.5086745366003906,peak,true,11.674149701936024,phi_u,89.99728852554564,89.99728852554564
-0.15,107.9967462306548,186.35580747827146,1.7466654977921807,peak,true,11.994696288871697,phi_u,107.9967462306548,107.9967462306548
-0.15,125.99620393576393,183.03469753213443,1.9492349522116446,peak,true,12.44872740079514,phi_u,125.99620393576393,125.99620393576393
