T_MeV,T_fm,converged,status,error,meson,omega,q,xi,temperature,eta,fd_step,scheme,reD,imD,phase,weighted_phase,dReD_domega,dImD_domega,dReD_fd,dImD_fd,dphase_ad,dphase_formula,dphase_fd,dphase_raw_fd,dphase_abs_diff,dphase_formula_abs_diff,dphase_raw_fd_abs_diff,dweighted_ad,dweighted_fd,dweighted_abs_diff
210.0,1.064223450712673,true,ok,,K,0.6,0.0,0.0,1.064223450712673,1.0e-6,1.0e-5,phase_shift_current,1.5195981896083186,-0.22887907904828128,-0.14949444746567056,-0.14949444746567056,-0.22967506613690272,0.5862171566578759,-8.681360924422954,2.022281717940777,0.3549540089433982,0.3549540089433983,0.4598959039464708,0.4598958492960103,0.1049418950030726,1.1102230246251565e-16,0.10494184035261211,0.3549540089433982,0.4598958492960103,0.10494184035261211
210.0,1.064223450712673,true,ok,,K,1.0,0.0,0.0,1.064223450712673,1.0e-6,1.0e-5,phase_shift_current,1.240683437925771,-0.1896962910528065,-0.15172160665204093,-0.15172160665204093,0.43129304805955726,0.28070432015372887,-0.11665534324079017,0.246717318559686,0.27301804872664426,0.27301804872664426,0.18026572504262617,0.18026572503743174,0.09275232368401809,0.0,0.09275232368921252,0.27301804872664426,0.18026572503743174,0.09275232368921252
210.0,1.064223450712673,true,ok,,K,0.3,0.5,0.0,1.064223450712673,1.0e-6,1.0e-5,phase_shift_current,1.1009319610989694,-0.2644341140394639,-0.23572571248787985,-0.23572571248787985,-0.6113808348885762,0.3711928232196291,-0.5083046495713006,1.1568386362070804,0.1926619382530826,0.1926619382530827,0.8886180553556096,0.8886180549200206,0.695956117102527,1.1102230246251565e-16,0.6959561166669379,0.1926619382530826,0.8886180549200206,0.6959561166669379
210.0,1.064223450712673,true,ok,,K,0.6,0.5,0.0,1.064223450712673,1.0e-6,1.0e-5,phase_shift_current,1.0799272066627663,-0.05412777752138352,-0.05007978230013622,-0.05007978230013622,-0.2265199824156397,0.04674375113495269,0.19328389876394067,0.4923075404113935,0.0326887798879008,0.03268877988790079,0.46367691166820263,0.4636769116401345,0.4309881317803018,1.3877787807814457e-17,0.4309881317522337,0.0326887798879008,0.4636769116401345,0.4309881317522337
210.0,1.064223450712673,true,ok,,K,1.0,0.5,0.0,1.064223450712673,1.0e-6,1.0e-5,phase_shift_current,1.3744557836648739,0.13797518684354587,0.10005014515569939,0.10005014515569939,2.7528686215536307,0.42310396583454757,3.2344579762422216,0.9619269520921846,0.10570890897937546,0.10570890897937547,0.4590015682233516,0.45900156567524325,0.3532926592439761,1.3877787807814457e-17,0.3532926566958678,0.10570890897937546,0.45900156567524325,0.3532926566958678
210.0,1.064223450712673,true,ok,,K,0.3,1.0,0.0,1.064223450712673,1.0e-6,1.0e-5,phase_shift_current,1.206266674607841,0.06596259322900164,0.05462885108122231,0.05462885108122231,-2.251830589659831,-0.25765318727285175,0.8711644042036503,-1.6204329844358987,-0.11118164547245296,-0.11118164547245298,-1.378715034472247,-1.3787150350108577,1.267533388999794,1.3877787807814457e-17,1.2675333895384047,-0.11118164547245296,-1.3787150350108577,1.2675333895384047
210.0,1.064223450712673,true,ok,,K,0.6,1.0,0.0,1.064223450712673,1.0e-6,1.0e-5,phase_shift_current,1.0298976419171921,-0.04743671812859173,-0.046027113098419725,-0.046027113098419725,-0.459009161768146,0.05883651664145405,-0.08160210951402291,0.3082221018420317,0.036522968010295614,0.036522968010295614,0.2949992079185283,0.2949992078910696,0.25847623990823265,0.0,0.25847623988077395,0.036522968010295614,0.2949992078910696,0.25847623988077395
210.0,1.064223450712673,true,ok,,K,1.0,1.0,0.0,1.064223450712673,1.0e-6,1.0e-5,phase_shift_current,0.8067475686442185,0.47361380218120674,0.5308546738054458,0.5308546738054458,0.2696095145743519,-0.20316289907331597,0.2992914572508276,0.2041917116221009,-0.3331902013339535,-0.33319020133395344,0.02626127854765752,0.1754818185532858,0.359451479881611,5.551115123125783e-17,0.5086720198872393,-0.3331902013339535,0.1754818185532858,0.5086720198872393
212.0,1.074358912148032,true,ok,,pi,0.3,0.0,0.0,1.074358912148032,1.0e-6,1.0e-5,phase_shift_current,5.494811170441508,-3.160738581778179e-6,-5.752224205229358e-7,-5.752224205229358e-7,3.247285657651304,-1.484859881077692e-5,3.247285658902754,-1.4848598817300978e-5,-2.3623536627566802e-6,-2.3623536627566807e-6,-2.362353663812986e-6,-2.362353663315407e-6,1.0563055658841577e-15,4.235164736271502e-22,5.587266489314596e-16,-2.3623536627566802e-6,-2.362353663315407e-6,5.587266489314596e-16
212.0,1.074358912148032,true,ok,,pi,0.6,0.0,0.0,1.074358912148032,1.0e-6,1.0e-5,phase_shift_current,8.016675805558675,-1.5628169407262663e-5,-1.949457578963897e-6,-1.949457578963897e-6,31.535711876994196,-0.00020202715563433042,31.535739773058676,-0.00020202736225983313,-1.7532157532132546e-5,-1.7532157532132542e-5,-1.7532176522960173e-5,-1.753217573651524e-5,1.8990827627910628e-11,3.3881317890172014e-21,1.8204382693263544e-11,-1.7532157532132546e-5,-1.753217573651524e-5,1.8204382693263544e-11
212.0,1.074358912148032,true,ok,,pi,1.0,0.0,0.0,1.074358912148032,1.0e-6,1.0e-5,phase_shift_current,-0.27074636489542814,18.935862899183675,1.5850934263565224,1.5850934263565224,-86.92723710598773,-21.43000889119373,-131.4912280346303,-70.26976651758332,4.605853742235983,4.60585374223598,6.995660550802894,6.995660558750671,2.3898068085669113,2.6645352591003757e-15,2.389806816514688,4.605853742235983,6.995660558750671,2.389806816514688
212.0,1.074358912148032,true,ok,,pi,0.3,0.5,0.0,1.074358912148032,1.0e-6,1.0e-5,phase_shift_current,4.345699387844705,0.10886245225745139,0.025045379236945265,0.025045379236945265,3.433926325946083,-0.23660687535577565,2.382708786186072,0.20710135354290446,-0.07419439021992708,-0.07419439021992705,0.03390031520164547,0.03390031521402492,0.10809470542157254,2.7755575615628914e-17,0.108094705433952,-0.07419439021992708,0.03390031521402492,0.108094705433952
212.0,1.074358912148032,true,ok,,pi,0.6,0.5,0.0,1.074358912148032,1.0e-6,1.0e-5,phase_shift_current,5.5313544294185615,-5.642445789906566e-6,-1.0200839345776158e-6,-1.0200839345776158e-6,6.546993671159573,-3.262883751291386e-5,6.546993674794165,-3.26288375678473e-5,-4.691500929887284e-6,-4.691500929887284e-6,-4.691500939148281e-6,-4.6915009373832115e-6,9.260996612322266e-15,0.0,7.495927333977127e-15,-4.691500929887284e-6,-4.6915009373832115e-6,7.495927333977127e-15
212.0,1.074358912148032,true,ok,,pi,1.0,0.5,0.0,1.074358912148032,1.0e-6,1.0e-5,phase_shift_current,13.427840349420013,9.838751189271118,0.6323452229479746,0.6323452229479746,7.262522457701008,110.04486299651822,-14.073484235499476,113.86516064693096,5.0745958215423155,5.0745958215423075,6.01725385466965,6.017253854240233,0.9426580331273344,7.993605777301127e-15,0.9426580326979179,5.0745958215423155,6.017253854240233,0.9426580326979179
212.0,1.074358912148032,true,ok,,pi,0.3,1.0,0.0,1.074358912148032,1.0e-6,1.0e-5,phase_shift_current,2.620929768188489,0.14515596999988567,0.05532686569788217,0.05532686569788217,1.1684320845269436,0.03352237863247408,0.845805372007291,0.49476727248809466,-0.01186371872919624,-0.011863718729196244,0.1703799877054087,0.17037998769689475,0.1822437064346049,3.469446951953614e-18,0.182243706426091,-0.01186371872919624,0.17037998769689475,0.182243706426091
212.0,1.074358912148032,true,ok,,pi,0.6,1.0,0.0,1.074358912148032,1.0e-6,1.0e-5,phase_shift_current,3.069365071179652,0.29465755565894813,0.09570622669825399,0.09570622669825399,3.1458461614088704,0.046850292703150664,2.345797590153076,0.4755286275054393,-0.08236864762900654,-0.08236864762900653,0.08081385326200607,0.08081385327179946,0.1631825008910126,1.3877787807814457e-17,0.163182500900806,-0.08236864762900654,0.08081385327179946,0.163182500900806
