T_MeV,xi,method,m0,g0,mass,gamma,residual,converged
255.0,-0.3,trust_region,2.64,1.9,2.5923049752929157,1.1418027940220323,0.06936925705726148,false
255.0,-0.3,newton,2.64,1.92,2.7218084226346484,2.5567493324066826,0.1303014789162643,false
255.0,-0.3,trust_region,2.64,1.92,2.605401550180199,1.1870534808970532,0.0667234028013239,false
255.0,-0.3,newton,2.64,1.94,2.676274168057757,2.5472690608269786,0.14286461781001708,false
255.0,-0.3,trust_region,2.64,1.94,2.6023025470090335,1.1759136795083234,0.06736530752468033,false
255.0,-0.3,newton,2.64,1.96,2.5998558641474387,2.533805068689234,0.11956193417512381,false
255.0,-0.3,trust_region,2.64,1.96,2.601585724053302,1.1733773121561393,0.06751230890737696,false
255.0,-0.3,newton,2.64,1.98,2.9194665427758295,3.319788761931745,0.15457886516600622,false
255.0,-0.3,trust_region,2.64,1.98,2.599040241523992,1.1644921319597774,0.0680300485334648,false
255.0,-0.3,newton,2.64,2.0,2.6763533600085165,2.547182042913442,0.14281103300156328,false
255.0,-0.3,trust_region,2.64,2.0,2.6082328802435764,1.1974984181606025,0.0661272276639898,false
255.0,-0.3,newton,2.64,2.02,2.7005721104166773,-0.400839605107536,0.1395962056593814,false
255.0,-0.3,trust_region,2.64,2.02,2.6035348050923144,1.180306020974496,0.06711141520565872,false
255.0,-0.3,newton,2.64,2.04,3.1390652894468047,-1.4662906557892281,0.23912569866062605,false
255.0,-0.3,trust_region,2.64,2.04,2.617274963806548,1.2327051081303053,0.06415645687868014,false
255.0,-0.3,newton,2.64,2.06,3.862996559019777,-0.9924387675373574,0.35656014534602637,false
255.0,-0.3,trust_region,2.64,2.06,2.617621542060296,1.2341191161971228,0.0640786112567253,false
255.0,-0.3,newton,2.64,2.08,2.6708282230128133,2.5519747706362628,0.14538216963322192,false
255.0,-0.3,trust_region,2.64,2.08,2.6156701323270086,1.2262309379876897,0.06451432880260852,false
255.0,-0.3,newton,2.64,2.1,2.730511111165939,2.536979988892069,0.12739227034567824,false
255.0,-0.3,trust_region,2.64,2.1,2.61724656978001,1.2325873074277054,0.06416289836937496,false
255.0,-0.3,newton,2.64,2.12,3.256495266626822,-1.537882161038922,0.2596254260055967,false
255.0,-0.3,trust_region,2.64,2.12,2.6133130640419036,1.2169058056898194,0.06503337665954531,false
255.0,-0.3,newton,2.64,2.14,2.704052526845154,3.071971334714725,0.16619273791005335,false
255.0,-0.3,trust_region,2.64,2.14,2.6106750890026373,1.2067150153026305,0.06560546029903933,false
255.0,-0.3,newton,2.64,2.16,2.591591517612723,2.5278147814127694,0.11771434832898542,false
255.0,-0.3,trust_region,2.64,2.16,2.6108559473809474,1.20740643222863,0.06556650213143031,false
255.0,-0.3,newton,2.64,2.18,2.065895410382886,1.1279452148410622,0.1320939433245224,false
255.0,-0.3,trust_region,2.64,2.18,2.612019578393285,1.2118758661953775,0.06531507312286672,false
255.0,-0.3,newton,2.64,2.2,2.678427523598659,2.5423663094753057,0.14137914350218037,false
255.0,-0.3,trust_region,2.64,2.2,2.620339343470982,1.2453612914580592,0.06346263001792567,false
255.0,-0.3,newton,2.64,2.22,2.5705670794861972,2.5072802148804874,0.11314832836458395,false
255.0,-0.3,trust_region,2.64,2.22,2.6171267121110273,1.232102814002479,0.06418966756982385,false
255.0,-0.3,newton,2.64,2.24,2.730250241328482,2.5377695699547775,0.12749074149415074,false
255.0,-0.3,trust_region,2.64,2.24,2.6176092875206582,1.2340702155611032,0.06408132785846192,false
255.0,-0.3,newton,2.64,2.26,2.5322483054054654,2.458078009692018,0.10536073926535022,false
255.0,-0.3,trust_region,2.64,2.26,2.6179629383359755,1.2355123425878578,0.0640019046525074,false
255.0,-0.3,newton,2.64,2.28,3.09961732012691,-1.4299059629106359,0.23201937009582388,false
255.0,-0.3,trust_region,2.64,2.28,2.6138256221805256,1.218915752110131,0.06492114740935205,false
255.0,-0.3,newton,2.64,2.3,1.9864431280213493,0.41251201477487953,0.13758684242853927,false
255.0,-0.3,trust_region,2.64,2.3,2.6188549945052646,1.2391815256829566,0.0638004651111578,false
255.0,-0.3,newton,2.64,2.32,2.0636610093408843,1.1156147516525547,0.13216476392580925,false
255.0,-0.3,trust_region,2.64,2.32,2.6167462371004246,1.2305605156511534,0.06427477548572305,false
255.0,-0.3,newton,2.64,2.34,2.169745864101197,1.58593522687704,0.12824912093781574,false
255.0,-0.3,trust_region,2.64,2.34,2.6120855483898775,1.2121343172822847,0.06530064746260958,false
255.0,-0.3,newton,2.64,2.36,2.6658837396324757,2.5866841289551727,0.1425393450719699,false
255.0,-0.3,trust_region,2.64,2.36,2.6146848237131937,1.2223077459865561,0.06473220367454546,false
255.0,-0.3,newton,2.64,2.38,2.8008062570455197,-0.860480941668619,0.17022095071517906,false
255.0,-0.3,trust_region,2.64,2.38,2.6115135917002634,1.2099257328176845,0.06542464115881964,false
255.0,-0.3,newton,2.64,2.4,2.398288244317263,2.2227716008559955,0.11491314394329966,false
255.0,-0.3,trust_region,2.64,2.4,2.6112637068822173,1.208964388985207,0.06547868425096542,false
255.0,-0.3,newton,2.64,2.42,2.6763779498085736,2.5471548650407634,0.14279447094937214,false
255.0,-0.3,trust_region,2.64,2.42,2.6128962614682307,1.2152786249314302,0.06512437843580665,false
255.0,-0.3,newton,2.64,2.44,2.672419797239323,2.550807641857098,0.14654367038628752,false
