T_MeV,rho,xi,mu_u_MeV,mu_d_MeV,mu_s_MeV,mu_avg_MeV,mu_B_MeV,mu_Q_MeV,mu_S_MeV,pressure_fm4,entropy_fm3,energy_fm4,rho_u_fm3,rho_d_fm3,rho_s_fm3,phi_u,phi_d,phi_s,Phi1,Phi2,M_u_MeV,M_d_MeV,M_s_MeV,iterations,residual_norm,converged,message
60.000000,2.200000,0.000000,367.014210,367.014210,367.014210,367.014210,1101.042630,0.000000,0.000000,21.668396,0.517089,-19.547082,0.525398,0.525398,0.005204,-0.433061,-0.433061,-2.075552,0.076464,0.113656,89.374826,89.374826,466.826569,3,0.000000,true,
60.000000,2.150000,0.000000,366.308366,366.308366,366.308366,366.308366,1098.925097,0.000000,0.000000,21.664661,0.495014,-19.598390,0.513539,0.513539,0.004922,-0.461221,-0.461221,-2.077268,0.074014,0.111476,94.843424,94.843424,467.557075,3,0.000000,true,
60.000000,2.100000,0.000000,365.626495,365.626495,365.626495,365.626495,1096.879485,0.000000,0.000000,21.661136,0.472377,-19.649783,0.501679,0.501679,0.004642,-0.490787,-0.490787,-2.079136,0.071502,0.109165,100.587714,100.587714,468.365722,3,0.000000,true,
60.000000,2.050000,0.000000,364.952859,364.952859,364.952859,364.952859,1094.858578,0.000000,0.000000,21.657736,0.449172,-19.701268,0.489818,0.489818,0.004364,-0.521587,-0.521587,-2.081159,0.068928,0.106708,106.574473,106.574473,469.254266,3,0.000000,true,
60.000000,2.000000,0.000000,364.264921,364.264921,364.264921,364.264921,1092.794764,0.000000,0.000000,21.654348,0.425398,-19.752843,0.477957,0.477957,0.004087,-0.553425,-0.553425,-2.083336,0.066293,0.104089,112.766260,112.766260,470.222929,3,0.000000,true,
60.000000,1.950000,0.000000,363.532553,363.532553,363.532553,363.532553,1090.597658,0.000000,0.000000,21.650830,0.401068,-19.804501,0.466096,0.466096,0.003809,-0.586101,-0.586101,-2.085665,0.063598,0.101288,119.124763,119.124763,471.270633,3,0.000000,true,
60.000000,1.900000,0.000000,362.717129,362.717129,362.717129,362.717129,1088.151387,0.000000,0.000000,21.647013,0.376215,-19.856224,0.454235,0.454235,0.003530,-0.619429,-0.619429,-2.088142,0.060847,0.098283,125.614202,125.614202,472.395428,3,0.000000,true,
60.000000,1.850000,0.000000,361.770379,361.770379,361.770379,361.770379,1085.311137,0.000000,0.000000,21.642696,0.350917,-19.907976,0.442375,0.442375,0.003250,-0.653253,-0.653253,-2.090760,0.058050,0.095049,132.204540,132.204540,473.595085,3,0.000000,true,
60.000000,1.800000,0.000000,360.633104,360.633104,360.633104,360.633104,1081.899311,0.000000,0.000000,21.637650,0.325323,-19.959691,0.430516,0.430516,0.002968,-0.687463,-0.687463,-2.093515,0.055225,0.091561,138.874605,138.874605,474.867842,3,0.000000,true,
60.000000,1.750000,0.000000,359.234689,359.234689,359.234689,359.234689,1077.704066,0.000000,0.000000,21.631615,0.299714,-20.011259,0.418657,0.418657,0.002686,-0.722011,-0.722011,-2.096403,0.052406,0.087800,145.615626,145.615626,476.213403,3,0.000000,true,
60.000000,1.700000,0.000000,357.496674,357.496674,357.496674,357.496674,1072.490022,0.000000,0.000000,21.624326,0.274599,-20.062485,0.406797,0.406797,0.002406,-0.756939,-0.756939,-2.099425,0.049654,0.083764,152.436044,152.436044,477.634328,3,0.000000,true,
60.000000,1.650000,0.000000,355.349525,355.349525,355.349525,355.349525,1066.048574,0.000000,0.000000,21.615582,0.250881,-20.113052,0.394932,0.394932,0.002135,-0.792412,-0.792412,-2.102589,0.047076,0.079497,159.368122,159.368122,479.138012,3,0.000000,true,
