window_id,channel,xi,ds,s_value,den_simple_re,den_simple_im,detM_re,detM_im,invabs_den_simple,invabs_detM,abs_D_simple_sq,abs_D_mixed_sq,abs_D_total_sq,sigma
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.3,0.001,0.8072707829494762,0.003895539605362597,-0.0006947562265889894,0.0034068126521786587,-4.927419502156561e-6,63865.46344126402,86159.38465347535,14228.403415004212,0.9655324435902978,14460.20504958653,77.1694922925564
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.3,0.005,0.8112707829494762,0.003535255757707967,-0.0015615298977846937,0.0034034203588105593,-1.107226181201239e-5,66950.49707672096,86330.49254097491,14915.709209856961,0.9669998485485255,15136.707385433638,81.18607373737107
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.3,0.01,0.8162707829494762,0.003085093294771246,-0.0022224909871225323,0.003399182729560637,-1.5754320353368533e-5,69169.36735587973,86544.93339522844,15410.044954972627,0.9688378068726623,15609.955415123099,84.25184659816482
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.3,0.02,0.8262707829494762,0.002185431326252929,-0.0031831035302503268,0.003390716748047927,-2.255056565047407e-5,67076.91729383978,86975.66702334855,14943.874007417762,0.9725260022554797,15082.635036870486,82.43713632013983
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.3,0.05,0.8562707829494762,-0.0005082151188899875,-0.005222695617409599,0.0033653932250494105,-3.693521037340817e-5,36317.635628637356,88282.79205939012,8091.10187196264,0.9836891582932829,8076.754515054394,45.85435155303263
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.3,0.1,0.9062707829494762,-0.004979796958429983,-0.007832837402424157,0.003323435319351696,-5.523199674575747e-5,11607.429376587346,90511.88447909089,2585.9858972626553,1.0026260283237876,2533.7864401866,15.337379132438153
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.3,0.2,1.0062707829494761,-0.013856035720892779,-0.012338696385257236,0.0032404474072861393,-8.64905980612318e-5,2905.0078043268245,95165.76904570188,647.1983563027079,1.041765829931105,610.3919632780486,4.2254053668640665
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.3,0.5,1.3062707829494762,-0.03994849948903245,-0.025460965445606117,0.0029988631571756393,-0.00017525246018682187,445.6043281811841,110816.90871459301,99.27491015022076,1.1697004174816683,82.97685320566356,1.187159245725906
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.3,1.0,1.8062707829494762,-0.08164525512273779,-0.04988103546534304,0.0026205011044284354,-0.0003325451895858056,109.24108121846288,143315.49978247206,24.337507148867502,1.4191022349189644,16.577893636629973,1.372560685772386
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.3,2.0,2.8062707829494764,-0.15833057548329932,-0.10891373678776335,0.001952058481488632,-0.0006765396236437475,27.077689241662096,234288.70611503086,6.032560719312841,2.0140145953803423,3.9134895768172995,0.35699023018264747
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.31,0.0001,0.8393861659958833,-4.609107299136106e-5,-0.0002284371814761353,0.003369669247460869,-1.6160266855659245e-6,1.8413516162008554e7,88069.46360077099,4.103853519738971e6,0.982299549241093,4.1030621840397776e6,22689.257547913607
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.31,0.0005,0.8397861659958833,-8.210942153974443e-5,-0.0005110546114101395,0.0033693312574868024,-3.615254950565443e-6,3.732474544401406e6,88087.05247342079,831863.325918168,0.9824499566890087,831579.4084842183,4600.831928558923
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.31,0.001,0.8402861659958833,-0.00012713169244671363,-0.000723188565998885,0.0033689087884551097,-5.1157642465667645e-6,1.8547226560962088e6,88109.0447718477,413365.3797238023,0.9826380093939753,413147.57669879077,2287.2490500697772
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.31,0.005,0.8442861659958834,-0.0004872443649508451,-0.0016251160431788266,0.003365530048802888,-1.1493231299325663e-5,347414.11725748837,88285.21730143507,77428.81019409346,0.9841440073775707,77273.0457604055,429.97434048510564
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.31,0.01,0.8492861659958834,-0.0009371926850791912,-0.0023124321577768997,0.00336130935900914,-1.6349338951751885e-5,160625.2146741262,88506.00868669918,35798.83096739821,0.9860303311570928,35660.374067949786,199.69251497245975
