xi,T_MeV,mu_spinodal_hadron_MeV,mu_spinodal_quark_MeV,rho_spinodal_hadron,rho_spinodal_quark,curve_parameter,plot_order_key
-0.125,33.0,372.99560685222673,336.5472433814546,0.2805362853567604,1.9136942189928035,33.0,33.0
-0.125,35.0,372.4538820251825,336.4042395588245,0.28985123145862207,1.9156278834520462,35.0,35.0
-0.125,37.0,371.87841818920197,336.2476741772522,0.29945181117707165,1.9177361736951206,37.0,37.0
-0.125,39.0,371.2690278708036,336.07673218082493,0.30930191284563024,1.9200293571103513,39.0,39.0
-0.125,45.0,369.2338384292998,335.4687156072309,0.34042086759314155,1.9281006979669728,45.0,45.0
-0.125,47.0,368.4847725769339,335.2310640010239,0.35134051168327957,1.9312184049013212,47.0,47.0
-0.125,49.0,367.69925880473636,334.9741481043785,0.36251325794803124,1.9345820313442563,49.0,49.0
-0.125,51.0,366.87649564572297,334.69681312198634,0.3739597564663833,1.938184760430447,51.0,51.0
-0.125,53.0,366.0155714499733,334.3978241087724,0.3856761263134272,1.942058499828965,53.0,53.0
-0.125,55.0,365.1154473438563,334.07588393363585,0.3977307536065334,1.94619903136907,55.0,55.0
-0.125,57.0,364.1750025649638,333.7296157714568,0.41010777922978153,1.9506275070355548,57.0,57.0
-0.125,61.0,362.16812356423344,332.9581779770241,0.43592904725859444,1.9604097452291782,61.0,61.0
-0.125,63.0,361.0989301272131,332.5298373056619,0.449403905732032,1.9658001727658267,63.0,63.0
-0.125,65.0,359.98388290295026,332.07081896792306,0.4632857742454171,1.9715371425206734,65.0,65.0
-0.125,67.0,358.821335620881,331.57929279860184,0.47758810504950455,1.9776450705531945,67.0,67.0
-0.125,69.0,357.60955721940417,331.0533429191844,0.49237863367047,1.9841365977201482,69.0,69.0
-0.125,71.0,356.3467093597528,330.49093636041704,0.507695459219144,1.9910313349794886,71.0,71.0
-0.125,73.0,355.03083714025615,329.8899361515355,0.5235312513754882,1.998343214117784,73.0,73.0
-0.125,75.0,353.65992541534473,329.2480854304418,0.5399380171735324,2.0060940748125837,75.0,75.0
-0.125,77.0,352.23181168029123,328.5630071408461,0.5569631524725129,2.0143110613818265,77.0,77.0
-0.125,79.0,350.74427670367334,327.83220223133475,0.5746787901760109,2.022982142798337,79.0,79.0
-0.125,81.0,349.19498895541506,327.05304931636584,0.5930869301251895,2.0321413632239818,81.0,81.0
-0.125,83.0,347.58152705587815,326.22278379141545,0.6122598679770724,2.0418040611962622,83.0,83.0
-0.125,85.0,345.9013773597313,325.33852380024376,0.6322495776345843,2.0519715128611726,85.0,85.0
-0.125,87.0,344.15193620238256,324.3972336887938,0.6531055221931353,2.0626524287327124,87.0,87.0
-0.125,89.0,342.3305094844505,323.39575158954926,0.6749331521349552,2.0738573965576124,89.0,89.0
-0.125,91.0,340.4343311741001,322.330773894841,0.6977493698406382,2.0855825771530316,91.0,91.0
-0.125,93.0,338.4605548162746,321.19885492273056,0.7216547410191784,2.0978208139619183,93.0,93.0
-0.125,95.0,336.40623998877265,319.9964114888369,0.7467314288213711,2.1105570611273112,95.0,95.0
-0.125,97.0,334.2683884376773,318.7197213572195,0.773070764368699,2.1237714080632357,97.0,97.0
-0.125,99.0,332.04394583043927,317.3649285948174,0.8007584663000878,2.1374330885804382,99.0,99.0
-0.125,101.0,329.72978032487526,315.9280441587202,0.829897965359165,2.1515012741018094,101.0,101.0
-0.125,103.0,327.32272890001684,314.4049491166602,0.8606133307472783,2.165917577593178,103.0,103.0
-0.125,105.0,324.81958970297046,312.79141382111777,0.8930442442693517,2.1805873504369084,105.0,105.0
-0.125,106.0,323.5309808237842,311.9493737732406,0.9099386518867202,2.187996726898707,106.0,106.0
-0.125,107.0,322.21714789941876,311.0830806667349,0.9273277432032206,2.1954370082002774,107.0,107.0
-0.125,108.0,320.8776849460252,310.191972798609,0.9452282292771402,2.2028921742577072,108.0,108.0
-0.125,109.0,319.51219867995053,309.27547803753845,0.963659549400701,2.210330827026121,109.0,109.0
-0.125,110.0,318.12029709525564,308.3330278828575,0.9826498440008448,2.2177426347833307,110.0,110.0
-0.125,111.0,316.7015945612552,307.364036192017,1.002227099252194,2.2251066261454384,111.0,111.0
-0.125,112.0,315.2557113444372,306.3679127700124,1.022427996482953,2.232397403806581,112.0,112.0
-0.125,113.0,313.7822863222034,305.3440598950612,1.0432952822520944,2.239586049187446,113.0,113.0
-0.125,114.0,312.2809645798472,304.2918715796716,1.0648467439004659,2.2466387743268075,114.0,114.0
-0.125,115.0,310.7514087293522,303.2107298938815,1.087150545708196,2.2535127398240826,115.0,115.0
-0.125,116.0,309.1933080507651,302.1000166171606,1.1102330548195922,2.260171376632237,116.0,116.0
-0.125,117.0,307.6063778270482,300.9590915369907,1.1341624809743398,2.2665725981985996,117.0,117.0
-0.125,118.0,305.99036008776034,299.78730440980155,1.1590039129974645,2.272663942635717,118.0,118.0
-0.125,119.0,304.3450408882851,298.5839886953868,1.1848236004834427,2.2783879829775846,119.0,119.0
-0.125,120.0,302.670257905775,297.3484614100304,1.2117098577611425,2.2836675413199345,120.0,120.0
-0.125,121.0,300.9659021972202,296.08000584157,1.2397393926724263,2.288428275909292,121.0,121.0
-0.125,122.0,299.2319356552114,294.7778854500251,1.2690434191777293,2.2925914887667314,122.0,122.0
-0.125,123.0,297.46840956234166,293.4413275433439,1.2997325293333224,2.2960492619079735,123.0,123.0
-0.125,124.0,295.6754775654366,292.06950209867114,1.3319655122131118,2.298659710226836,124.0,124.0
-0.125,125.0,293.853418264873,290.6615341521483,1.3659186128009209,2.3002854018597265,125.0,125.0
-0.125,126.0,292.0026688426292,289.21646233211817,1.4018307732566038,2.300741631001916,126.0,126.0
-0.125,127.0,290.12385077355407,287.7332297622891,1.439956395363754,2.2997902519383477,127.0,127.0
-0.125,128.0,288.2178242490039,286.2106482603586,1.4806582603072753,2.2971478255692417,128.0,128.0
-0.125,129.0,286.28574871503224,284.64735252153713,1.524379219755841,2.2923712777380154,129.0,129.0
-0.125,130.0,284.3291676789023,283.0417208275982,1.5717312669984895,2.2849466862860823,130.0,130.0
-0.125,131.0,282.3501439261452,281.391766467493,1.6236327644245263,2.2740020004417456,131.0,131.0
-0.125,131.5,281.35305633396655,280.5493968090335,1.6516850617157008,2.2668425933697547,131.5,131.5
-0.125,132.0,280.3514881099253,279.69492241828954,1.6814658010818802,2.2582390177171057,132.0,132.0
-0.125,132.5,279.345977578668,278.82785983669305,1.7133176699174373,2.2478556681673414,132.5,132.5
-0.125,133.0,278.3371869195556,277.9476215169244,1.7477436309848422,2.2351924787951822,133.0,133.0
-0.1125,5.0,377.1897365997032,338.4351306421235,0.2002013516739599,1.9002486027564198,5.0,5.0
-0.1125,9.0,377.0059537390685,338.3968308623379,0.204562254669759,1.9007688708780344,9.0,9.0
-0.1125,11.0,376.8702979161732,338.36819296377973,0.20779782012685896,1.9011594339888103,11.0,11.0
-0.1125,13.0,376.7035992695759,338.3327198425496,0.21177405326534576,1.9016442175398411,13.0,13.0
-0.1125,15.0,376.5047150663323,338.29001132105526,0.21645990092863152,1.9022288419416236,15.0,15.0
-0.1125,17.0,376.2727855524657,338.23964954552855,0.22184799800748745,1.9029190903546642,17.0,17.0
-0.1125,19.0,376.00717199530044,338.1811919292221,0.22790292093771897,1.9037167770396577,19.0,19.0
-0.1125,21.0,375.70760313058435,338.1141814304027,0.23453257751156645,1.9046298987070776,21.0,21.0
-0.1125,23.0,375.37411106415993,338.0381218287873,0.24167358268179417,1.9056707054152116,23.0,23.0
-0.1125,25.0,375.0066999501045,337.9524870929676,0.24928930712911085,1.9068375980605086,25.0,25.0
-0.1125,27.0,374.6055448125262,337.8567172110792,0.25730067379627747,1.9081412926623638,27.0,27.0
-0.1125,29.0,374.1707808527311,337.75021701130026,0.26568427559772023,1.9095838451435057,29.0,29.0
-0.1125,31.0,373.7025387876136,337.6323492980133,0.27440797057635896,1.9111773618347099,31.0,31.0
-0.1125,33.0,373.20088331683814,337.5024376715106,0.28342636741694743,1.9129279228733553,33.0,33.0
-0.1125,35.0,372.6657980739122,337.3597594443846,0.29274733441894807,1.914844257244305,35.0,35.0
-0.1125,37.0,372.09718595968656,337.2035505143475,0.302338578878117,1.9169310665469677,37.0,37.0
-0.1125,39.0,371.49484782130304,337.0329958070187,0.31220985262117884,1.9191976654823226,39.0,39.0
-0.1125,45.0,369.48201892228747,336.426350431517,0.34336649723378115,1.9271879567068504,45.0,45.0
-0.1125,47.0,368.740797065832,336.18923055882567,0.35429279440330563,1.9302734013231078,47.0,47.0
-0.1125,49.0,367.9633730241843,335.93289174830284,0.3654700081882915,1.9336000861071803,49.0,49.0
-0.1125,51.0,367.14888156859394,335.6561698599972,0.3769392239320815,1.9371704448726048,51.0,51.0
-0.1125,53.0,366.2964533013858,335.3578442114422,0.38871314395619794,1.941000747722407,53.0,53.0
-0.1125,55.0,365.40505488019585,335.03661634307764,0.40080003569547307,1.945099763548304,55.0,55.0
-0.1125,57.0,364.4735715374749,334.69111102055876,0.41321012755741626,1.9494816321991089,57.0,57.0
-0.1125,59.0,363.50001202636827,334.31987460739583,0.42812500000000003,1.9541633189863599,59.0,59.0
-0.1125,61.0,362.4853682614517,333.92137462874837,0.4390995310995487,1.9591648548562095,61.0,61.0
-0.1125,63.0,361.425898969066,333.49397655031896,0.45259977910580407,1.9644933940533724,63.0,63.0
-0.1125,65.0,360.3208367435254,333.0359646624793,0.4665283731366125,1.970169764046733,65.0,65.0
-0.1125,67.0,359.1685848794238,332.54552312115527,0.48088511308575244,1.976218203838203,67.0,67.0
-0.1125,69.0,357.9673977812515,332.0207364119443,0.495738040283291,1.9826346981291478,69.0,69.0
-0.1125,71.0,356.7154352041057,331.45957872469455,0.511087970424476,1.9894584553475763,71.0,71.0
-0.1125,73.0,355.410796057594,330.8599156637928,0.5269722754211063,1.9966984922096347,73.0,73.0
-0.1125,75.0,354.0514272909407,330.2194954256935,0.5434477380792284,2.0043636853659423,75.0,75.0
-0.1125,77.0,352.6352176733743,329.5359579649655,0.5605309646680862,2.0124785011099218,77.0,77.0
-0.1125,79.0,351.1599463641063,328.80680661047666,0.5782797281139167,2.0210635782464212,79.0,79.0
-0.1125,81.0,349.6233037984281,328.0294195708067,0.5967525633481863,2.030119222114629,81.0,81.0
-0.1125,83.0,348.0228562851168,327.2010566913955,0.6159954823285286,2.039671505779605,83.0,83.0
-0.1125,85.0,346.3561271035898,326.3188256734993,0.6360681683263338,2.0497171965383085,85.0,85.0
-0.1125,87.0,344.62051887037956,325.3797131577701,0.6570173921246062,2.06027794284266,87.0,87.0
-0.1125,89.0,342.81334682296,324.3805652133652,0.6789042120762673,2.0713480607457977,89.0,89.0
-0.1125,91.0,340.93186541811673,323.3180776446212,0.7018201372081734,2.082922336315764,91.0,91.0
-0.1125,93.0,338.97322074725463,322.18881713861964,0.7258296273572848,2.0950026301697457,93.0,93.0
-0.1125,95.0,336.93450331930103,320.9892074469906,0.7510098512964077,2.1075719770114993,95.0,95.0
-0.1125,97.0,334.8127255771353,319.7155333096183,0.7774481573135802,2.120609741133726,97.0,97.0
-0.1125,99.0,332.6048310444398,318.3639434595399,0.8052625371785863,2.1340827234570563,99.0,99.0
-0.1125,101.0,330.3077167018047,316.93044981060405,0.834530743175481,2.1479364643360603,101.0,101.0
-0.1125,103.0,327.91823061524036,315.4109473862868,0.8654010554880988,2.1621162559997877,103.0,103.0
-0.1125,105.0,325.43317621541127,313.8011942984593,0.8980044488007574,2.1765507124227685,105.0,105.0
-0.1125,106.0,324.1538178064784,312.9611165218183,0.9149962735779238,2.183833600881718,106.0,106.0
-0.1125,107.0,322.8493671795354,312.096829098029,0.932488775773061,2.1911353256290775,107.0,107.0
-0.1125,108.0,321.51943077922164,311.2077765810843,0.9504923342784511,2.1984366894117158,108.0,108.0
-0.1125,109.0,320.16361512864955,310.2933854220804,0.9690354027189975,2.205726968858196,109.0,109.0
-0.1125,110.0,318.7815314989563,309.3530781992703,0.988146443960269,2.2129852307913844,110.0,110.0
