xi,T_MeV,rho,muq_MeV,source,cap,result_status
-0.5,60.0,2.790625,322.405378,stage_c_selected,12,confirmed_first_order
-0.5,60.0,1.134375,327.664607,stage_c_selected,12,confirmed_first_order
-0.5,60.0,1.146875,327.10018,stage_c_selected,12,confirmed_first_order
-0.5,60.0,2.778125,321.943137,stage_c_selected,12,confirmed_first_order
-0.5,60.0,1.928125,296.207629,stage_c_selected,12,confirmed_first_order
-0.5,60.0,1.946875,296.208608,stage_c_selected,12,confirmed_first_order
-0.5,60.0,2.796875,322.636253,stage_c_selected,12,confirmed_first_order
-0.5,60.0,1.128125,327.945595,stage_c_selected,12,confirmed_first_order
-0.5,100.0,2.190625,277.709426,stage_c_selected,12,ambiguous_near_critical
-0.5,100.0,2.865625,294.014044,stage_c_selected,12,ambiguous_near_critical
-0.5,100.0,0.703125,309.196493,stage_c_selected,12,ambiguous_near_critical
-0.5,100.0,1.446875,296.368346,stage_c_selected,12,ambiguous_near_critical
-0.5,100.0,2.184375,277.711365,stage_c_selected,12,ambiguous_near_critical
-0.5,100.0,0.696875,309.196164,stage_c_selected,12,ambiguous_near_critical
-0.5,100.0,1.440625,296.546187,stage_c_selected,12,ambiguous_near_critical
-0.5,100.0,2.871875,294.217143,stage_c_selected,12,ambiguous_near_critical
-0.5,100.0,2.196875,277.712659,stage_c_selected,12,ambiguous_near_critical
-0.5,100.0,2.859375,293.811009,stage_c_selected,12,ambiguous_near_critical
-0.5,100.0,0.709375,309.193999,stage_c_selected,12,ambiguous_near_critical
-0.5,100.0,0.690625,309.192963,stage_c_selected,12,ambiguous_near_critical
-0.5,130.0,2.490625,240.178146,stage_c_selected,12,confirmed_first_order
-0.5,130.0,2.890625,245.626711,stage_c_selected,12,confirmed_first_order
-0.5,130.0,0.809375,245.556924,stage_c_selected,12,confirmed_first_order
-0.5,130.0,1.296875,249.891731,stage_c_selected,12,confirmed_first_order
-0.5,130.0,1.890625,246.063041,stage_c_selected,12,confirmed_first_order
-0.5,130.0,2.484375,240.179222,stage_c_selected,12,confirmed_first_order
-0.5,130.0,1.303125,249.891662,stage_c_selected,12,confirmed_first_order
-0.5,130.0,1.896875,245.991587,stage_c_selected,12,confirmed_first_order
-0.5,130.0,0.815625,245.684703,stage_c_selected,12,confirmed_first_order
-0.5,130.0,2.884375,245.476526,stage_c_selected,12,confirmed_first_order
-0.5,130.0,2.496875,240.179762,stage_c_selected,12,confirmed_first_order
