T_MeV,mu_MeV,eB_MeV2,status,reason,omega_fm4,pressure_fm4,baryon_rho0,n_max,nmax_rel_diff
145.000000,180.000000,35000.000000,pass,,-2.1322556251472111e+01,2.1322556251472111e+01,7.3146177089184883e-01,16,2.2900918865138769e-02
145.000000,240.000000,8000.000000,pass,,-2.1605058015757134e+01,2.1605058015757134e+01,1.4057937496594679e+00,72,1.0683214171155435e-02
145.000000,240.000000,15000.000000,pass,,-2.1589410689026817e+01,2.1589410689026817e+01,1.4094539082857558e+00,38,1.6528520259617891e-02
145.000000,240.000000,25000.000000,pass,,-2.1651791717334870e+01,2.1651791717334870e+01,1.4186215617181690e+00,23,1.8493338965989401e-02
145.000000,240.000000,35000.000000,pass,,-2.1591852327957579e+01,2.1591852327957579e+01,1.4322367977299311e+00,16,2.2911859272502711e-02
160.000000,0.000000,8000.000000,pass,,-2.1186982493258128e+01,2.1186982493258128e+01,0.0000000000000000e+00,72,1.0795348970302664e-02
160.000000,0.000000,15000.000000,pass,,-2.1169735857080543e+01,2.1169735857080543e+01,0.0000000000000000e+00,38,1.6684824442351014e-02
160.000000,0.000000,25000.000000,pass,,-2.1227391990494244e+01,2.1227391990494244e+01,0.0000000000000000e+00,23,1.8621456376027027e-02
160.000000,0.000000,35000.000000,pass,,-2.1161619270677324e+01,2.1161619270677324e+01,0.0000000000000000e+00,16,2.3061047702718357e-02
160.000000,60.000000,8000.000000,pass,,-2.1215401410713682e+01,2.1215401410713682e+01,1.2680869311018564e-01,72,1.0794568039653483e-02
160.000000,60.000000,15000.000000,pass,,-2.1198326433070690e+01,2.1198326433070690e+01,1.3122723548824541e-01,38,1.6686388446390671e-02
160.000000,60.000000,25000.000000,pass,,-2.1256498661101549e+01,2.1256498661101549e+01,1.4153124203867284e-01,23,1.8631245689731527e-02
160.000000,60.000000,35000.000000,pass,,-2.1191299783531402e+01,2.1191299783531402e+01,1.5557535485858270e-01,16,2.3075507309659897e-02
160.000000,120.000000,8000.000000,pass,,-2.1307606694977878e+01,2.1307606694977878e+01,3.4731227665243630e-01,72,1.0790875651972105e-02
160.000000,120.000000,15000.000000,pass,,-2.1290941449567200e+01,2.1290941449567200e+01,3.5291675438480691e-01,38,1.6689473924158427e-02
160.000000,120.000000,25000.000000,pass,,-2.1350450908430911e+01,2.1350450908430911e+01,3.6695480432344640e-01,23,1.8660138608197832e-02
160.000000,120.000000,35000.000000,pass,,-2.1286694249461309e+01,2.1286694249461309e+01,3.8785717256612179e-01,16,2.3118983489795290e-02
160.000000,180.000000,8000.000000,pass,,-2.1484777732974454e+01,2.1484777732974454e+01,7.6826050819184744e-01,72,1.0780569315405239e-02
160.000000,180.000000,15000.000000,pass,,-2.1468562684412571e+01,2.1468562684412571e+01,7.7303349852374525e-01,38,1.6689731045138531e-02
160.000000,180.000000,25000.000000,pass,,-2.1529814742190627e+01,2.1529814742190627e+01,7.8509050315971418e-01,23,1.8707129374452520e-02
160.000000,180.000000,35000.000000,pass,,-2.1467721463850399e+01,2.1467721463850399e+01,8.0367594364121175e-01,16,2.3192105273253490e-02
