sample_id,field,auto_label,manual_label,final_label,reason
S024,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S024,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S024,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S025,eta_over_s,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S025,sigma_over_T,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect;N_spike_above_suspect
S025,tau_s,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S025,tau_u,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S025,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S026,eta_over_s,suspect,,suspect,S2_above_smooth;S1jump_above_smooth
S026,sigma_over_T,not_smooth,,not_smooth,S1jump_above_suspect
S026,tau_s,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S026,tau_u,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S026,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S027,eta_over_s,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S027,sigma_over_T,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S027,tau_s,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S027,tau_u,suspect,,suspect,S2_above_smooth;S1jump_above_smooth
S027,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S028,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S028,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S028,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S028,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S028,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S029,eta_over_s,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S029,sigma_over_T,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S029,tau_s,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S029,tau_u,not_smooth,,not_smooth,S1jump_above_suspect
S029,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S030,eta_over_s,not_smooth,,not_smooth,S1jump_above_suspect
S030,sigma_over_T,not_smooth,,not_smooth,S1jump_above_suspect
S030,tau_s,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S030,tau_u,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S030,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S031,eta_over_s,suspect,,suspect,S1jump_above_smooth
S031,sigma_over_T,suspect,,suspect,S1jump_above_smooth
S031,tau_s,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S031,tau_u,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S031,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S032,eta_over_s,suspect,,suspect,S2_above_smooth;S1jump_above_smooth
S032,sigma_over_T,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S032,tau_s,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S032,tau_u,not_smooth,,not_smooth,S1jump_above_suspect
S032,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S033,eta_over_s,not_smooth,,not_smooth,S1jump_above_suspect
S033,sigma_over_T,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S033,tau_s,not_smooth,,not_smooth,S1jump_above_suspect
S033,tau_u,not_smooth,,not_smooth,S1jump_above_suspect
S033,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S034,eta_over_s,suspect,,suspect,S2_above_smooth;S1jump_above_smooth
S034,sigma_over_T,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S034,tau_s,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S034,tau_u,not_smooth,,not_smooth,S1jump_above_suspect
S034,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S035,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S035,sigma_over_T,suspect,,suspect,S2_above_smooth;S1jump_above_smooth
S035,tau_s,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S035,tau_u,not_smooth,,not_smooth,S1jump_above_suspect
S035,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S036,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S036,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S036,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S036,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S036,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
