# script: scripts/relaxtime/run_gap_transport_scan.jl
# tau_phi_nodes: 8
# tr_p_max_fm: 8.0
# sigma_grid_n: 60
# schema: scan_csv_v1
# tau_n_sigma_points: 6
# tau_p_nodes: 20
# tr_p_nodes: 24
# integration_mode: finite_15
# title: gap_transport_scan
# gc_every_n: 5
# tau_angle_nodes: 4
T_MeV,muq_MeV,muB_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,Phi,Phibar,m_u,m_d,m_s,rho_baryon,rho_norm,omega_fm4inv,P_fm4inv,epsilon_fm4inv,s_fm3inv,omega_MeV_fm3,P_MeV_fm3,epsilon_MeV_fm3,eps_minus_3P_over_T4,n_u,n_d,n_s,n_ubar,n_dbar,n_sbar,tau_u,tau_d,tau_s,tau_ubar,tau_dbar,tau_sbar,tauinv_u,tauinv_d,tauinv_s,tauinv_ubar,tauinv_dbar,tauinv_sbar,eta,sigma,zeta,eta_over_s,zeta_over_s
220.0,0.0,0.0,0.0,1.1149006471491483,0.0,true,4,2.4935609133081016e-12,0.6869411605305553,0.6869411605305553,0.19680116059161337,0.19680116059161323,1.9208909061717159,0.0,0.0,-24.162910585893197,24.162910585893197,-3.4617000789124575,18.567762571413585,-4767.994657182547,4767.994657182547,-683.0868914715585,-49.157023410059786,0.5589308002446594,0.5589308002446594,0.3357053337801333,0.5589308002446594,0.5589308002446594,0.3357053337801333,0.6203560884311999,0.6203560884311999,0.6193908713876141,0.6203560884311985,0.6203560884311985,0.6193908713876141,1.6119774088602405,1.6119774088602405,1.6144894059541302,1.6119774088602443,1.6119774088602443,1.6144894059541302,1.3494450551545072,0.010280661001662172,0.19256044234055555,0.0726767724417198,0.010370686376452071
230.0,0.0,0.0,0.0,1.1655779492922915,0.0,true,4,1.1191048088221578e-13,0.715814291411839,0.715814291411839,0.13492306660170406,0.1349230666017039,1.8140698922352203,0.0,0.0,-25.198152072267703,25.198152072267703,0.8400490196067878,22.33930481241877,-4972.275753964369,4972.275753964369,165.76435289194862,-40.50153758383665,0.6607994345048107,0.6607994345048107,0.4309526492766576,0.6607994345048107,0.6607994345048107,0.4309526492766576,0.5991462123946918,0.5991462123946918,0.5512719199193442,0.5991462123946897,0.5991462123946897,0.5512719199193442,1.669041678496405,1.669041678496405,1.8139868254967686,1.669041678496411,1.669041678496411,1.8139868254967686,1.5644824008314888,0.01123097710602852,0.19229300350262302,0.07003272545713994,0.008607832925746387
240.0,0.0,0.0,0.0,1.2162552514354346,0.0,true,4,1.3278267374516872e-13,0.7406441461214249,0.7406441461214249,0.10193518151935006,0.10193518151935012,1.7005448492452275,0.0,0.0,-26.432486998037724,26.432486998037724,5.7111985518628785,26.42840432710515,-5215.84336186179,5215.84336186179,1126.9736766434462,-33.627751641236124,0.7700031375589255,0.7700031375589255,0.5410560976020362,0.7700031375589255,0.7700031375589255,0.5410560976020362,0.5879681380750144,0.5879681380750144,0.5016964380388674,0.587968138075014,0.587968138075014,0.5016964380388674,1.700772431774896,1.700772431774896,1.9932371932099069,1.700772431774897,1.700772431774897,1.9932371932099069,1.8079292091140142,0.012270628848316234,0.1900649894156858,0.06840856476755919,0.007191693719501404
250.0,0.0,0.0,0.0,1.2669325535785776,0.0,true,4,1.176836406102666e-13,0.7622712591918136,0.7622712591918136,0.08169314255411599,0.08169314255411603,1.5822974973939106,0.0,0.0,-27.882290908815175,27.882290908815175,11.193217701794811,30.84261155042335,-5501.928818163772,5501.928818163772,2208.724069442065,-28.122007346229154,0.8875606464443484,0.8875606464443484,0.665867808445325,0.8875606464443484,0.8875606464443484,0.665867808445325,0.5803826768552054,0.5803826768552054,0.46904631744774905,0.5803826768552044,0.5803826768552044,0.46904631744774905,1.7230011161230459,1.7230011161230459,2.1319856116584868,1.723001116123049,1.723001116123049,2.1319856116584868,2.0763196105964887,0.013358349987761357,0.18313049799205558,0.06731983791975582,0.005937580794436388
260.0,0.0,0.0,0.0,1.3176098557217208,0.0,true,4,1.1546319456101628e-14,0.7812600019535959,0.7812600019535959,0.068125244664185,0.06812524466418508,1.4632500470082874,0.0,0.0,-29.563922992274684,29.563922992274684,17.31145499915837,35.576068126598116,-5833.760232296587,5833.760232296587,3416.017480618924,-23.682694631308415,1.013809373447454,1.013809373447454,0.8042828023214657,1.013809373447454,1.013809373447454,0.8042828023214657,0.5759781347015627,0.5759781347015627,0.39326778543852264,0.5759781347015628,0.5759781347015628,0.39326778543852264,1.7361770174108084,1.7361770174108084,2.5427966312697747,1.7361770174108082,1.7361770174108082,2.5427966312697747,2.3038976916667555,0.014342404557210376,0.15838828657047768,0.06475976163156344,0.004452102070606846
270.0,0.0,0.0,0.0,1.3682871578648639,0.0,true,4,8.801848139228241e-13,0.7980353193383042,0.7980353193383042,0.0584585478962061,0.05845854789620606,1.3475804738810853,0.0,0.0,-31.49330532397886,31.49330532397886,24.08420075953675,40.61830571459957,-6214.479459664776,6214.479459664776,4752.463083277108,-20.08339925859777,1.1488691930675108,1.1488691930675108,0.9546557213268831,1.1488691930675108,1.1488691930675108,0.9546557213268831,0.5750930168072739,0.5750930168072739,0.4393737432453026,0.5750930168072722,0.5750930168072722,0.4393737432453026,1.738849144007467,1.738849144007467,2.2759666806983034,1.738849144007472,1.738849144007472,2.2759666806983034,2.7008818063170645,0.015756558494591167,0.15102518636074053,0.0664942015379602,0.003718155735542092
280.0,0.0,0.0,0.0,1.4189644600080071,0.0,true,4,5.018208071305708e-13,0.8129360494107605,0.8129360494107605,0.05124830797818791,0.05124830797818786,1.238669991624742,0.0,0.0,-33.68580779928363,33.68580779928363,31.52770605935995,45.95852517565915,-6647.119395609241,6647.119395609241,6221.267653575321,-17.150800356378515,1.2927579344109963,1.2927579344109963,1.115273469182079,1.2927579344109963,1.2927579344109963,1.115273469182079,0.5781779507038842,0.5781779507038842,0.4497823387452198,0.5781779507038846,0.5781779507038846,0.4497823387452198,1.7295713175893028,1.7295713175893028,2.223297612773658,1.729571317589302,1.729571317589302,2.223297612773658,3.0884748414043637,0.01717252895030753,0.13133944805463715,0.06720134794578007,0.0028577820448467744
290.0,0.0,0.0,0.0,1.4696417621511502,0.0,true,4,1.9273471707492718e-13,0.8262397816469635,0.8262397816469635,0.04567015907301799,0.04567015907301806,1.1385970623595758,0.0,0.0,-36.156293694733755,36.156293694733755,39.65917632609719,51.58772156138106,-7134.612965900727,7134.612965900727,7825.82628689978,-14.750398583415402,1.4454291026517936,1.4454291026517936,1.2847164171198246,1.4454291026517936,1.4454291026517936,1.2847164171198246,0.5854168242615299,0.5854168242615299,0.46814016304219025,0.5854168242615261,0.5854168242615261,0.46814016304219025,1.7081845935354578,1.7081845935354578,2.1361123845934085,1.708184593535469,1.708184593535469,2.1361123845934085,3.529119633485927,0.018753707236853566,0.11161043240802251,0.06841006981257826,0.002163507691946118
300.0,0.0,0.0,0.0,1.5203190642942932,0.0,true,4,1.588951192843524e-12,0.8381757689834345,0.8381757689834345,0.04122306023277881,0.041223060232778774,1.048175699657427,0.0,0.0,-38.919226097310506,38.919226097310506,48.49769418697718,57.499062096458786,-7679.81412810399,7679.81412810399,9569.904500833645,-12.776950640107204,1.606785626530411,1.606785626530411,1.4619925444241348,1.606785626530411,1.606785626530411,1.4619925444241348,0.5967129488258239,0.5967129488258239,0.49063997383345165,0.5967129488258246,0.5967129488258246,0.49063997383345165,1.6758476617069233,1.6758476617069233,2.0381543562112028,1.6758476617069213,1.6758476617069213,2.0381543562112028,4.023169327405169,0.020505515549925503,0.09429058276487061,0.06996930351065579,0.0016398629704027418
310.0,0.0,0.0,0.0,1.5709963664374365,0.0,true,4,2.637889906509372e-12,0.8489334327655469,0.8489334327655469,0.03758819121303715,0.037588191213037164,0.9672981762440139,0.0,0.0,-41.988765634152585,41.988765634152585,58.063773995292735,63.68731447567598,-8285.517156290427,8285.517156290427,11457.55033116913,-11.147697837336507,1.7766857668662102,1.7766857668662102,1.646489676896233,1.7766857668662102,1.7766857668662102,1.646489676896233,0.6118693530631472,0.6118693530631472,0.5144275059435391,0.6118693530631475,0.6118693530631475,0.5144275059435391,1.6343358185759573,1.6343358185759573,1.943908497205736,1.6343358185759564,1.6343358185759564,1.943908497205736,4.5692198308612655,0.0224272080865209,0.08164281765850165,0.0717445831792198,0.0012819321764569519
