center_xi,scenario,sigma_grid_n,adaptive_refinement,species,xi,process,apply_s_cut_requested,apply_s_cut_effective,disabled_by_scenario,sigma_cutoff,cache_n_points,cache_s_min,cache_s_max,cache_sigma_min,cache_sigma_max,cache_sigma_mean,s_peak,s_peak_minus_bo,cache_asym_enabled,cache_asym_s0,cache_asym_A,s_bo,s_up,rate
0.06,baseline,128,true,u,0.08,uubar_to_ddbar,true,true,false,3.0522942112582996,128,5.3463265017717045,42.246450194910885,0.14186656996259317,0.8237150743509554,0.21241613292930953,5.3463265017717045,3.5665168596210606e-8,false,0.0,0.0,5.346326466106536,42.612326274430224,0.24658678128318398
0.06,baseline,128,true,u,0.08,sbarsbar_to_sbarsbar,true,true,false,3.0522942112582996,128,22.488699745268537,59.38882343840773,0.07053029019254545,0.11723358172006468,0.0795248581344495,59.38882343840773,36.90012372880436,false,0.0,0.0,22.48869970960337,59.754699517927065,0.0806580592828842
0.06,baseline,128,true,u,0.08,usbar_to_usbar,true,true,false,3.0522942112582996,128,12.441288537557085,50.45530157882119,0.026565792533192162,0.38441416706205117,0.26980192420396054,18.27165915867067,5.830386530731792,false,0.0,0.0,12.441272627938877,50.822128781293436,0.23392221871403496
0.06,baseline,128,true,u,0.08,uu_to_uu,true,true,false,3.0522942112582996,128,5.3463265017717045,42.246450194910885,0.099639231554614,0.13478789607998082,0.11745112799633868,42.246450194910885,36.900123728804346,false,0.0,0.0,5.346326466106536,42.612326274430224,0.15814978731318596
0.06,baseline,256,true,u,0.04,ubardbar_to_ubardbar,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.05658905139980414,0.1743349652789338,0.1596497849461001,8.726089650480265,3.3797631843737292,false,0.0,0.0,5.346326466106536,42.612326274430224,0.20557507032198977
0.06,baseline,256,true,u,0.04,uubar_to_uubar,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.1737624256791325,2.026045290148229,0.3953693858496078,5.3463265017717045,3.5665168596210606e-8,false,0.0,0.0,5.346326466106536,42.612326274430224,0.44686863059919596
0.06,baseline,256,true,u,0.04,ud_to_ud,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.05658905139980414,0.1743349652789338,0.1596497849461001,8.726089650480265,3.3797631843737292,false,0.0,0.0,5.346326466106536,42.612326274430224,0.20557507032198977
0.06,baseline,256,true,u,0.04,ss_to_ss,true,true,false,3.0522942112582996,256,22.488699745268537,59.38882343840773,0.07043920669432062,0.11726558882267472,0.07942519290721363,59.38882343840773,36.90012372880436,false,0.0,0.0,22.48869970960337,59.754699517927065,0.08038354802153515
0.06,baseline,256,true,u,0.04,udbar_to_udbar,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.03054291896030063,0.37135765586329456,0.2722685711053559,11.055696090287729,5.709369624181193,false,0.0,0.0,5.346326466106536,42.612326274430224,0.29607259779291
0.06,baseline,256,true,u,0.04,subar_to_subar,true,true,false,3.0522942112582996,256,12.441288537557085,50.45530157882119,0.026584220151914886,0.3845117409631291,0.26989591227562504,18.315815705828424,5.874543077889546,false,0.0,0.0,12.441272627938877,50.822128781293436,0.2329378387898039
