# git_commit: f196bce86483267108100538d0befbf4ca99803a
# script: scripts/relaxtime/run_gap_transport_scan.jl
# source_csv: data/outputs/results/relaxtime/scan/_ab_fullcoupled_t190_sigma128_ch.csv
# title: gap_transport_scan_channel_diagnostics
# schema: scan_csv_v1
T_MeV,muq_MeV,muB_MeV,xi,species,channel,density_key,multiplicity,density,rate,contribution,total,tau_inv_species,equilibrium_backend,phase_curr,phase_structure
190.0,0.0,0.0,-0.1,dbar,dubar_to_dubar,d,1.0,0.24932734943486515,0.31299267250156054,0.07803763342734889,3.467586866809144,3.467586866809143,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,dbar,ubardbar_to_ubardbar,dbar,1.0,0.24932734943486515,0.2063097426694397,0.051438661302360494,3.467586866809144,3.467586866809143,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,dbar,ubarubar_to_ubarubar,dbar,1.0,0.24932734943486515,0.1593253581571156,0.039724169247074205,3.467586866809144,3.467586866809143,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,dbar,subar_to_subar,s,1.0,0.12559373236240096,0.24385882607511203,0.030627140136286903,3.467586866809144,3.467586866809143,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,dbar,ubarsbar_to_ubarsbar,sbar,1.0,0.12559373236240096,0.1993391711955517,0.025035750516476947,3.467586866809144,3.467586866809143,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,sbar,usbar_to_usbar,u,2.0,0.24932734943486515,0.24385882607509798,0.12160134948320392,0.2981669825179644,0.2981669825179644,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,sbar,ubarsbar_to_ubarsbar,ubar,2.0,0.24932734943486515,0.1993391711955517,0.09940141438545945,0.2981669825179644,0.2981669825179644,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,sbar,sbarsbar_to_sbarsbar,sbar,1.0,0.12559373236240096,0.07810235731813402,0.009809166561886332,0.2981669825179644,0.2981669825179644,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,sbar,ssbar_to_ssbar,s,1.0,0.12559373236240096,0.26087878398214254,0.032764740174481825,0.2981669825179644,0.2981669825179644,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,sbar,ssbar_to_uubar,s,2.0,0.12559373236240096,0.13770715808143405,0.034590311912932936,0.2981669825179644,0.2981669825179644,models,hadron,crossover_possible
