# sigma_grid_n: 128
# provenance.equilibrium_backend: TransportWorkflow.EquilibriumFacade.solve_equilibrium_backend(:models)
# provenance.tau_path: TransportWorkflow.solve_gap_and_transport
# x_unit: MeV
# gc_every_n: 5
# y_unit.tau_ubar: fm
# y_unit.tau_u: fm
# script: scripts/relaxtime/scan_relaxation_times_vs_T.jl
# schema: scan_csv_v1
# provenance.entrypoint: workflow
# y_unit.tau_sbar: fm
# git_commit: 9765c65b60195aa39b55f1db62e2d0bda6505c80
# provenance.integration_mode: semi_infinite
# y_scale.tau_s: log
# y_scale.tau_sbar: log
# y_unit.tau_s: fm
# y_scale.tau_u: log
# title: relaxation_times_vs_T
# y_scale.tau_ubar: log
# integration_mode: semi_infinite
# x_label: T
T_MeV,muB_MeV,muq_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,Phi,Phibar,m_u,m_s,n_u,n_s,n_ubar,n_sbar,tau_u,tau_s,tau_ubar,tau_sbar,tauinv_u,tauinv_s,tauinv_ubar,tauinv_sbar,tau_p_nodes,tau_angle_nodes,tau_phi_nodes,tau_n_sigma_points,sigma_grid_n,integration_mode,gc_every_n
215.0,0.0,0.0,0.0,1.0895621043010701,0.0,true,missing,missing,0.6705374366358676,0.6705374366358676,0.2523656158003659,1.972802403538014,0.5097288848466472,0.29329509514252267,0.5097288848466472,0.29329509514252267,0.6137569803412904,1.0935913125731165,0.6137569803412961,1.0935913125731165,1.629309371673349,0.9144183832688785,1.629309371673334,0.9144183832688785,28,8,8,6,128,semi_infinite,5
220.0,0.0,0.0,0.0,1.114900757889467,0.0,true,missing,missing,0.6869411600437774,0.6869411600437774,0.1968011811968016,1.9208910986131824,0.5589295513008784,0.3357054612259631,0.5589295513008784,0.3357054612259631,0.5990973731636013,1.0185046838378935,0.5990973731635997,1.0185046838378935,1.669177741039636,0.9818315181741092,1.6691777410396407,0.9818315181741092,28,8,8,6,128,semi_infinite,5
225.0,0.0,0.0,0.0,1.140239411477864,0.0,true,missing,missing,0.7019548052029981,0.7019548052029981,0.1603889397726972,1.8682846647799678,0.6090731802338025,0.38151174515585257,0.6090731802338025,0.38151174515585257,0.5934299859707179,0.9579648631115166,0.5934299859707225,0.9579648631115166,1.6851187564514876,1.0438796228412295,1.685118756451475,1.0438796228412295,28,8,8,6,128,semi_infinite,5
230.0,0.0,0.0,0.0,1.165578065066261,0.0,true,missing,missing,0.7158142908427201,0.7158142908427201,0.13492308075846657,1.8140700748129355,0.6607990248505443,0.4309527955861657,0.6607990248505443,0.4309527955861657,0.5904236171985497,0.9072995915060174,0.5904236171985487,0.9072995915060174,1.6936991862636086,1.102171773647677,1.6936991862636115,1.102171773647677,28,8,8,6,128,semi_infinite,5
235.0,0.0,0.0,0.0,1.1909167186546579,0.0,true,missing,missing,0.7286728755856807,0.7286728755856807,0.11621166313236764,1.758094987931516,0.7143937134640217,0.48412990846086995,0.7143937134640217,0.48412990846086995,0.5877655953443629,0.8615880572086908,0.5877655953443611,0.8615880572086908,1.7013585142119712,1.1606474714142696,1.7013585142119765,1.1606474714142696,28,8,8,6,128,semi_infinite,5
240.0,0.0,0.0,0.0,1.216255372243055,0.0,true,missing,missing,0.740644145463241,0.740644145463241,0.10193519226620462,1.7005450215098783,0.7700031370078622,0.5410562577666475,0.7700031370078622,0.5410562577666475,0.5854478044641107,0.8203174532603299,0.585447804464111,0.8203174532603299,1.708094201353013,1.2190402581653317,1.7080942013530118,1.2190402581653317,28,8,8,6,128,semi_infinite,5
245.0,0.0,0.0,0.0,1.241594025831452,0.0,true,missing,missing,0.7518185595696097,0.7518185595696097,0.09071735041394806,1.6417878533160748,0.8277091795501142,0.6016746193302972,0.8277091795501142,0.6016746193302972,0.5836364484334772,0.782301436666101,0.5836364484334796,0.782301436666101,1.7133953896883463,1.2782796414917186,1.713395389688339,1.2782796414917186,28,8,8,6,128,semi_infinite,5
250.0,0.0,0.0,0.0,1.266932679419849,0.0,true,missing,missing,0.762271258441745,0.762271258441745,0.08169315121271917,1.5822976590230071,0.8875608258121644,0.6658679754773518,0.8875608258121644,0.6658679754773518,0.5819077720848467,0.7477825918706089,0.5819077720848564,0.7477825918706089,1.7184853820000057,1.3372870816616083,1.7184853819999768,1.3372870816616083,28,8,8,6,128,semi_infinite,5
255.0,0.0,0.0,0.0,1.2922713330082458,0.0,true,missing,missing,0.7720664231528117,0.7720664231528117,0.07429264767860205,1.522604191913419,0.9495882164590856,0.7334708077782041,0.9495882164590856,0.7334708077782041,0.5808781237552163,0.7130193658746278,0.5808781237552136,0.7130193658746278,1.721531521165364,1.4024864510844617,1.721531521165372,1.4024864510844617,28,8,8,6,128,semi_infinite,5
260.0,0.0,0.0,0.0,1.3176099865966429,0.0,true,missing,missing,0.7812600011112478,0.7812600011112478,0.06812525192607402,1.4632501979779131,1.0138096408464738,0.8042829714724398,1.0138096408464738,0.8042829714724398,0.5803151039437366,0.6787688783862608,0.5803151039437389,0.6787688783862608,1.7232017454037405,1.4732555245865873,1.7232017454037338,1.4732555245865873,28,8,8,6,128,semi_infinite,5
