center_xi,scenario,sigma_grid_n,adaptive_refinement,species,xi,process,apply_s_cut_requested,apply_s_cut_effective,disabled_by_scenario,sigma_cutoff,cache_n_points,cache_s_min,cache_s_max,cache_sigma_min,cache_sigma_max,cache_sigma_mean,s_peak,s_peak_minus_bo,cache_asym_enabled,cache_asym_s0,cache_asym_A,s_bo,s_up,rate
-0.1,baseline,128,true,u,-0.08,uubar_to_uubar,true,true,false,3.0522942112582996,128,4.6778590113641805,41.57798270450336,0.17506858927386001,14.679232477152102,0.5262920360727954,4.6778590113641805,3.5665167708032186e-8,false,0.0,0.0,4.677858975699013,41.94385878402271,0.5009592778269158
-0.1,baseline,128,true,u,-0.08,ud_to_ud,true,true,false,3.0522942112582996,128,4.6778590113641805,41.57798270450336,0.05606430339825154,0.18629567767058,0.1661946579542637,7.422054765261325,2.744195789562312,false,0.0,0.0,4.677858975699013,41.94385878402271,0.21469700786077178
-0.1,baseline,128,true,u,-0.08,ss_to_ss,true,true,false,3.0522942112582996,128,21.829925098584322,58.7300487917235,0.07066113441640677,0.11792689225085114,0.07985887065037327,58.7300487917235,36.900123728804346,false,0.0,0.0,21.82992506291915,59.09592487124285,0.08108676014683965
-0.1,baseline,128,true,u,-0.08,udbar_to_udbar,true,true,false,3.0522942112582996,128,4.6778590113641805,41.57798270450336,0.030762468311644055,0.38984847882188506,0.2828198994733618,10.29056172022267,5.612702744523657,false,0.0,0.0,4.677858975699013,41.94385878402271,0.3097679708797148
-0.1,baseline,128,true,u,-0.08,subar_to_subar,true,true,false,3.0522942112582996,128,11.679619925835715,49.78641989631525,0.02655161511993939,0.4102999770797688,0.28143966622298217,17.323725837653797,5.644124315934015,false,0.0,0.0,11.679601521719782,50.1532739733117,0.24141977192773675
-0.1,baseline,128,true,u,-0.08,ssbar_to_uubar,true,true,false,3.0522942112582996,128,21.829925098584322,41.94375024317056,0.20093673779522075,3202.197351519569,25.287172815492546,21.829925098584322,3.5665173925281124e-8,false,0.0,0.0,21.82992506291915,41.94385878402271,2.6409019755062815
-0.1,baseline,128,true,u,-0.08,ubarubar_to_ubarubar,true,true,false,3.0522942112582996,128,4.6778590113641805,41.57798270450336,0.10191596899213712,0.13707369170680503,0.1208793614842691,41.57798270450336,36.90012372880435,false,0.0,0.0,4.677858975699013,41.94385878402271,0.16395443481511696
-0.1,baseline,128,true,u,-0.08,ubarsbar_to_ubarsbar,true,true,false,3.0522942112582996,128,11.679619925835715,49.78641989631525,0.11114172003011202,0.2636394739834502,0.19553142749233127,12.594271591736135,0.9146700700163528,false,0.0,0.0,11.679601521719782,50.1532739733117,0.20308203440474085
-0.1,baseline,128,true,u,-0.08,dubar_to_dubar,true,true,false,3.0522942112582996,128,4.6778590113641805,41.57798270450336,0.030762468311644055,0.38984847882188506,0.2828198994733618,10.29056172022267,5.612702744523657,false,0.0,0.0,4.677858975699013,41.94385878402271,0.3097679708797148
-0.1,baseline,128,true,u,-0.08,uubar_to_ssbar,true,true,false,3.0522942112582996,128,21.83920282188523,41.57798270450336,0.003404260740073387,0.10763314330663423,0.057655526776428795,41.57798270450336,19.748057641584214,false,0.0,0.0,21.82992506291915,41.94385878402271,0.035095923010083345
