target_id,target_kind,xi,T_MeV,target_mu_MeV,cep_T_low_MeV,cep_T_high_MeV,distance_below_CEP_MeV,grid_status,grid_unresolved,boundary_row_present,priority,reason,reason_detail,diagnostic_count,representative_xi,pilot_selection,rank_within_xi
maxwell_xi_m0p4875_T_139,maxwell_fixed_xi_T,-0.4875,139.0,226.07294073178355,146.6875,146.75,7.6875,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,7
maxwell_xi_m0p4875_T_146p688,maxwell_fixed_xi_T,-0.4875,146.6875,,146.6875,146.75,0.0,classification_changed_or_unresolved:unknown->valid,True,False,4,input_incomplete,missing boundary row; no actionable unresolved component,1,False,input_incomplete,8
maxwell_xi_m0p475_T_146p25,maxwell_fixed_xi_T,-0.475,146.25,,146.25,146.3125,0.0,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,1
maxwell_xi_m0p475_T_142,maxwell_fixed_xi_T,-0.475,142.0,220.16752842462787,146.25,146.3125,4.25,rho:rho_geometry_not_converged|xi:interpolation_tolerance_exceeded,True,True,1,mixed_geometry_interpolation,rho plus interpolation status,1,False,full_only,2
maxwell_xi_m0p475_T_144,maxwell_fixed_xi_T,-0.475,144.0,214.8472072019133,146.25,146.3125,2.25,temperature:interpolation_tolerance_exceeded|xi:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,3
maxwell_xi_m0p475_T_143,maxwell_fixed_xi_T,-0.475,143.0,217.52443655607368,146.25,146.3125,3.25,temperature:interpolation_tolerance_exceeded|xi:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,4
maxwell_xi_m0p475_T_139,maxwell_fixed_xi_T,-0.475,139.0,227.88175221772102,146.25,146.3125,7.25,temperature:interpolation_tolerance_exceeded|xi:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,5
maxwell_xi_m0p475_T_145,maxwell_fixed_xi_T,-0.475,145.0,212.13672724595375,146.25,146.3125,1.25,xi:interpolation_tolerance_exceeded,True,True,3,xi_interpolation,xi interpolation status,0,False,full_only,6
maxwell_xi_m0p475_T_144p5,maxwell_fixed_xi_T,-0.475,144.5,213.49607194501914,146.25,146.3125,1.75,xi:interpolation_tolerance_exceeded,True,True,3,xi_interpolation,xi interpolation status,0,False,full_only,7
maxwell_xi_m0p475_T_143p5,maxwell_fixed_xi_T,-0.475,143.5,216.19003272693504,146.25,146.3125,2.75,xi:interpolation_tolerance_exceeded,True,True,3,xi_interpolation,xi interpolation status,0,False,full_only,8
maxwell_xi_m0p475_T_141,maxwell_fixed_xi_T,-0.475,141.0,222.77547229422248,146.25,146.3125,5.25,xi:interpolation_tolerance_exceeded,True,True,3,xi_interpolation,xi interpolation status,0,False,full_only,9
maxwell_xi_m0p475_T_140,maxwell_fixed_xi_T,-0.475,140.0,225.34722674861428,146.25,146.3125,6.25,xi:interpolation_tolerance_exceeded,True,True,3,xi_interpolation,xi interpolation status,0,False,full_only,10
maxwell_xi_m0p46875_T_146p062,maxwell_fixed_xi_T,-0.46875,146.0625,,146.0625,146.125,0.0,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,1
maxwell_xi_m0p46875_T_146,maxwell_fixed_xi_T,-0.46875,146.0,,146.0625,146.125,0.0625,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,2
maxwell_xi_m0p46875_T_143p5,maxwell_fixed_xi_T,-0.46875,143.5,217.13283968788923,146.0625,146.125,2.5625,rho:rho_geometry_not_converged,True,True,1,rho_geometry,rho geometry status,1,False,full_only,3
maxwell_xi_m0p46875_T_139,maxwell_fixed_xi_T,-0.46875,139.0,228.76974872721382,146.0625,146.125,7.0625,rho:rho_geometry_not_converged|temperature:interpolation_tolerance_exceeded,True,True,1,mixed_geometry_interpolation,rho plus interpolation status,2,False,full_only,4
maxwell_xi_m0p46875_T_144,maxwell_fixed_xi_T,-0.46875,144.0,215.79672720385366,146.0625,146.125,2.0625,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,5
maxwell_xi_m0p46875_T_143,maxwell_fixed_xi_T,-0.46875,143.0,218.46066308001411,146.0625,146.125,3.0625,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,6
maxwell_xi_m0p4625_T_145p875,maxwell_fixed_xi_T,-0.4625,145.875,,145.875,145.9375,0.0,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,1
maxwell_xi_m0p4625_T_145p75,maxwell_fixed_xi_T,-0.4625,145.75,,145.875,145.9375,0.125,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,2
maxwell_xi_m0p4625_T_145p5,maxwell_fixed_xi_T,-0.4625,145.5,,145.875,145.9375,0.375,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,3
maxwell_xi_m0p4625_T_145,maxwell_fixed_xi_T,-0.4625,145.0,214.05165424401582,145.875,145.9375,0.875,rho:rho_geometry_not_converged|xi:interpolation_tolerance_exceeded,True,True,1,mixed_geometry_interpolation,rho plus interpolation status,1,False,full_only,4
maxwell_xi_m0p4625_T_139,maxwell_fixed_xi_T,-0.4625,139.0,229.64717533536538,145.875,145.9375,6.875,rho:rho_geometry_not_converged|temperature:interpolation_tolerance_exceeded|xi:interpolation_tolerance_exceeded,True,True,1,mixed_geometry_interpolation,rho plus interpolation status,2,False,full_only,5
maxwell_xi_m0p4625_T_144p5,maxwell_fixed_xi_T,-0.4625,144.5,215.39712966831104,145.875,145.9375,1.375,temperature:interpolation_tolerance_exceeded|xi:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,6
maxwell_xi_m0p4625_T_144,maxwell_fixed_xi_T,-0.4625,144.0,216.7346752343794,145.875,145.9375,1.875,temperature:interpolation_tolerance_exceeded|xi:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,7
maxwell_xi_m0p4625_T_143,maxwell_fixed_xi_T,-0.4625,143.0,219.38553973931857,145.875,145.9375,2.875,temperature:interpolation_tolerance_exceeded|xi:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,8
maxwell_xi_m0p4625_T_142,maxwell_fixed_xi_T,-0.4625,142.0,222.00329452711404,145.875,145.9375,3.875,temperature:interpolation_tolerance_exceeded|xi:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,9
maxwell_xi_m0p4625_T_143p5,maxwell_fixed_xi_T,-0.4625,143.5,218.06417985853182,145.875,145.9375,2.375,xi:interpolation_tolerance_exceeded,True,True,3,xi_interpolation,xi interpolation status,0,False,full_only,10
maxwell_xi_m0p4625_T_142p5,maxwell_fixed_xi_T,-0.4625,142.5,220.69862060240084,145.875,145.9375,3.375,xi:interpolation_tolerance_exceeded,True,True,3,xi_interpolation,xi interpolation status,0,False,full_only,11
maxwell_xi_m0p4625_T_141p5,maxwell_fixed_xi_T,-0.4625,141.5,223.29942724453792,145.875,145.9375,4.375,xi:interpolation_tolerance_exceeded,True,True,3,xi_interpolation,xi interpolation status,0,False,full_only,12
maxwell_xi_m0p4625_T_141,maxwell_fixed_xi_T,-0.4625,141.0,224.58688101021846,145.875,145.9375,4.875,xi:interpolation_tolerance_exceeded,True,True,3,xi_interpolation,xi interpolation status,0,False,full_only,13
maxwell_xi_m0p4625_T_140,maxwell_fixed_xi_T,-0.4625,140.0,227.13520454228762,145.875,145.9375,5.875,xi:interpolation_tolerance_exceeded,True,True,3,xi_interpolation,xi interpolation status,0,False,full_only,14
maxwell_xi_m0p4625_T_138,maxwell_fixed_xi_T,-0.4625,138.0,232.12177261285328,145.875,145.9375,7.875,xi:interpolation_tolerance_exceeded,True,True,3,xi_interpolation,xi interpolation status,0,False,full_only,15
maxwell_xi_m0p45625_T_145p688,maxwell_fixed_xi_T,-0.45625,145.6875,,145.6875,145.75,0.0,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,1
maxwell_xi_m0p45625_T_145p5,maxwell_fixed_xi_T,-0.45625,145.5,,145.6875,145.75,0.1875,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,2
maxwell_xi_m0p45625_T_145,maxwell_fixed_xi_T,-0.45625,145.0,214.99169458435193,145.6875,145.75,0.6875,rho:geometry_tolerance_exceeded,True,True,1,rho_geometry,rho geometry status,1,False,full_only,3
maxwell_xi_m0p45625_T_144,maxwell_fixed_xi_T,-0.45625,144.0,217.6613450358081,145.6875,145.75,1.6875,rho:geometry_tolerance_exceeded|temperature:interpolation_tolerance_exceeded,True,True,1,mixed_geometry_interpolation,rho plus interpolation status,2,False,full_only,4
maxwell_xi_m0p45625_T_144p5,maxwell_fixed_xi_T,-0.45625,144.5,216.33041244725456,145.6875,145.75,1.1875,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,5
maxwell_xi_m0p45625_T_143,maxwell_fixed_xi_T,-0.45625,143.0,220.29934415723397,145.6875,145.75,2.6875,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,6
maxwell_xi_m0p45625_T_142,maxwell_fixed_xi_T,-0.45625,142.0,222.9047413972797,145.6875,145.75,3.6875,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,7
maxwell_xi_m0p45625_T_139,maxwell_fixed_xi_T,-0.45625,139.0,230.51429418133267,145.6875,145.75,6.6875,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,8
maxwell_xi_m0p45_T_145p5,maxwell_fixed_xi_T,-0.45,145.5,,145.5,145.5625,0.0,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,1
maxwell_xi_m0p45_T_144p5,maxwell_fixed_xi_T,-0.45,144.5,217.25260230517083,145.5,145.5625,1.0,rho:geometry_tolerance_exceeded|temperature:interpolation_tolerance_exceeded,True,True,1,mixed_geometry_interpolation,rho plus interpolation status,2,False,full_only,2
maxwell_xi_m0p45_T_143,maxwell_fixed_xi_T,-0.45,143.0,,145.5,145.5625,2.5,hybrid_stage_c_not_converged|interpolation_tolerance_exceeded|rho_geometry_not_converged,True,False,1,input_incomplete,missing boundary row; rho geometry status,3,False,input_incomplete,3
maxwell_xi_m0p45_T_141p5,maxwell_fixed_xi_T,-0.45,141.5,225.0798323974474,145.5,145.5625,4.0,rho:rho_geometry_not_converged,True,True,1,rho_geometry,rho geometry status,1,False,full_only,4
maxwell_xi_m0p45_T_144,maxwell_fixed_xi_T,-0.45,144.0,218.5770060623986,145.5,145.5625,1.5,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,5
maxwell_xi_m0p45_T_142,maxwell_fixed_xi_T,-0.45,142.0,223.79560136949397,145.5,145.5625,3.5,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,6
maxwell_xi_m0p45_T_139,maxwell_fixed_xi_T,-0.45,139.0,231.3713535654944,145.5,145.5625,6.5,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,7
maxwell_xi_m0p4375_T_145,maxwell_fixed_xi_T,-0.4375,145.0,217.74564193964974,145.0625,145.125,0.0625,rho:geometry_tolerance_exceeded,True,True,1,rho_geometry,rho geometry status,1,False,full_only,1
maxwell_xi_m0p4375_T_144p5,maxwell_fixed_xi_T,-0.4375,144.5,219.06474484869358,145.0625,145.125,0.5625,rho:geometry_tolerance_exceeded|temperature:interpolation_tolerance_exceeded,True,True,1,mixed_geometry_interpolation,rho plus interpolation status,2,False,full_only,2
maxwell_xi_m0p4375_T_144,maxwell_fixed_xi_T,-0.4375,144.0,220.3764313459172,145.0625,145.125,1.0625,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,3
maxwell_xi_m0p4375_T_143,maxwell_fixed_xi_T,-0.4375,143.0,222.97708445170704,145.0625,145.125,2.0625,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,4
maxwell_xi_m0p4375_T_142,maxwell_fixed_xi_T,-0.4375,142.0,225.54656866836015,145.0625,145.125,3.0625,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,5
maxwell_xi_m0p4375_T_139,maxwell_fixed_xi_T,-0.4375,139.0,233.0562739695866,145.0625,145.125,6.0625,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,6
maxwell_xi_m0p4375_T_145p062,maxwell_fixed_xi_T,-0.4375,145.0625,,145.0625,145.125,0.0,classification_changed_or_unresolved:unknown->valid,True,False,4,input_incomplete,missing boundary row; no actionable unresolved component,1,False,input_incomplete,7
maxwell_xi_m0p425_T_144p688,maxwell_fixed_xi_T,-0.425,144.6875,,144.6875,144.75,0.0,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,1
maxwell_xi_m0p425_T_144p625,maxwell_fixed_xi_T,-0.425,144.625,,144.6875,144.75,0.0625,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,2
maxwell_xi_m0p425_T_144p5,maxwell_fixed_xi_T,-0.425,144.5,,144.6875,144.75,0.1875,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,3
maxwell_xi_m0p425_T_144,maxwell_fixed_xi_T,-0.425,144.0,,144.6875,144.75,0.6875,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,4
maxwell_xi_m0p425_T_143,maxwell_fixed_xi_T,-0.425,143.0,,144.6875,144.75,1.6875,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,5
maxwell_xi_m0p425_T_139,maxwell_fixed_xi_T,-0.425,139.0,234.70376827273367,144.6875,144.75,5.6875,temperature:interpolation_tolerance_exceeded|xi:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,6
maxwell_xi_m0p425_T_141,maxwell_fixed_xi_T,-0.425,141.0,229.7731374626734,144.6875,144.75,3.6875,xi:interpolation_tolerance_exceeded,True,True,3,xi_interpolation,xi interpolation status,0,False,full_only,7
maxwell_xi_m0p425_T_140,maxwell_fixed_xi_T,-0.425,140.0,232.25541954435505,144.6875,144.75,4.6875,xi:interpolation_tolerance_exceeded,True,True,3,xi_interpolation,xi interpolation status,0,False,full_only,8
maxwell_xi_m0p425_T_138,maxwell_fixed_xi_T,-0.425,138.0,237.11702345295845,144.6875,144.75,6.6875,xi:interpolation_tolerance_exceeded,True,True,3,xi_interpolation,xi interpolation status,0,False,full_only,9
maxwell_xi_m0p425_T_137,maxwell_fixed_xi_T,-0.425,137.0,239.4941207998176,144.6875,144.75,7.6875,xi:interpolation_tolerance_exceeded,True,True,3,xi_interpolation,xi interpolation status,0,False,full_only,10
maxwell_xi_m0p4125_T_144p312,maxwell_fixed_xi_T,-0.4125,144.3125,,144.3125,144.375,0.0,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,1
maxwell_xi_m0p4125_T_144p25,maxwell_fixed_xi_T,-0.4125,144.25,,144.3125,144.375,0.0625,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,2
maxwell_xi_m0p4125_T_144,maxwell_fixed_xi_T,-0.4125,144.0,,144.3125,144.375,0.3125,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,3
maxwell_xi_m0p4125_T_138,maxwell_fixed_xi_T,-0.4125,138.0,238.70952459566797,144.3125,144.375,6.3125,rho:rho_geometry_not_converged,True,True,1,rho_geometry,rho geometry status,1,False,full_only,4
maxwell_xi_m0p4125_T_140,maxwell_fixed_xi_T,-0.4125,140.0,233.88719895217326,144.3125,144.375,4.3125,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,5
maxwell_xi_m0p4125_T_139,maxwell_fixed_xi_T,-0.4125,139.0,236.31555063664698,144.3125,144.375,5.3125,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,6
maxwell_xi_m0p4_T_143p938,maxwell_fixed_xi_T,-0.4,143.9375,,143.9375,144.0,0.0,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,1
maxwell_xi_m0p4_T_143p875,maxwell_fixed_xi_T,-0.4,143.875,,143.9375,144.0,0.0625,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,2
maxwell_xi_m0p4_T_143p75,maxwell_fixed_xi_T,-0.4,143.75,,143.9375,144.0,0.1875,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,3
maxwell_xi_m0p4_T_143p5,maxwell_fixed_xi_T,-0.4,143.5,,143.9375,144.0,0.4375,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,4
maxwell_xi_m0p4_T_140,maxwell_fixed_xi_T,-0.4,140.0,235.48431563712,143.9375,144.0,3.9375,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,5
maxwell_xi_m0p4_T_139,maxwell_fixed_xi_T,-0.4,139.0,237.89322605251823,143.9375,144.0,4.9375,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,6
maxwell_xi_m0p3875_T_143p5,maxwell_fixed_xi_T,-0.3875,143.5,,143.5,143.5625,0.0,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,1
maxwell_xi_m0p3875_T_143,maxwell_fixed_xi_T,-0.3875,143.0,,143.5,143.5625,0.5,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,2
maxwell_xi_m0p3875_T_140,maxwell_fixed_xi_T,-0.3875,140.0,237.04828877636197,143.5,143.5625,3.5,rho:rho_geometry_not_converged|temperature:interpolation_tolerance_exceeded,True,True,1,mixed_geometry_interpolation,rho plus interpolation status,2,False,full_only,3
maxwell_xi_m0p3875_T_139,maxwell_fixed_xi_T,-0.3875,139.0,239.4382778850067,143.5,143.5625,4.5,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,4
maxwell_xi_m0p375_T_143p125,maxwell_fixed_xi_T,-0.375,143.125,,143.125,143.1875,0.0,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,1
maxwell_xi_m0p375_T_143,maxwell_fixed_xi_T,-0.375,143.0,,143.125,143.1875,0.125,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,2
maxwell_xi_m0p375_T_140,maxwell_fixed_xi_T,-0.375,140.0,238.58054712418055,143.125,143.1875,3.125,temperature:interpolation_tolerance_exceeded|xi:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,3
maxwell_xi_m0p375_T_139,maxwell_fixed_xi_T,-0.375,139.0,240.95209235370743,143.125,143.1875,4.125,temperature:interpolation_tolerance_exceeded|xi:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,4
maxwell_xi_m0p375_T_141,maxwell_fixed_xi_T,-0.375,141.0,236.1779103176595,143.125,143.1875,2.125,xi:interpolation_tolerance_exceeded,True,True,3,xi_interpolation,xi interpolation status,0,False,full_only,5
maxwell_xi_m0p375_T_140p5,maxwell_fixed_xi_T,-0.375,140.5,237.38302663817342,143.125,143.1875,2.625,xi:interpolation_tolerance_exceeded,True,True,3,xi_interpolation,xi interpolation status,0,False,full_only,6
maxwell_xi_m0p375_T_139p5,maxwell_fixed_xi_T,-0.375,139.5,239.77028859198336,143.125,143.1875,3.625,xi:interpolation_tolerance_exceeded,True,True,3,xi_interpolation,xi interpolation status,0,False,full_only,7
maxwell_xi_m0p375_T_138,maxwell_fixed_xi_T,-0.375,138.0,243.29124296451508,143.125,143.1875,5.125,xi:interpolation_tolerance_exceeded,True,True,3,xi_interpolation,xi interpolation status,0,False,full_only,8
maxwell_xi_m0p375_T_137,maxwell_fixed_xi_T,-0.375,137.0,245.59675317260957,143.125,143.1875,6.125,xi:interpolation_tolerance_exceeded,True,True,3,xi_interpolation,xi interpolation status,0,False,full_only,9
maxwell_xi_m0p375_T_136,maxwell_fixed_xi_T,-0.375,136.0,247.86753676991123,143.125,143.1875,7.125,xi:interpolation_tolerance_exceeded,True,True,3,xi_interpolation,xi interpolation status,0,False,full_only,10
maxwell_xi_m0p3625_T_142p75,maxwell_fixed_xi_T,-0.3625,142.75,,142.75,142.8125,0.0,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,1
maxwell_xi_m0p3625_T_142p5,maxwell_fixed_xi_T,-0.3625,142.5,,142.75,142.8125,0.25,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,2
maxwell_xi_m0p3625_T_142,maxwell_fixed_xi_T,-0.3625,142.0,,142.75,142.8125,0.75,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,3
maxwell_xi_m0p3625_T_139p5,maxwell_fixed_xi_T,-0.3625,139.5,,142.75,142.8125,3.25,hybrid_stage_c_not_converged|rho_geometry_not_converged,True,False,1,input_incomplete,missing boundary row; rho geometry status,2,False,input_incomplete,4
maxwell_xi_m0p3625_T_137,maxwell_fixed_xi_T,-0.3625,137.0,247.04652937089145,142.75,142.8125,5.75,rho:rho_geometry_not_converged,True,True,1,rho_geometry,rho geometry status,1,False,full_only,5
maxwell_xi_m0p3625_T_135,maxwell_fixed_xi_T,-0.3625,135.0,251.52050239607027,142.75,142.8125,7.75,rho:rho_geometry_not_converged|temperature:interpolation_tolerance_exceeded,True,True,1,mixed_geometry_interpolation,rho plus interpolation status,2,False,full_only,6
maxwell_xi_m0p3625_T_140,maxwell_fixed_xi_T,-0.3625,140.0,240.0824124327453,142.75,142.8125,2.75,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,7
maxwell_xi_m0p3625_T_139,maxwell_fixed_xi_T,-0.3625,139.0,242.43599266938773,142.75,142.8125,3.75,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,8
maxwell_xi_m0p35_T_142p375,maxwell_fixed_xi_T,-0.35,142.375,,142.375,142.4375,0.0,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,1
maxwell_xi_m0p35_T_142p25,maxwell_fixed_xi_T,-0.35,142.25,,142.375,142.4375,0.125,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,2
maxwell_xi_m0p35_T_141,maxwell_fixed_xi_T,-0.35,141.0,239.18928292087847,142.375,142.4375,1.375,rho:geometry_tolerance_exceeded,True,True,1,rho_geometry,rho geometry status,1,False,full_only,3
maxwell_xi_m0p35_T_140p5,maxwell_fixed_xi_T,-0.35,140.5,240.37584662051086,142.375,142.4375,1.875,rho:rho_geometry_not_converged,True,True,1,rho_geometry,rho geometry status,1,False,full_only,4
maxwell_xi_m0p35_T_140,maxwell_fixed_xi_T,-0.35,140.0,241.55513024956934,142.375,142.4375,2.375,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,5
maxwell_xi_m0p35_T_139,maxwell_fixed_xi_T,-0.35,139.0,243.89118482654192,142.375,142.4375,3.375,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,6
maxwell_xi_m0p35_T_138,maxwell_fixed_xi_T,-0.35,138.0,246.19605310490545,142.375,142.4375,4.375,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,7
maxwell_xi_m0p35_T_135,maxwell_fixed_xi_T,-0.35,135.0,252.91125864507046,142.375,142.4375,7.375,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,8
