xi,mu_MeV,T_crossover_MeV,rho,method,converged,derivative,variable,curve_parameter,plot_order_key
0.0,38.82739979264466,199.02347622586856,0.690971724296509,peak,true,9.77341363753822,phi_u,38.82739979264466,38.82739979264466
0.0,58.241099688967,197.59715183222937,1.0191121979421318,peak,true,9.848802681349131,phi_u,58.241099688967,58.241099688967
0.0,77.65479958528933,195.59874461731437,1.3268903198611957,peak,true,9.965727697873938,phi_u,77.65479958528933,77.65479958528933
0.0,97.06849948161165,193.0031254806476,1.6069711156204094,peak,true,10.137804944760582,phi_u,97.06849948161165,97.06849948161165
0.0,116.482199377934,189.7878182714779,1.8518082577801966,peak,true,10.386536342667831,phi_u,116.482199377934,116.482199377934
0.0,135.89589927425632,185.95282298980533,2.055483232918249,peak,true,10.746074551040818,phi_u,135.89589927425632,135.89589927425632
0.0,155.30959917057865,181.4764832914289,2.211120668862259,peak,true,11.272157495025041,phi_u,155.30959917057865,155.30959917057865
0.0,174.72329906690098,176.33632302559764,2.3116942667221285,peak,true,12.059723321726548,phi_u,174.72329906690098,174.72329906690098
0.0,194.1369989632233,170.54358026768693,2.3539413254596115,peak,true,13.279825417072107,phi_u,194.1369989632233,194.1369989632233
0.0,213.55069885954566,164.13114943727336,2.3397771848317532,peak,true,15.265129199038128,phi_u,213.55069885954566,213.55069885954566
0.0,232.964398755868,157.13969027303378,2.280085213204209,peak,true,18.74732371057965,phi_u,232.964398755868,232.964398755868
0.0,252.37809865219032,149.5285430362913,2.19277272401168,peak,true,25.780150454596388,phi_u,252.37809865219032,252.37809865219032
0.0,271.79179854851265,141.00431090058268,2.080843759160575,peak,true,46.27249488415057,phi_u,271.79179854851265,271.79179854851265
0.0,291.205498444835,130.99532094790726,1.8696238914119074,peak,true,2055.1510992759313,phi_u,291.205498444835,291.205498444835
0.25,0.0,207.05652436270933,0.0,peak,true,8.210320389120172,phi_u,0.0,0.0
0.25,21.454992418604817,206.71804113844408,0.38299496862789834,peak,true,8.218711038036284,phi_u,21.454992418604817,21.454992418604817
0.25,42.909984837209635,205.70350236181497,0.7575208387842728,peak,true,8.24506839884083,phi_u,42.909984837209635,42.909984837209635
