# y_unit.M_K: fm^-1
# y_unit.Gamma_pi: fm^-1
# y_unit.m_u: fm^-1
# y_unit.M_pi: fm^-1
# y_unit.Gamma_K: fm^-1
# script: scripts/relaxtime/run_mott_phase_scan.jl
# y_unit.m_d: fm^-1
# format: scan_csv_v1
# x_unit: MeV
# y_unit.m_s: fm^-1
# x_label: Temperature
# y_unit.M_u_plus_M_d: fm^-1
# y_unit.M_u_plus_M_s: fm^-1
run_id,T_MeV,muB_MeV,xi,M_pi,M_K,Gamma_pi,Gamma_K,residual_pi,residual_K,root_quality_pi,root_quality_K,selected_method_pi,selected_method_K,m_u,m_d,m_s,status,error_code,error_message,timestamp_utc,M_u_plus_M_d,M_u_plus_M_s
20260328T063557_884e94d3,242.0,0.0,-0.15,1.9485581609958937,2.849752394019611,1.193629327895151,1.257019782218233,5.711285973029258e-9,1.2338282952076232e-11,good,good,newton,newton,0.08119972906681283,0.08119972906681285,1.6047404588527965,ok,,,2026-03-28T06:36:29Z,0.16239945813362566,1.6859401879196092
20260328T063557_884e94d3,243.0,0.0,-0.15,1.9728886253502849,2.8547588861198188,1.2232567645160026,1.2820221820602236,5.529011048247517e-9,1.2930418605892382e-11,good,good,newton,newton,0.07953518218479723,0.07953518218479723,1.5920924672557173,ok,,,2026-03-28T06:36:30Z,0.15907036436959446,1.6716276494405145
20260328T063557_884e94d3,244.0,0.0,-0.15,1.9970519191839164,2.859853829825369,1.2530455138925758,1.307276825356493,5.356026184180388e-9,1.3526135962311652e-11,good,good,newton,newton,0.07793722792424264,0.0779372279242426,1.5794266941282669,ok,,,2026-03-28T06:36:30Z,0.15587445584848525,1.6573639220525096
20260328T063557_884e94d3,245.0,0.0,-0.15,2.021050326495605,2.865043661514008,1.282993517968661,1.3327835487781272,5.191653814957209e-9,1.4111898665679216e-11,good,good,newton,newton,0.07640209057860577,0.07640209057860574,1.5667485111357464,ok,,,2026-03-28T06:36:30Z,0.1528041811572115,1.6431506017143522
20260328T063557_884e94d3,246.0,0.0,-0.15,2.044885968146737,2.870334368179781,1.3130986076349362,1.3585416690780532,5.035285664106609e-9,1.4673056191832315e-11,good,good,newton,newton,0.07492627018137651,0.0749262701813764,1.5540633210242185,ok,,,2026-03-28T06:36:32Z,0.14985254036275292,1.628989591205595
20260328T063557_884e94d3,247.0,0.0,-0.15,2.068560817352155,2.875731496362753,1.3433585157301795,1.3845500174171907,4.88635062026982e-9,1.519288084770086e-11,good,good,newton,newton,0.07350651765720287,0.07350651765720287,1.5413765405145237,ok,,,2026-03-28T06:36:33Z,0.14701303531440574,1.6148830581717266
20260328T063557_884e94d3,248.0,0.0,-0.15,2.092076714254927,2.881240160199349,1.373770889494764,1.4108069726220953,4.744343474373008e-9,1.5652167484456342e-11,good,good,newton,newton,0.07213981261449098,0.07213981261449098,1.5286935834298554,ok,,,2026-03-28T06:36:34Z,0.14427962522898197,1.6008333960443464
20260328T063557_884e94d3,249.0,0.0,-0.15,2.1154353796200183,2.8868650489159093,1.4043333025412015,1.4373104936162706,4.608799531064294e-9,1.6030384679802186e-11,good,good,newton,newton,0.07082334345980229,0.0708233434598023,1.5160198441263322,ok,,,2026-03-28T06:36:35Z,0.14164668691960458,1.5868431875861344
20260328T063557_884e94d3,250.0,0.0,-0.15,2.1386384276638544,2.8926104340395344,1.435043266366163,1.4640581511830644,4.4792968266239944e-9,1.630572834704824e-11,good,good,newton,newton,0.06955448955861637,0.06955448955861632,1.5033606813091822,ok,,,2026-03-28T06:36:36Z,0.1391089791172327,1.5729151708677986
20260328T063557_884e94d3,220.0,0.0,0.0,1.2211375461972591,2.702527448249237,0.45699410393884354,0.6512829688287386,9.436604830881379e-10,7.712985805596873e-11,good,good,newton,newton,0.19680118119680198,0.19680118119680182,1.9208910986131837,ok,,,2026-03-28T06:36:36Z,0.3936023623936038,2.1176922798099858
20260328T063557_884e94d3,221.0,0.0,0.0,1.2506692601104885,2.7108497260214506,0.4821913805865433,0.673819230887605,6.663688018474473e-16,9.195428498696462e-11,good,good,newton,newton,0.18833490918768528,0.18833490918768497,1.9104717750391842,ok,,,2026-03-28T06:36:36Z,0.3766698183753703,2.0988066842268696
20260328T063557_884e94d3,222.0,0.0,0.0,1.2798900536365108,2.7187010160651366,0.5073589370076615,0.6959200435840895,6.661338147750939e-16,6.77432201954188e-11,good,good,newton,newton,0.1805266499167586,0.18052664991675885,1.9000086810001793,ok,,,2026-03-28T06:36:37Z,0.3610532998335174,2.0805353309169377
20260328T063557_884e94d3,223.0,0.0,0.0,1.308808363038004,2.7261347356441354,0.5325339646031924,0.7176832778792949,4.769632871471451e-16,5.3096638197303037e-11,good,good,newton,newton,0.17330577403611344,0.1733057740361135,1.88949373206543,ok,,,2026-03-28T06:36:37Z,0.34661154807222694,2.0627995061015434
