T_MeV,rho,xi,mu_u_MeV,mu_d_MeV,mu_s_MeV,mu_avg_MeV,mu_B_MeV,mu_Q_MeV,mu_S_MeV,pressure_fm4,entropy_fm3,energy_fm4,rho_u_fm3,rho_d_fm3,rho_s_fm3,phi_u,phi_d,phi_s,Phi1,Phi2,M_u_MeV,M_d_MeV,M_s_MeV,iterations,residual_norm,converged,message
50.000000,1.350000,0.000000,339.099935,339.099935,339.099935,339.099935,1017.299805,0.000000,0.000000,21.548219,0.136345,-20.400104,0.323811,0.323811,0.000378,-1.012623,-1.012623,-2.124623,0.032122,0.041364,202.538989,202.538989,489.882180,4,0.000000,true,
50.000000,1.300000,0.000000,339.358360,339.358360,339.358360,339.358360,1018.075080,0.000000,0.000000,21.549042,0.149313,-20.438068,0.311810,0.311810,0.000379,-1.054527,-1.054527,-2.128835,0.033486,0.042064,210.774461,210.774461,492.131805,4,0.000000,true,
50.000000,1.250000,0.000000,340.374640,340.374640,340.374640,340.374640,1021.123921,0.000000,0.000000,21.552188,0.160909,-20.476460,0.299808,0.299808,0.000383,-1.095062,-1.095062,-2.133025,0.034552,0.042979,218.749443,218.749443,494.387607,4,0.000000,true,
50.000000,1.200000,0.000000,341.862418,341.862418,341.862418,341.862418,1025.587254,0.000000,0.000000,21.556618,0.170973,-20.515395,0.287806,0.287806,0.000388,-1.134248,-1.134248,-2.137184,0.035352,0.043953,226.467424,226.467424,496.642548,3,0.000000,true,
50.000000,1.150000,0.000000,343.650924,343.650924,343.650924,343.650924,1030.952772,0.000000,0.000000,21.561727,0.179497,-20.554920,0.275804,0.275804,0.000393,-1.172158,-1.172158,-2.141304,0.035916,0.044910,233.941597,233.941597,498.892943,3,0.000000,true,
50.000000,1.100000,0.000000,345.631543,345.631543,345.631543,345.631543,1036.894629,0.000000,0.000000,21.567146,0.186519,-20.595057,0.263802,0.263802,0.000397,-1.208874,-1.208874,-2.145383,0.036270,0.045807,241.188015,241.188015,501.136774,3,0.000000,true,
50.000000,1.050000,0.000000,347.731122,347.731122,347.731122,347.731122,1043.193365,0.000000,0.000000,21.572635,0.192084,-20.635811,0.251800,0.251800,0.000400,-1.244483,-1.244483,-2.149421,0.036434,0.046620,248.223032,248.223032,503.372952,3,0.000000,true,
50.000000,1.000000,0.000000,349.897758,349.897758,349.897758,349.897758,1049.693273,0.000000,0.000000,21.578037,0.196239,-20.677182,0.239799,0.239799,0.000402,-1.279066,-1.279066,-2.153416,0.036422,0.047332,255.062298,255.062298,505.600956,3,0.000000,true,
50.000000,0.950000,0.000000,352.092722,352.092722,352.092722,352.092722,1056.278166,0.000000,0.000000,21.583243,0.199023,-20.719167,0.227799,0.227799,0.000402,-1.312701,-1.312701,-2.157369,0.036246,0.047932,261.720399,261.720399,507.820621,3,0.000000,true,
50.000000,0.900000,0.000000,354.285566,354.285566,354.285566,354.285566,1062.856697,0.000000,0.000000,21.588177,0.200468,-20.761758,0.215799,0.215799,0.000401,-1.345457,-1.345457,-2.161282,0.035914,0.048412,268.210756,268.210756,510.032026,3,0.000000,true,
50.000000,0.850000,0.000000,356.450962,356.450962,356.450962,356.450962,1069.352885,0.000000,0.000000,21.592786,0.200597,-20.804947,0.203801,0.203801,0.000398,-1.377398,-1.377398,-2.165155,0.035433,0.048763,274.545659,274.545659,512.235414,3,0.000000,true,
50.000000,0.800000,0.000000,358.566511,358.566511,358.566511,358.566511,1075.699534,0.000000,0.000000,21.597032,0.199429,-20.848726,0.191803,0.191803,0.000393,-1.408582,-1.408582,-2.168989,0.034806,0.048979,280.736357,280.736357,514.431155,3,0.000000,true,
50.000000,0.750000,0.000000,360.611083,360.611083,360.611083,360.611083,1081.833248,0.000000,0.000000,21.600887,0.196975,-20.893084,0.179807,0.179807,0.000386,-1.439064,-1.439064,-2.172787,0.034036,0.049052,286.793166,286.793166,516.619711,3,0.000000,true,
50.000000,0.700000,0.000000,362.563400,362.563400,362.563400,362.563400,1087.690201,0.000000,0.000000,21.604332,0.193242,-20.938009,0.167812,0.167812,0.000376,-1.468893,-1.468893,-2.176548,0.033125,0.048971,292.725597,292.725597,518.801636,3,0.000000,true,
50.000000,0.650000,0.000000,364.400699,364.400699,364.400699,364.400699,1093.202097,0.000000,0.000000,21.607350,0.188231,-20.983489,0.155818,0.155818,0.000364,-1.498116,-1.498116,-2.180276,0.032072,0.048728,298.542492,298.542492,520.977570,3,0.000000,true,
50.000000,0.600000,0.000000,366.097257,366.097257,366.097257,366.097257,1098.291771,0.000000,0.000000,21.609930,0.181939,-21.029508,0.143825,0.143825,0.000350,-1.526774,-1.526774,-2.183972,0.030876,0.048308,304.252167,304.252167,523.148257,3,0.000000,true,
