mode_key,mode,plot_panel,plot_series,plot_series_label,T_MeV,muB_MeV,xi,observable,raw_value,clean_value,display_status,value_source,phase_structure,phase_reference_kind,quality_flag,quality_reason,run_id,canonical_data_modified
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4700000000,sigma,0.011513873278899472,0.011513873278899472,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4700000000,zeta,0.2984263143082787,0.2984263143082787,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4600000000,eta_over_s,0.10448377458213756,0.10448377458213756,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4600000000,zeta_over_s,0.01852253659835876,0.01852253659835876,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4600000000,sigma_over_T,0.011229475936732803,0.011229475936732803,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4600000000,tau_u,0.6094364978478823,0.6094364978478823,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4600000000,tau_d,0.6094364978478823,0.6094364978478823,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4600000000,tau_s,1.1048844948243686,1.1048844948243686,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4600000000,tau_ubar,0.6094364978485222,0.6094364978485222,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4600000000,tau_dbar,0.6094364978485222,0.6094364978485222,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4600000000,tau_sbar,1.1048844948243686,1.1048844948243686,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4600000000,eta,1.6655673725864053,1.6655673725864053,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4600000000,sigma,0.01138665122739234,0.01138665122739234,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4600000000,zeta,0.2952662529578838,0.2952662529578838,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4500000000,eta_over_s,0.10380724935267113,0.10380724935267113,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4500000000,zeta_over_s,0.018484599896805273,0.018484599896805273,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4500000000,sigma_over_T,0.011107156043784839,0.011107156043784839,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4500000000,tau_u,0.6088641339880368,0.6088641339880368,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4500000000,tau_d,0.6088641339880368,0.6088641339880368,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4500000000,tau_s,1.1113102487737605,1.1113102487737605,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4500000000,tau_ubar,0.6088641339886548,0.6088641339886548,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4500000000,tau_dbar,0.6088641339886548,0.6088641339886548,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4500000000,tau_sbar,1.1113102487737605,1.1113102487737605,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4500000000,eta,1.6409655732082529,1.6409655732082529,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4500000000,sigma,0.011262619263031973,0.011262619263031973,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4500000000,zeta,0.2922010963043186,0.2922010963043186,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4400000000,eta_over_s,0.1031656550568005,0.1031656550568005,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4400000000,zeta_over_s,0.018450670437913243,0.018450670437913243,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4400000000,sigma_over_T,0.010989215876168464,0.010989215876168464,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4400000000,tau_u,0.6083907319453679,0.6083907319453679,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
