xi,mu_MeV,T_MeV,rho,cep_mu_proxy_MeV,cep_mu_source,filter_status
-0.3625,341.63517274322476,141.00809095740786,6.9917703230570565,233.4574160543056,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.35,251.16344519161174,141.00809095740786,3.2238459925584624,235.8902504269209,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.35,273.99648566357644,141.00809095740786,4.003391073865037,235.8902504269209,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.35,296.82952613554113,141.00809095740786,4.840834583309037,235.8902504269209,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.35,319.6625666075059,141.00809095740786,5.805530813319088,235.8902504269209,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.35,342.4956070794706,141.00809095740786,6.9477977234923625,235.8902504269209,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.34375,251.33504564074525,141.00809095740786,3.202213937586008,237.08886296141702,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.34375,274.1836861535403,141.00809095740786,3.983378592839222,237.08886296141702,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.34375,297.03232666633534,141.00809095740786,4.818167858760148,237.08886296141702,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.34375,319.8809671791303,141.00809095740786,5.778965235379795,237.08886296141702,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.34375,342.72960769192537,141.00809095740786,6.915870727067967,237.08886296141702,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3375,251.7535843164,141.00809095740786,3.189634422097667,238.27592770007067,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3375,274.6402737997091,141.00809095740786,3.9729358603822313,238.27592770007067,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3375,297.52696328301823,141.00809095740786,4.8072139015352064,238.27592770007067,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3375,320.4136527663273,141.00809095740786,5.767112677679232,238.27592770007067,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3375,343.3003422496364,141.00809095740786,6.90281918717638,238.27592770007067,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.33125,252.0449067347919,141.00809095740786,3.1724096173197798,239.45167450007006,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.33125,274.95808007431845,141.00809095740786,3.957971487732331,239.45167450007006,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.33125,297.87125341384495,141.00809095740786,4.790730119872754,239.45167450007006,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.33125,320.78442675337146,141.00809095740786,5.748289639040214,239.45167450007006,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.33125,343.697600092898,141.00809095740786,6.8807968814067175,239.45167450007006,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.325,252.33379295088756,141.00809095740786,3.1550741332013574,240.7638524009058,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.325,275.27322867369554,141.00809095740786,3.943176331301952,240.7638524009058,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.325,298.2126643965035,141.00809095740786,4.774457385965726,240.7638524009058,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.325,321.15210011931146,141.00809095740786,5.729716110298191,240.7638524009058,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.325,344.0915358421194,141.00809095740786,6.859076145668174,240.7638524009058,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3125,252.83294804949398,141.00809095740786,3.1171636557126052,243.05901808990916,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3125,275.8177615085389,141.00809095740786,3.9114129683785333,243.05901808990916,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3125,298.80257496758384,141.00809095740786,4.7392869240593765,243.05901808990916,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3125,321.7873884266287,141.00809095740786,5.689229414423461,243.05901808990916,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3125,344.77220188567367,141.00809095740786,6.811300610640267,243.05901808990916,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3,253.46574562230555,137.19512896667837,1.5124138969693164,245.3123308500414,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3,276.5080861334243,137.0084178647779,3.590767070273885,245.3123308500414,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3,299.55042664454294,137.0084178647779,4.393241104332909,245.3123308500414,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3,322.59276715566165,137.0084178647779,5.301198394142973,245.3123308500414,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3,345.6351076667803,137.0084178647779,6.368473264163379,245.3123308500414,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2875,254.01810853703026,137.5348797113678,1.57800399113571,247.52532026781037,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2875,277.11066385857845,137.0084178647779,3.5639218010071043,247.52532026781037,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2875,300.20321918012667,137.0084178647779,4.36500611897746,247.52532026781037,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2875,323.2957745016749,137.0084178647779,5.26931620396028,247.52532026781037,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2875,346.3883298232231,137.0084178647779,6.331505136468688,247.52532026781037,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.275,254.56178347425296,137.87065607943126,1.6504155221640555,249.69941642988456,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.275,277.7037637900941,137.0084178647779,3.53750793007864,249.69941642988456,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.275,300.8457441059353,137.0084178647779,4.337420323156088,249.69941642988456,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.275,323.9877244217765,137.0084178647779,5.238204356670736,249.69941642988456,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.275,347.12970473761766,137.0084178647779,6.295456994795845,249.69941642988456,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2625,255.09704272081046,138.2104068241207,1.7434724937266435,251.97523272206814,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2625,278.2876829681569,137.0084178647779,3.5114902052557575,251.97523272206814,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2625,301.4783232155033,137.0084178647779,4.310454853489975,251.97523272206814,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2625,324.6689634628497,137.0084178647779,5.207829742416344,251.97523272206814,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2625,347.8596037101961,137.0084178647779,6.260288600513947,251.97523272206814,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.25,255.624144837933,138.5357781390933,1.837587807613429,254.0739615044684,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.25,278.8627034595633,137.0084178647779,3.4858338624572145,254.0739615044684,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.25,302.10126208119357,137.0084178647779,4.284082444965341,254.0739615044684,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.25,325.33982070282383,137.0084178647779,5.178161172101019,254.0739615044684,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.25,348.5783793244541,137.0084178647779,6.225962118677383,254.0739615044684,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2375,279.3964678555807,137.0084178647779,3.459399313419896,256.13762208201535,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2375,302.67950684354577,137.0084178647779,4.257014420665789,256.13762208201535,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2375,325.9625458315108,137.0084178647779,5.1476031954115,256.13762208201535,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2375,349.2455848194759,137.0084178647779,6.190448013636168,256.13762208201535,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.225,279.9871075138391,137.0084178647779,3.4354675179354914,258.1673314852301,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.225,303.31936647332566,137.0084178647779,4.233015029679089,258.1673314852301,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.225,326.6516254328123,137.0084178647779,5.120826160154544,258.1673314852301,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.225,349.9838843922989,137.0084178647779,6.159694477738324,258.1673314852301,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.21875,280.2630509422003,137.0084178647779,3.4230480219034116,259.1697868888465,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.21875,303.6183051873837,137.0084178647779,4.22058021316175,259.1697868888465,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.21875,326.9735594325671,137.0084178647779,5.106889735562987,259.1697868888465,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.21875,350.3288136777504,137.0084178647779,6.143600613843283,259.1697868888465,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2125,280.5369907877047,137.0084178647779,3.4106887100421495,260.29732418839416,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2125,303.91507335334677,137.0084178647779,4.208272531636262,260.29732418839416,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2125,327.2931559189889,137.0084178647779,5.093105812717866,260.29732418839416,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2125,350.6712384846309,137.0084178647779,6.127688213279517,260.29732418839416,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.20625,280.8089577818909,137.0084178647779,3.398385293250256,261.28298681412605,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.20625,304.20970426371514,137.0084178647779,4.196089357938033,261.28298681412605,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.20625,327.6104507455394,137.0084178647779,5.079471436196909,261.28298681412605,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.20625,351.01119722736365,137.0084178647779,6.111953723505909,261.28298681412605,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2,281.0789772461702,137.0084178647779,3.386133286764645,262.2608016265691,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2,304.50222535001774,137.0084178647779,4.184027951542887,262.2608016265691,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2,327.92547345386527,137.0084178647779,5.065983508426025,262.2608016265691,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.2,351.3487215577128,137.0084178647779,6.096393408531215,262.2608016265691,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.1875,281.61328796827775,137.0084178647779,3.361765911681985,264.1933437140495,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.1875,305.08106196563426,137.0084178647779,4.160260430888276,264.1933437140495,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.1875,328.5488359629907,137.0084178647779,5.039435777593611,264.1933437140495,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.1875,352.0166099603472,137.0084178647779,6.0657818314740615,264.1933437140495,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.175,282.1401342337129,132.0088264989904,2.9599678870100035,266.12805691179994,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.175,305.6518120865223,132.0088264989904,3.785664742367517,266.12805691179994,muq_last_first_order_MeV,excluded_response_peak_above_CEP
