kind,xi,muB_MeV,T_MeV,variable,curve_parameter,plot_order_key,source_csv
first_order,0.3,1088.45901796,70,mu_transition_MeV,70,70,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0.3,1082.47538419,75,mu_transition_MeV,75,75,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0.3,1075.67577335,80,mu_transition_MeV,80,80,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0.3,1067.94796215,85,mu_transition_MeV,85,85,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0.3,1059.17081094,90,mu_transition_MeV,90,90,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0.3,1049.21009167,95,mu_transition_MeV,95,95,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0.3,1037.92196633,100,mu_transition_MeV,100,100,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0.3,1025.15101484,105,mu_transition_MeV,105,105,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0.3,1010.73276156,110,mu_transition_MeV,110,110,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0.3,994.500422692,115,mu_transition_MeV,115,115,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
spinodal_hadron,-0.3,1112.71238436,30,mu_spinodal_hadron_MeV,30,30,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,1107.89478085,35,mu_spinodal_hadron_MeV,35,35,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,1102.60371007,40,mu_spinodal_hadron_MeV,40,40,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,1096.56265347,45,mu_spinodal_hadron_MeV,45,45,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,1089.79791942,50,mu_spinodal_hadron_MeV,50,50,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,1082.29478969,55,mu_spinodal_hadron_MeV,55,55,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,1073.9081044,60,mu_spinodal_hadron_MeV,60,60,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,1064.65915654,65,mu_spinodal_hadron_MeV,65,65,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,1054.39731092,70,mu_spinodal_hadron_MeV,70,70,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,1043.06687691,75,mu_spinodal_hadron_MeV,75,75,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,1030.56402053,80,mu_spinodal_hadron_MeV,80,80,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,1016.77050436,85,mu_spinodal_hadron_MeV,85,85,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,1001.55785698,90,mu_spinodal_hadron_MeV,90,90,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,984.789245719,95,mu_spinodal_hadron_MeV,95,95,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,966.31949837,100,mu_spinodal_hadron_MeV,100,100,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,945.988041046,105,mu_spinodal_hadron_MeV,105,105,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,923.651656603,110,mu_spinodal_hadron_MeV,110,110,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,899.138060115,115,mu_spinodal_hadron_MeV,115,115,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,872.30243033,120,mu_spinodal_hadron_MeV,120,120,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,843.025498013,125,mu_spinodal_hadron_MeV,125,125,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,811.285602788,130,mu_spinodal_hadron_MeV,130,130,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,777.276605016,135,mu_spinodal_hadron_MeV,135,135,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,-0.3,741.757047484,140,mu_spinodal_hadron_MeV,140,140,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0,1122.85316553,35,mu_spinodal_hadron_MeV,35,35,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0,1119.12323762,40,mu_spinodal_hadron_MeV,40,40,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0,1114.76924952,45,mu_spinodal_hadron_MeV,45,45,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0,1109.67969866,50,mu_spinodal_hadron_MeV,50,50,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0,1103.79874758,55,mu_spinodal_hadron_MeV,55,55,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0,1097.17610149,60,mu_spinodal_hadron_MeV,60,60,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0,1089.73780946,65,mu_spinodal_hadron_MeV,65,65,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0,1081.45724688,70,mu_spinodal_hadron_MeV,70,70,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0,1072.26206568,75,mu_spinodal_hadron_MeV,75,75,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0,1062.0718235,80,mu_spinodal_hadron_MeV,80,80,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0,1050.76015286,85,mu_spinodal_hadron_MeV,85,85,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0,1038.21746433,90,mu_spinodal_hadron_MeV,90,90,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0,1024.33660947,95,mu_spinodal_hadron_MeV,95,95,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0,1008.97579363,100,mu_spinodal_hadron_MeV,100,100,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0,991.989619455,105,mu_spinodal_hadron_MeV,105,105,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0,973.244241024,110,mu_spinodal_hadron_MeV,110,110,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0,952.605786925,115,mu_spinodal_hadron_MeV,115,115,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0,929.968764361,120,mu_spinodal_hadron_MeV,120,120,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0,905.323479349,125,mu_spinodal_hadron_MeV,125,125,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0,878.957855087,130,mu_spinodal_hadron_MeV,130,130,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0.3,1138.25455402,35,mu_spinodal_hadron_MeV,35,35,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0.3,1134.8253534,40,mu_spinodal_hadron_MeV,40,40,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0.3,1131.30522985,45,mu_spinodal_hadron_MeV,45,45,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0.3,1127.17417975,50,mu_spinodal_hadron_MeV,50,50,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0.3,1122.37196519,55,mu_spinodal_hadron_MeV,55,55,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0.3,1116.91998839,60,mu_spinodal_hadron_MeV,60,60,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0.3,1110.77689448,65,mu_spinodal_hadron_MeV,65,65,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0.3,1103.90779293,70,mu_spinodal_hadron_MeV,70,70,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0.3,1096.24704604,75,mu_spinodal_hadron_MeV,75,75,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0.3,1087.71306274,80,mu_spinodal_hadron_MeV,80,80,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0.3,1078.21295133,85,mu_spinodal_hadron_MeV,85,85,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0.3,1067.64464715,90,mu_spinodal_hadron_MeV,90,90,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0.3,1055.89316146,95,mu_spinodal_hadron_MeV,95,95,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0.3,1042.85556598,100,mu_spinodal_hadron_MeV,100,100,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0.3,1028.4109181,105,mu_spinodal_hadron_MeV,105,105,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0.3,1012.46590387,110,mu_spinodal_hadron_MeV,110,110,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_hadron,0.3,994.987359435,115,mu_spinodal_hadron_MeV,115,115,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_quark,-0.3,979.455679154,30,mu_spinodal_quark_MeV,30,30,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_quark,-0.3,975.590884425,35,mu_spinodal_quark_MeV,35,35,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_quark,-0.3,971.685235271,40,mu_spinodal_quark_MeV,40,40,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_quark,-0.3,967.858402171,45,mu_spinodal_quark_MeV,45,45,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_quark,-0.3,964.120505997,50,mu_spinodal_quark_MeV,50,50,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_quark,-0.3,960.392664435,55,mu_spinodal_quark_MeV,55,55,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_quark,-0.3,956.54802629,60,mu_spinodal_quark_MeV,60,60,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_quark,-0.3,952.437604097,65,mu_spinodal_quark_MeV,65,65,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_quark,-0.3,947.908396211,70,mu_spinodal_quark_MeV,70,70,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_quark,-0.3,942.806851024,75,mu_spinodal_quark_MeV,75,75,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_quark,-0.3,936.968694957,80,mu_spinodal_quark_MeV,80,80,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_quark,-0.3,930.239582108,85,mu_spinodal_quark_MeV,85,85,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_quark,-0.3,922.440620878,90,mu_spinodal_quark_MeV,90,90,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_quark,-0.3,913.398406641,95,mu_spinodal_quark_MeV,95,95,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_quark,-0.3,902.924035342,100,mu_spinodal_quark_MeV,100,100,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_quark,-0.3,890.822819285,105,mu_spinodal_quark_MeV,105,105,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
spinodal_quark,-0.3,876.877211617,110,mu_spinodal_quark_MeV,110,110,data\reference\pnjl\paper_p1_20260531\spinodals_paper_p1_20260531.csv
