xi,method,T_MeV,stage_a_status,stage_b_status,stage_c_status,stage_used,upgrade_reason,result_status,standard_oracle_status,deep_oracle_status,final_oracle_status,oracle_source,geometry_converged,position_error_MeV,density_error,maxwell_area_gate,area_residual,mu_transition_MeV,rho_hadron,rho_quark,mu_spinodal_hadron_MeV,mu_spinodal_quark_MeV,rho_spinodal_hadron,rho_spinodal_quark,support_low,support_high,support_mu_low,support_mu_high,guard_status,guard_reason,guard_source,support_point_count,point_ranking_version,stage_c_stop_reason,stage_c_actual_cap,stage_c_selected_points_json,stage_c_component_geometry_json,stage_c_refinement_trace_json,targeted_additions,stage_c_targeted_additions,certificate_type,endpoint_lower_bound,endpoint_upper_bound,endpoint_interpolated_rho_hadron,endpoint_anchor_rho,endpoint_refinement_count,endpoint_failure_reason,endpoint_route_kind,endpoint_left_bracket_low,endpoint_left_bracket_high,endpoint_right_bracket_low,endpoint_right_bracket_high,maxwell_candidate_count,maxwell_crossing_count
-0.5,production_hybrid,5.0,ambiguous_near_critical,ambiguous_near_critical,confirmed_first_order,stage_c_endpoint_local_v2,endpoint_local_v2_certificate,confirmed_first_order,,,,,true,4.272035425856302e-6,2.8992814456359623e-7,6.22742449136657e-7,6.22742449136657e-7,331.57372371262966,0.0,2.8043648716253675,372.7601711683876,301.0138105583955,0.10507930457920539,1.8607509433404121,0.0,0.00625,301.0138105583955,372.7601711683876,endpoint_local,three_crossing_endpoint_local_v2,stage_b_right_crossing_bracket;endpoint_local_midpoint,654,stage_b_features_v1,geometry_certificate_closed,12,"[{""rho"":0.003125,""feature"":""endpoint_anchor"",""rank"":1,""batch"":0},{""rho"":0.0015625,""feature"":""endpoint_local_midpoint"",""rank"":2,""batch"":1},{""rho"":0.00078125,""feature"":""endpoint_local_midpoint"",""rank"":3,""batch"":2},{""rho"":0.000390625,""feature"":""endpoint_local_midpoint"",""rank"":4,""batch"":3},{""rho"":0.0001953125,""feature"":""endpoint_local_midpoint"",""rank"":5,""batch"":4},{""rho"":9.765625e-5,""feature"":""endpoint_local_midpoint"",""rank"":6,""batch"":5},{""rho"":4.8828125e-5,""feature"":""endpoint_local_midpoint"",""rank"":7,""batch"":6},{""rho"":2.44140625e-5,""feature"":""endpoint_local_midpoint"",""rank"":8,""batch"":7},{""rho"":1.220703125e-5,""feature"":""endpoint_local_midpoint"",""rank"":9,""batch"":8},{""rho"":6.103515625e-6,""feature"":""endpoint_local_midpoint"",""rank"":10,""batch"":9},{""rho"":3.0517578125e-6,""feature"":""endpoint_local_midpoint"",""rank"":11,""batch"":10},{""rho"":1.52587890625e-6,""feature"":""endpoint_local_midpoint"",""rank"":12,""batch"":11},{""rho"":7.62939453125e-7,""feature"":""endpoint_local_midpoint"",""rank"":13,""batch"":12}]",[],"[{""level"":0,""rho_midpoint"":null,""bracket_low"":0.0,""bracket_high"":0.00625,""bracket_width"":0.00625,""status"":""valid"",""reason"":""ok"",""candidate_count"":1,""crossing_count"":3,""rho_hadron"":0.0009132396002870507,""rho_quark"":2.8037355621761892,""area_residual"":7.880811048175708e-7,""position_error_MeV"":0.02506189576217821,""density_error"":0.0008670613019472501,""maxwell_area"":4.320545680762362e-6,""geometry_converged"":false,""route_kind"":""anchor"",""sample_role"":""endpoint_anchor""},{""level"":1,""rho_midpoint"":0.0015625,""bracket_low"":0.0,""bracket_high"":0.003125,""bracket_width"":0.003125,""status"":""valid"",""reason"":""ok"",""candidate_count"":1,""crossing_count"":3,""rho_hadron"":0.00046806479941402675,""rho_quark"":2.8040596864013008,""area_residual"":1.5869123482203365e-7,""position_error_MeV"":0.01217316491499787,""density_error"":0.00044517480087302394,""maxwell_area"":7.880811048175708e-7,""geometry_converged"":true,""route_kind"":""midpoint"",""sample_role"":""endpoint_local_midpoint""},{""level"":2,""rho_midpoint"":0.00078125,""bracket_low"":0.0,""bracket_high"":0.0015625,""bracket_width"":0.0015625,""status"":""valid"",""reason"":""ok"",""candidate_count"":1,""crossing_count"":3,""rho_hadron"":0.00023985829005944605,""rho_quark"":2.804216999545129,""area_residual"":2.878016457830211e-6,""position_error_MeV"":0.00590822497906629,""density_error"":0.0002282065093545807,""maxwell_area"":2.878016457830211e-6,""geometry_converged"":true,""route_kind"":""midpoint"",""sample_role"":""endpoint_local_midpoint""},{""level"":3,""rho_midpoint"":0.000390625,""bracket_low"":0.0,""bracket_high"":0.00078125,""bracket_width"":0.00078125,""status"":""valid"",""reason"":""ok"",""candidate_count"":1,""crossing_count"":3,""rho_hadron"":0.00012294092357603126,""rho_quark"":2.8042933242880816,""area_residual"":2.735869201204576e-6,""position_error_MeV"":0.002866535763359934,""density_error"":0.00011691736648341479,""maxwell_area"":2.878016457830211e-6,""geometry_converged"":true,""route_kind"":""midpoint"",""sample_role"":""endpoint_local_midpoint""},{""level"":4,""rho_midpoint"":0.0001953125,""bracket_low"":0.0,""bracket_high"":0.000390625,""bracket_width"":0.000390625,""status"":""valid"",""reason"":""ok"",""candidate_count"":1,""crossing_count"":3,""rho_hadron"":6.304101507626316e-5,""rho_quark"":2.8043302923081432,""area_residual"":4.825268121957547e-6,""position_error_MeV"":0.0013884115099358496,""density_error"":5.9899908499768095e-5,""maxwell_area"":4.825268121957547e-6,""geometry_converged"":true,""route_kind"":""midpoint"",""sample_role"":""endpoint_local_midpoint""},{""level"":5,""rho_midpoint"":9.765625e-5,""bracket_low"":0.0,""bracket_high"":0.0001953125,""bracket_width"":0.0001953125,""status"":""valid"",""reason"":""ok"",""candidate_count"":1,""crossing_count"":3,""rho_hadron"":3.234364433022709e-5,""rho_quark"":2.804348264453279,""area_residual"":2.1748668317984215e-6,""position_error_MeV"":0.0006749815955231497,""density_error"":3.069737074603607e-5,""maxwell_area"":4.825268121957547e-6,""geometry_converged"":true,""route_kind"":""midpoint"",""sample_role"":""endpoint_local_midpoint""},{""level"":6,""rho_midpoint"":4.8828125e-5,""bracket_low"":0.0,""bracket_high"":9.765625e-5,""bracket_width"":9.765625e-5,""status"":""valid"",""reason"":""ok"",""candidate_count"":1,""crossing_count"":3,""rho_hadron"":1.6604604001820427e-5,""rho_quark"":2.8043569092825833,""area_residual"":8.211460658145791e-7,""position_error_MeV"":0.00032467469145558425,""density_error"":1.5739040328406663e-5,""maxwell_area"":2.1748668317984215e-6,""geometry_converged"":true,""route_kind"":""midpoint"",""sample_role"":""endpoint_local_midpoint""},{""level"":7,""rho_midpoint"":2.44140625e-5,""bracket_low"":0.0,""bracket_high"":4.8828125e-5,""bracket_width"":4.8828125e-5,""status"":""valid"",""reason"":""ok"",""candidate_count"":1,""crossing_count"":3,""rho_hadron"":8.53037441950037e-6,""rho_quark"":2.804361117949484,""area_residual"":3.774359602298793e-6,""position_error_MeV"":0.00015806531041562266,""density_error"":8.074229582320058e-6,""maxwell_area"":3.774359602298793e-6,""geometry_converged"":true,""route_kind"":""midpoint"",""sample_role"":""endpoint_local_midpoint""},{""level"":8,""rho_midpoint"":1.220703125e-5,""bracket_low"":0.0,""bracket_high"":2.44140625e-5,""bracket_width"":2.44140625e-5,""status"":""valid"",""reason"":""ok"",""candidate_count"":1,""crossing_count"":3,""rho_hadron"":4.385608008424683e-6,""rho_quark"":2.8043630516613027,""area_residual"":4.876143811104639e-6,""position_error_MeV"":7.262460206902688e-5,""density_error"":4.1447664110756865e-6,""maxwell_area"":4.876143811104639e-6,""geometry_converged"":true,""route_kind"":""midpoint"",""sample_role"":""endpoint_local_midpoint""},{""level"":9,""rho_midpoint"":6.103515625e-6,""bracket_low"":0.0,""bracket_high"":1.220703125e-5,""bracket_width"":1.220703125e-5,""status"":""valid"",""reason"":""ok"",""candidate_count"":1,""crossing_count"":3,""rho_hadron"":2.2564850064896976e-6,""rho_quark"":2.8043640753910872,""area_residual"":7.301524605388783e-7,""position_error_MeV"":3.844831866217646e-5,""density_error"":2.1291230019349854e-6,""maxwell_area"":4.876143811104639e-6,""geometry_converged"":true,""route_kind"":""midpoint"",""sample_role"":""endpoint_local_midpoint""},{""level"":10,""rho_midpoint"":3.0517578125e-6,""bracket_low"":0.0,""bracket_high"":6.103515625e-6,""bracket_width"":6.103515625e-6,""status"":""valid"",""reason"":""ok"",""candidate_count"":1,""crossing_count"":3,""rho_hadron"":1.1619912946790068e-6,""rho_quark"":2.8043645303821045,""area_residual"":4.7357567802046524e-7,""position_error_MeV"":1.7088141703425208e-5,""density_error"":1.0944937118106908e-6,""maxwell_area"":7.301524605388783e-7,""geometry_converged"":true,""route_kind"":""midpoint"",""sample_role"":""endpoint_local_midpoint""},{""level"":11,""rho_midpoint"":1.52587890625e-6,""bracket_low"":0.0,""bracket_high"":3.0517578125e-6,""bracket_width"":3.0517578125e-6,""status"":""valid"",""reason"":""ok"",""candidate_count"":1,""crossing_count"":3,""rho_hadron"":5.98909754405771e-7,""rho_quark"":2.804364757877613,""area_residual"":7.760949105578953e-8,""position_error_MeV"":8.544070851712604e-6,""density_error"":5.630815402732358e-7,""maxwell_area"":4.7357567802046524e-7,""geometry_converged"":true,""route_kind"":""midpoint"",""sample_role"":""endpoint_local_midpoint""},{""level"":12,""rho_midpoint"":7.62939453125e-7,""bracket_low"":0.0,""bracket_high"":1.52587890625e-6,""bracket_width"":1.52587890625e-6,""status"":""valid"",""reason"":""ok"",""candidate_count"":1,""crossing_count"":3,""rho_hadron"":3.089816098421748e-7,""rho_quark"":2.8043648716253675,""area_residual"":6.22742449136657e-7,""position_error_MeV"":4.272035425856302e-6,""density_error"":2.8992814456359623e-7,""maxwell_area"":6.22742449136657e-7,""geometry_converged"":true,""route_kind"":""midpoint"",""sample_role"":""endpoint_local_midpoint""}]",0,12,endpoint_limited_first_order,0.0,7.62939453125e-7,3.089816098421748e-7,0.003125,12,three_crossing_endpoint_local_v2,three_crossing_endpoint_local_v2,0.0,0.00625,2.8,2.80625,1,3
-0.5,production_hybrid,20.0,ambiguous_near_critical,ambiguous_near_critical,confirmed_first_order,stage_c_endpoint_local_v2,endpoint_local_v2_certificate,confirmed_first_order,,,,,true,1.0364747538460506e-5,3.2379842587395115e-5,3.5985553198449602e-6,3.6504646217915687e-7,330.8402923018356,0.00016163281964185123,2.799388026152809,370.32464021513215,300.69666731685703,0.1496530317947231,1.8660820336585606,0.0,0.00625,300.69666731685703,370.32464021513215,endpoint_local,three_crossing_endpoint_local_v2,stage_b_right_crossing_bracket;endpoint_local_midpoint,647,stage_b_features_v1,geometry_certificate_closed,5,"[{""rho"":0.003125,""feature"":""endpoint_anchor"",""rank"":1,""batch"":0},{""rho"":0.0015625,""feature"":""endpoint_local_midpoint"",""rank"":2,""batch"":1},{""rho"":0.00078125,""feature"":""endpoint_local_midpoint"",""rank"":3,""batch"":2},{""rho"":0.000390625,""feature"":""endpoint_local_midpoint"",""rank"":4,""batch"":3},{""rho"":0.0001953125,""feature"":""endpoint_local_midpoint"",""rank"":5,""batch"":4},{""rho"":9.765625e-5,""feature"":""endpoint_local_midpoint"",""rank"":6,""batch"":5}]",[],"[{""level"":0,""rho_midpoint"":null,""bracket_low"":0.0,""bracket_high"":0.00625,""bracket_width"":0.00625,""status"":""valid"",""reason"":""ok"",""candidate_count"":1,""crossing_count"":3,""rho_hadron"":0.002882751452733397,""rho_quark"":2.7990117918570263,""area_residual"":1.4264411853320922e-7,""position_error_MeV"":0.02316935666971176,""density_error"":0.0027833636179195034,""maxwell_area"":1.1679834267640113e-6,""geometry_converged"":false,""route_kind"":""anchor"",""sample_role"":""endpoint_anchor""},{""level"":1,""rho_midpoint"":0.0015625,""bracket_low"":0.0,""bracket_high"":0.003125,""bracket_width"":0.003125,""status"":""valid"",""reason"":""ok"",""candidate_count"":1,""crossing_count"":3,""rho_hadron"":0.0014673895115115724,""rho_quark"":2.799258571562175,""area_residual"":4.460094631330517e-7,""position_error_MeV"":0.009278522005331524,""density_error"":0.0014153619412218246,""maxwell_area"":4.460094631330517e-7,""geometry_converged"":true,""route_kind"":""midpoint"",""sample_role"":""endpoint_local_midpoint""},{""level"":2,""rho_midpoint"":0.00078125,""bracket_low"":0.0,""bracket_high"":0.0015625,""bracket_width"":0.0015625,""status"":""valid"",""reason"":""ok"",""candidate_count"":1,""crossing_count"":3,""rho_hadron"":0.000747256255466083,""rho_quark"":2.799350700446736,""area_residual"":6.264268628190621e-8,""position_error_MeV"":0.003463898630627682,""density_error"":0.0007201332560454894,""maxwell_area"":4.460094631330517e-7,""geometry_converged"":true,""route_kind"":""midpoint"",""sample_role"":""endpoint_local_midpoint""},{""level"":3,""rho_midpoint"":0.000390625,""bracket_low"":0.0,""bracket_high"":0.00078125,""bracket_width"":0.00078125,""status"":""valid"",""reason"":""ok"",""candidate_count"":1,""crossing_count"":3,""rho_hadron"":0.0003806851653375961,""rho_quark"":2.7993808036011165,""area_residual"":2.9867701854720003e-6,""position_error_MeV"":0.0011318304322571748,""density_error"":0.0003665710901284869,""maxwell_area"":2.9867701854720003e-6,""geometry_converged"":true,""route_kind"":""midpoint"",""sample_role"":""endpoint_local_midpoint""},{""level"":4,""rho_midpoint"":0.0001953125,""bracket_low"":0.0,""bracket_high"":0.000390625,""bracket_width"":0.000390625,""status"":""valid"",""reason"":""ok"",""candidate_count"":1,""crossing_count"":3,""rho_hadron"":0.00019401266222924635,""rho_quark"":2.7993877504828975,""area_residual"":3.5985553198449602e-6,""position_error_MeV"":0.0002611916382306845,""density_error"":0.00018667250310834977,""maxwell_area"":3.5985553198449602e-6,""geometry_converged"":true,""route_kind"":""midpoint"",""sample_role"":""endpoint_local_midpoint""},{""level"":5,""rho_midpoint"":9.765625e-5,""bracket_low"":0.0,""bracket_high"":0.0001953125,""bracket_width"":0.0001953125,""status"":""valid"",""reason"":""ok"",""candidate_count"":1,""crossing_count"":3,""rho_hadron"":0.00016163281964185123,""rho_quark"":2.799388026152809,""area_residual"":3.6504646217915687e-7,""position_error_MeV"":1.0364747538460506e-5,""density_error"":3.2379842587395115e-5,""maxwell_area"":3.5985553198449602e-6,""geometry_converged"":true,""route_kind"":""midpoint"",""sample_role"":""endpoint_local_midpoint""}]",0,5,endpoint_local_geometry_first_order,9.765625e-5,0.0001953125,0.00016163281964185123,0.003125,5,three_crossing_endpoint_local_v2,three_crossing_endpoint_local_v2,0.0,0.00625,2.7937499999999997,2.8,1,3
-0.5,production_hybrid,60.0,ambiguous_near_critical,confirmed_first_order,confirmed_first_order,stage_c,extrema_guard_stage_c_first_order_geometry_pass,confirmed_first_order,,,,,true,0.0001021321193093172,8.301872723927295e-5,4.214283315985304e-6,4.214283315985304e-6,322.2137974998554,0.03290061185066189,2.7854422542739656,351.3843185019893,296.19995089413385,0.3452550079124589,1.937197577162414,0.00625,3.63125,296.1999512364633,351.3843245158687,ok,first_strict_outer_samples,extrema_outer_samples_v1,653,stage_b_features_v1,geometry_certificate_closed,12,"[{""rho"":0.034375,""feature"":""stage_b_features_v1"",""rank"":1,""batch"":1},{""rho"":1.253125,""feature"":""stage_b_features_v1"",""rank"":2,""batch"":1},{""rho"":2.784375,""feature"":""stage_b_features_v1"",""rank"":3,""batch"":1},{""rho"":0.346875,""feature"":""stage_b_features_v1"",""rank"":4,""batch"":1},{""rho"":1.934375,""feature"":""stage_b_features_v1"",""rank"":5,""batch"":1},{""rho"":1.3218750000000001,""feature"":""stage_b_features_v1"",""rank"":6,""batch"":1},{""rho"":1.4281249999999999,""feature"":""stage_b_features_v1"",""rank"":7,""batch"":1},{""rho"":1.5718750000000001,""feature"":""stage_b_features_v1"",""rank"":8,""batch"":1},{""rho"":0.07187500000000001,""feature"":""stage_b_features_v1"",""rank"":9,""batch"":1},{""rho"":0.009375000000000001,""feature"":""stage_b_features_v1"",""rank"":10,""batch"":1},{""rho"":0.015625,""feature"":""stage_b_features_v1"",""rank"":11,""batch"":1},{""rho"":0.021875000000000002,""feature"":""stage_b_features_v1"",""rank"":12,""batch"":1}]",[],[],0,12,none,NaN,NaN,NaN,NaN,0,first_strict_outer_samples,none,NaN,NaN,NaN,NaN,1,3
-0.5,production_hybrid,100.0,confirmed_first_order,confirmed_first_order,not_run,stage_b,stage_a_stage_b_first_order_geometry_pass,confirmed_first_order,,,,,true,0.0012583579347733576,0.000337650698338382,3.0531527543788475e-6,7.982758947854126e-7,294.0528294497777,0.23085953835558087,2.866818485213147,309.1967042021205,277.7093842389184,0.7007365412216617,2.189841522204189,NaN,NaN,NaN,NaN,not_run,stage_b_certificate,,0,stage_b_features_v1,stage_b_certificate,0,[],[],[],0,0,none,NaN,NaN,NaN,NaN,0,stage_b_certificate,none,NaN,NaN,NaN,NaN,1,3
-0.5,production_hybrid,130.0,confirmed_first_order,confirmed_first_order,not_run,stage_b,stage_a_stage_b_first_order_geometry_pass,confirmed_first_order,,,,,true,0.00011823266964938739,0.00023971152271951013,1.6487638129982984e-6,1.6487638129982984e-6,245.59254631398048,0.8111156443534512,2.8892026950917864,249.8918335098882,240.17813556649332,1.2996093685436372,2.490003888585918,NaN,NaN,NaN,NaN,not_run,stage_b_certificate,,0,stage_b_features_v1,stage_b_certificate,0,[],[],[],0,0,none,NaN,NaN,NaN,NaN,0,stage_b_certificate,none,NaN,NaN,NaN,NaN,1,3
-0.5,production_hybrid,147.0947265625,ambiguous_near_critical,confirmed_first_order,confirmed_first_order,stage_c,extrema_guard_stage_c_first_order_geometry_pass,confirmed_first_order,,,,,true,6.2696294378383755e-6,0.00038361067419856454,9.366499593842917e-10,5.943804014432059e-10,202.2467366362531,2.2012140133896776,2.258656597573987,202.2468500555461,202.2466218786794,2.213477900765322,2.2465990028479284,2.19375,2.26875,202.24662814830884,202.24685044300554,ok,first_strict_outer_samples,extrema_outer_samples_v1,653,stage_b_features_v1,geometry_certificate_closed,12,"[{""rho"":2.203125,""feature"":""stage_b_features_v1"",""rank"":1,""batch"":1},{""rho"":2.2281250000000004,""feature"":""stage_b_features_v1"",""rank"":2,""batch"":1},{""rho"":2.246875,""feature"":""stage_b_features_v1"",""rank"":3,""batch"":1},{""rho"":2.2593750000000004,""feature"":""stage_b_features_v1"",""rank"":4,""batch"":1},{""rho"":2.215625,""feature"":""stage_b_features_v1"",""rank"":5,""batch"":1},{""rho"":2.2093750000000005,""feature"":""stage_b_features_v1"",""rank"":6,""batch"":1},{""rho"":2.1968750000000004,""feature"":""stage_b_features_v1"",""rank"":7,""batch"":1},{""rho"":2.253125,""feature"":""stage_b_features_v1"",""rank"":8,""batch"":1},{""rho"":2.234375,""feature"":""stage_b_features_v1"",""rank"":9,""batch"":1},{""rho"":2.265625,""feature"":""stage_b_features_v1"",""rank"":10,""batch"":1},{""rho"":2.221875,""feature"":""stage_b_features_v1"",""rank"":11,""batch"":1},{""rho"":2.2406249999999996,""feature"":""stage_b_features_v1"",""rank"":12,""batch"":1}]",[],[],0,12,none,NaN,NaN,NaN,NaN,0,first_strict_outer_samples,none,NaN,NaN,NaN,NaN,1,3
-0.5,production_hybrid,147.2197265625,confirmed_monotone,not_run,not_run,stage_a,stage_a_certificate,confirmed_monotone,,,,,true,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_run,stage_a_certificate,,0,stage_b_features_v1,stage_a_certificate,0,[],[],[],12,0,none,NaN,NaN,NaN,NaN,0,stage_a_certificate,none,NaN,NaN,NaN,NaN,0,0
-0.5,production_hybrid,160.0,confirmed_monotone,not_run,not_run,stage_a,stage_a_certificate,confirmed_monotone,,,,,true,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_run,stage_a_certificate,,0,stage_b_features_v1,stage_a_certificate,0,[],[],[],0,0,none,NaN,NaN,NaN,NaN,0,stage_a_certificate,none,NaN,NaN,NaN,NaN,0,0
