xi,source_T_min_MeV,display_T_floor_MeV,extension_gap_MeV,extension_method,source_T_second_MeV,source_mu_first_MeV,source_mu_second_MeV,display_mu_floor_MeV,synthetic_row,status
-0.06875,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,357.92650289778055,357.88667191970467,358.02608034297026,True,display_extrapolated_noncertified
-0.0625,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,358.2170782869267,358.17728262990147,358.31656742948985,True,display_extrapolated_noncertified
-0.05625,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,358.50765367607295,358.46789334009827,358.6070545160096,True,display_extrapolated_noncertified
-0.05,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,358.7982290652191,358.7585040502951,358.89754160252926,True,display_extrapolated_noncertified
-0.04375,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,359.0834639584304,359.0437781043901,359.1826785935311,True,display_extrapolated_noncertified
-0.0375,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,359.3686988516416,359.3290521584852,359.46781558453273,True,display_extrapolated_noncertified
-0.03125,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,359.6504806174293,359.610873810718,359.7494976342076,True,display_extrapolated_noncertified
-0.025,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,359.932262383217,359.89269546295077,360.03117968388256,True,display_extrapolated_noncertified
-0.01875,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,360.21066754234613,360.1711447514237,360.3094745196522,True,display_extrapolated_noncertified
-0.0125,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,360.48907270147527,360.4495940398966,360.58776935542187,True,display_extrapolated_noncertified
-0.00625,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,360.7641762666518,360.72474502959693,360.86275435928906,True,display_extrapolated_noncertified
0.0,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,361.0392798318283,360.99989601929724,361.137739363156,True,display_extrapolated_noncertified
