surface,xi,xi_role,xi_left,xi_right,axis_low,axis_high,source_rows,coverage_status
crossover,0.2625,native_uniform,0.2625,0.2625,0.0,322.8661454281654,16,native_support
crossover,0.26875,derived_uniform,0.2625,0.275,0.0,322.8661454281654,29,interpolated_common_support
crossover,0.275,native_uniform,0.275,0.275,0.0,324.0424554538131,16,native_support
crossover,0.28125,derived_uniform,0.275,0.2875,0.0,324.0424554538131,29,interpolated_common_support
crossover,0.2875,native_uniform,0.2875,0.2875,0.0,325.0911559932932,16,native_support
crossover,0.29375,derived_uniform,0.2875,0.3,0.0,325.0911559932932,29,interpolated_common_support
crossover,0.3,native_uniform,0.3,0.3,0.0,326.2835538876109,16,native_support
crossover,0.30625,native_uniform,0.30625,0.30625,0.0,326.847924739281,16,native_support
crossover,0.3125,native_uniform,0.3125,0.3125,0.0,327.45078079124744,16,native_support
crossover,0.31875,native_uniform,0.31875,0.31875,0.0,327.9638072713668,16,native_support
crossover,0.325,native_uniform,0.325,0.325,0.0,328.5153914339688,16,native_support
crossover,0.33125,derived_uniform,0.325,0.3375,0.0,328.5153914339688,30,interpolated_common_support
crossover,0.3375,native_uniform,0.3375,0.3375,0.0,329.6610860385566,16,native_support
crossover,0.34375,derived_uniform,0.3375,0.35,0.0,329.6610860385566,30,interpolated_common_support
crossover,0.35,native_uniform,0.35,0.35,0.0,330.73427609300285,16,native_support
crossover,0.35625,derived_uniform,0.35,0.3625,0.0,330.73427609300285,30,interpolated_common_support
crossover,0.3625,native_uniform,0.3625,0.3625,0.0,331.84433912735733,16,native_support
crossover,0.36875,derived_uniform,0.3625,0.375,0.0,331.84433912735733,30,interpolated_common_support
crossover,0.375,native_uniform,0.375,0.375,0.0,332.93653361567283,16,native_support
crossover,0.38125,native_uniform,0.38125,0.38125,0.0,333.45027541618055,16,native_support
crossover,0.3875,native_uniform,0.3875,0.3875,0.0,334.0111792308613,16,native_support
crossover,0.39375,native_uniform,0.39375,0.39375,0.0,334.5672572656026,16,native_support
crossover,0.4,native_uniform,0.4,0.4,0.0,335.06233163261436,16,native_support
crossover,0.40625,derived_uniform,0.4,0.4125,0.0,335.06233163261436,30,interpolated_common_support
crossover,0.4125,native_uniform,0.4125,0.4125,0.0,336.1580529567468,16,native_support
crossover,0.41875,derived_uniform,0.4125,0.425,0.0,336.1580529567468,30,interpolated_common_support
crossover,0.425,native_uniform,0.425,0.425,0.0,337.1809349128682,16,native_support
crossover,0.43125,native_uniform,0.43125,0.43125,0.0,337.710000616162,16,native_support
crossover,0.4375,native_uniform,0.4375,0.4375,0.0,338.23453827097666,16,native_support
crossover,0.44375,native_uniform,0.44375,0.44375,0.0,338.75458976744653,16,native_support
