T_MeV,rho,xi,mu_u_MeV,mu_d_MeV,mu_s_MeV,mu_avg_MeV,mu_B_MeV,mu_Q_MeV,mu_S_MeV,pressure_fm4,entropy_fm3,energy_fm4,rho_u_fm3,rho_d_fm3,rho_s_fm3,phi_u,phi_d,phi_s,Phi1,Phi2,M_u_MeV,M_d_MeV,M_s_MeV,iterations,residual_norm,converged,message
120.000000,2.875000,0.000000,315.602298,315.602298,315.602298,315.602298,946.806894,0.000000,0.000000,21.711347,2.365796,-18.065487,0.642939,0.642939,0.094122,-0.345439,-0.345439,-1.976948,0.260024,0.294046,71.777219,71.777219,450.241211,3,0.000000,true,
120.000000,2.850000,0.000000,314.972712,314.972712,314.972712,314.972712,944.918137,0.000000,0.000000,21.706963,2.347646,-18.095697,0.637539,0.637539,0.092923,-0.355782,-0.355782,-1.978649,0.258793,0.292942,73.772877,73.772877,450.639211,3,0.000000,true,
120.000000,2.825000,0.000000,314.361082,314.361082,314.361082,314.361082,943.083246,0.000000,0.000000,21.702741,2.329643,-18.125781,0.632127,0.632127,0.091746,-0.366531,-0.366531,-1.980353,0.257565,0.291842,75.847065,75.847065,451.047107,3,0.000000,true,
120.000000,2.800000,0.000000,313.768749,313.768749,313.768749,313.768749,941.306248,0.000000,0.000000,21.698689,2.311791,-18.155736,0.626703,0.626703,0.090594,-0.377691,-0.377691,-1.982062,0.256341,0.290748,78.000805,78.000805,451.465641,3,0.000000,true,
120.000000,2.775000,0.000000,313.197042,313.197042,313.197042,313.197042,939.591126,0.000000,0.000000,21.694812,2.294098,-18.185560,0.621267,0.621267,0.089466,-0.389265,-0.389265,-1.983776,0.255122,0.289661,80.234688,80.234688,451.895552,3,0.000000,true,
120.000000,2.750000,0.000000,312.647253,312.647253,312.647253,312.647253,937.941758,0.000000,0.000000,21.691118,2.276568,-18.215250,0.615819,0.615819,0.088362,-0.401252,-0.401252,-1.985497,0.253908,0.288580,82.548819,82.548819,452.337565,3,0.000000,true,
120.000000,2.725000,0.000000,312.120618,312.120618,312.120618,312.120618,936.361853,0.000000,0.000000,21.687611,2.259205,-18.244805,0.610359,0.610359,0.087282,-0.413650,-0.413650,-1.987225,0.252699,0.287506,84.942777,84.942777,452.792382,3,0.000000,true,
120.000000,2.700000,0.000000,311.618291,311.618291,311.618291,311.618291,934.854874,0.000000,0.000000,21.684296,2.242015,-18.274225,0.604886,0.604886,0.086228,-0.426455,-0.426455,-1.988964,0.251495,0.286439,87.415573,87.415573,453.260667,3,0.000000,true,
120.000000,2.675000,0.000000,311.141324,311.141324,311.141324,311.141324,933.423972,0.000000,0.000000,21.681178,2.224999,-18.303508,0.599401,0.599401,0.085198,-0.439657,-0.439657,-1.990712,0.250297,0.285381,89.965633,89.965633,453.743037,3,0.000000,true,
120.000000,2.650000,0.000000,310.690639,310.690639,310.690639,310.690639,932.071916,0.000000,0.000000,21.678259,2.208159,-18.332657,0.593904,0.593904,0.084192,-0.453245,-0.453245,-1.992472,0.249106,0.284331,92.590788,92.590788,454.240048,3,0.000000,true,
120.000000,2.625000,0.000000,310.267010,310.267010,310.267010,310.267010,930.801031,0.000000,0.000000,21.675541,2.191494,-18.361672,0.588394,0.588394,0.083211,-0.467204,-0.467204,-1.994245,0.247920,0.283289,95.288285,95.288285,454.752183,3,0.000000,true,
120.000000,2.600000,0.000000,309.871047,309.871047,309.871047,309.871047,929.613142,0.000000,0.000000,21.673024,2.175004,-18.390556,0.582873,0.582873,0.082254,-0.481517,-0.481517,-1.996031,0.246741,0.282256,98.054813,98.054813,455.279848,3,0.000000,true,
120.000000,2.575000,0.000000,309.503180,309.503180,309.503180,309.503180,928.509539,0.000000,0.000000,21.670709,2.158686,-18.419313,0.577340,0.577340,0.081321,-0.496164,-0.496164,-1.997831,0.245567,0.281231,100.886551,100.886551,455.823359,3,0.000000,true,
120.000000,2.550000,0.000000,309.163647,309.163647,309.163647,309.163647,927.490942,0.000000,0.000000,21.668592,2.142535,-18.447946,0.571795,0.571795,0.080410,-0.511121,-0.511121,-1.999646,0.244400,0.280214,103.779225,103.779225,456.382938,3,0.000000,true,
