reference_mode,muB_MeV,xi,alpha_T,T_MeV,species,channel,density,rate,contribution,species_total,contribution_share
candidate_runtime,900.0,0.0,1.2,150.8847096322416,ubar,ubarubar_to_ubarubar,0.017851066982975467,0.3081592138072141,0.005500970767093638,3.2574585580029516,0.0016887308523323517
candidate_runtime,900.0,0.0,1.2,150.8847096322416,ubar,ubarsbar_to_ubarsbar,0.005870650780011521,0.3141503396524456,0.0018442669365215142,3.2574585580029516,0.0005661674288965254
candidate_runtime,900.0,0.5,1.2,150.8847096322416,u,ud_to_ud,0.6747308908722178,0.14048887113766098,0.0947921811803462,0.25576825245298807,0.37061746433040843
candidate_runtime,900.0,0.5,1.2,150.8847096322416,u,uu_to_uu,0.6747308908722178,0.11673105029538479,0.07876204555825464,0.25576825245298807,0.30794301013856923
candidate_runtime,900.0,0.5,1.2,150.8847096322416,u,us_to_us,0.21478443208677903,0.1805150719431811,0.03877182721042021,0.25576825245298807,0.15158967869769815
candidate_runtime,900.0,0.5,1.2,150.8847096322416,u,udbar_to_udbar,0.011943601323034856,1.6251545288629727,0.019410197781063888,0.25576825245298807,0.07588978536197183
candidate_runtime,900.0,0.5,1.2,150.8847096322416,u,uubar_to_uubar,0.011943601323034856,0.9684470628449269,0.011566745621083889,0.25576825245298807,0.04522353931792193
candidate_runtime,900.0,0.5,1.2,150.8847096322416,u,uubar_to_ddbar,0.011943601323034856,0.9028666628032748,0.010783479468381258,0.25576825245298807,0.042161133623741416
candidate_runtime,900.0,0.5,1.2,150.8847096322416,u,usbar_to_usbar,0.0038760152392591654,0.38691854547271326,0.001499702178604227,0.25576825245298807,0.005863519667593938
candidate_runtime,900.0,0.5,1.2,150.8847096322416,u,uubar_to_ssbar,0.011943601323034856,0.015244435066884365,0.00018207345483375905,0.25576825245298807,0.0007118688620950928
candidate_runtime,900.0,0.5,1.2,150.8847096322416,ubar,dubar_to_dubar,0.6747308908722178,1.6251545288629758,1.096541963064735,2.5774196823794253,0.42544175888826463
candidate_runtime,900.0,0.5,1.2,150.8847096322416,ubar,uubar_to_uubar,0.6747308908722178,0.9684470628449269,0.6534411494759402,2.5774196823794253,0.2535253198938466
candidate_runtime,900.0,0.5,1.2,150.8847096322416,ubar,uubar_to_ddbar,0.6747308908722178,0.9028666628032748,0.6091920277320799,2.5774196823794253,0.2363573274064879
