g_fm,m_fixed_fm,g_MeV,residual_re,residual_im,residual_norm,log10_residual_norm
0.51,3.1592695934446384,100.636760004,0.05759724530011034,-0.11108179336341917,0.12512636605845484,-0.9026511681067477
0.52,3.1592695934446384,102.61002980800001,0.057200890524240884,-0.1105212793527574,0.12444635417133132,-0.9050178221286379
0.53,3.1592695934446384,104.583299612,0.05680536638201989,-0.10996007032892176,0.1237661775952418,-0.9073980216376517
0.54,3.1592695934446384,106.556569416,0.05641067287378629,-0.10939816629141337,0.12308583509891405,-0.9097919234483779
0.55,3.1592695934446384,108.52983922000001,0.056016809999878445,-0.10883556723972958,0.12240532545178,-0.912199687059661
0.56,3.1592695934446384,110.50310902400001,0.05562377776063372,-0.10827227317336349,0.12172464742397826,-0.9146214747162842
0.57,3.1592695934446384,112.476378828,0.055231576156388615,-0.10770828409180447,0.12104379978635756,-0.9170574514724323
0.58,3.1592695934446384,114.44964863199999,0.05484020518747873,-0.10714359999453753,0.12036278131047916,-0.9195077852570032
0.59,3.1592695934446384,116.42291843599999,0.05444966485423878,-0.10657822088104382,0.11968159076862027,-0.9219726469408238
0.6,3.1592695934446384,118.39618823999999,0.05405995515700254,-0.10601214675080034,0.1190002269337767,-0.9244522104058474
0.61,3.1592695934446384,120.369458044,0.053671076096102596,-0.10544537760327986,0.11831868857966568,-0.9269466526163954
0.62,3.1592695934446384,122.342727848,0.05328302767187075,-0.10487791343795125,0.11763697448072923,-0.929456153692519
0.63,3.1592695934446384,124.315997652,0.05289580988463754,-0.10430975425427898,0.11695508341213642,-0.9319808969855594
0.64,3.1592695934446384,126.289267456,0.05250942273473233,-0.1037409000517236,0.11627301414978683,-0.9345210691559802
0.65,3.1592695934446384,128.26253726000002,0.052123866222483675,-0.10317135082974122,0.11559076547031306,-0.9370768602535614
0.66,3.1592695934446384,130.235807064,0.05173914034821851,-0.1026011065877839,0.11490833615108369,-0.9396484638000363
0.67,3.1592695934446384,132.209076868,0.05135524511226284,-0.10203016732529954,0.11422572497020633,-0.9422360768742621
0.68,3.1592695934446384,134.182346672,0.050972180514941304,-0.10145853304173164,0.11354293070653017,-0.9448399002000218
0.69,3.1592695934446384,136.15561647599998,0.0505899465565772,-0.10088620373651949,0.11285995213964897,-0.9474601382365495
0.7,3.1592695934446384,138.12888628,0.0502085432374926,-0.10031317940909824,0.11217678804990405,-0.9500969992718856
0.71,3.1592695934446384,140.102156084,0.04982797055800803,-0.09973946005889855,0.1114934372183867,-0.9527506955191685
0.72,3.1592695934446384,142.07542588799998,0.0494482285184428,-0.09916504568534694,0.11080989842694147,-0.9554214432159696
0.73,3.1592695934446384,144.048695692,0.04906931711911459,-0.09858993628786547,0.1101261704581686,-0.9581094627267961
0.74,3.1592695934446384,146.021965496,0.04869123636033981,-0.09801413186587196,0.10944225209542709,-0.9608149786488742
0.75,3.1592695934446384,147.9952353,0.04831398624243287,-0.09743763241877987,0.1087581421228372,-0.9635382199213481
0.76,3.1592695934446384,149.968505104,0.0479375667657071,-0.09686043794599825,0.10807383932528354,-0.9662794199380204
0.77,3.1592695934446384,151.941774908,0.04756197793047402,-0.09628254844693179,0.10738934248841765,-0.9690388166637788
0.78,3.1592695934446384,153.915044712,0.04718721973704336,-0.09570396392098071,0.10670465039866066,-0.9718166527548522
0.79,3.1592695934446384,155.888314516,0.04681329218572329,-0.09512468436754097,0.10601976184320636,-0.9746131756830452
0.8,3.1592695934446384,157.86158432000002,0.04644019527682017,-0.09454470978600395,0.1053346756100236,-0.9774286378641174
0.81,3.1592695934446384,159.834854124,0.04606792901063864,-0.09396404017575663,0.10464939048785926,-0.9802632967904666
0.82,3.1592695934446384,161.808123928,0.04569649338748137,-0.09338267553618161,0.10396390526624084,-0.9831174151682961
0.83,3.1592695934446384,163.781393732,0.04532588840764924,-0.09280061586665692,0.1032782187354792,-0.9859912610594453
0.84,3.1592695934446384,165.75466353599998,0.04495611407144123,-0.09221786116655611,0.10259232968667129,-0.988885108028078
0.85,3.1592695934446384,167.72793334,0.04458717037915421,-0.09163441143524835,0.10190623691170281,-0.9917992352924279
0.86,3.1592695934446384,169.701203144,0.04421905733108329,-0.09105026667209812,0.10121993920325092,-0.994733927881811
0.87,3.1592695934446384,171.674472948,0.04385177492752112,-0.09046542687646553,0.10053343535478683,-0.9976894767991294
0.88,3.1592695934446384,173.647742752,0.0434853231687586,-0.08987989204770612,0.09984672416057865,-1.0006661791890938
0.89,3.1592695934446384,175.621012556,0.04311970205508432,-0.08929366218517082,0.0991598044156938,-1.003664338512412
0.9,3.1592695934446384,177.59428236,0.042754911586784655,-0.08870673728820602,0.09847267491600181,-1.0066842647261969
0.91,3.1592695934446384,179.567552164,0.04239095176414376,-0.08811911735615374,0.09778533445817711,-1.0097262744708615
0.92,3.1592695934446384,181.54082196800002,0.04202782258744353,-0.08753080238835109,0.09709778183970115,-1.012790691263789
0.93,3.1592695934446384,183.514091772,0.04166552405696347,-0.08694179238413088,0.09641001585886562,-1.0158778457000632
0.94,3.1592695934446384,185.48736157599998,0.0413040561729807,-0.08635208734282111,0.09572203531477458,-1.018988075660584
0.95,3.1592695934446384,187.46063138,0.040943418935769804,-0.0857616872637453,0.09503383900734731,-1.0221217265278844
0.96,3.1592695934446384,189.43390118399998,0.040583612345602864,-0.08517059214622236,0.09434542573732084,-1.0252791514100021
0.97,3.1592695934446384,191.407170988,0.04022463640274963,-0.08457880198956652,0.09365679430625262,-1.0284607113727657
0.98,3.1592695934446384,193.380440792,0.03986649110747718,-0.08398631679308743,0.09296794351652293,-1.031666775680876
0.99,3.1592695934446384,195.35371059599998,0.039509176460049714,-0.08339313655609001,0.09227887217133737,-1.0348977220481907
1.0,3.1592695934446384,197.3269804,0.039152692460728944,-0.08279926127787468,0.09158957907472978,-1.0381539368976296
1.01,3.1592695934446384,199.300250204,0.03879703910977379,-0.0822046909577371,0.0909000630315644,-1.0414358156311556
1.02,3.1592695934446384,201.273520008,0.03844221640744039,-0.08160942559496824,0.09021032284753855,-1.0447437629102978
1.03,3.1592695934446384,203.246789812,0.03808822435398197,-0.08101346518885456,0.08952035732918527,-1.0480781929477172
1.04,3.1592695934446384,205.22005961600001,0.0377350629496488,-0.0804168097386777,0.08883016528387552,-1.0514395298103414
1.05,3.1592695934446384,207.19332942,0.03738273219468838,-0.07981945924371467,0.08813974551982107,-1.0548282077346205
1.06,3.1592695934446384,209.166599224,0.03703123208934493,-0.07922141370323785,0.08744909684607664,-1.0582446714544946
1.07,3.1592695934446384,211.13986902800002,0.036680562633859735,-0.07862267311651493,0.08675821807254265,-1.0616893765426898
1.08,3.1592695934446384,213.113138832,0.036330723828471065,-0.07802323748280882,0.08606710800996753,-1.065162789765999
1.09,3.1592695934446384,215.08640863600002,0.03598171567341385,-0.07742310680137784,0.0853757654699503,-1.0686653894552407
1.1,3.1592695934446384,217.05967844000003,0.03563353816891972,-0.0768222810714756,0.08468418926494281,-1.0721976658906325
1.11,3.1592695934446384,219.032948244,0.035286191315217284,-0.07622076029235098,0.08399237820825257,-1.075760121703348
1.12,3.1592695934446384,221.00621804800002,0.03493967511253145,-0.07561854446324826,0.08330033111404482,-1.0793532722940917
1.13,3.1592695934446384,222.97948785199998,0.034593989561084025,-0.07501563358340683,0.08260804679734503,-1.0829776462695555
1.14,3.1592695934446384,224.952757656,0.03424913466109313,-0.07441202765206162,0.08191552407404151,-1.0866337858976813
1.15,3.1592695934446384,226.92602745999997,0.03390511041277357,-0.07380772666844276,0.08122276176088772,-1.0903222475827197
1.16,3.1592695934446384,228.89929726399998,0.03356191681633639,-0.07320273063177564,0.08052975867550446,-1.0940436023611158
1.17,3.1592695934446384,230.872567068,0.03321955387198908,-0.07259703954128104,0.07983651363638261,-1.0977984364193338
1.18,3.1592695934446384,232.84583687199998,0.03287802157993536,-0.07199065339617497,0.0791430254628852,-1.1015873516347956
1.19,3.1592695934446384,234.819106676,0.03253731994037536,-0.07138357219566888,0.07844929297525007,-1.1054109661411764
1.2,3.1592695934446384,236.79237647999997,0.032197448953505174,-0.07077579593896942,0.07775531499459193,-1.1092699149193965
1.21,3.1592695934446384,238.76564628399998,0.031858408619517296,-0.07016732462527855,0.07706109034290494,-1.1131648504157121
1.22,3.1592695934446384,240.738916088,0.0315201989386,-0.06955815825379373,0.076366617843065,-1.1170964431884172
1.23,3.1592695934446384,242.71218589199998,0.03118281991093773,-0.06894829682370748,0.07567189631883191,-1.1210653825847596
1.24,3.1592695934446384,244.685455696,0.03084627153671075,-0.06833774033420793,0.07497692459485199,-1.1250723774497775
1.25,3.1592695934446384,246.6587255,0.030510553816095465,-0.06772648878447837,0.07428170149666022,-1.1291181568688855
1.26,3.1592695934446384,248.631995304,0.030175666749263873,-0.06711454217369746,0.07358622585068243,-1.1332034709461534
1.27,3.1592695934446384,250.605265108,0.02984161033638376,-0.06650190050103935,0.07289049648423794,-1.137329091620355
1.28,3.1592695934446384,252.578534912,0.02950838457761861,-0.06588856376567342,0.07219451222554145,-1.1414958135210138
1.29,3.1592695934446384,254.551804716,0.029175989473127627,-0.06527453196676444,0.07149827190370553,-1.1457044548668152
1.3,3.1592695934446384,256.52507452000003,0.028844425023065588,-0.06465980510347262,0.07080177434874296,-1.1499558584089293
1.31,3.1592695934446384,258.498344324,0.028513691227582585,-0.06404438317495353,0.07010501839156874,-1.154250892421967
1.32,3.1592695934446384,260.471614128,0.02818378808682451,-0.06342826618035818,0.06940800286400266,-1.1585904517454806
1.33,3.1592695934446384,262.444883932,0.02785471560093227,-0.06281145411883297,0.06871072659877117,-1.162975458879141
1.34,3.1592695934446384,264.418153736,0.027526473770042248,-0.062193946989519786,0.06801318842950992,-1.167406865134939
1.35,3.1592695934446384,266.39142354,0.02719906259428617,-0.06157574479155584,0.06731538719076578,-1.1718856518500154
1.36,3.1592695934446384,268.364693344,0.026872482073790928,-0.060956847524073876,0.06661732171799918,-1.1764128316639881
1.37,3.1592695934446384,270.33796314800003,0.0265467322086783,-0.0603372551862022,0.06591899084758626,-1.1809894498649363
1.38,3.1592695934446384,272.31123295199995,0.026221812999065473,-0.05971696777706448,0.06522039341682107,-1.185616585808517
1.39,3.1592695934446384,274.284502756,0.025897724445064406,-0.05909598529577992,0.06452152826391765,-1.1902953544150379
1.4,3.1592695934446384,276.25777256,0.025574466546782117,-0.0584743077414633,0.0638223942280124,-1.1950269077496773
1.41,3.1592695934446384,278.23104236399996,0.02525203930432038,-0.057851935113224874,0.06312299014916611,-1.199812436691462
1.42,3.1592695934446384,280.204312168,0.024930442717775794,-0.05722886741017055,0.06242331486836614,-1.2046531726970457
1.43,3.1592695934446384,282.177581972,0.024609676787239732,-0.056605104631401684,0.0617233672275285,-1.2095503896658313
1.44,3.1592695934446384,284.15085177599997,0.02428974151279828,-0.05598064677601536,0.06102314606950018,-1.2145054059134996
1.45,3.1592695934446384,286.12412158,0.023970636894531983,-0.0553554938431042,0.060322650238061035,-1.2195195862616015
1.46,3.1592695934446384,288.097391384,0.02365236293251606,-0.05472964583175653,0.05962187857792611,-1.224594344251494
1.47,3.1592695934446384,290.070661188,0.02333491962682007,-0.05410310274105631,0.058920829934747586,-1.2297311444916144
1.48,3.1592695934446384,292.043930992,0.023018306977508167,-0.05347586457008319,0.05821950315511701,-1.2349315051478396
1.49,3.1592695934446384,294.017200796,0.022702524984638595,-0.05284793131791256,0.05751789708656726,-1.2401970005875322
1.5,3.1592695934446384,295.9904706,0.02238757364826411,-0.052219302983615504,0.05681601057757474,-1.2455292641887934
1.51,3.1592695934446384,297.963740404,0.022073452968431353,-0.05158997956625898,0.05611384247756136,-1.2509299913274676
1.52,3.1592695934446384,299.937010208,0.021760162945181443,-0.05095996106490556,0.05541139163689663,-1.2564009425555707
1.53,3.1592695934446384,301.910280012,0.02144770357854945,-0.05032924747861385,0.054708656906899855,-1.261943946986047
1.54,3.1592695934446384,303.883549816,0.021136074868564145,-0.04969783880643815,0.054005637139841786,-1.2675609059001538
1.55,3.1592695934446384,305.85681962,0.02082527681524873,-0.04906573504742871,0.05330233118894717,-1.273253796595258
1.56,3.1592695934446384,307.830089424,0.02051530941861983,-0.048432936200631674,0.05259873790839634,-1.2790246764925548
1.57,3.1592695934446384,309.80335922800003,0.02020617267868823,-0.047799442265089136,0.05189485615332753,-1.2848756875260479
1.58,3.1592695934446384,311.776629032,0.01989786659545812,-0.04716525323983917,0.05119068477983868,-1.2908090608362341
1.59,3.1592695934446384,313.749898836,0.01959039116892743,-0.04653036912391584,0.0504862226449895,-1.2968271217942315
1.6,3.1592695934446384,315.72316864000004,0.019283746399087913,-0.045894789916349314,0.049781468606803624,-1.3029322953846614
1.61,3.1592695934446384,317.696438444,0.018977932285924436,-0.04525851561616577,0.049076421524270226,-1.3091271119784853
1.62,3.1592695934446384,319.669708248,0.018672948829415642,-0.04462154622238755,0.04837108025734637,-1.3154142135301754
1.63,3.1592695934446384,321.642978052,0.018368796029533445,-0.0439838817340331,0.04766544366695871,-1.3217963602372265
1.64,3.1592695934446384,323.616247856,0.018065473886242984,-0.04334552215011714,0.04695951061500559,-1.3282764377040124
1.65,3.1592695934446384,325.58951765999996,0.017762982399502802,-0.042706467469650525,0.04625327996435891,-1.3348574646565399
1.66,3.1592695934446384,327.562787464,0.017461321569264512,-0.04206671769164044,0.04554675057886608,-1.3415426012597238
1.67,3.1592695934446384,329.536057268,0.017160491395472828,-0.041426272815090426,0.044839921323351996,-1.3483351580945502
1.68,3.1592695934446384,331.50932707199996,0.01686049187806552,-0.04078513283900026,0.044132791063620835,-1.3552386058589727
1.69,3.1592695934446384,333.482596876,0.016561323016973415,-0.040143297762366234,0.04342535866645814,-1.3622565858637
1.7,3.1592695934446384,335.45586668,0.016262984812120126,-0.039500767584181,0.04271762299963253,-1.3693929214023453
1.71,3.1592695934446384,337.42913648399997,0.01596547726342218,-0.03885754230343372,0.04200958293189771,-1.3766516300848246
1.72,3.1592695934446384,339.402406288,0.01566880037078874,-0.038213621919110215,0.041301237332994394,-1.3840369372336172
1.73,3.1592695934446384,341.375676092,0.015372954134121711,-0.03756900643019263,0.04059258507365187,-1.3915532904547416
1.74,3.1592695934446384,343.348945896,0.015077938553315781,-0.03692369583565995,0.03988362502559037,-1.399205375509252
1.75,3.1592695934446384,345.3222157,0.014783753628258112,-0.03627769013448781,0.03917435606152256,-1.4069981336271045
1.76,3.1592695934446384,347.295485504,0.014490399358828163,-0.03563098932564851,0.03846477705515535,-1.4149367804235924
1.77,3.1592695934446384,349.268755308,0.014197875744898128,-0.03498359340811116,0.037754886881192024,-1.4230268265997092
1.78,3.1592695934446384,351.242025112,0.013906182786332415,-0.03433550238084171,0.037044684415333796,-1.4312741006322227
1.79,3.1592695934446384,353.215294916,0.013615320482987563,-0.033686716242803005,0.03633416853428173,-1.4396847736874543
1.8,3.1592695934446384,355.18856472,0.013325288834712734,-0.033037234992954766,0.035623338115738604,-1.4482653870255202
1.81,3.1592695934446384,357.161834524,0.01303608784134892,-0.032387058630253894,0.034912192038410714,-1.4570228821998896
1.82,3.1592695934446384,359.135104328,0.012747717502729208,-0.0317361871536541,0.034200729182009386,-1.4659646344015538
1.83,3.1592695934446384,361.108374132,0.012460177818678753,-0.031084620562106337,0.033488948427253105,-1.4750984893490977
1.84,3.1592695934446384,363.08164393600003,0.01217346878901485,-0.03043235885455879,0.03277684865586931,-1.4844328041870356
1.85,3.1592695934446384,365.05491374,0.011887590413546468,-0.029779402029956756,0.0320644287505958,-1.493976492926657
1.86,3.1592695934446384,367.028183544,0.01160254269207454,-0.029125750087242837,0.03135168759518279,-1.5037390770485877
1.87,3.1592695934446384,369.00145334800004,0.01131832562439164,-0.028471403025357042,0.03063862407439457,-1.5137307419870627
1.88,3.1592695934446384,370.97472315199997,0.01103493921028216,-0.027816360843236857,0.02992523707401135,-1.523962400335851
1.89,3.1592695934446384,372.94799295599995,0.010752383449521848,-0.02716062353981706,0.02921152548083061,-1.5344457627591452
1.9,3.1592695934446384,374.92126276,0.010470658341878457,-0.026504191114030167,0.028497488182669443,-1.5451934177627284
1.91,3.1592695934446384,376.894532564,0.010189763887110993,-0.02584706356480613,0.02778312406836567,-1.556218921688079
1.92,3.1592695934446384,378.86780236799996,0.009909700084969848,-0.02518924089107278,0.02706843202777997,-1.5675369005429522
1.93,3.1592695934446384,380.841072172,0.009630466935197013,-0.024530723091755545,0.026353410951797333,-1.5791631655871996
1.94,3.1592695934446384,382.814341976,0.009352064437525514,-0.02387151016577772,0.02563805973232878,-1.5911148449655317
1.95,3.1592695934446384,384.78761177999996,0.009074492591679783,-0.023211602112060505,0.02492237726231314,-1.6034105341371476
1.96,3.1592695934446384,386.760881584,0.008797751397375446,-0.022550998929523062,0.02420636243571867,-1.6160704684181495
1.97,3.1592695934446384,388.734151388,0.008521840854319318,-0.021889700617082602,0.023490014147544744,-1.6291167216558227
1.98,3.1592695934446384,390.70742119199997,0.0082467609622092,-0.021227707173654346,0.02277333129382335,-1.6425734359327993
1.99,3.1592695934446384,392.680690996,0.007972511720733716,-0.020565018598151838,0.022056312771620904,-1.6564670883048063
2.0,3.1592695934446384,394.6539608,0.0076990931295729485,-0.019901634889486788,0.021338957479039952,-1.6708268019762127
2.01,3.1592695934446384,396.627230604,0.007426505188397367,-0.019237556046569307,0.020621264315220548,-1.6856847111043556
2.02,3.1592695934446384,398.600500408,0.007154747896868506,-0.01857278206830787,0.019903232180342033,-1.7010763907208124
2.03,3.1592695934446384,400.57377021199994,0.006883821254638671,-0.01790731295360945,0.01918485997562463,-1.717041366235562
2.04,3.1592695934446384,402.547040016,0.006613725261350855,-0.017241148701379657,0.018466146603331075,-1.7336237208838674
2.05,3.1592695934446384,404.52030981999997,0.0063444599166386124,-0.01657428931052272,0.017747090966768096,-1.7508728246155647
2.06,3.1592695934446384,406.493579624,0.006076025220126196,-0.01590673477994162,0.017027691970288104,-1.7688442147794987
2.07,3.1592695934446384,408.466849428,0.005808421171428661,-0.015238485108538147,0.016307948519290818,-1.7876006681926067
2.08,3.1592695934446384,410.44011923200003,0.005541647770151002,-0.01456954029521302,0.01558785952022456,-1.8072135167788985
